Index Level :,Price
Currency :,USD


Date,ARGENTINA Standard (Large+Mid Cap) None
"Jan 29, 1993",987.056
"Feb 26, 1993",928.399
"Mar 31, 1993","1,007.553"
"Apr 30, 1993",975.043
"May 31, 1993",946.351
"Jun 30, 1993","1,026.450"
"Jul 30, 1993","1,018.652"
"Aug 31, 1993","1,149.047"
"Sep 30, 1993","1,226.525"
"Oct 29, 1993","1,348.649"
"Nov 30, 1993","1,285.520"
"Dec 31, 1993","1,520.454"
"Jan 31, 1994","1,696.691"
"Feb 28, 1994","1,587.766"
"Mar 31, 1994","1,393.460"
"Apr 29, 1994","1,398.284"
"May 31, 1994","1,542.657"
"Jun 30, 1994","1,316.833"
"Jul 29, 1994","1,421.175"
"Aug 31, 1994","1,522.757"
"Sep 30, 1994","1,491.550"
"Oct 31, 1994","1,395.102"
"Nov 30, 1994","1,300.181"
"Dec 30, 1994","1,140.054"
"Jan 31, 1995","1,090.908"
"Feb 28, 1995",869.362
"Mar 31, 1995","1,030.307"
"Apr 28, 1995","1,061.370"
"May 31, 1995","1,126.760"
"Jun 30, 1995","1,063.208"
"Jul 31, 1995","1,116.347"
"Aug 31, 1995","1,087.124"
"Sep 29, 1995","1,057.125"
"Oct 31, 1995",996.824
"Nov 30, 1995","1,141.553"
"Dec 29, 1995","1,238.746"
"Jan 31, 1996","1,386.422"
"Feb 29, 1996","1,188.447"
"Mar 29, 1996","1,230.926"
"Apr 30, 1996","1,354.373"
"May 31, 1996","1,382.737"
"Jun 28, 1996","1,407.645"
"Jul 31, 1996","1,213.865"
"Aug 30, 1996","1,193.854"
"Sep 30, 1996","1,301.544"
"Oct 31, 1996","1,292.145"
"Nov 29, 1996","1,378.272"
"Dec 31, 1996","1,447.449"
"Jan 31, 1997","1,577.890"
"Feb 28, 1997","1,589.309"
"Mar 31, 1997","1,554.785"
"Apr 30, 1997","1,630.925"
"May 30, 1997","1,751.726"
"Jun 30, 1997","1,788.221"
"Jul 31, 1997","1,912.513"
"Aug 29, 1997","1,855.412"
"Sep 30, 1997","1,923.236"
"Oct 31, 1997","1,563.034"
"Nov 28, 1997","1,687.743"
"Dec 31, 1997","1,763.961"
"Jan 30, 1998","1,598.271"
"Feb 27, 1998","1,700.352"
"Mar 31, 1998","1,776.163"
"Apr 30, 1998","1,749.120"
"May 29, 1998","1,530.992"
"Jun 30, 1998","1,452.723"
"Jul 31, 1998","1,545.683"
"Aug 31, 1998","1,052.529"
"Sep 30, 1998","1,207.819"
"Oct 30, 1998","1,373.441"
"Nov 30, 1998","1,418.171"
"Dec 31, 1998","1,282.316"
"Jan 29, 1999","1,219.715"
"Feb 26, 1999","1,230.727"
"Mar 31, 1999","1,335.888"
"Apr 30, 1999","1,729.156"
"May 31, 1999","1,652.398"
"Jun 30, 1999","1,581.042"
"Jul 30, 1999","1,488.547"
"Aug 31, 1999","1,553.103"
"Sep 30, 1999","1,601.782"
"Oct 29, 1999","1,596.036"
"Nov 30, 1999","1,588.545"
"Dec 31, 1999","1,667.634"
"Jan 31, 2000","1,748.089"
"Feb 29, 2000","1,980.817"
"Mar 31, 2000","1,772.354"
"Apr 28, 2000","1,611.423"
"May 31, 2000","1,507.026"
"Jun 30, 2000","1,599.401"
"Jul 31, 2000","1,528.363"
"Aug 31, 2000","1,477.921"
"Sep 29, 2000","1,417.464"
"Oct 31, 2000","1,315.934"
"Nov 30, 2000","1,190.834"
"Dec 29, 2000","1,232.719"
"Jan 31, 2001","1,593.044"
"Feb 28, 2001","1,290.720"
"Mar 30, 2001","1,313.397"
"Apr 30, 2001","1,277.742"
"May 31, 2001","1,291.058"
"Jun 29, 2001","1,206.098"
"Jul 31, 2001",951.695
"Aug 31, 2001",953.707
"Sep 28, 2001",728.051
"Oct 31, 2001",653.615
"Nov 30, 2001",627.526
"Dec 31, 2001",959.592
"Jan 31, 2002",743.919
"Feb 28, 2002",642.598
"Mar 29, 2002",511.459
"Apr 30, 2002",447.118
"May 30, 2002",322.883
"May 31, 2002",314.909
"Jun 03, 2002",302.538
"Jun 04, 2002",291.475
"Jun 05, 2002",287.261
"Jun 06, 2002",284.849
"Jun 07, 2002",291.073
"Jun 10, 2002",279.989
"Jun 11, 2002",302.457
"Jun 12, 2002",302.600
"Jun 13, 2002",303.825
"Jun 14, 2002",293.640
"Jun 17, 2002",290.387
"Jun 18, 2002",315.094
"Jun 19, 2002",320.402
"Jun 20, 2002",326.769
"Jun 21, 2002",313.458
"Jun 24, 2002",319.154
"Jun 25, 2002",323.114
"Jun 26, 2002",319.730
"Jun 27, 2002",321.089
"Jun 28, 2002",338.411
"Jul 01, 2002",362.057
"Jul 02, 2002",360.942
"Jul 03, 2002",385.790
"Jul 04, 2002",397.271
"Jul 05, 2002",385.942
"Jul 08, 2002",406.632
"Jul 09, 2002",406.632
"Jul 10, 2002",395.754
"Jul 11, 2002",376.004
"Jul 12, 2002",370.659
"Jul 15, 2002",363.406
"Jul 16, 2002",379.698
"Jul 17, 2002",383.590
"Jul 18, 2002",387.511
"Jul 19, 2002",378.334
"Jul 22, 2002",371.521
"Jul 23, 2002",371.186
"Jul 24, 2002",367.426
"Jul 25, 2002",366.950
"Jul 26, 2002",362.630
"Jul 29, 2002",360.477
"Jul 30, 2002",364.583
"Jul 31, 2002",359.146
"Aug 01, 2002",363.169
"Aug 02, 2002",365.087
"Aug 05, 2002",352.060
"Aug 06, 2002",355.480
"Aug 07, 2002",358.976
"Aug 08, 2002",369.865
"Aug 09, 2002",377.259
"Aug 12, 2002",372.669
"Aug 13, 2002",369.357
"Aug 14, 2002",370.783
"Aug 15, 2002",372.049
"Aug 16, 2002",376.643
"Aug 19, 2002",377.679
"Aug 20, 2002",376.051
"Aug 21, 2002",381.674
"Aug 22, 2002",385.339
"Aug 23, 2002",383.329
"Aug 26, 2002",373.942
"Aug 27, 2002",374.166
"Aug 28, 2002",374.040
"Aug 29, 2002",375.738
"Aug 30, 2002",372.661
"Sep 02, 2002",367.700
"Sep 03, 2002",366.977
"Sep 04, 2002",370.514
"Sep 05, 2002",363.789
"Sep 06, 2002",367.830
"Sep 09, 2002",370.799
"Sep 10, 2002",375.563
"Sep 11, 2002",384.842
"Sep 12, 2002",395.728
"Sep 13, 2002",380.658
"Sep 16, 2002",372.417
"Sep 17, 2002",370.286
"Sep 18, 2002",369.176
"Sep 19, 2002",366.371
"Sep 20, 2002",358.586
