Index Level :,Price
Currency :,USD


Date,AUSTRALIA Standard (Large+Mid Cap) None
"Jan 29, 1993",199.752
"Feb 26, 1993",214.636
"Mar 31, 1993",222.613
"Apr 30, 1993",223.569
"May 31, 1993",219.171
"Jun 30, 1993",213.756
"Jul 30, 1993",234.303
"Aug 31, 1993",243.768
"Sep 30, 1993",237.190
"Oct 29, 1993",263.554
"Nov 30, 1993",246.581
"Dec 31, 1993",273.003
"Jan 31, 1994",301.697
"Feb 28, 1994",285.817
"Mar 31, 1994",264.344
"Apr 29, 1994",273.389
"May 31, 1994",285.882
"Jun 30, 1994",270.614
"Jul 29, 1994",283.800
"Aug 31, 1994",296.671
"Sep 30, 1994",280.143
"Oct 31, 1994",287.255
"Nov 30, 1994",275.735
"Dec 30, 1994",281.004
"Jan 31, 1995",263.419
"Feb 28, 1995",271.200
"Mar 31, 1995",267.815
"Apr 28, 1995",285.271
"May 31, 1995",278.152
"Jun 30, 1995",274.420
"Jul 31, 1995",299.335
"Aug 31, 1995",304.225
"Sep 29, 1995",301.636
"Oct 31, 1995",293.453
"Nov 30, 1995",298.832
"Dec 29, 1995",304.239
"Jan 31, 1996",312.691
"Feb 29, 1996",321.881
"Mar 29, 1996",319.707
"Apr 30, 1996",334.670
"May 31, 1996",331.320
"Jun 28, 1996",319.648
"Jul 31, 1996",303.940
"Aug 30, 1996",322.668
"Sep 30, 1996",322.247
"Oct 31, 1996",333.884
"Nov 29, 1996",346.776
"Dec 31, 1996",345.059
"Jan 31, 1997",330.339
"Feb 28, 1997",339.170
"Mar 31, 1997",337.243
"Apr 30, 1997",345.674
"May 30, 1997",351.283
"Jun 30, 1997",362.075
"Jul 31, 1997",358.583
"Aug 29, 1997",333.246
"Sep 30, 1997",348.555
"Oct 31, 1997",300.859
"Nov 28, 1997",293.864
"Dec 31, 1997",301.735
"Jan 30, 1998",321.065
"Feb 27, 1998",326.066
"Mar 31, 1998",326.469
"Apr 30, 1998",321.040
"May 29, 1998",301.996
"Jun 30, 1998",302.083
"Jul 31, 1998",299.637
"Aug 31, 1998",258.540
"Sep 30, 1998",275.114
"Oct 30, 1998",298.176
"Nov 30, 1998",316.168
"Dec 31, 1998",313.187
"Jan 29, 1999",331.495
"Feb 26, 1999",322.521
"Mar 31, 1999",335.491
"Apr 30, 1999",369.238
"May 31, 1999",338.285
"Jun 30, 1999",354.494
"Jul 30, 1999",353.616
"Aug 31, 1999",333.093
"Sep 30, 1999",333.795
"Oct 29, 1999",325.429
"Nov 30, 1999",342.066
"Dec 31, 1999",360.753
"Jan 31, 2000",347.159
"Feb 29, 2000",338.404
"Mar 31, 2000",334.881
"Apr 28, 2000",325.303
"May 31, 2000",313.198
"Jun 30, 2000",357.337
"Jul 31, 2000",335.013
"Aug 31, 2000",337.950
"Sep 29, 2000",322.520
"Oct 31, 2000",301.211
"Nov 30, 2000",307.353
"Dec 29, 2000",317.651
"Jan 31, 2001",330.481
"Feb 28, 2001",314.605
"Mar 30, 2001",280.107
"Apr 30, 2001",312.964
"May 31, 2001",314.578
"Jun 29, 2001",323.467
"Jul 31, 2001",306.778
"Aug 31, 2001",307.561
"Sep 28, 2001",267.849
"Oct 31, 2001",291.086
"Nov 30, 2001",312.359
"Dec 31, 2001",315.798
"Jan 31, 2002",316.646
"Feb 28, 2002",317.754
"Mar 29, 2002",327.240
"Apr 30, 2002",322.980
"May 30, 2002",344.117
"May 31, 2002",342.831
"Jun 03, 2002",345.449
"Jun 04, 2002",345.531
"Jun 05, 2002",343.358
"Jun 06, 2002",345.354
"Jun 07, 2002",344.509
"Jun 10, 2002",342.227
"Jun 11, 2002",339.818
"Jun 12, 2002",340.776
"Jun 13, 2002",339.375
"Jun 14, 2002",331.378
"Jun 17, 2002",330.589
"Jun 18, 2002",335.096
"Jun 19, 2002",333.895
"Jun 20, 2002",336.441
"Jun 21, 2002",335.415
"Jun 24, 2002",333.638
"Jun 25, 2002",330.944
"Jun 26, 2002",322.284
"Jun 27, 2002",325.620
"Jun 28, 2002",324.629
"Jul 01, 2002",325.603
"Jul 02, 2002",325.648
"Jul 03, 2002",319.946
"Jul 04, 2002",320.097
"Jul 05, 2002",322.126
"Jul 08, 2002",328.235
"Jul 09, 2002",332.986
"Jul 10, 2002",328.561
"Jul 11, 2002",319.650
"Jul 12, 2002",320.125
"Jul 15, 2002",320.299
"Jul 16, 2002",316.182
"Jul 17, 2002",308.493
"Jul 18, 2002",312.458
"Jul 19, 2002",309.933
"Jul 22, 2002",305.730
"Jul 23, 2002",302.218
"Jul 24, 2002",289.995
"Jul 25, 2002",293.222
"Jul 26, 2002",286.500
"Jul 29, 2002",290.771
"Jul 30, 2002",299.829
"Jul 31, 2002",300.301
"Aug 01, 2002",296.233
"Aug 02, 2002",293.285
"Aug 05, 2002",285.100
"Aug 06, 2002",280.555
"Aug 07, 2002",292.753
"Aug 08, 2002",293.384
"Aug 09, 2002",296.754
"Aug 12, 2002",299.127
"Aug 13, 2002",299.040
"Aug 14, 2002",297.678
"Aug 15, 2002",303.405
"Aug 16, 2002",305.121
"Aug 19, 2002",304.401
"Aug 20, 2002",309.502
"Aug 21, 2002",307.125
"Aug 22, 2002",309.368
"Aug 23, 2002",309.664
"Aug 26, 2002",308.462
"Aug 27, 2002",311.722
"Aug 28, 2002",308.743
"Aug 29, 2002",307.899
"Aug 30, 2002",306.489
"Sep 02, 2002",308.663
"Sep 03, 2002",307.260
"Sep 04, 2002",300.504
"Sep 05, 2002",300.900
"Sep 06, 2002",300.996
"Sep 09, 2002",305.435
"Sep 10, 2002",304.579
"Sep 11, 2002",308.362
"Sep 12, 2002",310.335
"Sep 13, 2002",308.771
"Sep 16, 2002",307.429
"Sep 17, 2002",309.836
"Sep 18, 2002",305.952
"Sep 19, 2002",304.397
"Sep 20, 2002",300.609
"Sep 23, 2002",296.344
"Sep 24, 2002",295.389
"Sep 25, 2002",291.087
"Sep 26, 2002",290.837
"Sep 27, 2002",292.534
"Sep 30, 2002",288.097
"Oct 01, 2002",289.544
"Oct 02, 2002",291.732
"Oct 03, 2002",293.092
"Oct 04, 2002",292.262
"Oct 07, 2002",288.757
"Oct 08, 2002",287.720
"Oct 09, 2002",285.138
"Oct 10, 2002",282.139
"Oct 11, 2002",286.160
"Oct 14, 2002",289.063
"Oct 15, 2002",293.043
"Oct 16, 2002",293.628
"Oct 17, 2002",294.475
"Oct 18, 2002",296.615
