Index Level :,Price
Currency :,USD


Date,AUSTRIA Standard (Large+Mid Cap) None
"Jan 29, 1993",794.651
"Feb 26, 1993",839.320
"Mar 31, 1993",822.610
"Apr 30, 1993",812.875
"May 31, 1993",828.362
"Jun 30, 1993",825.509
"Jul 30, 1993",859.826
"Aug 31, 1993",951.444
"Sep 30, 1993",928.418
"Oct 29, 1993",995.253
"Nov 30, 1993",946.992
"Dec 31, 1993","1,016.713"
"Jan 31, 1994","1,035.805"
"Feb 28, 1994","1,021.780"
"Mar 31, 1994",979.477
"Apr 29, 1994",967.334
"May 31, 1994",940.414
"Jun 30, 1994","1,010.927"
"Jul 29, 1994",984.222
"Aug 31, 1994","1,020.539"
"Sep 30, 1994",968.983
"Oct 31, 1994",936.477
"Nov 30, 1994",918.662
"Dec 30, 1994",944.936
"Jan 31, 1995",909.059
"Feb 28, 1995",953.610
"Mar 31, 1995",958.898
"Apr 28, 1995",952.820
"May 31, 1995","1,004.555"
"Jun 30, 1995","1,016.822"
"Jul 31, 1995","1,021.993"
"Aug 31, 1995",943.715
"Sep 29, 1995",947.305
"Oct 31, 1995",901.983
"Nov 30, 1995",869.161
"Dec 29, 1995",890.359
"Jan 31, 1996",941.144
"Feb 29, 1996",936.506
"Mar 29, 1996",927.846
"Apr 30, 1996",932.955
"May 31, 1996",982.900
"Jun 28, 1996",921.947
"Jul 31, 1996",900.753
"Aug 30, 1996",908.311
"Sep 30, 1996",881.028
"Oct 31, 1996",886.215
"Nov 29, 1996",906.193
"Dec 31, 1996",919.198
"Jan 31, 1997",881.174
"Feb 28, 1997",882.675
"Mar 31, 1997",891.507
"Apr 30, 1997",853.859
"May 30, 1997",899.036
"Jun 30, 1997",888.848
"Jul 31, 1997",943.127
"Aug 29, 1997",884.331
"Sep 30, 1997",948.728
"Oct 31, 1997",925.966
"Nov 28, 1997",862.506
"Dec 31, 1997",922.154
"Jan 30, 1998",952.461
"Feb 27, 1998","1,019.336"
"Mar 31, 1998","1,069.685"
"Apr 30, 1998","1,160.118"
"May 29, 1998","1,225.173"
"Jun 30, 1998","1,135.878"
"Jul 31, 1998","1,152.782"
"Aug 31, 1998",948.141
"Sep 30, 1998",846.963
"Oct 30, 1998",950.177
"Nov 30, 1998",900.541
"Dec 31, 1998",913.808
"Jan 29, 1999",858.045
"Feb 26, 1999",904.549
"Mar 31, 1999",900.811
"Apr 30, 1999",938.087
"May 31, 1999",819.690
"Jun 30, 1999",855.241
"Jul 30, 1999",859.085
"Aug 31, 1999",859.262
"Sep 30, 1999",812.861
"Oct 29, 1999",801.869
"Nov 30, 1999",764.939
"Dec 31, 1999",818.117
"Jan 31, 2000",745.368
"Feb 29, 2000",709.631
"Mar 31, 2000",726.477
"Apr 28, 2000",687.507
"May 31, 2000",710.813
"Jun 30, 2000",733.834
"Jul 31, 2000",732.597
"Aug 31, 2000",711.236
"Sep 29, 2000",713.809
"Oct 31, 2000",674.026
"Nov 30, 2000",647.421
"Dec 29, 2000",708.281
"Jan 31, 2001",729.216
"Feb 28, 2001",776.595
"Mar 30, 2001",738.331
"Apr 30, 2001",755.585
"May 31, 2001",696.621
"Jun 29, 2001",680.017
"Jul 31, 2001",729.276
"Aug 31, 2001",732.821
"Sep 28, 2001",663.761
"Oct 31, 2001",618.195
"Nov 30, 2001",648.705
"Dec 31, 2001",655.603
"Jan 31, 2002",657.919
"Feb 28, 2002",677.127
"Mar 29, 2002",723.323
"Apr 30, 2002",775.128
"May 30, 2002",784.729
"May 31, 2002",769.799
"Jun 03, 2002",774.514
"Jun 04, 2002",773.377
"Jun 05, 2002",766.278
"Jun 06, 2002",778.466
"Jun 07, 2002",770.855
"Jun 10, 2002",770.892
"Jun 11, 2002",762.583
"Jun 12, 2002",760.113
"Jun 13, 2002",758.092
"Jun 14, 2002",753.217
"Jun 17, 2002",746.316
"Jun 18, 2002",745.667
"Jun 19, 2002",755.272
"Jun 20, 2002",759.602
"Jun 21, 2002",764.893
"Jun 24, 2002",763.860
"Jun 25, 2002",765.566
"Jun 26, 2002",772.776
"Jun 27, 2002",777.302
"Jun 28, 2002",778.671
"Jul 01, 2002",790.598
"Jul 02, 2002",766.306
"Jul 03, 2002",758.817
"Jul 04, 2002",760.816
"Jul 05, 2002",760.016
"Jul 08, 2002",770.263
"Jul 09, 2002",774.245
"Jul 10, 2002",763.110
"Jul 11, 2002",762.849
"Jul 12, 2002",764.579
"Jul 15, 2002",773.706
"Jul 16, 2002",768.954
"Jul 17, 2002",777.740
"Jul 18, 2002",780.271
"Jul 19, 2002",767.884
"Jul 22, 2002",758.066
"Jul 23, 2002",728.978
"Jul 24, 2002",698.437
"Jul 25, 2002",722.956
"Jul 26, 2002",715.132
"Jul 29, 2002",713.765
"Jul 30, 2002",723.574
"Jul 31, 2002",703.896
"Aug 01, 2002",704.282
"Aug 02, 2002",693.467
"Aug 05, 2002",690.460
"Aug 06, 2002",676.780
"Aug 07, 2002",685.340
"Aug 08, 2002",688.039
"Aug 09, 2002",694.810
"Aug 12, 2002",690.244
"Aug 13, 2002",692.858
"Aug 14, 2002",704.555
"Aug 15, 2002",699.307
"Aug 16, 2002",709.790
"Aug 19, 2002",689.528
"Aug 20, 2002",679.271
"Aug 21, 2002",690.347
"Aug 22, 2002",691.575
"Aug 23, 2002",690.611
"Aug 26, 2002",689.679
"Aug 27, 2002",707.310
"Aug 28, 2002",695.120
"Aug 29, 2002",691.166
"Aug 30, 2002",703.133
"Sep 02, 2002",701.544
"Sep 03, 2002",699.720
"Sep 04, 2002",704.793
"Sep 05, 2002",698.474
"Sep 06, 2002",688.480
"Sep 09, 2002",696.960
"Sep 10, 2002",693.711
"Sep 11, 2002",693.145
"Sep 12, 2002",685.730
"Sep 13, 2002",682.347
"Sep 16, 2002",674.259
"Sep 17, 2002",673.551
"Sep 18, 2002",668.793
"Sep 19, 2002",668.118
"Sep 20, 2002",658.395
"Sep 23, 2002",656.977
"Sep 24, 2002",642.403
"Sep 25, 2002",652.483
"Sep 26, 2002",653.872
"Sep 27, 2002",651.169
"Sep 30, 2002",661.353
"Oct 01, 2002",651.836
"Oct 02, 2002",665.319
"Oct 03, 2002",657.561
"Oct 04, 2002",637.613
"Oct 07, 2002",615.595
"Oct 08, 2002",608.963
"Oct 09, 2002",611.954
"Oct 10, 2002",610.998
"Oct 11, 2002",617.669
"Oct 14, 2002",616.978
"Oct 15, 2002",623.580
