Index Level :,Price
Currency :,USD


Date,BAHRAIN Standard (Large+Mid Cap) None
"May 31, 2005","1,211.862"
"Jun 01, 2005","1,209.049"
"Jun 02, 2005","1,205.582"
"Jun 03, 2005","1,205.582"
"Jun 06, 2005","1,195.173"
"Jun 07, 2005","1,186.776"
"Jun 08, 2005","1,192.374"
"Jun 09, 2005","1,192.714"
"Jun 10, 2005","1,192.714"
"Jun 13, 2005","1,179.280"
"Jun 14, 2005","1,176.690"
"Jun 15, 2005","1,176.690"
"Jun 16, 2005","1,173.209"
"Jun 17, 2005","1,173.209"
"Jun 20, 2005","1,171.101"
"Jun 21, 2005","1,169.647"
"Jun 22, 2005","1,170.207"
"Jun 23, 2005","1,173.909"
"Jun 24, 2005","1,173.909"
"Jun 27, 2005","1,170.532"
"Jun 28, 2005","1,169.967"
"Jun 29, 2005","1,170.254"
"Jun 30, 2005","1,180.746"
"Jul 01, 2005","1,180.746"
"Jul 04, 2005","1,188.355"
"Jul 05, 2005","1,184.104"
"Jul 06, 2005","1,160.575"
"Jul 07, 2005","1,171.771"
"Jul 08, 2005","1,171.771"
"Jul 11, 2005","1,163.164"
"Jul 12, 2005","1,163.164"
"Jul 13, 2005","1,166.981"
"Jul 14, 2005","1,172.594"
"Jul 15, 2005","1,172.594"
"Jul 18, 2005","1,162.741"
"Jul 19, 2005","1,152.325"
"Jul 20, 2005","1,140.772"
"Jul 21, 2005","1,154.207"
"Jul 22, 2005","1,154.207"
"Jul 25, 2005","1,139.670"
"Jul 26, 2005","1,134.527"
"Jul 27, 2005","1,114.287"
"Jul 28, 2005","1,096.825"
"Jul 29, 2005","1,096.825"
"Aug 01, 2005","1,074.754"
"Aug 02, 2005","1,074.754"
"Aug 03, 2005","1,067.021"
"Aug 04, 2005","1,049.212"
"Aug 05, 2005","1,049.212"
"Aug 08, 2005","1,022.988"
"Aug 09, 2005","1,019.365"
"Aug 10, 2005","1,020.485"
"Aug 11, 2005","1,020.485"
"Aug 12, 2005","1,020.485"
"Aug 15, 2005",970.257
"Aug 16, 2005",966.898
"Aug 17, 2005",970.994
"Aug 18, 2005",971.104
"Aug 19, 2005",971.104
"Aug 22, 2005",970.230
"Aug 23, 2005",970.230
"Aug 24, 2005",969.128
"Aug 25, 2005",969.128
"Aug 26, 2005",969.128
"Aug 29, 2005",983.683
"Aug 30, 2005",999.239
"Aug 31, 2005","1,031.790"
"Sep 01, 2005","1,034.544"
"Sep 02, 2005","1,034.544"
"Sep 05, 2005","1,036.087"
"Sep 06, 2005","1,034.017"
"Sep 07, 2005","1,038.915"
"Sep 08, 2005","1,049.866"
"Sep 09, 2005","1,049.866"
"Sep 12, 2005","1,051.584"
"Sep 13, 2005","1,049.240"
"Sep 14, 2005","1,065.037"
"Sep 15, 2005","1,064.138"
"Sep 16, 2005","1,064.138"
"Sep 19, 2005","1,054.502"
"Sep 20, 2005","1,037.188"
"Sep 21, 2005","1,027.689"
"Sep 22, 2005","1,013.634"
"Sep 23, 2005","1,013.634"
"Sep 26, 2005","1,009.752"
"Sep 27, 2005",996.877
"Sep 28, 2005",996.340
"Sep 29, 2005","1,029.133"
"Sep 30, 2005","1,029.133"
"Oct 03, 2005","1,066.947"
"Oct 04, 2005","1,077.707"
"Oct 05, 2005","1,077.084"
"Oct 06, 2005","1,081.127"
"Oct 07, 2005","1,080.697"
"Oct 10, 2005","1,077.907"
"Oct 11, 2005","1,075.555"
"Oct 12, 2005","1,076.346"
"Oct 13, 2005","1,078.267"
"Oct 14, 2005","1,078.267"
"Oct 17, 2005","1,076.463"
"Oct 18, 2005","1,073.202"
"Oct 19, 2005","1,075.185"
"Oct 20, 2005","1,064.447"
"Oct 21, 2005","1,064.447"
"Oct 24, 2005","1,049.663"
"Oct 25, 2005","1,048.878"
"Oct 26, 2005","1,045.412"
"Oct 27, 2005","1,040.961"
"Oct 28, 2005","1,040.961"
"Oct 31, 2005","1,038.082"
"Nov 01, 2005","1,033.169"
"Nov 02, 2005","1,038.063"
"Nov 03, 2005","1,038.063"
"Nov 04, 2005","1,037.925"
"Nov 07, 2005","1,038.063"
"Nov 08, 2005","1,023.942"
"Nov 09, 2005","1,018.869"
"Nov 10, 2005","1,008.895"
"Nov 11, 2005","1,009.431"
"Nov 14, 2005","1,018.580"
"Nov 15, 2005","1,027.538"
"Nov 16, 2005","1,039.255"
"Nov 17, 2005","1,042.589"
"Nov 18, 2005","1,042.589"
"Nov 21, 2005","1,032.914"
"Nov 22, 2005","1,022.240"
"Nov 23, 2005","1,024.812"
"Nov 24, 2005","1,020.552"
"Nov 25, 2005","1,020.552"
"Nov 28, 2005","1,018.503"
"Nov 29, 2005","1,000.484"
"Nov 30, 2005","1,000.000"
"Dec 01, 2005",979.051
"Dec 02, 2005",979.311
"Dec 05, 2005",972.256
"Dec 06, 2005",986.127
"Dec 07, 2005",984.328
"Dec 08, 2005",981.739
"Dec 09, 2005",981.739
"Dec 12, 2005",976.874
"Dec 13, 2005",973.445
"Dec 14, 2005",964.032
"Dec 15, 2005",962.771
"Dec 16, 2005",962.771
"Dec 19, 2005",964.625
"Dec 20, 2005",964.358
"Dec 21, 2005",966.917
"Dec 22, 2005",965.492
"Dec 23, 2005",965.492
"Dec 26, 2005",957.473
"Dec 27, 2005",956.953
"Dec 28, 2005",954.998
"Dec 29, 2005",959.090
"Dec 30, 2005",959.090
"Jan 02, 2006",949.858
"Jan 03, 2006",935.603
"Jan 04, 2006",940.076
"Jan 05, 2006",941.203
"Jan 06, 2006",941.203
"Jan 09, 2006",937.914
"Jan 10, 2006",937.914
"Jan 11, 2006",937.914
"Jan 12, 2006",937.914
"Jan 13, 2006",937.914
"Jan 16, 2006",946.868
"Jan 17, 2006",946.868
"Jan 18, 2006",950.477
"Jan 19, 2006",956.912
"Jan 20, 2006",956.912
"Jan 23, 2006",958.363
"Jan 24, 2006","1,075.147"
"Jan 25, 2006","1,061.527"
"Jan 26, 2006","1,061.225"
"Jan 27, 2006","1,061.225"
"Jan 30, 2006","1,074.147"
"Jan 31, 2006","1,074.147"
"Feb 01, 2006","1,077.638"
"Feb 02, 2006","1,071.627"
"Feb 03, 2006","1,071.627"
"Feb 06, 2006","1,067.778"
"Feb 07, 2006","1,062.554"
"Feb 08, 2006","1,062.554"
"Feb 09, 2006","1,062.554"
"Feb 10, 2006","1,062.554"
"Feb 13, 2006","1,044.765"
