Index Level :,Price
Currency :,USD


Date,BELGIUM Standard (Large+Mid Cap) None
"Jan 29, 1993",617.275
"Feb 26, 1993",617.127
"Mar 31, 1993",668.884
"Apr 30, 1993",649.004
"May 31, 1993",637.169
"Jun 30, 1993",640.987
"Jul 30, 1993",624.962
"Aug 31, 1993",627.553
"Sep 30, 1993",632.396
"Oct 29, 1993",655.022
"Nov 30, 1993",663.517
"Dec 31, 1993",702.124
"Jan 31, 1994",731.665
"Feb 28, 1994",726.255
"Mar 31, 1994",714.432
"Apr 29, 1994",752.575
"May 31, 1994",734.622
"Jun 30, 1994",721.670
"Jul 29, 1994",753.515
"Aug 31, 1994",762.102
"Sep 30, 1994",718.081
"Oct 31, 1994",743.012
"Nov 30, 1994",728.297
"Dec 30, 1994",736.458
"Jan 31, 1995",730.740
"Feb 28, 1995",750.714
"Mar 31, 1995",794.612
"Apr 28, 1995",843.854
"May 31, 1995",839.235
"Jun 30, 1995",838.316
"Jul 31, 1995",863.513
"Aug 31, 1995",812.851
"Sep 29, 1995",839.932
"Oct 31, 1995",839.701
"Nov 30, 1995",851.572
"Dec 29, 1995",896.954
"Jan 31, 1996",914.494
"Feb 29, 1996",902.290
"Mar 29, 1996",878.429
"Apr 30, 1996",898.777
"May 31, 1996",910.911
"Jun 28, 1996",912.796
"Jul 31, 1996",920.666
"Aug 30, 1996",926.937
"Sep 30, 1996",936.419
"Oct 31, 1996",947.885
"Nov 29, 1996",973.812
"Dec 31, 1996",975.531
"Jan 31, 1997",996.897
"Feb 28, 1997","1,010.107"
"Mar 31, 1997","1,022.638"
"Apr 30, 1997","1,030.800"
"May 30, 1997","1,053.686"
"Jun 30, 1997","1,073.447"
"Jul 31, 1997","1,086.749"
"Aug 29, 1997","1,003.671"
"Sep 30, 1997","1,059.894"
"Oct 31, 1997","1,051.013"
"Nov 28, 1997","1,059.424"
"Dec 31, 1997","1,081.156"
"Jan 30, 1998","1,119.611"
"Feb 27, 1998","1,171.258"
"Mar 31, 1998","1,267.757"
"Apr 30, 1998","1,352.362"
"May 29, 1998","1,432.128"
"Jun 30, 1998","1,534.760"
"Jul 31, 1998","1,608.764"
"Aug 31, 1998","1,487.357"
"Sep 30, 1998","1,455.641"
"Oct 30, 1998","1,555.124"
"Nov 30, 1998","1,603.324"
"Dec 31, 1998","1,782.172"
"Jan 29, 1999","1,723.448"
"Feb 26, 1999","1,643.503"
"Mar 31, 1999","1,547.713"
"Apr 30, 1999","1,495.455"
"May 31, 1999","1,410.143"
"Jun 30, 1999","1,424.571"
"Jul 30, 1999","1,437.573"
"Aug 31, 1999","1,507.999"
"Sep 30, 1999","1,460.082"
"Oct 29, 1999","1,451.450"
"Nov 30, 1999","1,406.678"
"Dec 31, 1999","1,501.102"
"Jan 31, 2000","1,218.663"
"Feb 29, 2000","1,164.289"
"Mar 31, 2000","1,164.507"
"Apr 28, 2000","1,129.699"
"May 31, 2000","1,170.068"
"Jun 30, 2000","1,246.632"
"Jul 31, 2000","1,258.950"
"Aug 31, 2000","1,235.643"
"Sep 29, 2000","1,183.426"
"Oct 31, 2000","1,164.244"
"Nov 30, 2000","1,122.526"
"Dec 29, 2000","1,221.933"
"Jan 31, 2001","1,190.017"
"Feb 28, 2001","1,191.418"
"Mar 30, 2001","1,084.094"
"Apr 30, 2001","1,069.842"
"May 31, 2001","1,004.977"
"Jun 29, 2001","1,029.227"
"Jul 31, 2001","1,096.929"
"Aug 31, 2001","1,118.792"
"Sep 28, 2001","1,011.880"
"Oct 31, 2001",977.842
"Nov 30, 2001","1,009.452"
"Dec 31, 2001","1,062.763"
"Jan 31, 2002","1,005.353"
"Feb 28, 2002",994.532
"Mar 29, 2002","1,018.058"
"Apr 30, 2002","1,061.055"
"May 30, 2002","1,079.732"
"May 31, 2002","1,069.790"
"Jun 03, 2002","1,064.709"
"Jun 04, 2002","1,046.146"
"Jun 05, 2002","1,034.227"
"Jun 06, 2002","1,051.310"
"Jun 07, 2002","1,050.461"
"Jun 10, 2002","1,052.078"
"Jun 11, 2002","1,051.034"
"Jun 12, 2002","1,023.575"
"Jun 13, 2002",994.615
"Jun 14, 2002",976.506
"Jun 17, 2002","1,012.584"
"Jun 18, 2002","1,010.047"
"Jun 19, 2002","1,000.770"
"Jun 20, 2002",986.419
"Jun 21, 2002",997.245
"Jun 24, 2002",977.991
"Jun 25, 2002",994.178
"Jun 26, 2002","1,005.411"
"Jun 27, 2002","1,006.026"
"Jun 28, 2002","1,044.249"
"Jul 01, 2002","1,041.882"
"Jul 02, 2002","1,010.857"
"Jul 03, 2002",977.645
"Jul 04, 2002",999.531
"Jul 05, 2002","1,033.739"
"Jul 08, 2002","1,048.397"
"Jul 09, 2002","1,043.916"
"Jul 10, 2002",996.685
"Jul 11, 2002",952.240
"Jul 12, 2002",956.447
"Jul 15, 2002",938.695
"Jul 16, 2002",930.846
"Jul 17, 2002",944.179
"Jul 18, 2002",963.788
"Jul 19, 2002",920.706
"Jul 22, 2002",863.750
"Jul 23, 2002",818.065
"Jul 24, 2002",805.186
"Jul 25, 2002",855.196
"Jul 26, 2002",846.470
"Jul 29, 2002",895.540
"Jul 30, 2002",906.183
"Jul 31, 2002",901.920
"Aug 01, 2002",858.051
"Aug 02, 2002",845.138
"Aug 05, 2002",821.756
"Aug 06, 2002",823.919
"Aug 07, 2002",837.312
"Aug 08, 2002",863.185
"Aug 09, 2002",878.080
"Aug 12, 2002",871.460
"Aug 13, 2002",866.876
"Aug 14, 2002",856.986
"Aug 15, 2002",886.322
"Aug 16, 2002",888.276
"Aug 19, 2002",913.044
"Aug 20, 2002",891.271
"Aug 21, 2002",904.315
"Aug 22, 2002",930.763
"Aug 23, 2002",931.441
"Aug 26, 2002",924.985
"Aug 27, 2002",966.175
"Aug 28, 2002",925.585
"Aug 29, 2002",900.433
"Aug 30, 2002",907.937
"Sep 02, 2002",900.196
"Sep 03, 2002",882.529
"Sep 04, 2002",884.946
"Sep 05, 2002",873.136
"Sep 06, 2002",889.367
"Sep 09, 2002",874.017
"Sep 10, 2002",889.825
"Sep 11, 2002",912.456
"Sep 12, 2002",891.990
"Sep 13, 2002",870.736
"Sep 16, 2002",856.377
"Sep 17, 2002",846.903
"Sep 18, 2002",808.120
"Sep 19, 2002",797.834
"Sep 20, 2002",791.140
"Sep 23, 2002",758.518
"Sep 24, 2002",736.299
"Sep 25, 2002",756.309
