Index Level :,Price
Currency :,USD


Date,BOTSWANA Standard (Large+Mid Cap) None
"Nov 25, 2008","1,000.000"
"Nov 26, 2008",999.603
"Nov 27, 2008",992.844
"Nov 28, 2008",967.221
"Dec 01, 2008",954.395
"Dec 02, 2008",944.085
"Dec 03, 2008",940.943
"Dec 04, 2008",937.903
"Dec 05, 2008",939.423
"Dec 08, 2008",927.714
"Dec 09, 2008",921.128
"Dec 10, 2008",908.735
"Dec 11, 2008",912.455
"Dec 12, 2008",834.241
"Dec 15, 2008",832.031
"Dec 16, 2008",815.908
"Dec 17, 2008",822.393
"Dec 18, 2008",837.756
"Dec 19, 2008",838.029
"Dec 22, 2008",826.566
"Dec 23, 2008",826.099
"Dec 24, 2008",821.798
"Dec 25, 2008",821.798
"Dec 26, 2008",821.798
"Dec 29, 2008",826.833
"Dec 30, 2008",828.722
"Dec 31, 2008",833.128
"Jan 01, 2009",833.128
"Jan 02, 2009",835.961
"Jan 05, 2009",824.316
"Jan 06, 2009",849.286
"Jan 07, 2009",861.369
"Jan 08, 2009",848.720
"Jan 09, 2009",850.685
"Jan 12, 2009",829.066
"Jan 13, 2009",842.904
"Jan 14, 2009",841.901
"Jan 15, 2009",831.077
"Jan 16, 2009",848.045
"Jan 19, 2009",831.297
"Jan 20, 2009",814.459
"Jan 21, 2009",814.544
"Jan 22, 2009",825.743
"Jan 23, 2009",806.969
"Jan 26, 2009",818.497
"Jan 27, 2009",829.037
"Jan 28, 2009",835.624
"Jan 29, 2009",833.670
"Jan 30, 2009",813.938
"Feb 02, 2009",810.776
"Feb 03, 2009",816.068
"Feb 04, 2009",816.722
"Feb 05, 2009",816.810
"Feb 06, 2009",808.427
"Feb 09, 2009",825.059
"Feb 10, 2009",819.884
"Feb 11, 2009",793.265
"Feb 12, 2009",784.766
"Feb 13, 2009",779.120
"Feb 16, 2009",769.089
"Feb 17, 2009",755.381
"Feb 18, 2009",734.901
"Feb 19, 2009",746.230
"Feb 20, 2009",736.094
"Feb 23, 2009",746.827
"Feb 24, 2009",741.460
"Feb 25, 2009",742.439
"Feb 26, 2009",743.032
"Feb 27, 2009",743.329
"Mar 02, 2009",724.034
"Mar 03, 2009",725.221
"Mar 04, 2009",717.206
"Mar 05, 2009",715.425
"Mar 06, 2009",716.909
"Mar 09, 2009",719.581
"Mar 10, 2009",720.444
"Mar 11, 2009",731.085
"Mar 12, 2009",734.937
"Mar 13, 2009",742.642
"Mar 16, 2009",745.013
"Mar 17, 2009",738.402
"Mar 18, 2009",742.522
"Mar 19, 2009",762.535
"Mar 20, 2009",756.649
"Mar 23, 2009",765.401
"Mar 24, 2009",763.049
"Mar 25, 2009",756.206
"Mar 26, 2009",754.879
"Mar 27, 2009",742.500
"Mar 30, 2009",732.711
"Mar 31, 2009",746.242
"Apr 01, 2009",746.083
"Apr 02, 2009",752.676
"Apr 03, 2009",759.555
"Apr 06, 2009",767.007
"Apr 07, 2009",756.402
"Apr 08, 2009",746.569
"Apr 09, 2009",754.204
"Apr 10, 2009",754.204
"Apr 13, 2009",754.204
"Apr 14, 2009",759.022
"Apr 15, 2009",749.942
"Apr 16, 2009",762.441
"Apr 17, 2009",760.169
"Apr 20, 2009",751.647
"Apr 21, 2009",754.457
"Apr 22, 2009",759.022
"Apr 23, 2009",763.588
"Apr 24, 2009",771.292
"Apr 27, 2009",768.724
"Apr 28, 2009",773.290
"Apr 29, 2009",784.989
"Apr 30, 2009",776.948
"May 01, 2009",776.948
"May 04, 2009",787.082
"May 05, 2009",788.771
"May 06, 2009",780.889
"May 07, 2009",788.208
"May 08, 2009",784.830
"May 11, 2009",784.267
"May 12, 2009",785.393
"May 13, 2009",781.452
"May 14, 2009",784.674
"May 15, 2009",784.674
"May 18, 2009",784.103
"May 19, 2009",791.522
"May 20, 2009",797.228
"May 21, 2009",797.228
"May 22, 2009",809.783
"May 25, 2009",805.218
"May 26, 2009",803.506
"May 27, 2009",809.783
"May 28, 2009",816.631
"May 29, 2009",832.326
"Jun 01, 2009",832.899
"Jun 02, 2009",827.740
"Jun 03, 2009",837.221
"Jun 04, 2009",837.802
"Jun 05, 2009",837.802
"Jun 08, 2009",825.609
"Jun 09, 2009",825.451
"Jun 10, 2009",827.178
"Jun 11, 2009",826.603
"Jun 12, 2009",828.330
"Jun 15, 2009",826.027
"Jun 16, 2009",830.056
"Jun 17, 2009",826.027
"Jun 18, 2009",825.451
"Jun 19, 2009",820.815
"Jun 22, 2009",818.516
"Jun 23, 2009",817.941
"Jun 24, 2009",848.939
"Jun 25, 2009",843.633
"Jun 26, 2009",857.192
"Jun 29, 2009",863.642
"Jun 30, 2009",881.011
"Jul 01, 2009",881.011
"Jul 02, 2009",872.069
"Jul 03, 2009",865.512
"Jul 06, 2009",862.006
"Jul 07, 2009",872.895
"Jul 08, 2009",858.412
"Jul 09, 2009",865.050
"Jul 10, 2009",866.453
"Jul 13, 2009",864.315
"Jul 14, 2009",865.537
"Jul 15, 2009",871.378
"Jul 16, 2009",875.648
"Jul 17, 2009",874.733
"Jul 20, 2009",874.733
"Jul 21, 2009",874.123
"Jul 22, 2009",896.693
"Jul 23, 2009",902.793
"Jul 24, 2009",907.219
"Jul 27, 2009",919.923
"Jul 28, 2009",916.175
"Jul 29, 2009",908.366
"Jul 30, 2009",926.035
"Jul 31, 2009",923.191
"Aug 03, 2009",942.588
"Aug 04, 2009",938.112
"Aug 05, 2009",929.798
"Aug 06, 2009",935.987
"Aug 07, 2009",932.752
"Aug 10, 2009",927.901
"Aug 11, 2009",931.604
"Aug 12, 2009",932.586
"Aug 13, 2009",945.343
"Aug 14, 2009",940.109
"Aug 17, 2009",937.518
"Aug 18, 2009",942.449
"Aug 19, 2009",951.020
"Aug 20, 2009",960.992
"Aug 21, 2009",973.956
"Aug 24, 2009",984.417
"Aug 25, 2009",987.442
"Aug 26, 2009","1,002.227"
"Aug 27, 2009","1,000.166"
"Aug 28, 2009","1,009.096"
"Aug 31, 2009",994.555
"Sep 01, 2009","1,017.544"
"Sep 02, 2009","1,010.610"
"Sep 03, 2009","1,018.931"
"Sep 04, 2009","1,024.478"
"Sep 07, 2009","1,042.375"
"Sep 08, 2009","1,042.678"
"Sep 09, 2009","1,046.514"
"Sep 10, 2009","1,043.376"
"Sep 11, 2009","1,044.771"
"Sep 14, 2009","1,050.350"
"Sep 15, 2009","1,069.555"
"Sep 16, 2009","1,073.432"
