Index Level :,Price
Currency :,USD


Date,BRAZIL Standard (Large+Mid Cap) None
"Jan 29, 1993",249.074
"Feb 26, 1993",297.434
"Mar 31, 1993",305.627
"Apr 30, 1993",302.017
"May 31, 1993",339.535
"Jun 30, 1993",381.307
"Jul 30, 1993",383.201
"Aug 31, 1993",409.602
"Sep 30, 1993",440.689
"Oct 29, 1993",406.957
"Nov 30, 1993",438.346
"Dec 31, 1993",448.352
"Jan 31, 1994",603.506
"Feb 28, 1994",620.723
"Mar 31, 1994",636.136
"Apr 29, 1994",499.932
"May 31, 1994",497.418
"Jun 30, 1994",508.218
"Jul 29, 1994",599.407
"Aug 31, 1994",812.428
"Sep 30, 1994",876.359
"Oct 31, 1994",811.467
"Nov 30, 1994",778.736
"Dec 30, 1994",734.482
"Jan 31, 1995",670.867
"Feb 28, 1995",570.011
"Mar 31, 1995",493.067
"Apr 28, 1995",588.602
"May 31, 1995",587.039
"Jun 30, 1995",571.848
"Jul 31, 1995",592.041
"Aug 31, 1995",621.309
"Sep 29, 1995",652.461
"Oct 31, 1995",591.472
"Nov 30, 1995",589.670
"Dec 29, 1995",578.125
"Jan 31, 1996",677.360
"Feb 29, 1996",646.290
"Mar 29, 1996",635.134
"Apr 30, 1996",641.793
"May 31, 1996",690.596
"Jun 28, 1996",723.947
"Jul 31, 1996",715.099
"Aug 30, 1996",727.110
"Sep 30, 1996",740.658
"Oct 31, 1996",759.698
"Nov 29, 1996",760.259
"Dec 31, 1996",797.876
"Jan 31, 1997",888.996
"Feb 28, 1997",979.416
"Mar 31, 1997",965.121
"Apr 30, 1997","1,031.910"
"May 30, 1997","1,096.650"
"Jun 30, 1997","1,206.239"
"Jul 31, 1997","1,238.568"
"Aug 29, 1997","1,047.016"
"Sep 30, 1997","1,159.204"
"Oct 31, 1997",879.017
"Nov 28, 1997",905.017
"Dec 31, 1997",984.389
"Jan 30, 1998",899.387
"Feb 27, 1998",967.721
"Mar 31, 1998","1,048.174"
"Apr 30, 1998","1,002.236"
"May 29, 1998",843.702
"Jun 30, 1998",811.141
"Jul 31, 1998",881.203
"Aug 31, 1998",537.505
"Sep 30, 1998",557.125
"Oct 30, 1998",578.899
"Nov 30, 1998",679.160
"Dec 31, 1998",550.538
"Jan 29, 1999",393.294
"Feb 26, 1999",421.328
"Mar 31, 1999",575.128
"Apr 30, 1999",641.694
"May 31, 1999",615.335
"Jun 30, 1999",640.077
"Jul 30, 1999",575.599
"Aug 31, 1999",553.133
"Sep 30, 1999",577.792
"Oct 29, 1999",597.471
"Nov 30, 1999",709.674
"Dec 31, 1999",889.491
"Jan 31, 2000",839.651
"Feb 29, 2000",874.469
"Mar 31, 2000",906.675
"Apr 28, 2000",785.597
"May 31, 2000",773.162
"Jun 30, 2000",867.148
"Jul 31, 2000",857.521
"Aug 31, 2000",876.944
"Sep 29, 2000",820.394
"Oct 31, 2000",756.136
"Nov 30, 2000",671.093
"Dec 29, 2000",763.190
"Jan 31, 2001",852.389
"Feb 28, 2001",764.306
"Mar 30, 2001",671.354
"Apr 30, 2001",697.520
"May 31, 2001",659.967
"Jun 29, 2001",647.541
"Jul 31, 2001",598.218
"Aug 31, 2001",545.615
"Sep 28, 2001",454.247
"Oct 31, 2001",479.242
"Nov 30, 2001",524.760
"Dec 31, 2001",597.056
"Jan 31, 2002",555.724
"Feb 28, 2002",634.819
"Mar 29, 2002",627.136
"Apr 30, 2002",617.652
"May 30, 2002",582.981
"May 31, 2002",570.145
"Jun 03, 2002",566.289
"Jun 04, 2002",564.295
"Jun 05, 2002",552.732
"Jun 06, 2002",531.031
"Jun 07, 2002",522.468
"Jun 10, 2002",542.666
"Jun 11, 2002",529.836
"Jun 12, 2002",507.852
"Jun 13, 2002",508.345
"Jun 14, 2002",491.363
"Jun 17, 2002",505.732
"Jun 18, 2002",506.405
"Jun 19, 2002",489.548
"Jun 20, 2002",457.985
"Jun 21, 2002",431.489
"Jun 24, 2002",433.709
"Jun 25, 2002",451.671
"Jun 26, 2002",448.417
"Jun 27, 2002",459.624
"Jun 28, 2002",464.667
"Jul 01, 2002",459.494
"Jul 02, 2002",448.159
"Jul 03, 2002",449.105
"Jul 04, 2002",454.905
"Jul 05, 2002",444.584
"Jul 08, 2002",447.943
"Jul 09, 2002",450.141
"Jul 10, 2002",443.985
"Jul 11, 2002",449.192
"Jul 12, 2002",458.944
"Jul 15, 2002",443.906
"Jul 16, 2002",442.865
"Jul 17, 2002",447.464
"Jul 18, 2002",447.492
"Jul 19, 2002",444.252
"Jul 22, 2002",417.495
"Jul 23, 2002",404.170
"Jul 24, 2002",407.657
"Jul 25, 2002",387.695
"Jul 26, 2002",366.982
"Jul 29, 2002",358.472
"Jul 30, 2002",343.553
"Jul 31, 2002",329.247
"Aug 01, 2002",346.553
"Aug 02, 2002",395.357
"Aug 05, 2002",377.503
"Aug 06, 2002",365.448
"Aug 07, 2002",386.392
"Aug 08, 2002",428.426
"Aug 09, 2002",410.568
"Aug 12, 2002",388.166
"Aug 13, 2002",363.189
"Aug 14, 2002",359.735
"Aug 15, 2002",354.886
"Aug 16, 2002",366.362
"Aug 19, 2002",369.732
"Aug 20, 2002",368.105
"Aug 21, 2002",372.701
"Aug 22, 2002",374.644
"Aug 23, 2002",377.187
"Aug 26, 2002",394.684
"Aug 27, 2002",404.813
"Aug 28, 2002",395.347
"Aug 29, 2002",391.896
"Aug 30, 2002",404.180
"Sep 02, 2002",404.974
"Sep 03, 2002",394.657
"Sep 04, 2002",389.224
"Sep 05, 2002",382.564
"Sep 06, 2002",379.994
"Sep 09, 2002",389.859
"Sep 10, 2002",395.475
"Sep 11, 2002",404.882
"Sep 12, 2002",400.247
"Sep 13, 2002",399.593
"Sep 16, 2002",385.085
"Sep 17, 2002",372.826
"Sep 18, 2002",355.976
"Sep 19, 2002",347.383
"Sep 20, 2002",345.827
"Sep 23, 2002",330.515
"Sep 24, 2002",323.682
"Sep 25, 2002",307.596
"Sep 26, 2002",308.740
"Sep 27, 2002",288.271
"Sep 30, 2002",281.773
"Oct 01, 2002",303.282
"Oct 02, 2002",314.573
"Oct 03, 2002",315.211
"Oct 04, 2002",318.779
"Oct 07, 2002",308.765
"Oct 08, 2002",305.582
"Oct 09, 2002",289.703
"Oct 10, 2002",290.698
"Oct 11, 2002",285.723
"Oct 14, 2002",279.705
"Oct 15, 2002",280.502
"Oct 16, 2002",278.819
