Index Level :,Price
Currency :,USD


Date,BULGARIA Standard (Large+Mid Cap) None
"May 31, 2005",611.406
"Jun 01, 2005",585.782
"Jun 02, 2005",586.675
"Jun 03, 2005",576.081
"Jun 06, 2005",569.273
"Jun 07, 2005",568.630
"Jun 08, 2005",574.905
"Jun 09, 2005",566.163
"Jun 10, 2005",563.802
"Jun 13, 2005",565.117
"Jun 14, 2005",569.349
"Jun 15, 2005",567.571
"Jun 16, 2005",567.585
"Jun 17, 2005",575.107
"Jun 20, 2005",558.587
"Jun 21, 2005",546.508
"Jun 22, 2005",543.182
"Jun 23, 2005",544.267
"Jun 24, 2005",556.437
"Jun 27, 2005",564.395
"Jun 28, 2005",563.130
"Jun 29, 2005",571.621
"Jun 30, 2005",588.267
"Jul 01, 2005",575.905
"Jul 04, 2005",566.970
"Jul 05, 2005",571.776
"Jul 06, 2005",569.159
"Jul 07, 2005",561.376
"Jul 08, 2005",559.366
"Jul 11, 2005",564.357
"Jul 12, 2005",572.415
"Jul 13, 2005",573.580
"Jul 14, 2005",582.750
"Jul 15, 2005",585.209
"Jul 18, 2005",587.421
"Jul 19, 2005",577.370
"Jul 20, 2005",570.720
"Jul 21, 2005",580.181
"Jul 22, 2005",584.711
"Jul 25, 2005",569.045
"Jul 26, 2005",585.688
"Jul 27, 2005",591.088
"Jul 28, 2005",593.275
"Jul 29, 2005",595.445
"Aug 01, 2005",592.673
"Aug 02, 2005",591.921
"Aug 03, 2005",601.799
"Aug 04, 2005",608.246
"Aug 05, 2005",609.793
"Aug 08, 2005",605.144
"Aug 09, 2005",604.973
"Aug 10, 2005",602.239
"Aug 11, 2005",604.202
"Aug 12, 2005",602.448
"Aug 15, 2005",603.511
"Aug 16, 2005",595.617
"Aug 17, 2005",585.132
"Aug 18, 2005",577.694
"Aug 19, 2005",568.566
"Aug 22, 2005",572.099
"Aug 23, 2005",575.400
"Aug 24, 2005",580.662
"Aug 25, 2005",583.767
"Aug 26, 2005",588.968
"Aug 29, 2005",589.263
"Aug 30, 2005",577.733
"Aug 31, 2005",594.425
"Sep 01, 2005",599.871
"Sep 02, 2005",604.608
"Sep 05, 2005",603.254
"Sep 06, 2005",601.560
"Sep 07, 2005",598.951
"Sep 08, 2005",597.915
"Sep 09, 2005",598.866
"Sep 12, 2005",593.510
"Sep 13, 2005",593.486
"Sep 14, 2005",593.609
"Sep 15, 2005",589.294
"Sep 16, 2005",597.965
"Sep 19, 2005",590.521
"Sep 20, 2005",586.226
"Sep 21, 2005",594.301
"Sep 22, 2005",590.352
"Sep 23, 2005",586.637
"Sep 26, 2005",576.947
"Sep 27, 2005",582.869
"Sep 28, 2005",583.199
"Sep 29, 2005",583.620
"Sep 30, 2005",582.006
"Oct 03, 2005",567.957
"Oct 04, 2005",563.235
"Oct 05, 2005",559.899
"Oct 06, 2005",576.676
"Oct 07, 2005",573.432
"Oct 10, 2005",584.418
"Oct 11, 2005",572.085
"Oct 12, 2005",572.366
"Oct 13, 2005",561.539
"Oct 14, 2005",577.461
"Oct 17, 2005",564.310
"Oct 18, 2005",558.408
"Oct 19, 2005",562.050
"Oct 20, 2005",557.729
"Oct 21, 2005",562.777
"Oct 24, 2005",546.777
"Oct 25, 2005",547.207
"Oct 26, 2005",545.103
"Oct 27, 2005",548.446
"Oct 28, 2005",543.543
"Oct 31, 2005",566.793
"Nov 01, 2005",546.951
"Nov 02, 2005",556.813
"Nov 03, 2005",549.638
"Nov 04, 2005",540.813
"Nov 07, 2005",542.985
"Nov 08, 2005",534.660
"Nov 09, 2005",538.144
"Nov 10, 2005",542.586
"Nov 11, 2005",542.221
"Nov 14, 2005",542.603
"Nov 15, 2005",537.146
"Nov 16, 2005",535.915
"Nov 17, 2005",538.430
"Nov 18, 2005",541.022
"Nov 21, 2005",540.314
"Nov 22, 2005",539.934
"Nov 23, 2005",543.168
"Nov 24, 2005",542.939
"Nov 25, 2005",534.670
"Nov 28, 2005",534.000
"Nov 29, 2005",532.530
"Nov 30, 2005",532.814
"Dec 01, 2005",525.163
"Dec 02, 2005",524.944
"Dec 05, 2005",530.260
"Dec 06, 2005",527.925
"Dec 07, 2005",523.776
"Dec 08, 2005",526.388
"Dec 09, 2005",528.990
"Dec 12, 2005",525.725
"Dec 13, 2005",521.969
"Dec 14, 2005",523.854
"Dec 15, 2005",515.216
"Dec 16, 2005",521.358
"Dec 19, 2005",528.348
"Dec 20, 2005",523.501
"Dec 21, 2005",517.827
"Dec 22, 2005",519.873
"Dec 23, 2005",518.773
"Dec 26, 2005",518.773
"Dec 27, 2005",522.194
"Dec 28, 2005",528.555
"Dec 29, 2005",525.450
"Dec 30, 2005",523.264
"Jan 02, 2006",523.264
"Jan 03, 2006",531.371
"Jan 04, 2006",527.676
"Jan 05, 2006",527.040
"Jan 06, 2006",532.966
"Jan 09, 2006",527.033
"Jan 10, 2006",529.003
"Jan 11, 2006",534.535
"Jan 12, 2006",532.566
"Jan 13, 2006",539.852
"Jan 16, 2006",541.809
"Jan 17, 2006",550.947
"Jan 18, 2006",552.407
"Jan 19, 2006",552.796
"Jan 20, 2006",551.543
"Jan 23, 2006",560.174
"Jan 24, 2006",557.760
"Jan 25, 2006",561.674
"Jan 26, 2006",561.681
"Jan 27, 2006",554.757
"Jan 30, 2006",549.549
"Jan 31, 2006",571.336
"Feb 01, 2006",558.212
"Feb 02, 2006",560.890
"Feb 03, 2006",553.968
"Feb 06, 2006",558.714
"Feb 07, 2006",551.961
"Feb 08, 2006",551.605
"Feb 09, 2006",552.446
"Feb 10, 2006",551.153
"Feb 13, 2006",562.058
"Feb 14, 2006",558.800
"Feb 15, 2006",554.774
"Feb 16, 2006",559.668
"Feb 17, 2006",560.138
"Feb 20, 2006",561.386
"Feb 21, 2006",560.503
"Feb 22, 2006",562.427
"Feb 23, 2006",559.309
"Feb 24, 2006",557.142
"Feb 27, 2006",558.243
"Feb 28, 2006",573.417
"Mar 01, 2006",572.786
"Mar 02, 2006",565.492
"Mar 03, 2006",566.881
"Mar 06, 2006",576.739
"Mar 07, 2006",569.646
"Mar 08, 2006",574.164
"Mar 09, 2006",571.658
"Mar 10, 2006",569.456
"Mar 13, 2006",577.908
"Mar 14, 2006",579.064
"Mar 15, 2006",578.674
"Mar 16, 2006",585.979
"Mar 17, 2006",583.852
"Mar 20, 2006",582.338
"Mar 21, 2006",577.760
"Mar 22, 2006",574.763
