Index Level :,Price
Currency :,USD


Date,CANADA Standard (Large+Mid Cap) None
"Jan 29, 1993",310.918
"Feb 26, 1993",327.562
"Mar 31, 1993",335.680
"Apr 30, 1993",346.819
"May 31, 1993",351.160
"Jun 30, 1993",348.012
"Jul 30, 1993",344.837
"Aug 31, 1993",346.748
"Sep 30, 1993",329.075
"Oct 29, 1993",359.245
"Nov 30, 1993",350.387
"Dec 31, 1993",365.706
"Jan 31, 1994",388.189
"Feb 28, 1994",368.666
"Mar 31, 1994",352.107
"Apr 29, 1994",347.598
"May 31, 1994",351.219
"Jun 30, 1994",327.887
"Jul 29, 1994",342.413
"Aug 31, 1994",361.189
"Sep 30, 1994",368.628
"Oct 31, 1994",363.414
"Nov 30, 1994",342.660
"Dec 30, 1994",347.913
"Jan 31, 1995",329.552
"Feb 28, 1995",347.087
"Mar 31, 1995",361.233
"Apr 28, 1995",366.908
"May 31, 1995",381.547
"Jun 30, 1995",387.466
"Jul 31, 1995",393.724
"Aug 31, 1995",393.354
"Sep 29, 1995",390.899
"Oct 31, 1995",386.964
"Nov 30, 1995",400.728
"Dec 29, 1995",403.869
"Jan 31, 1996",424.193
"Feb 29, 1996",419.777
"Mar 29, 1996",427.349
"Apr 30, 1996",444.308
"May 31, 1996",450.680
"Jun 28, 1996",437.667
"Jul 31, 1996",423.623
"Aug 30, 1996",441.890
"Sep 30, 1996",458.754
"Oct 31, 1996",493.986
"Nov 29, 1996",529.263
"Dec 31, 1996",510.336
"Jan 31, 1997",534.742
"Feb 28, 1997",529.824
"Mar 31, 1997",502.551
"Apr 30, 1997",513.676
"May 30, 1997",555.939
"Jun 30, 1997",565.055
"Jul 31, 1997",601.137
"Aug 29, 1997",568.779
"Sep 30, 1997",601.274
"Oct 31, 1997",572.182
"Nov 28, 1997",554.135
"Dec 31, 1997",567.474
"Jan 30, 1998",556.666
"Feb 27, 1998",603.205
"Mar 31, 1998",647.976
"Apr 30, 1998",650.422
"May 29, 1998",641.873
"Jun 30, 1998",615.338
"Jul 31, 1998",570.920
"Aug 31, 1998",445.818
"Sep 30, 1998",456.688
"Oct 30, 1998",502.292
"Nov 30, 1998",520.088
"Dec 31, 1998",525.256
"Jan 29, 1999",568.119
"Feb 26, 1999",535.063
"Mar 31, 1999",556.435
"Apr 30, 1999",612.350
"May 31, 1999",594.825
"Jun 30, 1999",618.927
"Jul 30, 1999",622.717
"Aug 31, 1999",611.965
"Sep 30, 1999",628.967
"Oct 29, 1999",670.598
"Nov 30, 1999",696.920
"Dec 31, 1999",797.237
"Jan 31, 2000",798.987
"Feb 29, 2000",845.978
"Mar 31, 2000",920.876
"Apr 28, 2000",886.388
"May 31, 2000",869.016
"Jun 30, 2000",977.550
"Jul 31, 2000","1,006.547"
"Aug 31, 2000","1,094.332"
"Sep 29, 2000",983.099
"Oct 31, 2000",896.481
"Nov 30, 2000",815.414
"Dec 29, 2000",832.472
"Jan 31, 2001",872.675
"Feb 28, 2001",732.978
"Mar 30, 2001",664.803
"Apr 30, 2001",711.913
"May 31, 2001",724.231
"Jun 29, 2001",695.268
"Jul 31, 2001",691.687
"Aug 31, 2001",653.155
"Sep 28, 2001",591.297
"Oct 31, 2001",591.490
"Nov 30, 2001",645.058
"Dec 31, 2001",654.206
"Jan 31, 2002",648.827
"Feb 28, 2002",641.326
"Mar 29, 2002",663.197
"Apr 30, 2002",657.639
"May 30, 2002",663.233
"May 31, 2002",670.956
"Jun 03, 2002",665.100
"Jun 04, 2002",661.298
"Jun 05, 2002",656.137
"Jun 06, 2002",653.453
"Jun 07, 2002",652.575
"Jun 10, 2002",650.108
"Jun 11, 2002",643.670
"Jun 12, 2002",641.477
"Jun 13, 2002",635.227
"Jun 14, 2002",627.932
"Jun 17, 2002",640.754
"Jun 18, 2002",639.117
"Jun 19, 2002",634.929
"Jun 20, 2002",635.048
"Jun 21, 2002",629.261
"Jun 24, 2002",631.635
"Jun 25, 2002",630.864
"Jun 26, 2002",620.870
"Jun 27, 2002",628.920
"Jun 28, 2002",631.754
"Jul 01, 2002",632.795
"Jul 02, 2002",617.901
"Jul 03, 2002",616.182
"Jul 04, 2002",616.588
"Jul 05, 2002",627.470
"Jul 08, 2002",627.296
"Jul 09, 2002",622.884
"Jul 10, 2002",609.303
"Jul 11, 2002",603.130
"Jul 12, 2002",596.306
"Jul 15, 2002",581.591
"Jul 16, 2002",584.914
"Jul 17, 2002",581.874
"Jul 18, 2002",581.815
"Jul 19, 2002",568.873
"Jul 22, 2002",547.539
"Jul 23, 2002",520.705
"Jul 24, 2002",541.945
"Jul 25, 2002",536.685
"Jul 26, 2002",538.419
"Jul 29, 2002",555.968
"Jul 30, 2002",557.514
"Jul 31, 2002",560.110
"Aug 01, 2002",554.521
"Aug 02, 2002",550.753
"Aug 05, 2002",548.769
"Aug 06, 2002",547.385
"Aug 07, 2002",548.435
"Aug 08, 2002",561.319
"Aug 09, 2002",567.388
"Aug 12, 2002",559.674
"Aug 13, 2002",557.385
"Aug 14, 2002",562.704
"Aug 15, 2002",563.247
"Aug 16, 2002",563.793
"Aug 19, 2002",570.608
"Aug 20, 2002",567.605
"Aug 21, 2002",573.629
"Aug 22, 2002",582.603
"Aug 23, 2002",570.320
"Aug 26, 2002",577.308
"Aug 27, 2002",572.945
"Aug 28, 2002",565.078
"Aug 29, 2002",563.408
"Aug 30, 2002",566.383
"Sep 02, 2002",568.040
"Sep 03, 2002",553.859
"Sep 04, 2002",556.834
"Sep 05, 2002",551.014
"Sep 06, 2002",552.085
"Sep 09, 2002",557.024
"Sep 10, 2002",557.887
"Sep 11, 2002",562.461
"Sep 12, 2002",550.133
"Sep 13, 2002",548.064
"Sep 16, 2002",549.810
"Sep 17, 2002",540.506
"Sep 18, 2002",530.085
"Sep 19, 2002",523.908
"Sep 20, 2002",525.115
"Sep 23, 2002",511.041
"Sep 24, 2002",509.876
"Sep 25, 2002",521.263
"Sep 26, 2002",524.089
"Sep 27, 2002",516.301
"Sep 30, 2002",519.808
"Oct 01, 2002",523.756
"Oct 02, 2002",513.434
"Oct 03, 2002",504.741
"Oct 04, 2002",497.075
"Oct 07, 2002",489.155
"Oct 08, 2002",490.948
"Oct 09, 2002",478.991
"Oct 10, 2002",490.196
"Oct 11, 2002",505.086
"Oct 14, 2002",506.074
"Oct 15, 2002",528.272
"Oct 16, 2002",523.111
"Oct 17, 2002",537.153
