Index Level :,Price
Currency :,USD


Date,CHILE Standard (Large+Mid Cap) None
"Jan 29, 1993",582.404
"Feb 26, 1993",548.107
"Mar 31, 1993",505.996
"Apr 30, 1993",473.183
"May 31, 1993",474.457
"Jun 30, 1993",522.202
"Jul 30, 1993",521.887
"Aug 31, 1993",544.508
"Sep 30, 1993",556.113
"Oct 29, 1993",579.723
"Nov 30, 1993",596.447
"Dec 31, 1993",681.574
"Jan 31, 1994",797.914
"Feb 28, 1994",793.886
"Mar 31, 1994",688.961
"Apr 29, 1994",733.128
"May 31, 1994",803.473
"Jun 30, 1994",780.755
"Jul 29, 1994",776.021
"Aug 31, 1994",877.386
"Sep 30, 1994",926.643
"Oct 31, 1994","1,024.543"
"Nov 30, 1994",981.297
"Dec 30, 1994",962.169
"Jan 31, 1995",925.800
"Feb 28, 1995",891.281
"Mar 31, 1995",890.441
"Apr 28, 1995",968.453
"May 31, 1995","1,057.834"
"Jun 30, 1995","1,081.387"
"Jul 31, 1995","1,017.258"
"Aug 31, 1995",945.026
"Sep 29, 1995",918.680
"Oct 31, 1995",894.430
"Nov 30, 1995",849.522
"Dec 29, 1995",902.833
"Jan 31, 1996",865.760
"Feb 29, 1996",854.217
"Mar 29, 1996",822.422
"Apr 30, 1996",873.666
"May 31, 1996",856.989
"Jun 28, 1996",898.950
"Jul 31, 1996",883.630
"Aug 30, 1996",853.742
"Sep 30, 1996",867.002
"Oct 31, 1996",848.491
"Nov 29, 1996",794.822
"Dec 31, 1996",754.477
"Jan 31, 1997",831.956
"Feb 28, 1997",875.931
"Mar 31, 1997",849.167
"Apr 30, 1997",876.625
"May 30, 1997",950.485
"Jun 30, 1997",978.665
"Jul 31, 1997",985.351
"Aug 29, 1997",932.902
"Sep 30, 1997",942.183
"Oct 31, 1997",845.930
"Nov 28, 1997",782.903
"Dec 31, 1997",769.729
"Jan 30, 1998",655.571
"Feb 27, 1998",721.513
"Mar 31, 1998",770.457
"Apr 30, 1998",716.319
"May 29, 1998",649.300
"Jun 30, 1998",593.826
"Jul 31, 1998",630.039
"Aug 31, 1998",446.648
"Sep 30, 1998",474.648
"Oct 30, 1998",511.947
"Nov 30, 1998",594.698
"Dec 31, 1998",533.797
"Jan 29, 1999",519.747
"Feb 26, 1999",543.363
"Mar 31, 1999",618.294
"Apr 30, 1999",663.480
"May 31, 1999",640.810
"Jun 30, 1999",677.530
"Jul 30, 1999",675.823
"Aug 31, 1999",664.280
"Sep 30, 1999",635.759
"Oct 29, 1999",612.021
"Nov 30, 1999",669.875
"Dec 31, 1999",728.373
"Jan 31, 2000",762.559
"Feb 29, 2000",739.604
"Mar 31, 2000",736.080
"Apr 28, 2000",682.939
"May 31, 2000",692.844
"Jun 30, 2000",666.772
"Jul 31, 2000",637.330
"Aug 31, 2000",647.589
"Sep 29, 2000",632.810
"Oct 31, 2000",606.846
"Nov 30, 2000",604.397
"Dec 29, 2000",604.718
"Jan 31, 2001",656.190
"Feb 28, 2001",606.092
"Mar 30, 2001",587.721
"Apr 30, 2001",617.762
"May 31, 2001",662.343
"Jun 29, 2001",618.620
"Jul 31, 2001",589.144
"Aug 31, 2001",610.566
"Sep 28, 2001",502.518
"Oct 31, 2001",505.164
"Nov 30, 2001",552.701
"Dec 31, 2001",568.697
"Jan 31, 2002",540.306
"Feb 28, 2002",542.752
"Mar 29, 2002",561.632
"Apr 30, 2002",556.522
"May 30, 2002",525.118
"May 31, 2002",521.858
"Jun 03, 2002",519.239
"Jun 04, 2002",510.062
"Jun 05, 2002",507.185
"Jun 06, 2002",504.442
"Jun 07, 2002",504.113
"Jun 10, 2002",508.406
"Jun 11, 2002",499.974
"Jun 12, 2002",493.300
"Jun 13, 2002",495.532
"Jun 14, 2002",497.514
"Jun 17, 2002",505.205
"Jun 18, 2002",505.290
"Jun 19, 2002",494.533
"Jun 20, 2002",483.439
"Jun 21, 2002",472.812
"Jun 24, 2002",470.605
"Jun 25, 2002",475.661
"Jun 26, 2002",460.147
"Jun 27, 2002",467.072
"Jun 28, 2002",471.193
"Jul 01, 2002",468.189
"Jul 02, 2002",458.841
"Jul 03, 2002",451.194
"Jul 04, 2002",457.938
"Jul 05, 2002",461.614
"Jul 08, 2002",456.669
"Jul 09, 2002",450.608
"Jul 10, 2002",446.454
"Jul 11, 2002",444.698
"Jul 12, 2002",448.126
"Jul 15, 2002",436.850
"Jul 16, 2002",434.153
"Jul 17, 2002",436.998
"Jul 18, 2002",442.830
"Jul 19, 2002",445.694
"Jul 22, 2002",438.177
"Jul 23, 2002",433.740
"Jul 24, 2002",436.856
"Jul 25, 2002",434.046
"Jul 26, 2002",439.427
"Jul 29, 2002",452.259
"Jul 30, 2002",459.738
"Jul 31, 2002",461.550
"Aug 01, 2002",456.286
"Aug 02, 2002",460.609
"Aug 05, 2002",451.950
"Aug 06, 2002",458.095
"Aug 07, 2002",470.700
"Aug 08, 2002",483.788
"Aug 09, 2002",474.812
"Aug 12, 2002",467.638
"Aug 13, 2002",465.668
"Aug 14, 2002",469.412
"Aug 15, 2002",469.008
"Aug 16, 2002",471.932
"Aug 19, 2002",474.143
"Aug 20, 2002",468.026
"Aug 21, 2002",464.713
"Aug 22, 2002",465.881
"Aug 23, 2002",462.313
"Aug 26, 2002",461.289
"Aug 27, 2002",457.526
"Aug 28, 2002",448.916
"Aug 29, 2002",449.544
"Aug 30, 2002",453.207
"Sep 02, 2002",450.056
"Sep 03, 2002",442.464
"Sep 04, 2002",441.582
"Sep 05, 2002",435.079
"Sep 06, 2002",437.821
"Sep 09, 2002",442.918
"Sep 10, 2002",443.575
"Sep 11, 2002",443.858
"Sep 12, 2002",437.966
"Sep 13, 2002",435.322
"Sep 16, 2002",429.706
"Sep 17, 2002",427.604
"Sep 18, 2002",427.252
"Sep 19, 2002",427.252
"Sep 20, 2002",414.424
"Sep 23, 2002",399.467
"Sep 24, 2002",394.624
"Sep 25, 2002",400.690
"Sep 26, 2002",404.408
"Sep 27, 2002",397.651
"Sep 30, 2002",392.618
"Oct 01, 2002",399.776
"Oct 02, 2002",398.009
"Oct 03, 2002",398.578
"Oct 04, 2002",401.463
"Oct 07, 2002",392.422
"Oct 08, 2002",390.198
"Oct 09, 2002",378.872
"Oct 10, 2002",378.973
"Oct 11, 2002",389.055
"Oct 14, 2002",385.674
"Oct 15, 2002",384.682
"Oct 16, 2002",378.864
"Oct 17, 2002",383.292
