Index Level :,Price
Currency :,USD


Date,CHINA Standard (Large+Mid Cap) None
"Jan 29, 1993",98.880
"Feb 26, 1993",108.816
"Mar 31, 1993",97.125
"Apr 30, 1993",91.770
"May 31, 1993",86.279
"Jun 30, 1993",82.250
"Jul 30, 1993",72.523
"Aug 31, 1993",84.815
"Sep 30, 1993",90.507
"Oct 29, 1993",99.260
"Nov 30, 1993",107.438
"Dec 31, 1993",133.553
"Jan 31, 1994",115.802
"Feb 28, 1994",109.569
"Mar 31, 1994",89.573
"Apr 29, 1994",87.474
"May 31, 1994",91.303
"Jun 30, 1994",80.912
"Jul 29, 1994",90.359
"Aug 31, 1994",95.556
"Sep 30, 1994",96.533
"Oct 31, 1994",92.656
"Nov 30, 1994",80.567
"Dec 30, 1994",70.583
"Jan 31, 1995",60.828
"Feb 28, 1995",67.802
"Mar 31, 1995",67.912
"Apr 28, 1995",60.642
"May 31, 1995",70.329
"Jun 30, 1995",69.359
"Jul 31, 1995",72.819
"Aug 31, 1995",68.583
"Sep 29, 1995",65.454
"Oct 31, 1995",61.375
"Nov 30, 1995",57.003
"Dec 29, 1995",54.358
"Jan 31, 1996",62.677
"Feb 29, 1996",64.535
"Mar 29, 1996",61.567
"Apr 30, 1996",58.310
"May 31, 1996",60.629
"Jun 28, 1996",61.354
"Jul 31, 1996",58.895
"Aug 30, 1996",58.705
"Sep 30, 1996",58.025
"Oct 31, 1996",56.482
"Nov 29, 1996",63.003
"Dec 31, 1996",73.443
"Jan 31, 1997",71.812
"Feb 28, 1997",73.924
"Mar 31, 1997",71.787
"Apr 30, 1997",81.270
"May 30, 1997",79.475
"Jun 30, 1997",81.017
"Jul 31, 1997",91.990
"Aug 29, 1997",97.401
"Sep 30, 1997",81.203
"Oct 31, 1997",68.015
"Nov 28, 1997",55.704
"Dec 31, 1997",54.053
"Jan 30, 1998",40.304
"Feb 27, 1998",54.605
"Mar 31, 1998",53.090
"Apr 30, 1998",47.564
"May 29, 1998",40.953
"Jun 30, 1998",34.387
"Jul 31, 1998",28.166
"Aug 31, 1998",20.372
"Sep 30, 1998",29.166
"Oct 30, 1998",32.070
"Nov 30, 1998",33.089
"Dec 31, 1998",30.360
"Jan 29, 1999",24.717
"Feb 26, 1999",23.669
"Mar 31, 1999",26.704
"Apr 30, 1999",33.373
"May 31, 1999",32.940
"Jun 30, 1999",48.256
"Jul 30, 1999",42.229
"Aug 31, 1999",41.856
"Sep 30, 1999",40.123
"Oct 29, 1999",36.797
"Nov 30, 1999",36.095
"Dec 31, 1999",33.378
"Jan 31, 2000",31.921
"Feb 29, 2000",26.061
"Mar 31, 2000",26.587
"Apr 28, 2000",28.930
"May 31, 2000",29.162
"Jun 30, 2000",32.995
"Jul 31, 2000",32.369
"Aug 31, 2000",31.050
"Sep 29, 2000",27.181
"Oct 31, 2000",25.902
"Nov 30, 2000",22.450
"Dec 29, 2000",22.634
"Jan 31, 2001",25.915
"Feb 28, 2001",23.551
"Mar 30, 2001",19.721
"Apr 30, 2001",21.699
"May 31, 2001",22.118
"Jun 29, 2001",22.834
"Jul 31, 2001",19.741
"Aug 31, 2001",15.462
"Sep 28, 2001",14.839
"Oct 31, 2001",15.207
"Nov 30, 2001",16.685
"Dec 31, 2001",16.741
"Jan 31, 2002",15.164
"Feb 28, 2002",15.286
"Mar 29, 2002",16.131
"Apr 30, 2002",16.757
"May 30, 2002",17.019
"May 31, 2002",16.890
"Jun 03, 2002",16.950
"Jun 04, 2002",16.852
"Jun 05, 2002",17.017
"Jun 06, 2002",17.111
"Jun 07, 2002",17.004
"Jun 10, 2002",17.087
"Jun 11, 2002",17.013
"Jun 12, 2002",16.924
"Jun 13, 2002",17.028
"Jun 14, 2002",16.821
"Jun 17, 2002",16.518
"Jun 18, 2002",16.459
"Jun 19, 2002",16.064
"Jun 20, 2002",16.210
"Jun 21, 2002",16.121
"Jun 24, 2002",16.441
"Jun 25, 2002",16.276
"Jun 26, 2002",15.930
"Jun 27, 2002",16.112
"Jun 28, 2002",16.313
"Jul 01, 2002",16.310
"Jul 02, 2002",16.145
"Jul 03, 2002",16.390
"Jul 04, 2002",16.671
"Jul 05, 2002",16.660
"Jul 08, 2002",16.707
"Jul 09, 2002",16.715
"Jul 10, 2002",16.585
"Jul 11, 2002",16.393
"Jul 12, 2002",16.546
"Jul 15, 2002",16.407
"Jul 16, 2002",16.261
"Jul 17, 2002",16.003
"Jul 18, 2002",16.036
"Jul 19, 2002",15.763
"Jul 22, 2002",15.175
"Jul 23, 2002",15.490
"Jul 24, 2002",14.998
"Jul 25, 2002",14.918
"Jul 26, 2002",14.576
"Jul 29, 2002",14.820
"Jul 30, 2002",15.270
"Jul 31, 2002",15.550
"Aug 01, 2002",15.414
"Aug 02, 2002",15.095
"Aug 05, 2002",14.844
"Aug 06, 2002",14.535
"Aug 07, 2002",14.916
"Aug 08, 2002",14.950
"Aug 09, 2002",15.121
"Aug 12, 2002",15.013
"Aug 13, 2002",15.217
"Aug 14, 2002",15.068
"Aug 15, 2002",15.487
"Aug 16, 2002",15.505
"Aug 19, 2002",15.640
"Aug 20, 2002",15.775
"Aug 21, 2002",15.820
"Aug 22, 2002",15.872
"Aug 23, 2002",15.563
"Aug 26, 2002",15.553
"Aug 27, 2002",15.488
"Aug 28, 2002",15.367
"Aug 29, 2002",15.237
"Aug 30, 2002",15.247
"Sep 02, 2002",15.119
"Sep 03, 2002",14.912
"Sep 04, 2002",14.870
"Sep 05, 2002",14.758
"Sep 06, 2002",14.710
"Sep 09, 2002",14.772
"Sep 10, 2002",15.010
"Sep 11, 2002",14.962
"Sep 12, 2002",14.927
"Sep 13, 2002",14.610
"Sep 16, 2002",14.411
"Sep 17, 2002",14.610
"Sep 18, 2002",14.268
"Sep 19, 2002",14.244
"Sep 20, 2002",14.067
"Sep 23, 2002",14.108
"Sep 24, 2002",14.021
"Sep 25, 2002",13.895
"Sep 26, 2002",14.058
"Sep 27, 2002",14.085
"Sep 30, 2002",13.947
"Oct 01, 2002",13.947
"Oct 02, 2002",14.056
"Oct 03, 2002",13.851
"Oct 04, 2002",13.961
"Oct 07, 2002",13.682
"Oct 08, 2002",13.697
"Oct 09, 2002",13.630
"Oct 10, 2002",13.353
"Oct 11, 2002",13.468
"Oct 14, 2002",13.471
"Oct 15, 2002",14.035
"Oct 16, 2002",14.339
"Oct 17, 2002",14.516
"Oct 18, 2002",14.624
