Index Level :,Price
Currency :,USD


Date,COLOMBIA Standard (Large+Mid Cap) None
"Jan 29, 1993",94.308
"Feb 26, 1993",88.689
"Mar 31, 1993",82.767
"Apr 30, 1993",82.438
"May 31, 1993",83.657
"Jun 30, 1993",79.723
"Jul 30, 1993",82.968
"Aug 31, 1993",91.310
"Sep 30, 1993",97.837
"Oct 29, 1993",105.527
"Nov 30, 1993",110.833
"Dec 31, 1993",128.324
"Jan 31, 1994",145.105
"Feb 28, 1994",164.850
"Mar 31, 1994",176.589
"Apr 29, 1994",170.970
"May 31, 1994",169.997
"Jun 30, 1994",176.655
"Jul 29, 1994",181.075
"Aug 31, 1994",165.092
"Sep 30, 1994",165.283
"Oct 31, 1994",155.000
"Nov 30, 1994",143.516
"Dec 30, 1994",152.603
"Jan 31, 1995",163.964
"Feb 28, 1995",152.855
"Mar 31, 1995",136.912
"Apr 28, 1995",125.795
"May 31, 1995",125.209
"Jun 30, 1995",139.306
"Jul 31, 1995",132.612
"Aug 31, 1995",123.174
"Sep 29, 1995",116.114
"Oct 31, 1995",107.656
"Nov 30, 1995",100.347
"Dec 29, 1995",110.240
"Jan 31, 1996",107.479
"Feb 29, 1996",113.581
"Mar 29, 1996",105.236
"Apr 30, 1996",118.879
"May 31, 1996",112.651
"Jun 28, 1996",111.701
"Jul 31, 1996",110.547
"Aug 30, 1996",110.410
"Sep 30, 1996",117.345
"Oct 31, 1996",121.363
"Nov 29, 1996",118.437
"Dec 31, 1996",117.553
"Jan 31, 1997",130.860
"Feb 28, 1997",144.719
"Mar 31, 1997",145.724
"Apr 30, 1997",156.246
"May 30, 1997",161.400
"Jun 30, 1997",156.880
"Jul 31, 1997",156.948
"Aug 29, 1997",165.115
"Sep 30, 1997",172.964
"Oct 31, 1997",171.159
"Nov 28, 1997",156.151
"Dec 31, 1997",161.985
"Jan 30, 1998",152.421
"Feb 27, 1998",130.812
"Mar 31, 1998",124.848
"Apr 30, 1998",129.369
"May 29, 1998",118.104
"Jun 30, 1998",111.110
"Jul 31, 1998",104.189
"Aug 31, 1998",79.071
"Sep 30, 1998",68.299
"Oct 30, 1998",65.405
"Nov 30, 1998",85.229
"Dec 31, 1998",89.297
"Jan 29, 1999",68.054
"Feb 26, 1999",72.653
"Mar 31, 1999",74.941
"Apr 30, 1999",95.456
"May 31, 1999",92.419
"Jun 30, 1999",70.921
"Jul 30, 1999",65.810
"Aug 31, 1999",60.918
"Sep 30, 1999",60.366
"Oct 29, 1999",61.819
"Nov 30, 1999",70.522
"Dec 31, 1999",71.627
"Jan 31, 2000",80.548
"Feb 29, 2000",68.161
"Mar 31, 2000",66.563
"Apr 28, 2000",62.074
"May 31, 2000",52.003
"Jun 30, 2000",45.745
"Jul 31, 2000",52.094
"Aug 31, 2000",44.830
"Sep 29, 2000",44.703
"Oct 31, 2000",44.970
"Nov 30, 2000",44.288
"Dec 29, 2000",42.126
"Jan 31, 2001",48.746
"Feb 28, 2001",49.956
"Mar 30, 2001",43.619
"Apr 30, 2001",44.231
"May 31, 2001",55.121
"Jun 29, 2001",56.762
"Jul 31, 2001",54.886
"Aug 31, 2001",55.969
"Sep 28, 2001",50.253
"Oct 31, 2001",46.671
"Nov 30, 2001",53.115
"Dec 31, 2001",57.742
"Jan 31, 2002",63.174
"Feb 28, 2002",55.115
"Mar 29, 2002",57.193
"Apr 30, 2002",59.029
"May 30, 2002",60.802
"May 31, 2002",60.755
"Jun 03, 2002",60.852
"Jun 04, 2002",61.100
"Jun 05, 2002",61.287
"Jun 06, 2002",62.262
"Jun 07, 2002",63.299
"Jun 10, 2002",63.208
"Jun 11, 2002",64.415
"Jun 12, 2002",63.698
"Jun 13, 2002",64.975
"Jun 14, 2002",64.390
"Jun 17, 2002",64.745
"Jun 18, 2002",65.127
"Jun 19, 2002",63.814
"Jun 20, 2002",63.280
"Jun 21, 2002",63.274
"Jun 24, 2002",63.168
"Jun 25, 2002",62.840
"Jun 26, 2002",62.249
"Jun 27, 2002",61.582
"Jun 28, 2002",61.847
"Jul 01, 2002",61.757
"Jul 02, 2002",61.998
"Jul 03, 2002",61.431
"Jul 04, 2002",60.838
"Jul 05, 2002",59.879
"Jul 08, 2002",59.731
"Jul 09, 2002",59.910
"Jul 10, 2002",59.436
"Jul 11, 2002",58.774
"Jul 12, 2002",58.638
"Jul 15, 2002",58.863
"Jul 16, 2002",59.865
"Jul 17, 2002",58.547
"Jul 18, 2002",57.884
"Jul 19, 2002",58.325
"Jul 22, 2002",58.353
"Jul 23, 2002",57.861
"Jul 24, 2002",57.109
"Jul 25, 2002",57.280
"Jul 26, 2002",57.382
"Jul 29, 2002",57.324
"Jul 30, 2002",55.729
"Jul 31, 2002",55.231
"Aug 01, 2002",55.586
"Aug 02, 2002",55.755
"Aug 05, 2002",55.160
"Aug 06, 2002",54.980
"Aug 07, 2002",54.975
"Aug 08, 2002",55.840
"Aug 09, 2002",58.449
"Aug 12, 2002",57.653
"Aug 13, 2002",56.501
"Aug 14, 2002",57.505
"Aug 15, 2002",57.072
"Aug 16, 2002",55.968
"Aug 19, 2002",56.414
"Aug 20, 2002",56.604
"Aug 21, 2002",56.887
"Aug 22, 2002",56.371
"Aug 23, 2002",56.476
"Aug 26, 2002",56.407
"Aug 27, 2002",56.202
"Aug 28, 2002",55.264
"Aug 29, 2002",54.854
"Aug 30, 2002",55.036
"Sep 02, 2002",55.783
"Sep 03, 2002",55.768
"Sep 04, 2002",55.389
"Sep 05, 2002",55.202
"Sep 06, 2002",55.555
"Sep 09, 2002",56.119
"Sep 10, 2002",56.352
"Sep 11, 2002",55.950
"Sep 12, 2002",55.798
"Sep 13, 2002",55.682
"Sep 16, 2002",55.342
"Sep 17, 2002",54.704
"Sep 18, 2002",55.038
"Sep 19, 2002",55.077
"Sep 20, 2002",54.251
"Sep 23, 2002",55.064
"Sep 24, 2002",55.648
"Sep 25, 2002",56.930
"Sep 26, 2002",56.944
"Sep 27, 2002",57.825
"Sep 30, 2002",57.570
"Oct 01, 2002",56.556
"Oct 02, 2002",56.394
"Oct 03, 2002",56.414
"Oct 04, 2002",57.089
"Oct 07, 2002",58.096
"Oct 08, 2002",58.696
"Oct 09, 2002",59.045
"Oct 10, 2002",58.393
"Oct 11, 2002",58.840
"Oct 14, 2002",58.914
"Oct 15, 2002",59.032
"Oct 16, 2002",58.833
"Oct 17, 2002",58.924
"Oct 18, 2002",60.132
