Index Level :,Price
Currency :,USD


Date,CROATIA Standard (Large+Mid Cap) None
"May 31, 2002",353.044
"Jun 03, 2002",351.538
"Jun 04, 2002",352.330
"Jun 05, 2002",348.934
"Jun 06, 2002",348.389
"Jun 07, 2002",350.814
"Jun 10, 2002",348.712
"Jun 11, 2002",348.670
"Jun 12, 2002",354.275
"Jun 13, 2002",364.344
"Jun 14, 2002",366.272
"Jun 17, 2002",363.716
"Jun 18, 2002",365.386
"Jun 19, 2002",368.063
"Jun 20, 2002",369.643
"Jun 21, 2002",365.093
"Jun 24, 2002",362.950
"Jun 25, 2002",360.239
"Jun 26, 2002",360.986
"Jun 27, 2002",358.032
"Jun 28, 2002",360.259
"Jul 01, 2002",352.796
"Jul 02, 2002",349.710
"Jul 03, 2002",345.775
"Jul 04, 2002",363.756
"Jul 05, 2002",357.599
"Jul 08, 2002",357.446
"Jul 09, 2002",358.219
"Jul 10, 2002",347.501
"Jul 11, 2002",335.681
"Jul 12, 2002",331.305
"Jul 15, 2002",319.871
"Jul 16, 2002",316.078
"Jul 17, 2002",317.919
"Jul 18, 2002",311.287
"Jul 19, 2002",306.613
"Jul 22, 2002",302.616
"Jul 23, 2002",301.443
"Jul 24, 2002",283.498
"Jul 25, 2002",295.711
"Jul 26, 2002",300.188
"Jul 29, 2002",304.578
"Jul 30, 2002",310.284
"Jul 31, 2002",305.766
"Aug 01, 2002",311.297
"Aug 02, 2002",312.814
"Aug 05, 2002",312.997
"Aug 06, 2002",306.529
"Aug 07, 2002",311.385
"Aug 08, 2002",309.432
"Aug 09, 2002",307.206
"Aug 12, 2002",300.966
"Aug 13, 2002",302.525
"Aug 14, 2002",302.380
"Aug 15, 2002",300.186
"Aug 16, 2002",303.591
"Aug 19, 2002",302.034
"Aug 20, 2002",301.250
"Aug 21, 2002",307.217
"Aug 22, 2002",307.375
"Aug 23, 2002",316.731
"Aug 26, 2002",317.515
"Aug 27, 2002",325.951
"Aug 28, 2002",322.692
"Aug 29, 2002",320.298
"Aug 30, 2002",320.476
"Sep 02, 2002",322.797
"Sep 03, 2002",318.886
"Sep 04, 2002",321.712
"Sep 05, 2002",326.801
"Sep 06, 2002",330.202
"Sep 09, 2002",326.185
"Sep 10, 2002",332.648
"Sep 11, 2002",333.118
"Sep 12, 2002",325.158
"Sep 13, 2002",326.129
"Sep 16, 2002",318.660
"Sep 17, 2002",325.173
"Sep 18, 2002",325.109
"Sep 19, 2002",323.977
"Sep 20, 2002",330.204
"Sep 23, 2002",326.817
"Sep 24, 2002",322.443
"Sep 25, 2002",318.498
"Sep 26, 2002",308.411
"Sep 27, 2002",309.349
"Sep 30, 2002",310.066
"Oct 01, 2002",307.429
"Oct 02, 2002",309.852
"Oct 03, 2002",311.782
"Oct 04, 2002",311.398
"Oct 07, 2002",308.325
"Oct 08, 2002",307.181
"Oct 09, 2002",309.830
"Oct 10, 2002",308.925
"Oct 11, 2002",308.807
"Oct 14, 2002",307.532
"Oct 15, 2002",308.300
"Oct 16, 2002",298.772
"Oct 17, 2002",292.876
"Oct 18, 2002",292.230
"Oct 21, 2002",301.266
"Oct 22, 2002",304.244
"Oct 23, 2002",303.695
"Oct 24, 2002",305.521
"Oct 25, 2002",307.077
"Oct 28, 2002",303.948
"Oct 29, 2002",306.980
"Oct 30, 2002",303.656
"Oct 31, 2002",305.142
"Nov 01, 2002",307.099
"Nov 04, 2002",308.857
"Nov 05, 2002",310.984
"Nov 06, 2002",313.408
"Nov 07, 2002",323.630
"Nov 08, 2002",321.585
"Nov 11, 2002",320.590
"Nov 12, 2002",320.021
"Nov 13, 2002",325.497
"Nov 14, 2002",328.326
"Nov 15, 2002",328.177
"Nov 18, 2002",330.386
"Nov 19, 2002",334.185
"Nov 20, 2002",328.365
"Nov 21, 2002",325.899
"Nov 22, 2002",327.166
"Nov 25, 2002",332.904
"Nov 26, 2002",333.942
"Nov 27, 2002",343.844
"Nov 28, 2002",351.173
"Nov 29, 2002",361.951
"Dec 02, 2002",359.584
"Dec 03, 2002",352.625
"Dec 04, 2002",348.554
"Dec 05, 2002",361.330
"Dec 06, 2002",356.625
"Dec 09, 2002",348.908
"Dec 10, 2002",352.000
"Dec 11, 2002",352.770
"Dec 12, 2002",357.428
"Dec 13, 2002",350.776
"Dec 16, 2002",352.405
"Dec 17, 2002",352.433
"Dec 18, 2002",353.458
"Dec 19, 2002",349.782
"Dec 20, 2002",354.145
"Dec 23, 2002",353.447
"Dec 24, 2002",355.546
"Dec 25, 2002",355.546
"Dec 26, 2002",357.589
"Dec 27, 2002",356.018
"Dec 30, 2002",357.445
"Dec 31, 2002",358.454
"Jan 01, 2003",358.454
"Jan 02, 2003",355.330
"Jan 03, 2003",361.829
"Jan 06, 2003",363.470
"Jan 07, 2003",357.663
"Jan 08, 2003",358.337
"Jan 09, 2003",357.363
"Jan 10, 2003",361.943
"Jan 13, 2003",360.210
"Jan 14, 2003",365.252
"Jan 15, 2003",366.668
"Jan 16, 2003",366.796
"Jan 17, 2003",362.640
"Jan 20, 2003",363.258
"Jan 21, 2003",364.953
"Jan 22, 2003",362.261
"Jan 23, 2003",362.506
"Jan 24, 2003",363.599
"Jan 27, 2003",359.353
"Jan 28, 2003",359.752
"Jan 29, 2003",361.263
"Jan 30, 2003",356.549
"Jan 31, 2003",358.254
"Feb 03, 2003",356.540
"Feb 04, 2003",361.688
"Feb 05, 2003",359.307
"Feb 06, 2003",354.911
"Feb 07, 2003",353.588
"Feb 10, 2003",347.504
"Feb 11, 2003",341.023
"Feb 12, 2003",341.675
"Feb 13, 2003",343.589
"Feb 14, 2003",344.187
"Feb 17, 2003",345.486
"Feb 18, 2003",345.334
"Feb 19, 2003",344.262
"Feb 20, 2003",344.867
"Feb 21, 2003",336.570
"Feb 24, 2003",328.259
"Feb 25, 2003",325.134
"Feb 26, 2003",324.877
"Feb 27, 2003",320.655
"Feb 28, 2003",325.110
"Mar 03, 2003",327.916
"Mar 04, 2003",327.723
"Mar 05, 2003",324.055
"Mar 06, 2003",315.704
"Mar 07, 2003",306.289
"Mar 10, 2003",304.522
"Mar 11, 2003",304.577
"Mar 12, 2003",306.528
"Mar 13, 2003",305.764
"Mar 14, 2003",305.768
"Mar 17, 2003",297.703
"Mar 18, 2003",300.326
"Mar 19, 2003",292.412
"Mar 20, 2003",301.596
"Mar 21, 2003",309.865
"Mar 24, 2003",305.104
