Index Level :,Price
Currency :,USD


Date,CZECH REPUBLIC Standard (Large+Mid Cap) None
"Dec 30, 1994",100.000
"Jan 31, 1995",89.894
"Feb 28, 1995",90.497
"Mar 31, 1995",79.202
"Apr 28, 1995",79.024
"May 31, 1995",78.460
"Jun 30, 1995",75.154
"Jul 31, 1995",78.180
"Aug 31, 1995",78.674
"Sep 29, 1995",84.224
"Oct 31, 1995",83.641
"Nov 30, 1995",77.000
"Dec 29, 1995",78.786
"Jan 31, 1996",80.825
"Feb 29, 1996",86.230
"Mar 29, 1996",93.047
"Apr 30, 1996",98.347
"May 31, 1996",101.877
"Jun 28, 1996",100.919
"Jul 31, 1996",105.580
"Aug 30, 1996",113.025
"Sep 30, 1996",105.400
"Oct 31, 1996",94.327
"Nov 29, 1996",95.589
"Dec 31, 1996",101.303
"Jan 31, 1997",105.122
"Feb 28, 1997",108.231
"Mar 31, 1997",99.573
"Apr 30, 1997",88.437
"May 30, 1997",77.432
"Jun 30, 1997",79.254
"Jul 31, 1997",78.905
"Aug 29, 1997",87.759
"Sep 30, 1997",89.836
"Oct 31, 1997",82.435
"Nov 28, 1997",74.512
"Dec 31, 1997",76.838
"Jan 30, 1998",68.917
"Feb 27, 1998",76.896
"Mar 31, 1998",81.687
"Apr 30, 1998",85.255
"May 29, 1998",77.153
"Jun 30, 1998",81.678
"Jul 31, 1998",89.193
"Aug 31, 1998",64.509
"Sep 30, 1998",66.660
"Oct 30, 1998",74.051
"Nov 30, 1998",72.224
"Dec 31, 1998",76.330
"Jan 29, 1999",69.443
"Feb 26, 1999",55.010
"Mar 31, 1999",62.550
"Apr 30, 1999",65.459
"May 31, 1999",80.699
"Jun 30, 1999",79.433
"Jul 30, 1999",88.414
"Aug 31, 1999",84.588
"Sep 30, 1999",85.117
"Oct 29, 1999",82.462
"Nov 30, 1999",77.641
"Dec 31, 1999",79.360
"Jan 31, 2000",89.624
"Feb 29, 2000",102.030
"Mar 31, 2000",103.056
"Apr 28, 2000",91.123
"May 31, 2000",89.188
"Jun 30, 2000",83.493
"Jul 31, 2000",90.175
"Aug 31, 2000",81.069
"Sep 29, 2000",74.522
"Oct 31, 2000",74.863
"Nov 30, 2000",61.442
"Dec 29, 2000",79.924
"Jan 31, 2001",85.204
"Feb 28, 2001",76.662
"Mar 30, 2001",69.177
"Apr 30, 2001",68.623
"May 31, 2001",71.480
"Jun 29, 2001",68.673
"Jul 31, 2001",63.831
"Aug 31, 2001",62.417
"Sep 28, 2001",56.964
"Oct 31, 2001",66.651
"Nov 30, 2001",70.334
"Dec 31, 2001",76.611
"Jan 31, 2002",79.197
"Feb 28, 2002",77.194
"Mar 29, 2002",83.513
"Apr 30, 2002",91.859
"May 30, 2002",98.189
"May 31, 2002",96.045
"Jun 03, 2002",100.641
"Jun 04, 2002",99.826
"Jun 05, 2002",98.984
"Jun 06, 2002",98.003
"Jun 07, 2002",97.353
"Jun 10, 2002",98.325
"Jun 11, 2002",99.960
"Jun 12, 2002",100.127
"Jun 13, 2002",100.474
"Jun 14, 2002",97.055
"Jun 17, 2002",98.733
"Jun 18, 2002",98.358
"Jun 19, 2002",97.133
"Jun 20, 2002",96.619
"Jun 21, 2002",97.128
"Jun 24, 2002",95.301
"Jun 25, 2002",94.419
"Jun 26, 2002",92.632
"Jun 27, 2002",95.920
"Jun 28, 2002",94.123
"Jul 01, 2002",93.124
"Jul 02, 2002",87.369
"Jul 03, 2002",88.986
"Jul 04, 2002",91.447
"Jul 05, 2002",90.775
"Jul 08, 2002",96.212
"Jul 09, 2002",100.830
"Jul 10, 2002",100.355
"Jul 11, 2002",95.674
"Jul 12, 2002",96.910
"Jul 15, 2002",96.666
"Jul 16, 2002",96.443
"Jul 17, 2002",98.820
"Jul 18, 2002",99.346
"Jul 19, 2002",96.876
"Jul 22, 2002",93.446
"Jul 23, 2002",93.945
"Jul 24, 2002",90.014
"Jul 25, 2002",93.182
"Jul 26, 2002",92.515
"Jul 29, 2002",93.300
"Jul 30, 2002",96.618
"Jul 31, 2002",100.524
"Aug 01, 2002",101.106
"Aug 02, 2002",100.374
"Aug 05, 2002",97.571
"Aug 06, 2002",95.960
"Aug 07, 2002",96.773
"Aug 08, 2002",97.718
"Aug 09, 2002",96.993
"Aug 12, 2002",98.955
"Aug 13, 2002",98.475
"Aug 14, 2002",98.560
"Aug 15, 2002",96.598
"Aug 16, 2002",98.361
"Aug 19, 2002",100.934
"Aug 20, 2002",99.769
"Aug 21, 2002",99.586
"Aug 22, 2002",99.656
"Aug 23, 2002",100.010
"Aug 26, 2002",101.102
"Aug 27, 2002",102.256
"Aug 28, 2002",99.581
"Aug 29, 2002",100.006
"Aug 30, 2002",99.944
"Sep 02, 2002",98.531
"Sep 03, 2002",97.026
"Sep 04, 2002",98.275
"Sep 05, 2002",98.536
"Sep 06, 2002",100.820
"Sep 09, 2002",100.425
"Sep 10, 2002",101.444
"Sep 11, 2002",102.256
"Sep 12, 2002",100.191
"Sep 13, 2002",98.431
"Sep 16, 2002",98.749
"Sep 17, 2002",98.985
"Sep 18, 2002",99.093
"Sep 19, 2002",100.962
"Sep 20, 2002",101.578
"Sep 23, 2002",99.916
"Sep 24, 2002",98.444
"Sep 25, 2002",100.667
"Sep 26, 2002",102.436
"Sep 27, 2002",101.502
"Sep 30, 2002",101.021
"Oct 01, 2002",100.255
"Oct 02, 2002",100.306
"Oct 03, 2002",97.494
"Oct 04, 2002",96.185
"Oct 07, 2002",94.612
"Oct 08, 2002",93.098
"Oct 09, 2002",91.950
"Oct 10, 2002",92.677
"Oct 11, 2002",93.859
"Oct 14, 2002",93.279
"Oct 15, 2002",95.477
"Oct 16, 2002",94.124
"Oct 17, 2002",94.564
"Oct 18, 2002",94.589
"Oct 21, 2002",96.175
"Oct 22, 2002",96.531
"Oct 23, 2002",95.422
"Oct 24, 2002",94.772
"Oct 25, 2002",93.720
"Oct 28, 2002",94.294
"Oct 29, 2002",95.469
"Oct 30, 2002",94.924
"Oct 31, 2002",98.406
"Nov 01, 2002",99.619
"Nov 04, 2002",99.348
"Nov 05, 2002",99.224
"Nov 06, 2002",99.334
"Nov 07, 2002",101.938
"Nov 08, 2002",102.960
"Nov 11, 2002",103.109
"Nov 12, 2002",103.702
"Nov 13, 2002",103.811
"Nov 14, 2002",105.850
"Nov 15, 2002",107.027
"Nov 18, 2002",107.743
"Nov 19, 2002",106.619
