Index Level :,Price
Currency :,USD


Date,DENMARK Standard (Large+Mid Cap) None
"Jan 29, 1993",802.090
"Feb 26, 1993",765.355
"Mar 31, 1993",774.495
"Apr 30, 1993",812.929
"May 31, 1993",829.619
"Jun 30, 1993",839.685
"Jul 30, 1993",808.177
"Aug 31, 1993",844.095
"Sep 30, 1993",873.258
"Oct 29, 1993",908.648
"Nov 30, 1993",880.672
"Dec 31, 1993",932.935
"Jan 31, 1994","1,012.906"
"Feb 28, 1994","1,015.966"
"Mar 31, 1994","1,001.124"
"Apr 29, 1994","1,017.661"
"May 31, 1994",939.509
"Jun 30, 1994",981.204
"Jul 29, 1994","1,028.827"
"Aug 31, 1994",955.630
"Sep 30, 1994",957.078
"Oct 31, 1994",974.795
"Nov 30, 1994",933.932
"Dec 30, 1994",957.656
"Jan 31, 1995",969.975
"Feb 28, 1995",997.523
"Mar 31, 1995",990.977
"Apr 28, 1995","1,037.685"
"May 31, 1995","1,080.953"
"Jun 30, 1995","1,062.584"
"Jul 31, 1995","1,136.120"
"Aug 31, 1995","1,075.419"
"Sep 29, 1995","1,091.775"
"Oct 31, 1995","1,093.254"
"Nov 30, 1995","1,097.606"
"Dec 29, 1995","1,123.574"
"Jan 31, 1996","1,159.549"
"Feb 29, 1996","1,174.150"
"Mar 29, 1996","1,143.723"
"Apr 30, 1996","1,134.745"
"May 31, 1996","1,137.014"
"Jun 28, 1996","1,165.676"
"Jul 31, 1996","1,182.612"
"Aug 30, 1996","1,224.766"
"Sep 30, 1996","1,219.911"
"Oct 31, 1996","1,259.014"
"Nov 29, 1996","1,288.728"
"Dec 31, 1996","1,348.650"
"Jan 31, 1997","1,402.760"
"Feb 28, 1997","1,392.819"
"Mar 31, 1997","1,434.785"
"Apr 30, 1997","1,390.174"
"May 30, 1997","1,493.686"
"Jun 30, 1997","1,523.250"
"Jul 31, 1997","1,620.203"
"Aug 29, 1997","1,538.653"
"Sep 30, 1997","1,714.672"
"Oct 31, 1997","1,637.943"
"Nov 28, 1997","1,654.977"
"Dec 31, 1997","1,794.115"
"Jan 30, 1998","1,798.691"
"Feb 27, 1998","1,840.752"
"Mar 31, 1998","2,056.977"
"Apr 30, 1998","1,968.573"
"May 29, 1998","2,021.911"
"Jun 30, 1998","1,975.750"
"Jul 31, 1998","2,033.081"
"Aug 31, 1998","1,803.084"
"Sep 30, 1998","1,721.081"
"Oct 30, 1998","1,850.341"
"Nov 30, 1998","1,759.824"
"Dec 31, 1998","1,934.404"
"Jan 29, 1999","1,864.339"
"Feb 26, 1999","1,702.041"
"Mar 31, 1999","1,671.148"
"Apr 30, 1999","1,790.737"
"May 31, 1999","1,739.125"
"Jun 30, 1999","1,756.844"
"Jul 30, 1999","1,878.246"
"Aug 31, 1999","1,882.317"
"Sep 30, 1999","1,937.835"
"Oct 29, 1999","1,961.294"
"Nov 30, 1999","2,026.890"
"Dec 31, 1999","2,144.324"
"Jan 31, 2000","2,027.449"
"Feb 29, 2000","2,100.035"
"Mar 31, 2000","2,292.249"
"Apr 28, 2000","2,081.764"
"May 31, 2000","2,221.223"
"Jun 30, 2000","2,216.831"
"Jul 31, 2000","2,261.926"
"Aug 31, 2000","2,391.873"
"Sep 29, 2000","2,345.000"
"Oct 31, 2000","2,236.378"
"Nov 30, 2000","2,124.418"
"Dec 29, 2000","2,201.304"
"Jan 31, 2001","2,459.558"
"Feb 28, 2001","2,237.126"
"Mar 30, 2001","2,012.120"
"Apr 30, 2001","2,049.817"
"May 31, 2001","2,046.028"
"Jun 29, 2001","2,010.603"
"Jul 31, 2001","2,079.602"
"Aug 31, 2001","1,965.769"
"Sep 28, 2001","1,792.395"
"Oct 31, 2001","1,828.332"
"Nov 30, 2001","1,848.425"
"Dec 31, 2001","1,850.357"
"Jan 31, 2002","1,751.925"
"Feb 28, 2002","1,793.961"
"Mar 29, 2002","1,847.739"
"Apr 30, 2002","1,773.165"
"May 30, 2002","1,815.191"
"May 31, 2002","1,813.304"
"Jun 03, 2002","1,827.774"
"Jun 04, 2002","1,811.262"
"Jun 05, 2002","1,799.896"
"Jun 06, 2002","1,848.058"
"Jun 07, 2002","1,798.820"
"Jun 10, 2002","1,802.320"
"Jun 11, 2002","1,804.489"
"Jun 12, 2002","1,812.373"
"Jun 13, 2002","1,795.409"
"Jun 14, 2002","1,761.575"
"Jun 17, 2002","1,776.312"
"Jun 18, 2002","1,777.322"
"Jun 19, 2002","1,745.002"
"Jun 20, 2002","1,738.607"
"Jun 21, 2002","1,747.865"
"Jun 24, 2002","1,720.668"
"Jun 25, 2002","1,754.530"
"Jun 26, 2002","1,761.229"
"Jun 27, 2002","1,797.295"
"Jun 28, 2002","1,835.274"
"Jul 01, 2002","1,827.208"
"Jul 02, 2002","1,811.231"
"Jul 03, 2002","1,765.851"
"Jul 04, 2002","1,784.123"
"Jul 05, 2002","1,814.036"
"Jul 08, 2002","1,836.608"
"Jul 09, 2002","1,817.131"
"Jul 10, 2002","1,789.983"
"Jul 11, 2002","1,741.343"
"Jul 12, 2002","1,753.287"
"Jul 15, 2002","1,753.812"
"Jul 16, 2002","1,737.842"
"Jul 17, 2002","1,758.792"
"Jul 18, 2002","1,783.081"
"Jul 19, 2002","1,758.254"
"Jul 22, 2002","1,655.309"
"Jul 23, 2002","1,576.317"
"Jul 24, 2002","1,495.401"
"Jul 25, 2002","1,580.923"
"Jul 26, 2002","1,544.993"
"Jul 29, 2002","1,602.447"
"Jul 30, 2002","1,613.086"
"Jul 31, 2002","1,601.185"
"Aug 01, 2002","1,601.224"
"Aug 02, 2002","1,601.236"
"Aug 05, 2002","1,546.530"
"Aug 06, 2002","1,547.183"
"Aug 07, 2002","1,566.656"
"Aug 08, 2002","1,556.064"
"Aug 09, 2002","1,569.481"
"Aug 12, 2002","1,587.345"
"Aug 13, 2002","1,596.037"
"Aug 14, 2002","1,589.577"
"Aug 15, 2002","1,608.388"
"Aug 16, 2002","1,597.701"
"Aug 19, 2002","1,622.704"
"Aug 20, 2002","1,635.086"
"Aug 21, 2002","1,672.142"
"Aug 22, 2002","1,634.148"
"Aug 23, 2002","1,626.081"
"Aug 26, 2002","1,613.570"
"Aug 27, 2002","1,637.526"
"Aug 28, 2002","1,656.073"
"Aug 29, 2002","1,655.309"
"Aug 30, 2002","1,652.653"
"Sep 02, 2002","1,665.201"
"Sep 03, 2002","1,635.831"
"Sep 04, 2002","1,618.265"
