Index Level :,Price
Currency :,USD


Date,EGYPT Standard (Large+Mid Cap) None
"Dec 30, 1994",100.000
"Jan 31, 1995",103.306
"Feb 28, 1995",107.595
"Mar 31, 1995",113.009
"Apr 28, 1995",113.299
"May 31, 1995",112.709
"Jun 30, 1995",115.143
"Jul 31, 1995",108.665
"Aug 31, 1995",110.131
"Sep 29, 1995",111.217
"Oct 31, 1995",109.587
"Nov 30, 1995",111.102
"Dec 29, 1995",111.252
"Jan 31, 1996",102.698
"Feb 29, 1996",106.199
"Mar 29, 1996",101.981
"Apr 30, 1996",99.908
"May 31, 1996",101.671
"Jun 28, 1996",101.596
"Jul 31, 1996",112.017
"Aug 30, 1996",116.523
"Sep 30, 1996",129.169
"Oct 31, 1996",131.647
"Nov 29, 1996",155.332
"Dec 31, 1996",162.679
"Jan 31, 1997",212.586
"Feb 28, 1997",251.419
"Mar 31, 1997",246.699
"Apr 30, 1997",244.114
"May 30, 1997",220.868
"Jun 30, 1997",222.496
"Jul 31, 1997",211.130
"Aug 29, 1997",223.678
"Sep 30, 1997",231.449
"Oct 31, 1997",222.901
"Nov 28, 1997",205.830
"Dec 31, 1997",203.580
"Jan 30, 1998",187.819
"Feb 27, 1998",189.105
"Mar 31, 1998",198.994
"Apr 30, 1998",191.069
"May 29, 1998",171.487
"Jun 30, 1998",163.191
"Jul 31, 1998",160.535
"Aug 31, 1998",142.150
"Sep 30, 1998",152.860
"Oct 30, 1998",139.512
"Nov 30, 1998",136.257
"Dec 31, 1998",139.047
"Jan 29, 1999",184.046
"Feb 26, 1999",173.793
"Mar 31, 1999",171.613
"Apr 30, 1999",168.353
"May 31, 1999",166.649
"Jun 30, 1999",178.479
"Jul 30, 1999",175.542
"Aug 31, 1999",165.413
"Sep 30, 1999",174.990
"Oct 29, 1999",191.138
"Nov 30, 1999",214.432
"Dec 31, 1999",250.513
"Jan 31, 2000",275.827
"Feb 29, 2000",250.305
"Mar 31, 2000",245.314
"Apr 28, 2000",215.952
"May 31, 2000",218.373
"Jun 30, 2000",187.747
"Jul 31, 2000",168.565
"Aug 31, 2000",163.907
"Sep 29, 2000",146.791
"Oct 31, 2000",133.144
"Nov 30, 2000",140.954
"Dec 29, 2000",135.712
"Jan 31, 2001",140.155
"Feb 28, 2001",123.767
"Mar 30, 2001",113.242
"Apr 30, 2001",117.441
"May 31, 2001",123.278
"Jun 29, 2001",112.529
"Jul 31, 2001",100.248
"Aug 31, 2001",101.821
"Sep 28, 2001",91.406
"Oct 31, 2001",88.783
"Nov 30, 2001",81.170
"Dec 31, 2001",75.883
"Jan 31, 2002",68.336
"Feb 28, 2002",74.941
"Mar 29, 2002",79.120
"Apr 30, 2002",73.698
"May 30, 2002",73.469
"May 31, 2002",73.469
"Jun 03, 2002",72.292
"Jun 04, 2002",72.356
"Jun 05, 2002",72.183
"Jun 06, 2002",72.774
"Jun 07, 2002",72.774
"Jun 10, 2002",73.981
"Jun 11, 2002",73.521
"Jun 12, 2002",73.104
"Jun 13, 2002",73.419
"Jun 14, 2002",73.419
"Jun 17, 2002",72.421
"Jun 18, 2002",72.429
"Jun 19, 2002",72.508
"Jun 20, 2002",72.095
"Jun 21, 2002",72.095
"Jun 24, 2002",72.018
"Jun 25, 2002",71.608
"Jun 26, 2002",71.166
"Jun 27, 2002",71.407
"Jun 28, 2002",71.407
"Jul 01, 2002",71.886
"Jul 02, 2002",72.095
"Jul 03, 2002",71.776
"Jul 04, 2002",71.905
"Jul 05, 2002",71.905
"Jul 08, 2002",71.207
"Jul 09, 2002",71.046
"Jul 10, 2002",71.085
"Jul 11, 2002",72.853
"Jul 12, 2002",72.853
"Jul 15, 2002",75.150
"Jul 16, 2002",74.120
"Jul 17, 2002",76.075
"Jul 18, 2002",77.384
"Jul 19, 2002",77.384
"Jul 22, 2002",76.323
"Jul 23, 2002",76.323
"Jul 24, 2002",74.262
"Jul 25, 2002",73.739
"Jul 26, 2002",73.739
"Jul 29, 2002",72.801
"Jul 30, 2002",71.844
"Jul 31, 2002",70.980
"Aug 01, 2002",72.486
"Aug 02, 2002",72.486
"Aug 05, 2002",72.184
"Aug 06, 2002",72.155
"Aug 07, 2002",71.963
"Aug 08, 2002",71.494
"Aug 09, 2002",71.494
"Aug 12, 2002",72.450
"Aug 13, 2002",72.467
"Aug 14, 2002",71.434
"Aug 15, 2002",71.069
"Aug 16, 2002",71.069
"Aug 19, 2002",71.981
"Aug 20, 2002",71.235
"Aug 21, 2002",70.937
"Aug 22, 2002",70.768
"Aug 23, 2002",70.768
"Aug 26, 2002",71.382
"Aug 27, 2002",70.974
"Aug 28, 2002",71.136
"Aug 29, 2002",70.389
"Aug 30, 2002",70.389
"Sep 02, 2002",70.472
"Sep 03, 2002",70.295
"Sep 04, 2002",70.237
"Sep 05, 2002",70.191
"Sep 06, 2002",70.191
"Sep 09, 2002",71.093
"Sep 10, 2002",71.254
"Sep 11, 2002",71.736
"Sep 12, 2002",71.343
"Sep 13, 2002",71.343
"Sep 16, 2002",71.598
"Sep 17, 2002",71.508
"Sep 18, 2002",71.869
"Sep 19, 2002",71.247
"Sep 20, 2002",71.247
"Sep 23, 2002",71.796
"Sep 24, 2002",71.964
"Sep 25, 2002",71.709
"Sep 26, 2002",71.189
"Sep 27, 2002",71.189
"Sep 30, 2002",71.791
"Oct 01, 2002",71.398
"Oct 02, 2002",71.548
"Oct 03, 2002",71.559
"Oct 04, 2002",71.559
"Oct 07, 2002",71.362
"Oct 08, 2002",71.737
"Oct 09, 2002",71.165
"Oct 10, 2002",70.395
"Oct 11, 2002",70.395
"Oct 14, 2002",69.619
"Oct 15, 2002",69.661
"Oct 16, 2002",69.507
"Oct 17, 2002",69.303
"Oct 18, 2002",69.303
"Oct 21, 2002",69.656
"Oct 22, 2002",70.630
"Oct 23, 2002",70.670
"Oct 24, 2002",70.411
"Oct 25, 2002",70.411
"Oct 28, 2002",68.836
"Oct 29, 2002",69.700
"Oct 30, 2002",68.832
"Oct 31, 2002",69.192
"Nov 01, 2002",69.192
"Nov 04, 2002",69.151
"Nov 05, 2002",69.124
"Nov 06, 2002",68.919
"Nov 07, 2002",68.290
"Nov 08, 2002",68.290
"Nov 11, 2002",67.264
"Nov 12, 2002",67.224
"Nov 13, 2002",67.527
"Nov 14, 2002",67.939
"Nov 15, 2002",67.939
"Nov 18, 2002",66.493
"Nov 19, 2002",66.167
