Index Level :,Price
Currency :,USD


Date,ESTONIA Standard (Large+Mid Cap) None
"May 31, 2002",237.338
"Jun 03, 2002",235.400
"Jun 04, 2002",235.475
"Jun 05, 2002",234.520
"Jun 06, 2002",237.487
"Jun 07, 2002",234.006
"Jun 10, 2002",233.657
"Jun 11, 2002",233.594
"Jun 12, 2002",235.118
"Jun 13, 2002",235.501
"Jun 14, 2002",236.335
"Jun 17, 2002",234.755
"Jun 18, 2002",235.402
"Jun 19, 2002",236.498
"Jun 20, 2002",238.333
"Jun 21, 2002",238.924
"Jun 24, 2002",241.057
"Jun 25, 2002",239.098
"Jun 26, 2002",238.040
"Jun 27, 2002",235.231
"Jun 28, 2002",235.764
"Jul 01, 2002",235.217
"Jul 02, 2002",232.163
"Jul 03, 2002",229.037
"Jul 04, 2002",228.710
"Jul 05, 2002",229.614
"Jul 08, 2002",236.263
"Jul 09, 2002",241.089
"Jul 10, 2002",239.412
"Jul 11, 2002",236.971
"Jul 12, 2002",237.669
"Jul 15, 2002",239.970
"Jul 16, 2002",239.108
"Jul 17, 2002",237.214
"Jul 18, 2002",240.653
"Jul 19, 2002",238.253
"Jul 22, 2002",233.577
"Jul 23, 2002",231.961
"Jul 24, 2002",228.393
"Jul 25, 2002",229.839
"Jul 26, 2002",217.179
"Jul 29, 2002",211.660
"Jul 30, 2002",216.544
"Jul 31, 2002",217.222
"Aug 01, 2002",216.485
"Aug 02, 2002",214.800
"Aug 05, 2002",205.829
"Aug 06, 2002",199.244
"Aug 07, 2002",206.259
"Aug 08, 2002",208.314
"Aug 09, 2002",210.747
"Aug 12, 2002",208.957
"Aug 13, 2002",208.333
"Aug 14, 2002",209.688
"Aug 15, 2002",209.338
"Aug 16, 2002",216.853
"Aug 19, 2002",216.141
"Aug 20, 2002",215.986
"Aug 21, 2002",224.293
"Aug 22, 2002",228.936
"Aug 23, 2002",232.361
"Aug 26, 2002",229.470
"Aug 27, 2002",231.087
"Aug 28, 2002",229.717
"Aug 29, 2002",227.452
"Aug 30, 2002",228.002
"Sep 02, 2002",228.862
"Sep 03, 2002",226.176
"Sep 04, 2002",226.698
"Sep 05, 2002",226.478
"Sep 06, 2002",226.572
"Sep 09, 2002",227.488
"Sep 10, 2002",231.728
"Sep 11, 2002",233.578
"Sep 12, 2002",228.992
"Sep 13, 2002",229.610
"Sep 16, 2002",227.830
"Sep 17, 2002",229.375
"Sep 18, 2002",227.620
"Sep 19, 2002",227.079
"Sep 20, 2002",228.153
"Sep 23, 2002",225.233
"Sep 24, 2002",224.185
"Sep 25, 2002",224.676
"Sep 26, 2002",226.802
"Sep 27, 2002",228.815
"Sep 30, 2002",234.196
"Oct 01, 2002",233.319
"Oct 02, 2002",234.520
"Oct 03, 2002",234.330
"Oct 04, 2002",230.746
"Oct 07, 2002",231.198
"Oct 08, 2002",230.187
"Oct 09, 2002",232.269
"Oct 10, 2002",231.406
"Oct 11, 2002",233.997
"Oct 14, 2002",235.179
"Oct 15, 2002",238.513
"Oct 16, 2002",238.597
"Oct 17, 2002",242.076
"Oct 18, 2002",245.882
"Oct 21, 2002",245.917
"Oct 22, 2002",244.876
"Oct 23, 2002",245.418
"Oct 24, 2002",243.203
"Oct 25, 2002",252.159
"Oct 28, 2002",259.347
"Oct 29, 2002",256.390
"Oct 30, 2002",252.654
"Oct 31, 2002",253.633
"Nov 01, 2002",254.929
"Nov 04, 2002",259.147
"Nov 05, 2002",259.587
"Nov 06, 2002",261.213
"Nov 07, 2002",262.017
"Nov 08, 2002",262.588
"Nov 11, 2002",261.937
"Nov 12, 2002",262.086
"Nov 13, 2002",262.375
"Nov 14, 2002",261.978
"Nov 15, 2002",265.540
"Nov 18, 2002",272.047
"Nov 19, 2002",274.938
"Nov 20, 2002",271.682
"Nov 21, 2002",276.254
"Nov 22, 2002",278.439
"Nov 25, 2002",278.780
"Nov 26, 2002",277.512
"Nov 27, 2002",278.133
"Nov 28, 2002",279.622
"Nov 29, 2002",282.442
"Dec 02, 2002",286.093
"Dec 03, 2002",285.717
"Dec 04, 2002",287.644
"Dec 05, 2002",287.469
"Dec 06, 2002",290.832
"Dec 09, 2002",295.327
"Dec 10, 2002",302.683
"Dec 11, 2002",305.301
"Dec 12, 2002",303.625
"Dec 13, 2002",300.803
"Dec 16, 2002",301.732
"Dec 17, 2002",304.815
"Dec 18, 2002",306.342
"Dec 19, 2002",304.592
"Dec 20, 2002",301.685
"Dec 23, 2002",301.509
"Dec 24, 2002",304.625
"Dec 25, 2002",304.625
"Dec 26, 2002",305.393
"Dec 27, 2002",307.677
"Dec 30, 2002",308.076
"Dec 31, 2002",309.501
"Jan 01, 2003",309.501
"Jan 02, 2003",306.687
"Jan 03, 2003",315.326
"Jan 06, 2003",318.652
"Jan 07, 2003",317.665
"Jan 08, 2003",314.815
"Jan 09, 2003",313.365
"Jan 10, 2003",311.621
"Jan 13, 2003",301.947
"Jan 14, 2003",305.995
"Jan 15, 2003",307.382
"Jan 16, 2003",305.352
"Jan 17, 2003",305.028
"Jan 20, 2003",305.429
"Jan 21, 2003",303.754
"Jan 22, 2003",299.886
"Jan 23, 2003",303.468
"Jan 24, 2003",306.114
"Jan 27, 2003",304.989
"Jan 28, 2003",309.080
"Jan 29, 2003",308.635
"Jan 30, 2003",309.373
"Jan 31, 2003",307.792
"Feb 03, 2003",310.053
"Feb 04, 2003",313.725
"Feb 05, 2003",311.870
"Feb 06, 2003",313.921
"Feb 07, 2003",315.284
"Feb 10, 2003",314.420
"Feb 11, 2003",312.387
"Feb 12, 2003",312.610
"Feb 13, 2003",313.035
"Feb 14, 2003",312.856
"Feb 17, 2003",311.189
"Feb 18, 2003",302.490
"Feb 19, 2003",303.952
"Feb 20, 2003",305.934
"Feb 21, 2003",306.688
"Feb 24, 2003",305.497
"Feb 25, 2003",302.437
"Feb 26, 2003",302.255
"Feb 27, 2003",300.887
"Feb 28, 2003",302.993
"Mar 03, 2003",306.396
"Mar 04, 2003",308.342
"Mar 05, 2003",307.694
"Mar 06, 2003",309.609
"Mar 07, 2003",310.948
"Mar 10, 2003",312.568
"Mar 11, 2003",310.069
"Mar 12, 2003",308.412
"Mar 13, 2003",306.382
"Mar 14, 2003",306.365
"Mar 17, 2003",301.231
"Mar 18, 2003",300.635
"Mar 19, 2003",296.549
"Mar 20, 2003",296.751
"Mar 21, 2003",295.942
"Mar 24, 2003",299.404
