Index Level :,Price
Currency :,USD


Date,FINLAND Standard (Large+Mid Cap) None
"Jan 29, 1993",44.747
"Feb 26, 1993",45.883
"Mar 31, 1993",49.997
"Apr 30, 1993",62.218
"May 31, 1993",64.247
"Jun 30, 1993",60.710
"Jul 30, 1993",65.273
"Aug 31, 1993",72.420
"Sep 30, 1993",72.652
"Oct 29, 1993",82.528
"Nov 30, 1993",78.091
"Dec 31, 1993",82.352
"Jan 31, 1994",101.511
"Feb 28, 1994",99.905
"Mar 31, 1994",96.322
"Apr 29, 1994",103.561
"May 31, 1994",97.450
"Jun 30, 1994",96.272
"Jul 29, 1994",107.689
"Aug 31, 1994",117.857
"Sep 30, 1994",119.951
"Oct 31, 1994",134.690
"Nov 30, 1994",121.269
"Dec 30, 1994",124.594
"Jan 31, 1995",123.205
"Feb 28, 1995",123.838
"Mar 31, 1995",120.095
"Apr 28, 1995",135.277
"May 31, 1995",140.497
"Jun 30, 1995",160.776
"Jul 31, 1995",178.024
"Aug 31, 1995",174.768
"Sep 29, 1995",182.304
"Oct 31, 1995",155.836
"Nov 30, 1995",152.820
"Dec 29, 1995",128.807
"Jan 31, 1996",127.160
"Feb 29, 1996",124.322
"Mar 29, 1996",124.516
"Apr 30, 1996",124.275
"May 31, 1996",137.167
"Jun 28, 1996",130.814
"Jul 31, 1996",132.211
"Aug 30, 1996",146.721
"Sep 30, 1996",148.061
"Oct 31, 1996",151.434
"Nov 29, 1996",163.908
"Dec 31, 1996",169.661
"Jan 31, 1997",180.833
"Feb 28, 1997",178.022
"Mar 31, 1997",178.875
"Apr 30, 1997",178.914
"May 30, 1997",185.560
"Jun 30, 1997",198.060
"Jul 31, 1997",219.381
"Aug 29, 1997",200.357
"Sep 30, 1997",237.401
"Oct 31, 1997",219.652
"Nov 28, 1997",209.153
"Dec 31, 1997",196.761
"Jan 30, 1998",212.655
"Feb 27, 1998",252.469
"Mar 31, 1998",262.993
"Apr 30, 1998",310.869
"May 29, 1998",305.778
"Jun 30, 1998",323.869
"Jul 31, 1998",360.390
"Aug 31, 1998",289.731
"Sep 30, 1998",305.110
"Oct 30, 1998",341.826
"Nov 30, 1998",365.225
"Dec 31, 1998",431.102
"Jan 29, 1999",475.390
"Feb 26, 1999",448.066
"Mar 31, 1999",507.511
"Apr 30, 1999",503.621
"May 31, 1999",476.251
"Jun 30, 1999",551.779
"Jul 30, 1999",560.505
"Aug 31, 1999",540.556
"Sep 30, 1999",571.956
"Oct 29, 1999",685.121
"Nov 30, 1999",828.572
"Dec 31, 1999","1,080.803"
"Jan 31, 2000","1,081.241"
"Feb 29, 2000","1,173.461"
"Mar 31, 2000","1,205.007"
"Apr 28, 2000","1,239.750"
"May 31, 2000","1,126.394"
"Jun 30, 2000","1,103.889"
"Jul 31, 2000",966.570
"Aug 31, 2000",941.451
"Sep 29, 2000",858.832
"Oct 31, 2000",853.857
"Nov 30, 2000",864.530
"Dec 29, 2000",921.843
"Jan 31, 2001",764.836
"Feb 28, 2001",521.839
"Mar 30, 2001",527.718
"Apr 30, 2001",698.541
"May 31, 2001",619.399
"Jun 29, 2001",501.088
"Jul 31, 2001",489.762
"Aug 31, 2001",379.507
"Sep 28, 2001",376.973
"Oct 31, 2001",472.464
"Nov 30, 2001",519.602
"Dec 31, 2001",561.670
"Jan 31, 2002",514.194
"Feb 28, 2002",489.013
"Mar 29, 2002",487.997
"Apr 30, 2002",402.783
"May 30, 2002",362.192
"May 31, 2002",375.105
"Jun 03, 2002",365.878
"Jun 04, 2002",356.229
"Jun 05, 2002",362.305
"Jun 06, 2002",359.657
"Jun 07, 2002",339.921
"Jun 10, 2002",344.602
"Jun 11, 2002",357.692
"Jun 12, 2002",343.962
"Jun 13, 2002",340.561
"Jun 14, 2002",341.757
"Jun 17, 2002",355.794
"Jun 18, 2002",357.235
"Jun 19, 2002",347.248
"Jun 20, 2002",349.916
"Jun 21, 2002",351.621
"Jun 24, 2002",334.570
"Jun 25, 2002",340.942
"Jun 26, 2002",347.578
"Jun 27, 2002",361.272
"Jun 28, 2002",380.053
"Jul 01, 2002",376.887
"Jul 02, 2002",362.284
"Jul 03, 2002",356.892
"Jul 04, 2002",370.137
"Jul 05, 2002",385.563
"Jul 08, 2002",388.308
"Jul 09, 2002",382.107
"Jul 10, 2002",372.323
"Jul 11, 2002",362.079
"Jul 12, 2002",364.694
"Jul 15, 2002",355.988
"Jul 16, 2002",355.751
"Jul 17, 2002",370.737
"Jul 18, 2002",359.216
"Jul 19, 2002",345.497
"Jul 22, 2002",336.200
"Jul 23, 2002",309.899
"Jul 24, 2002",296.535
"Jul 25, 2002",303.153
"Jul 26, 2002",302.050
"Jul 29, 2002",319.030
"Jul 30, 2002",327.421
"Jul 31, 2002",325.314
"Aug 01, 2002",314.305
"Aug 02, 2002",304.045
"Aug 05, 2002",290.772
"Aug 06, 2002",297.213
"Aug 07, 2002",301.315
"Aug 08, 2002",309.323
"Aug 09, 2002",325.696
"Aug 12, 2002",325.759
"Aug 13, 2002",324.259
"Aug 14, 2002",313.653
"Aug 15, 2002",325.207
"Aug 16, 2002",334.562
"Aug 19, 2002",347.854
"Aug 20, 2002",347.505
"Aug 21, 2002",354.301
"Aug 22, 2002",363.623
"Aug 23, 2002",356.650
"Aug 26, 2002",348.294
"Aug 27, 2002",357.226
"Aug 28, 2002",344.047
"Aug 29, 2002",340.516
"Aug 30, 2002",338.624
"Sep 02, 2002",333.836
"Sep 03, 2002",321.700
"Sep 04, 2002",323.075
"Sep 05, 2002",331.023
"Sep 06, 2002",346.263
"Sep 09, 2002",344.298
"Sep 10, 2002",342.388
"Sep 11, 2002",360.903
"Sep 12, 2002",349.668
"Sep 13, 2002",346.037
"Sep 16, 2002",335.523
"Sep 17, 2002",335.550
"Sep 18, 2002",321.448
"Sep 19, 2002",321.534
"Sep 20, 2002",323.219
"Sep 23, 2002",314.430
"Sep 24, 2002",306.644
"Sep 25, 2002",317.271
"Sep 26, 2002",341.012
"Sep 27, 2002",341.899
"Sep 30, 2002",325.103
"Oct 01, 2002",329.348
"Oct 02, 2002",342.811
"Oct 03, 2002",337.376
"Oct 04, 2002",323.367
"Oct 07, 2002",319.741
"Oct 08, 2002",315.583
"Oct 09, 2002",318.514
"Oct 10, 2002",325.905
"Oct 11, 2002",345.714
"Oct 14, 2002",343.877
"Oct 15, 2002",368.740
"Oct 16, 2002",354.351
