Index Level :,Price
Currency :,USD


Date,FRANCE Standard (Large+Mid Cap) None
"Jan 29, 1993",524.602
"Feb 26, 1993",569.385
"Mar 31, 1993",594.708
"Apr 30, 1993",585.341
"May 31, 1993",569.359
"Jun 30, 1993",560.096
"Jul 30, 1993",566.239
"Aug 31, 1993",614.711
"Sep 30, 1993",608.464
"Oct 29, 1993",612.986
"Nov 30, 1993",593.130
"Dec 31, 1993",641.694
"Jan 31, 1994",665.977
"Feb 28, 1994",652.585
"Mar 31, 1994",622.078
"Apr 29, 1994",648.823
"May 31, 1994",617.501
"Jun 30, 1994",592.803
"Jul 29, 1994",650.546
"Aug 31, 1994",653.126
"Sep 30, 1994",608.079
"Oct 31, 1994",628.891
"Nov 30, 1994",621.327
"Dec 30, 1994",599.187
"Jan 31, 1995",584.317
"Feb 28, 1995",593.219
"Mar 31, 1995",670.404
"Apr 28, 1995",676.212
"May 31, 1995",682.803
"Jun 30, 1995",670.346
"Jul 31, 1995",699.931
"Aug 31, 1995",654.425
"Sep 29, 1995",641.113
"Oct 31, 1995",649.986
"Nov 30, 1995",645.840
"Dec 29, 1995",672.149
"Jan 31, 1996",698.528
"Feb 29, 1996",705.743
"Mar 29, 1996",725.832
"Apr 30, 1996",738.034
"May 31, 1996",728.919
"Jun 28, 1996",741.087
"Jul 31, 1996",719.458
"Aug 30, 1996",703.643
"Sep 30, 1996",741.488
"Oct 31, 1996",756.224
"Nov 29, 1996",795.383
"Dec 31, 1996",802.271
"Jan 31, 1997",819.417
"Feb 28, 1997",822.718
"Mar 31, 1997",847.203
"Apr 30, 1997",811.818
"May 30, 1997",804.203
"Jun 30, 1997",870.184
"Jul 31, 1997",884.388
"Aug 29, 1997",816.451
"Sep 30, 1997",901.997
"Oct 31, 1997",840.756
"Nov 28, 1997",857.696
"Dec 31, 1997",887.078
"Jan 30, 1998",917.847
"Feb 27, 1998",994.088
"Mar 31, 1998","1,103.879"
"Apr 30, 1998","1,138.769"
"May 29, 1998","1,196.896"
"Jun 30, 1998","1,223.863"
"Jul 31, 1998","1,235.261"
"Aug 31, 1998","1,092.671"
"Sep 30, 1998","1,019.962"
"Oct 30, 1998","1,124.189"
"Nov 30, 1998","1,193.715"
"Dec 31, 1998","1,241.949"
"Jan 29, 1999","1,276.939"
"Feb 26, 1999","1,192.220"
"Mar 31, 1999","1,213.218"
"Apr 30, 1999","1,243.938"
"May 31, 1999","1,213.930"
"Jun 30, 1999","1,249.414"
"Jul 30, 1999","1,255.013"
"Aug 31, 1999","1,299.545"
"Sep 30, 1999","1,311.846"
"Oct 29, 1999","1,383.087"
"Nov 30, 1999","1,427.719"
"Dec 31, 1999","1,589.672"
"Jan 31, 2000","1,483.540"
"Feb 29, 2000","1,615.592"
"Mar 31, 2000","1,632.288"
"Apr 28, 2000","1,577.623"
"May 31, 2000","1,619.082"
"Jun 30, 2000","1,679.325"
"Jul 31, 2000","1,651.064"
"Aug 31, 2000","1,609.819"
"Sep 29, 2000","1,506.325"
"Oct 31, 2000","1,469.419"
"Nov 30, 2000","1,400.215"
"Dec 29, 2000","1,509.449"
"Jan 31, 2001","1,512.388"
"Feb 28, 2001","1,342.933"
"Mar 30, 2001","1,249.438"
"Apr 30, 2001","1,361.752"
"May 31, 2001","1,265.636"
"Jun 29, 2001","1,213.466"
"Jul 31, 2001","1,218.918"
"Aug 31, 2001","1,177.243"
"Sep 28, 2001","1,039.639"
"Oct 31, 2001","1,091.763"
"Nov 30, 2001","1,123.946"
"Dec 31, 2001","1,159.603"
"Jan 31, 2002","1,085.810"
"Feb 28, 2002","1,095.064"
"Mar 29, 2002","1,153.030"
"Apr 30, 2002","1,133.797"
"May 30, 2002","1,128.906"
"May 31, 2002","1,129.309"
"Jun 03, 2002","1,120.482"
"Jun 04, 2002","1,085.299"
"Jun 05, 2002","1,082.838"
"Jun 06, 2002","1,094.342"
"Jun 07, 2002","1,073.467"
"Jun 10, 2002","1,074.976"
"Jun 11, 2002","1,092.492"
"Jun 12, 2002","1,070.666"
"Jun 13, 2002","1,058.214"
"Jun 14, 2002","1,032.236"
"Jun 17, 2002","1,071.575"
"Jun 18, 2002","1,075.316"
"Jun 19, 2002","1,065.408"
"Jun 20, 2002","1,049.648"
"Jun 21, 2002","1,046.773"
"Jun 24, 2002","1,020.139"
"Jun 25, 2002","1,038.161"
"Jun 26, 2002","1,040.600"
"Jun 27, 2002","1,045.022"
"Jun 28, 2002","1,093.488"
"Jul 01, 2002","1,090.372"
"Jul 02, 2002","1,043.346"
"Jul 03, 2002","1,006.375"
"Jul 04, 2002","1,023.969"
"Jul 05, 2002","1,061.138"
"Jul 08, 2002","1,077.275"
"Jul 09, 2002","1,073.703"
"Jul 10, 2002","1,024.968"
"Jul 11, 2002",985.706
"Jul 12, 2002",985.515
"Jul 15, 2002",949.905
"Jul 16, 2002",949.781
"Jul 17, 2002",980.944
"Jul 18, 2002","1,000.529"
"Jul 19, 2002",954.034
"Jul 22, 2002",897.991
"Jul 23, 2002",864.105
"Jul 24, 2002",849.874
"Jul 25, 2002",890.997
"Jul 26, 2002",885.674
"Jul 29, 2002",934.045
"Jul 30, 2002",939.406
"Jul 31, 2002",945.478
"Aug 01, 2002",901.810
"Aug 02, 2002",905.657
"Aug 05, 2002",872.773
"Aug 06, 2002",896.365
"Aug 07, 2002",898.648
"Aug 08, 2002",927.404
"Aug 09, 2002",943.481
"Aug 12, 2002",926.314
"Aug 13, 2002",932.191
"Aug 14, 2002",900.533
"Aug 15, 2002",929.151
"Aug 16, 2002",933.651
"Aug 19, 2002",957.188
"Aug 20, 2002",941.343
"Aug 21, 2002",959.177
"Aug 22, 2002",980.090
"Aug 23, 2002",962.706
"Aug 26, 2002",946.378
"Aug 27, 2002",981.736
"Aug 28, 2002",942.104
"Aug 29, 2002",922.221
"Aug 30, 2002",930.474
"Sep 02, 2002",908.316
"Sep 03, 2002",880.008
"Sep 04, 2002",887.661
"Sep 05, 2002",879.348
"Sep 06, 2002",904.232
"Sep 09, 2002",888.533
"Sep 10, 2002",908.644
"Sep 11, 2002",932.976
"Sep 12, 2002",897.171
"Sep 13, 2002",875.873
"Sep 16, 2002",866.617
"Sep 17, 2002",857.044
"Sep 18, 2002",835.081
"Sep 19, 2002",820.264
"Sep 20, 2002",810.246
"Sep 23, 2002",785.659
"Sep 24, 2002",768.000
"Sep 25, 2002",778.776
"Sep 26, 2002",826.576
