Index Level :,Price
Currency :,USD


Date,GERMANY Standard (Large+Mid Cap) None
"Jan 29, 1993",532.149
"Feb 26, 1993",558.754
"Mar 31, 1993",573.769
"Apr 30, 1993",565.061
"May 31, 1993",562.746
"Jun 30, 1993",543.403
"Jul 30, 1993",560.670
"Aug 31, 1993",622.416
"Sep 30, 1993",632.110
"Oct 29, 1993",668.979
"Nov 30, 1993",652.401
"Dec 31, 1993",689.588
"Jan 31, 1994",668.732
"Feb 28, 1994",655.465
"Mar 31, 1994",677.438
"Apr 29, 1994",717.322
"May 31, 1994",675.157
"Jun 30, 1994",676.395
"Jul 29, 1994",708.932
"Aug 31, 1994",734.206
"Sep 30, 1994",689.866
"Oct 31, 1994",727.553
"Nov 30, 1994",688.557
"Dec 30, 1994",712.565
"Jan 31, 1995",698.267
"Feb 28, 1995",756.635
"Mar 31, 1995",738.362
"Apr 28, 1995",768.712
"May 31, 1995",774.182
"Jun 30, 1995",795.122
"Jul 31, 1995",841.247
"Aug 31, 1995",794.877
"Sep 29, 1995",804.901
"Oct 31, 1995",794.144
"Nov 30, 1995",794.759
"Dec 29, 1995",818.115
"Jan 31, 1996",852.495
"Feb 29, 1996",859.098
"Mar 29, 1996",854.787
"Apr 30, 1996",822.666
"May 31, 1996",833.492
"Jun 28, 1996",849.525
"Jul 31, 1996",850.947
"Aug 30, 1996",869.569
"Sep 30, 1996",874.279
"Oct 31, 1996",881.303
"Nov 29, 1996",915.282
"Dec 31, 1996",917.178
"Jan 31, 1997",912.325
"Feb 28, 1997",949.131
"Mar 31, 1997","1,017.866"
"Apr 30, 1997",980.252
"May 30, 1997","1,020.774"
"Jun 30, 1997","1,064.779"
"Jul 31, 1997","1,167.917"
"Aug 29, 1997","1,051.336"
"Sep 30, 1997","1,131.246"
"Oct 31, 1997","1,051.135"
"Nov 28, 1997","1,086.534"
"Dec 31, 1997","1,130.582"
"Jan 30, 1998","1,163.626"
"Feb 27, 1998","1,236.710"
"Mar 31, 1998","1,318.826"
"Apr 30, 1998","1,366.502"
"May 29, 1998","1,475.094"
"Jun 30, 1998","1,535.809"
"Jul 31, 1998","1,571.326"
"Aug 31, 1998","1,312.086"
"Sep 30, 1998","1,293.779"
"Oct 30, 1998","1,346.637"
"Nov 30, 1998","1,415.128"
"Dec 31, 1998","1,449.010"
"Jan 29, 1999","1,471.828"
"Feb 26, 1999","1,348.995"
"Mar 31, 1999","1,311.052"
"Apr 30, 1999","1,394.822"
"May 31, 1999","1,308.676"
"Jun 30, 1999","1,380.079"
"Jul 30, 1999","1,356.625"
"Aug 31, 1999","1,378.783"
"Sep 30, 1999","1,358.859"
"Oct 29, 1999","1,431.064"
"Nov 30, 1999","1,469.504"
"Dec 31, 1999","1,719.939"
"Jan 31, 2000","1,658.923"
"Feb 29, 2000","1,830.852"
"Mar 31, 2000","1,800.050"
"Apr 28, 2000","1,642.923"
"May 31, 2000","1,590.476"
"Jun 30, 2000","1,584.314"
"Jul 31, 2000","1,576.875"
"Aug 31, 2000","1,502.949"
"Sep 29, 2000","1,422.997"
"Oct 31, 2000","1,431.973"
"Nov 30, 2000","1,325.327"
"Dec 29, 2000","1,436.415"
"Jan 31, 2001","1,490.011"
"Feb 28, 2001","1,367.086"
"Mar 30, 2001","1,223.456"
"Apr 30, 2001","1,303.007"
"May 31, 2001","1,212.661"
"Jun 29, 2001","1,203.107"
"Jul 31, 2001","1,207.589"
"Aug 31, 2001","1,121.527"
"Sep 28, 2001",939.331
"Oct 31, 2001",980.639
"Nov 30, 2001","1,066.718"
"Dec 31, 2001","1,099.299"
"Jan 31, 2002","1,047.983"
"Feb 28, 2002","1,034.158"
"Mar 29, 2002","1,116.153"
"Apr 30, 2002","1,079.795"
"May 30, 2002","1,055.072"
"May 31, 2002","1,061.474"
"Jun 03, 2002","1,051.898"
"Jun 04, 2002","1,030.015"
"Jun 05, 2002","1,024.137"
"Jun 06, 2002","1,039.675"
"Jun 07, 2002","1,027.455"
"Jun 10, 2002","1,022.365"
"Jun 11, 2002","1,022.849"
"Jun 12, 2002","1,005.893"
"Jun 13, 2002",997.451
"Jun 14, 2002",964.573
"Jun 17, 2002",996.385
"Jun 18, 2002",993.058
"Jun 19, 2002",981.705
"Jun 20, 2002",969.929
"Jun 21, 2002",974.844
"Jun 24, 2002",959.094
"Jun 25, 2002",968.734
"Jun 26, 2002",964.197
"Jun 27, 2002",994.158
"Jun 28, 2002","1,028.173"
"Jul 01, 2002","1,022.543"
"Jul 02, 2002",981.960
"Jul 03, 2002",962.243
"Jul 04, 2002",986.690
"Jul 05, 2002","1,030.675"
"Jul 08, 2002","1,036.216"
"Jul 09, 2002","1,024.257"
"Jul 10, 2002",977.630
"Jul 11, 2002",960.444
"Jul 12, 2002",963.552
"Jul 15, 2002",930.465
"Jul 16, 2002",949.825
"Jul 17, 2002",973.016
"Jul 18, 2002",974.625
"Jul 19, 2002",932.376
"Jul 22, 2002",879.151
"Jul 23, 2002",825.971
"Jul 24, 2002",852.391
"Jul 25, 2002",833.941
"Jul 26, 2002",836.832
"Jul 29, 2002",891.483
"Jul 30, 2002",904.274
"Jul 31, 2002",858.086
"Aug 01, 2002",838.244
"Aug 02, 2002",824.740
"Aug 05, 2002",779.244
"Aug 06, 2002",813.210
"Aug 07, 2002",796.887
"Aug 08, 2002",844.316
"Aug 09, 2002",866.204
"Aug 12, 2002",844.757
"Aug 13, 2002",852.160
"Aug 14, 2002",838.656
"Aug 15, 2002",850.161
"Aug 16, 2002",858.795
"Aug 19, 2002",886.326
"Aug 20, 2002",869.932
"Aug 21, 2002",897.191
"Aug 22, 2002",898.462
"Aug 23, 2002",881.194
"Aug 26, 2002",870.985
"Aug 27, 2002",892.859
"Aug 28, 2002",855.537
"Aug 29, 2002",852.700
"Aug 30, 2002",861.807
"Sep 02, 2002",841.796
"Sep 03, 2002",803.725
"Sep 04, 2002",807.900
"Sep 05, 2002",789.124
"Sep 06, 2002",813.633
"Sep 09, 2002",797.598
"Sep 10, 2002",806.253
"Sep 11, 2002",824.656
"Sep 12, 2002",791.610
"Sep 13, 2002",779.112
"Sep 16, 2002",763.805
"Sep 17, 2002",754.713
"Sep 18, 2002",723.491
"Sep 19, 2002",702.490
"Sep 20, 2002",716.093
"Sep 23, 2002",682.153
"Sep 24, 2002",670.030
"Sep 25, 2002",689.368
"Sep 26, 2002",700.933
"Sep 27, 2002",677.944
