Index Level :,Price
Currency :,USD


Date,GHANA Standard (Large+Mid Cap) None
"Nov 25, 2008","1,000.000"
"Nov 26, 2008",996.478
"Nov 27, 2008",992.571
"Nov 28, 2008",990.323
"Dec 01, 2008",988.898
"Dec 02, 2008",981.833
"Dec 03, 2008",981.432
"Dec 04, 2008",981.032
"Dec 05, 2008",981.032
"Dec 08, 2008",981.032
"Dec 09, 2008",982.034
"Dec 10, 2008",982.034
"Dec 11, 2008",969.172
"Dec 12, 2008",968.196
"Dec 15, 2008",982.034
"Dec 16, 2008",982.034
"Dec 17, 2008",961.615
"Dec 18, 2008",960.847
"Dec 19, 2008",982.034
"Dec 22, 2008",954.365
"Dec 23, 2008",953.230
"Dec 24, 2008",951.910
"Dec 25, 2008",951.910
"Dec 26, 2008",951.910
"Dec 29, 2008",948.531
"Dec 30, 2008",948.157
"Dec 31, 2008",944.805
"Jan 01, 2009",944.805
"Jan 02, 2009",943.692
"Jan 05, 2009",942.029
"Jan 06, 2009",940.555
"Jan 07, 2009",938.903
"Jan 08, 2009",939.086
"Jan 09, 2009",933.075
"Jan 12, 2009",933.981
"Jan 13, 2009",933.256
"Jan 14, 2009",933.799
"Jan 15, 2009",934.162
"Jan 16, 2009",928.571
"Jan 19, 2009",925.356
"Jan 20, 2009",919.694
"Jan 21, 2009",918.114
"Jan 22, 2009",917.939
"Jan 23, 2009",916.016
"Jan 26, 2009",912.714
"Jan 27, 2009",912.367
"Jan 28, 2009",905.327
"Jan 29, 2009",909.263
"Jan 30, 2009",897.221
"Feb 02, 2009",902.101
"Feb 03, 2009",889.752
"Feb 04, 2009",896.385
"Feb 05, 2009",893.388
"Feb 06, 2009",889.752
"Feb 09, 2009",886.799
"Feb 10, 2009",886.309
"Feb 11, 2009",887.454
"Feb 12, 2009",886.473
"Feb 13, 2009",877.417
"Feb 16, 2009",870.904
"Feb 17, 2009",877.737
"Feb 18, 2009",875.023
"Feb 19, 2009",868.545
"Feb 20, 2009",868.701
"Feb 23, 2009",864.797
"Feb 24, 2009",861.698
"Feb 25, 2009",861.698
"Feb 26, 2009",862.626
"Feb 27, 2009",863.555
"Mar 02, 2009",862.162
"Mar 03, 2009",862.224
"Mar 04, 2009",862.007
"Mar 05, 2009",862.007
"Mar 06, 2009",862.007
"Mar 09, 2009",859.235
"Mar 10, 2009",858.775
"Mar 11, 2009",857.398
"Mar 12, 2009",856.787
"Mar 13, 2009",856.482
"Mar 16, 2009",855.567
"Mar 17, 2009",852.837
"Mar 18, 2009",852.837
"Mar 19, 2009",856.177
"Mar 20, 2009",856.634
"Mar 23, 2009",836.566
"Mar 24, 2009",834.343
"Mar 25, 2009",799.009
"Mar 26, 2009",798.160
"Mar 27, 2009",799.292
"Mar 30, 2009",799.575
"Mar 31, 2009",798.443
"Apr 01, 2009",797.878
"Apr 02, 2009",797.173
"Apr 03, 2009",796.891
"Apr 06, 2009",796.750
"Apr 07, 2009",796.891
"Apr 08, 2009",795.906
"Apr 09, 2009",795.345
"Apr 10, 2009",795.345
"Apr 13, 2009",795.345
"Apr 14, 2009",794.784
"Apr 15, 2009",791.298
"Apr 16, 2009",789.082
"Apr 17, 2009",787.017
"Apr 20, 2009",789.220
"Apr 21, 2009",789.220
"Apr 22, 2009",785.372
"Apr 23, 2009",782.782
"Apr 24, 2009",782.782
"Apr 27, 2009",762.020
"Apr 28, 2009",760.574
"Apr 29, 2009",759.656
"Apr 30, 2009",757.958
"May 01, 2009",757.958
"May 04, 2009",757.958
"May 05, 2009",758.219
"May 06, 2009",758.088
"May 07, 2009",752.224
"May 08, 2009",753.261
"May 11, 2009",753.391
"May 12, 2009",752.483
"May 13, 2009",752.872
"May 14, 2009",752.344
"May 15, 2009",646.332
"May 18, 2009",751.568
"May 19, 2009",645.223
"May 20, 2009",644.118
"May 21, 2009",639.737
"May 22, 2009",639.302
"May 25, 2009",639.302
"May 26, 2009",635.707
"May 27, 2009",635.383
"May 28, 2009",583.192
"May 29, 2009",582.401
"Jun 01, 2009",580.379
"Jun 02, 2009",579.102
"Jun 03, 2009",575.689
"Jun 04, 2009",576.620
"Jun 05, 2009",575.844
"Jun 08, 2009",578.079
"Jun 09, 2009",577.300
"Jun 10, 2009",576.620
"Jun 11, 2009",575.844
"Jun 12, 2009",576.231
"Jun 15, 2009",575.554
"Jun 16, 2009",575.650
"Jun 17, 2009",575.650
"Jun 18, 2009",574.010
"Jun 19, 2009",581.563
"Jun 22, 2009",580.686
"Jun 23, 2009",580.491
"Jun 24, 2009",580.199
"Jun 25, 2009",579.520
"Jun 26, 2009",580.444
"Jun 29, 2009",580.153
"Jun 30, 2009",579.959
"Jul 01, 2009",579.959
"Jul 02, 2009",580.347
"Jul 03, 2009",579.668
"Jul 06, 2009",578.315
"Jul 07, 2009",578.123
"Jul 08, 2009",579.571
"Jul 09, 2009",578.991
"Jul 10, 2009",576.873
"Jul 13, 2009",578.219
"Jul 14, 2009",578.894
"Jul 15, 2009",578.605
"Jul 16, 2009",578.605
"Jul 17, 2009",577.545
"Jul 20, 2009",577.834
"Jul 21, 2009",578.219
"Jul 22, 2009",578.123
"Jul 23, 2009",578.508
"Jul 24, 2009",577.930
"Jul 27, 2009",578.219
"Jul 28, 2009",577.257
"Jul 29, 2009",577.161
"Jul 30, 2009",577.161
"Jul 31, 2009",579.571
"Aug 03, 2009",579.862
"Aug 04, 2009",580.347
"Aug 05, 2009",581.807
"Aug 06, 2009",586.925
"Aug 07, 2009",590.019
"Aug 10, 2009",588.818
"Aug 11, 2009",590.622
"Aug 12, 2009",588.918
"Aug 13, 2009",621.950
"Aug 14, 2009",622.783
"Aug 17, 2009",622.783
"Aug 18, 2009",624.054
"Aug 19, 2009",625.437
"Aug 20, 2009",624.373
"Aug 21, 2009",625.437
"Aug 24, 2009",627.363
"Aug 25, 2009",663.720
"Aug 26, 2009",661.681
"Aug 27, 2009",662.586
"Aug 28, 2009",663.720
"Aug 31, 2009",663.379
"Sep 01, 2009",684.989
"Sep 02, 2009",685.693
"Sep 03, 2009",686.046
"Sep 04, 2009",693.741
"Sep 07, 2009",695.051
"Sep 08, 2009",695.290
"Sep 09, 2009",695.768
"Sep 10, 2009",695.171
"Sep 11, 2009",695.529
"Sep 14, 2009",699.953
"Sep 15, 2009",699.953
"Sep 16, 2009",698.258
"Sep 17, 2009",697.300
"Sep 18, 2009",701.872
"Sep 21, 2009",700.060
