Index Level :,Price
Currency :,USD


Date,GREECE Standard (Large+Mid Cap) None
"Jan 29, 1993",177.993
"Feb 26, 1993",192.399
"Mar 31, 1993",182.065
"Apr 30, 1993",178.036
"May 31, 1993",181.667
"Jun 30, 1993",178.683
"Jul 30, 1993",196.859
"Aug 31, 1993",204.203
"Sep 30, 1993",193.347
"Oct 29, 1993",196.644
"Nov 30, 1993",198.930
"Dec 31, 1993",220.421
"Jan 31, 1994",240.585
"Feb 28, 1994",247.213
"Mar 31, 1994",230.846
"Apr 29, 1994",231.210
"May 31, 1994",205.278
"Jun 30, 1994",204.881
"Jul 29, 1994",204.495
"Aug 31, 1994",206.226
"Sep 30, 1994",209.043
"Oct 31, 1994",207.570
"Nov 30, 1994",208.563
"Dec 30, 1994",216.166
"Jan 31, 1995",204.544
"Feb 28, 1995",210.813
"Mar 31, 1995",223.834
"Apr 28, 1995",224.784
"May 31, 1995",240.380
"Jun 30, 1995",245.539
"Jul 31, 1995",261.539
"Aug 31, 1995",247.844
"Sep 29, 1995",254.393
"Oct 31, 1995",243.851
"Nov 30, 1995",226.976
"Dec 29, 1995",238.225
"Jan 31, 1996",252.490
"Feb 29, 1996",263.043
"Mar 29, 1996",263.223
"Apr 30, 1996",242.914
"May 31, 1996",247.135
"Jun 28, 1996",243.032
"Jul 31, 1996",243.290
"Aug 30, 1996",258.206
"Sep 30, 1996",255.002
"Oct 31, 1996",249.847
"Nov 29, 1996",239.065
"Dec 31, 1996",241.594
"Jan 31, 1997",290.161
"Feb 28, 1997",308.478
"Mar 31, 1997",320.116
"Apr 30, 1997",327.255
"May 30, 1997",369.801
"Jun 30, 1997",340.763
"Jul 31, 1997",343.201
"Aug 29, 1997",330.828
"Sep 30, 1997",388.549
"Oct 31, 1997",333.106
"Nov 28, 1997",324.608
"Dec 31, 1997",320.463
"Jan 30, 1998",296.535
"Feb 27, 1998",305.956
"Mar 31, 1998",394.132
"Apr 30, 1998",497.506
"May 29, 1998",501.736
"Jun 30, 1998",459.474
"Jul 31, 1998",547.802
"Aug 31, 1998",423.969
"Sep 30, 1998",437.398
"Oct 30, 1998",445.568
"Nov 30, 1998",510.725
"Dec 31, 1998",560.854
"Jan 29, 1999",642.695
"Feb 26, 1999",634.338
"Mar 31, 1999",612.402
"Apr 30, 1999",645.604
"May 31, 1999",670.412
"Jun 30, 1999",661.718
"Jul 30, 1999",715.085
"Aug 31, 1999",826.825
"Sep 30, 1999",881.397
"Oct 29, 1999",835.306
"Nov 30, 1999",845.478
"Dec 31, 1999",827.702
"Jan 31, 2000",739.344
"Feb 29, 2000",757.791
"Mar 31, 2000",712.127
"Apr 28, 2000",597.034
"May 31, 2000",659.842
"Jun 30, 2000",606.376
"Jul 31, 2000",579.937
"Aug 31, 2000",487.451
"Sep 29, 2000",556.234
"Oct 31, 2000",490.611
"Nov 30, 2000",425.930
"Dec 29, 2000",475.768
"Jan 31, 2001",455.878
"Feb 28, 2001",432.734
"Mar 30, 2001",408.260
"Apr 30, 2001",442.833
"May 31, 2001",390.437
"Jun 29, 2001",341.111
"Jul 31, 2001",341.596
"Aug 31, 2001",361.301
"Sep 28, 2001",290.642
"Oct 31, 2001",320.143
"Nov 30, 2001",339.182
"Dec 31, 2001",326.586
"Jan 31, 2002",314.189
"Feb 28, 2002",282.338
"Mar 29, 2002",276.522
"Apr 30, 2002",272.494
"May 30, 2002",292.651
"May 31, 2002",295.559
"Jun 03, 2002",293.167
"Jun 04, 2002",292.418
"Jun 05, 2002",294.749
"Jun 06, 2002",300.888
"Jun 07, 2002",297.841
"Jun 10, 2002",299.090
"Jun 11, 2002",298.442
"Jun 12, 2002",298.029
"Jun 13, 2002",295.329
"Jun 14, 2002",289.059
"Jun 17, 2002",286.435
"Jun 18, 2002",287.133
"Jun 19, 2002",285.535
"Jun 20, 2002",285.110
"Jun 21, 2002",287.603
"Jun 24, 2002",290.170
"Jun 25, 2002",293.615
"Jun 26, 2002",295.049
"Jun 27, 2002",297.469
"Jun 28, 2002",300.108
"Jul 01, 2002",297.211
"Jul 02, 2002",290.729
"Jul 03, 2002",287.885
"Jul 04, 2002",290.848
"Jul 05, 2002",289.779
"Jul 08, 2002",294.370
"Jul 09, 2002",293.650
"Jul 10, 2002",287.769
"Jul 11, 2002",284.610
"Jul 12, 2002",282.941
"Jul 15, 2002",287.315
"Jul 16, 2002",284.739
"Jul 17, 2002",285.152
"Jul 18, 2002",287.906
"Jul 19, 2002",285.712
"Jul 22, 2002",277.275
"Jul 23, 2002",273.730
"Jul 24, 2002",266.092
"Jul 25, 2002",274.128
"Jul 26, 2002",269.343
"Jul 29, 2002",274.848
"Jul 30, 2002",278.856
"Jul 31, 2002",275.563
"Aug 01, 2002",277.373
"Aug 02, 2002",276.064
"Aug 05, 2002",273.501
"Aug 06, 2002",267.779
"Aug 07, 2002",274.482
"Aug 08, 2002",274.001
"Aug 09, 2002",276.043
"Aug 12, 2002",277.187
"Aug 13, 2002",276.413
"Aug 14, 2002",281.704
"Aug 15, 2002",279.606
"Aug 16, 2002",283.115
"Aug 19, 2002",281.839
"Aug 20, 2002",282.784
"Aug 21, 2002",289.978
"Aug 22, 2002",284.561
"Aug 23, 2002",281.961
"Aug 26, 2002",282.008
"Aug 27, 2002",285.386
"Aug 28, 2002",283.601
"Aug 29, 2002",280.206
"Aug 30, 2002",276.676
"Sep 02, 2002",273.496
"Sep 03, 2002",278.028
"Sep 04, 2002",274.750
"Sep 05, 2002",270.402
"Sep 06, 2002",270.060
"Sep 09, 2002",265.358
"Sep 10, 2002",263.410
"Sep 11, 2002",263.124
"Sep 12, 2002",259.585
"Sep 13, 2002",254.584
"Sep 16, 2002",249.539
"Sep 17, 2002",247.281
"Sep 18, 2002",244.640
"Sep 19, 2002",241.938
"Sep 20, 2002",244.167
"Sep 23, 2002",239.677
"Sep 24, 2002",234.933
"Sep 25, 2002",235.556
"Sep 26, 2002",240.517
"Sep 27, 2002",240.599
"Sep 30, 2002",238.872
"Oct 01, 2002",236.457
"Oct 02, 2002",233.156
"Oct 03, 2002",227.219
"Oct 04, 2002",228.545
"Oct 07, 2002",221.880
"Oct 08, 2002",219.836
"Oct 09, 2002",220.077
"Oct 10, 2002",220.580
"Oct 11, 2002",231.598
"Oct 14, 2002",231.793
"Oct 15, 2002",232.581
"Oct 16, 2002",228.904
"Oct 17, 2002",230.919
"Oct 18, 2002",230.565
