Index Level :,Price
Currency :,USD


Date,HONG KONG Standard (Large+Mid Cap) None
"Jan 29, 1993","2,924.945"
"Feb 26, 1993","3,216.566"
"Mar 31, 1993","3,217.815"
"Apr 30, 1993","3,454.091"
"May 31, 1993","3,741.758"
"Jun 30, 1993","3,598.845"
"Jul 30, 1993","3,522.339"
"Aug 31, 1993","3,769.057"
"Sep 30, 1993","3,837.565"
"Oct 29, 1993","4,718.861"
"Nov 30, 1993","4,641.759"
"Dec 31, 1993","5,907.268"
"Jan 31, 1994","5,675.338"
"Feb 28, 1994","5,070.293"
"Mar 31, 1994","4,512.761"
"Apr 29, 1994","4,520.301"
"May 31, 1994","4,821.084"
"Jun 30, 1994","4,418.591"
"Jul 29, 1994","4,759.528"
"Aug 31, 1994","5,017.465"
"Sep 30, 1994","4,791.808"
"Oct 31, 1994","4,815.494"
"Nov 30, 1994","4,218.102"
"Dec 30, 1994","4,075.766"
"Jan 31, 1995","3,584.733"
"Feb 28, 1995","4,121.783"
"Mar 31, 1995","4,214.077"
"Apr 28, 1995","4,081.944"
"May 31, 1995","4,606.120"
"Jun 30, 1995","4,518.514"
"Jul 31, 1995","4,596.776"
"Aug 31, 1995","4,431.309"
"Sep 29, 1995","4,683.155"
"Oct 31, 1995","4,679.733"
"Nov 30, 1995","4,678.901"
"Dec 29, 1995","4,818.413"
"Jan 31, 1996","5,425.841"
"Feb 29, 1996","5,351.566"
"Mar 29, 1996","5,342.395"
"Apr 30, 1996","5,340.496"
"May 31, 1996","5,486.387"
"Jun 28, 1996","5,344.814"
"Jul 31, 1996","5,087.004"
"Aug 30, 1996","5,238.609"
"Sep 30, 1996","5,581.124"
"Oct 31, 1996","5,800.921"
"Nov 29, 1996","6,260.850"
"Dec 31, 1996","6,213.251"
"Jan 31, 1997","6,064.610"
"Feb 28, 1997","6,039.503"
"Mar 31, 1997","5,623.367"
"Apr 30, 1997","5,699.636"
"May 30, 1997","6,403.863"
"Jun 30, 1997","6,715.843"
"Jul 31, 1997","7,119.534"
"Aug 29, 1997","6,170.183"
"Sep 30, 1997","6,544.837"
"Oct 31, 1997","4,639.199"
"Nov 28, 1997","4,560.517"
"Dec 31, 1997","4,609.391"
"Jan 30, 1998","3,950.762"
"Feb 27, 1998","4,716.613"
"Mar 31, 1998","4,602.628"
"Apr 30, 1998","4,099.865"
"May 29, 1998","3,524.363"
"Jun 30, 1998","3,321.431"
"Jul 31, 1998","3,059.228"
"Aug 31, 1998","2,839.081"
"Sep 30, 1998","3,290.272"
"Oct 30, 1998","4,369.771"
"Nov 30, 1998","4,348.674"
"Dec 31, 1998","4,259.022"
"Jan 29, 1999","3,961.860"
"Feb 26, 1999","3,987.742"
"Mar 31, 1999","4,498.784"
"Apr 30, 1999","5,490.048"
"May 31, 1999","5,038.281"
"Jun 30, 1999","5,508.071"
"Jul 30, 1999","5,318.718"
"Aug 31, 1999","5,355.050"
"Sep 30, 1999","5,128.511"
"Oct 29, 1999","5,384.420"
"Nov 30, 1999","6,070.813"
"Dec 31, 1999","6,595.116"
"Jan 31, 2000","6,081.484"
"Feb 29, 2000","6,425.875"
"Mar 31, 2000","6,584.864"
"Apr 28, 2000","5,954.681"
"May 31, 2000","5,261.083"
"Jun 30, 2000","5,656.774"
"Jul 31, 2000","6,027.262"
"Aug 31, 2000","6,070.521"
"Sep 29, 2000","5,562.645"
"Oct 31, 2000","5,178.460"
"Nov 30, 2000","4,985.196"
"Dec 29, 2000","5,475.329"
"Jan 31, 2001","5,634.499"
"Feb 28, 2001","5,505.778"
"Mar 30, 2001","4,904.516"
"Apr 30, 2001","4,877.287"
"May 31, 2001","4,786.714"
"Jun 29, 2001","4,527.572"
"Jul 31, 2001","4,516.536"
"Aug 31, 2001","4,185.610"
"Sep 28, 2001","3,534.724"
"Oct 31, 2001","3,644.045"
"Nov 30, 2001","4,105.538"
"Dec 31, 2001","4,314.404"
"Jan 31, 2002","4,237.890"
"Feb 28, 2002","4,071.086"
"Mar 29, 2002","4,296.071"
"Apr 30, 2002","4,515.757"
"May 30, 2002","4,352.556"
"May 31, 2002","4,294.630"
"Jun 03, 2002","4,298.837"
"Jun 04, 2002","4,300.538"
"Jun 05, 2002","4,338.722"
"Jun 06, 2002","4,321.236"
"Jun 07, 2002","4,314.205"
"Jun 10, 2002","4,339.612"
"Jun 11, 2002","4,297.701"
"Jun 12, 2002","4,262.367"
"Jun 13, 2002","4,254.803"
"Jun 14, 2002","4,194.360"
"Jun 17, 2002","4,150.407"
"Jun 18, 2002","4,136.812"
"Jun 19, 2002","4,053.350"
"Jun 20, 2002","4,103.707"
"Jun 21, 2002","4,056.805"
"Jun 24, 2002","4,066.027"
"Jun 25, 2002","4,054.170"
"Jun 26, 2002","3,955.639"
"Jun 27, 2002","4,029.598"
"Jun 28, 2002","4,034.871"
"Jul 01, 2002","4,034.948"
"Jul 02, 2002","3,987.766"
"Jul 03, 2002","4,045.934"
"Jul 04, 2002","4,127.577"
"Jul 05, 2002","4,150.065"
"Jul 08, 2002","4,123.553"
"Jul 09, 2002","4,120.304"
"Jul 10, 2002","4,121.041"
"Jul 11, 2002","4,024.604"
"Jul 12, 2002","4,053.553"
"Jul 15, 2002","4,052.421"
"Jul 16, 2002","3,977.411"
"Jul 17, 2002","3,927.520"
"Jul 18, 2002","3,954.101"
"Jul 19, 2002","3,909.422"
"Jul 22, 2002","3,832.271"
"Jul 23, 2002","3,937.701"
"Jul 24, 2002","3,829.044"
"Jul 25, 2002","3,766.488"
"Jul 26, 2002","3,700.053"
"Jul 29, 2002","3,780.662"
"Jul 30, 2002","3,841.151"
"Jul 31, 2002","3,868.031"
"Aug 01, 2002","3,830.124"
"Aug 02, 2002","3,772.491"
"Aug 05, 2002","3,696.125"
"Aug 06, 2002","3,613.967"
"Aug 07, 2002","3,713.200"
"Aug 08, 2002","3,701.366"
"Aug 09, 2002","3,674.559"
"Aug 12, 2002","3,620.165"
"Aug 13, 2002","3,679.468"
"Aug 14, 2002","3,627.666"
"Aug 15, 2002","3,708.465"
"Aug 16, 2002","3,731.903"
"Aug 19, 2002","3,706.292"
"Aug 20, 2002","3,775.089"
"Aug 21, 2002","3,806.244"
"Aug 22, 2002","3,815.103"
"Aug 23, 2002","3,783.449"
"Aug 26, 2002","3,774.240"
"Aug 27, 2002","3,730.671"
"Aug 28, 2002","3,703.152"
"Aug 29, 2002","3,673.043"
