Index Level :,Price
Currency :,USD


Date,HUNGARY Standard (Large+Mid Cap) None
"Dec 30, 1994",100.000
"Jan 31, 1995",77.263
"Feb 28, 1995",78.957
"Mar 31, 1995",79.046
"Apr 28, 1995",91.605
"May 31, 1995",92.208
"Jun 30, 1995",89.136
"Jul 31, 1995",90.439
"Aug 31, 1995",90.477
"Sep 29, 1995",89.965
"Oct 31, 1995",79.212
"Nov 30, 1995",77.752
"Dec 29, 1995",80.789
"Jan 31, 1996",118.084
"Feb 29, 1996",118.489
"Mar 29, 1996",117.542
"Apr 30, 1996",119.566
"May 31, 1996",132.321
"Jun 28, 1996",141.216
"Jul 31, 1996",122.132
"Aug 30, 1996",146.718
"Sep 30, 1996",139.397
"Oct 31, 1996",144.967
"Nov 29, 1996",150.834
"Dec 31, 1996",164.991
"Jan 31, 1997",215.871
"Feb 28, 1997",209.446
"Mar 31, 1997",204.868
"Apr 30, 1997",220.508
"May 30, 1997",229.884
"Jun 30, 1997",258.100
"Jul 31, 1997",283.770
"Aug 29, 1997",265.576
"Sep 30, 1997",283.428
"Oct 31, 1997",266.838
"Nov 28, 1997",258.468
"Dec 31, 1997",319.144
"Jan 30, 1998",289.857
"Feb 27, 1998",321.178
"Mar 31, 1998",357.965
"Apr 30, 1998",347.068
"May 29, 1998",299.833
"Jun 30, 1998",318.717
"Jul 31, 1998",348.793
"Aug 31, 1998",213.478
"Sep 30, 1998",210.186
"Oct 30, 1998",246.725
"Nov 30, 1998",268.152
"Dec 31, 1998",291.380
"Jan 29, 1999",307.237
"Feb 26, 1999",261.635
"Mar 31, 1999",247.219
"Apr 30, 1999",260.570
"May 31, 1999",275.695
"Jun 30, 1999",263.815
"Jul 30, 1999",301.314
"Aug 31, 1999",295.701
"Sep 30, 1999",262.184
"Oct 29, 1999",271.826
"Nov 30, 1999",280.529
"Dec 31, 1999",322.887
"Jan 31, 2000",345.829
"Feb 29, 2000",378.621
"Mar 31, 2000",365.606
"Apr 28, 2000",298.379
"May 31, 2000",304.098
"Jun 30, 2000",294.245
"Jul 31, 2000",278.922
"Aug 31, 2000",255.263
"Sep 29, 2000",240.550
"Oct 31, 2000",227.775
"Nov 30, 2000",187.274
"Dec 29, 2000",233.587
"Jan 31, 2001",246.455
"Feb 28, 2001",202.120
"Mar 30, 2001",178.788
"Apr 30, 2001",188.703
"May 31, 2001",193.268
"Jun 29, 2001",185.909
"Jul 31, 2001",182.197
"Aug 31, 2001",175.994
"Sep 28, 2001",172.943
"Oct 31, 2001",193.626
"Nov 30, 2001",205.080
"Dec 31, 2001",209.144
"Jan 31, 2002",232.841
"Feb 28, 2002",224.404
"Mar 29, 2002",232.610
"Apr 30, 2002",257.502
"May 30, 2002",248.284
"May 31, 2002",246.882
"Jun 03, 2002",249.464
"Jun 04, 2002",247.518
"Jun 05, 2002",247.309
"Jun 06, 2002",246.672
"Jun 07, 2002",243.174
"Jun 10, 2002",243.254
"Jun 11, 2002",244.314
"Jun 12, 2002",243.709
"Jun 13, 2002",245.791
"Jun 14, 2002",241.506
"Jun 17, 2002",240.984
"Jun 18, 2002",241.525
"Jun 19, 2002",237.183
"Jun 20, 2002",232.566
"Jun 21, 2002",234.981
"Jun 24, 2002",235.048
"Jun 25, 2002",234.969
"Jun 26, 2002",226.889
"Jun 27, 2002",228.807
"Jun 28, 2002",225.655
"Jul 01, 2002",236.380
"Jul 02, 2002",229.327
"Jul 03, 2002",232.377
"Jul 04, 2002",234.701
"Jul 05, 2002",236.612
"Jul 08, 2002",233.892
"Jul 09, 2002",230.822
"Jul 10, 2002",233.349
"Jul 11, 2002",229.287
"Jul 12, 2002",231.868
"Jul 15, 2002",233.204
"Jul 16, 2002",233.207
"Jul 17, 2002",238.167
"Jul 18, 2002",236.703
"Jul 19, 2002",238.789
"Jul 22, 2002",227.336
"Jul 23, 2002",223.048
"Jul 24, 2002",205.711
"Jul 25, 2002",213.960
"Jul 26, 2002",214.116
"Jul 29, 2002",222.293
"Jul 30, 2002",221.167
"Jul 31, 2002",219.770
"Aug 01, 2002",221.440
"Aug 02, 2002",221.953
"Aug 05, 2002",215.501
"Aug 06, 2002",220.483
"Aug 07, 2002",216.975
"Aug 08, 2002",218.701
"Aug 09, 2002",218.655
"Aug 12, 2002",219.013
"Aug 13, 2002",221.076
"Aug 14, 2002",222.939
"Aug 15, 2002",229.023
"Aug 16, 2002",229.103
"Aug 19, 2002",227.210
"Aug 20, 2002",228.209
"Aug 21, 2002",232.625
"Aug 22, 2002",237.322
"Aug 23, 2002",239.182
"Aug 26, 2002",240.158
"Aug 27, 2002",244.023
"Aug 28, 2002",242.622
"Aug 29, 2002",236.901
"Aug 30, 2002",241.701
"Sep 02, 2002",241.489
"Sep 03, 2002",234.958
"Sep 04, 2002",233.060
"Sep 05, 2002",230.500
"Sep 06, 2002",232.254
"Sep 09, 2002",232.228
"Sep 10, 2002",236.741
"Sep 11, 2002",240.752
"Sep 12, 2002",234.437
"Sep 13, 2002",232.927
"Sep 16, 2002",234.465
"Sep 17, 2002",233.665
"Sep 18, 2002",234.776
"Sep 19, 2002",231.724
"Sep 20, 2002",233.826
"Sep 23, 2002",233.497
"Sep 24, 2002",230.866
"Sep 25, 2002",231.961
"Sep 26, 2002",232.227
"Sep 27, 2002",228.798
"Sep 30, 2002",226.833
"Oct 01, 2002",225.273
"Oct 02, 2002",220.260
"Oct 03, 2002",219.082
"Oct 04, 2002",214.560
"Oct 07, 2002",211.802
"Oct 08, 2002",209.430
"Oct 09, 2002",207.484
"Oct 10, 2002",211.357
"Oct 11, 2002",212.343
"Oct 14, 2002",211.152
"Oct 15, 2002",219.020
"Oct 16, 2002",215.228
"Oct 17, 2002",219.449
"Oct 18, 2002",218.827
"Oct 21, 2002",225.855
"Oct 22, 2002",227.229
"Oct 23, 2002",226.949
"Oct 24, 2002",224.375
"Oct 25, 2002",221.074
"Oct 28, 2002",228.474
"Oct 29, 2002",226.743
"Oct 30, 2002",233.337
"Oct 31, 2002",235.253
"Nov 01, 2002",236.694
"Nov 04, 2002",240.165
"Nov 05, 2002",241.650
"Nov 06, 2002",241.556
"Nov 07, 2002",243.403
"Nov 08, 2002",246.597
"Nov 11, 2002",246.205
"Nov 12, 2002",245.894
"Nov 13, 2002",247.900
"Nov 14, 2002",254.684
"Nov 15, 2002",253.654
"Nov 18, 2002",260.274
"Nov 19, 2002",256.171
