Index Level :,Price
Currency :,USD


Date,INDIA Standard (Large+Mid Cap) None
"Jan 29, 1993",97.949
"Feb 26, 1993",100.349
"Mar 31, 1993",84.797
"Apr 30, 1993",79.301
"May 31, 1993",83.392
"Jun 30, 1993",84.388
"Jul 30, 1993",89.519
"Aug 31, 1993",101.240
"Sep 30, 1993",105.076
"Oct 29, 1993",103.251
"Nov 30, 1993",125.414
"Dec 31, 1993",133.043
"Jan 31, 1994",154.990
"Feb 28, 1994",165.745
"Mar 31, 1994",147.283
"Apr 29, 1994",143.887
"May 31, 1994",145.656
"Jun 30, 1994",152.928
"Jul 29, 1994",157.463
"Aug 31, 1994",170.128
"Sep 30, 1994",160.639
"Oct 31, 1994",158.189
"Nov 30, 1994",152.890
"Dec 30, 1994",145.136
"Jan 31, 1995",136.149
"Feb 28, 1995",128.944
"Mar 31, 1995",124.062
"Apr 28, 1995",117.791
"May 31, 1995",122.445
"Jun 30, 1995",118.063
"Jul 31, 1995",122.619
"Aug 31, 1995",117.959
"Sep 29, 1995",114.228
"Oct 31, 1995",111.196
"Nov 30, 1995",94.979
"Dec 29, 1995",98.833
"Jan 31, 1996",89.332
"Feb 29, 1996",108.987
"Mar 29, 1996",110.089
"Apr 30, 1996",123.689
"May 31, 1996",119.053
"Jun 28, 1996",123.038
"Jul 31, 1996",112.490
"Aug 30, 1996",110.099
"Sep 30, 1996",101.087
"Oct 31, 1996",98.873
"Nov 29, 1996",90.072
"Dec 31, 1996",95.105
"Jan 31, 1997",103.668
"Feb 28, 1997",110.790
"Mar 31, 1997",101.834
"Apr 30, 1997",114.719
"May 30, 1997",112.887
"Jun 30, 1997",129.740
"Jul 31, 1997",131.350
"Aug 29, 1997",117.044
"Sep 30, 1997",118.915
"Oct 31, 1997",114.838
"Nov 28, 1997",102.442
"Dec 31, 1997",104.225
"Jan 30, 1998",93.394
"Feb 27, 1998",103.228
"Mar 31, 1998",110.496
"Apr 30, 1998",112.792
"May 29, 1998",99.364
"Jun 30, 1998",86.412
"Jul 31, 1998",85.277
"Aug 31, 1998",78.027
"Sep 30, 1998",81.842
"Oct 30, 1998",75.565
"Nov 30, 1998",74.199
"Dec 31, 1998",80.370
"Jan 29, 1999",89.964
"Feb 26, 1999",86.952
"Mar 31, 1999",101.438
"Apr 30, 1999",88.671
"May 31, 1999",105.230
"Jun 30, 1999",108.890
"Jul 30, 1999",120.678
"Aug 31, 1999",131.482
"Sep 30, 1999",131.399
"Oct 29, 1999",122.100
"Nov 30, 1999",129.723
"Dec 31, 1999",148.419
"Jan 31, 2000",164.381
"Feb 29, 2000",194.484
"Mar 31, 2000",174.520
"Apr 28, 2000",146.507
"May 31, 2000",128.993
"Jun 30, 2000",141.959
"Jul 31, 2000",126.390
"Aug 31, 2000",131.972
"Sep 29, 2000",117.551
"Oct 31, 2000",107.369
"Nov 30, 2000",115.147
"Dec 29, 2000",114.547
"Jan 31, 2001",124.614
"Feb 28, 2001",120.080
"Mar 30, 2001",98.777
"Apr 30, 2001",96.529
"May 31, 2001",100.061
"Jun 29, 2001",94.547
"Jul 31, 2001",90.983
"Aug 31, 2001",89.279
"Sep 28, 2001",76.741
"Oct 31, 2001",81.831
"Nov 30, 2001",90.173
"Dec 31, 2001",90.292
"Jan 31, 2002",91.847
"Feb 28, 2002",97.443
"Mar 29, 2002",96.480
"Apr 30, 2002",92.449
"May 30, 2002",86.923
"May 31, 2002",86.503
"Jun 03, 2002",87.079
"Jun 04, 2002",87.502
"Jun 05, 2002",89.176
"Jun 06, 2002",89.283
"Jun 07, 2002",88.012
"Jun 10, 2002",89.975
"Jun 11, 2002",92.375
"Jun 12, 2002",91.942
"Jun 13, 2002",91.180
"Jun 14, 2002",91.269
"Jun 17, 2002",91.534
"Jun 18, 2002",90.597
"Jun 19, 2002",89.396
"Jun 20, 2002",89.976
"Jun 21, 2002",89.238
"Jun 24, 2002",89.227
"Jun 25, 2002",88.676
"Jun 26, 2002",87.744
"Jun 27, 2002",88.335
"Jun 28, 2002",88.997
"Jul 01, 2002",90.089
"Jul 02, 2002",90.114
"Jul 03, 2002",90.542
"Jul 04, 2002",90.672
"Jul 05, 2002",91.067
"Jul 08, 2002",91.806
"Jul 09, 2002",91.696
"Jul 10, 2002",90.980
"Jul 11, 2002",89.800
"Jul 12, 2002",90.018
"Jul 15, 2002",89.116
"Jul 16, 2002",87.964
"Jul 17, 2002",87.764
"Jul 18, 2002",88.689
"Jul 19, 2002",88.445
"Jul 22, 2002",86.087
"Jul 23, 2002",87.126
"Jul 24, 2002",85.175
"Jul 25, 2002",85.088
"Jul 26, 2002",83.048
"Jul 29, 2002",82.975
"Jul 30, 2002",81.908
"Jul 31, 2002",82.076
"Aug 01, 2002",81.957
"Aug 02, 2002",81.806
"Aug 05, 2002",82.344
"Aug 06, 2002",82.661
"Aug 07, 2002",82.549
"Aug 08, 2002",81.072
"Aug 09, 2002",81.966
"Aug 12, 2002",82.724
"Aug 13, 2002",83.272
"Aug 14, 2002",82.506
"Aug 15, 2002",82.506
"Aug 16, 2002",83.510
"Aug 19, 2002",83.610
"Aug 20, 2002",84.367
"Aug 21, 2002",84.488
"Aug 22, 2002",84.266
"Aug 23, 2002",85.343
"Aug 26, 2002",85.308
"Aug 27, 2002",84.611
"Aug 28, 2002",84.699
"Aug 29, 2002",85.036
"Aug 30, 2002",86.908
"Sep 02, 2002",87.104
"Sep 03, 2002",86.182
"Sep 04, 2002",86.663
"Sep 05, 2002",86.668
"Sep 06, 2002",85.675
"Sep 09, 2002",85.144
"Sep 10, 2002",85.176
"Sep 11, 2002",85.829
"Sep 12, 2002",86.065
"Sep 13, 2002",85.325
"Sep 16, 2002",84.830
"Sep 17, 2002",85.714
"Sep 18, 2002",84.703
"Sep 19, 2002",83.915
"Sep 20, 2002",83.391
"Sep 23, 2002",83.309
"Sep 24, 2002",83.049
"Sep 25, 2002",83.133
"Sep 26, 2002",83.053
"Sep 27, 2002",83.771
"Sep 30, 2002",82.600
"Oct 01, 2002",81.950
"Oct 02, 2002",81.950
"Oct 03, 2002",81.400
"Oct 04, 2002",81.363
"Oct 07, 2002",81.745
"Oct 08, 2002",82.349
"Oct 09, 2002",81.782
"Oct 10, 2002",82.112
"Oct 11, 2002",83.219
"Oct 14, 2002",83.350
"Oct 15, 2002",83.350
"Oct 16, 2002",82.940
"Oct 17, 2002",83.199
"Oct 18, 2002",83.001
