Index Level :,Price
Currency :,USD


Date,INDONESIA Standard (Large+Mid Cap) None
"Jan 29, 1993",327.538
"Feb 26, 1993",353.813
"Mar 31, 1993",357.564
"Apr 30, 1993",367.924
"May 31, 1993",409.123
"Jun 30, 1993",432.187
"Jul 30, 1993",424.663
"Aug 31, 1993",520.773
"Sep 30, 1993",503.467
"Oct 29, 1993",524.107
"Nov 30, 1993",568.307
"Dec 31, 1993",647.576
"Jan 31, 1994",666.137
"Feb 28, 1994",606.563
"Mar 31, 1994",547.450
"Apr 29, 1994",492.614
"May 31, 1994",553.292
"Jun 30, 1994",505.184
"Jul 29, 1994",492.148
"Aug 31, 1994",563.150
"Sep 30, 1994",539.929
"Oct 31, 1994",555.718
"Nov 30, 1994",494.288
"Dec 30, 1994",472.815
"Jan 31, 1995",432.504
"Feb 28, 1995",468.638
"Mar 31, 1995",443.169
"Apr 28, 1995",423.346
"May 31, 1995",490.771
"Jun 30, 1995",510.544
"Jul 31, 1995",521.000
"Aug 31, 1995",494.890
"Sep 29, 1995",481.059
"Oct 31, 1995",487.418
"Nov 30, 1995",464.862
"Dec 29, 1995",508.222
"Jan 31, 1996",575.194
"Feb 29, 1996",584.907
"Mar 29, 1996",575.706
"Apr 30, 1996",622.923
"May 31, 1996",604.232
"Jun 28, 1996",590.250
"Jul 31, 1996",522.077
"Aug 30, 1996",539.844
"Sep 30, 1996",575.507
"Oct 31, 1996",571.320
"Nov 29, 1996",621.765
"Dec 31, 1996",637.227
"Jan 31, 1997",675.895
"Feb 28, 1997",683.741
"Mar 31, 1997",633.243
"Apr 30, 1997",614.441
"May 30, 1997",656.383
"Jun 30, 1997",671.755
"Jul 31, 1997",603.922
"Aug 29, 1997",357.349
"Sep 30, 1997",383.534
"Oct 31, 1997",326.633
"Nov 28, 1997",248.590
"Dec 31, 1997",162.190
"Jan 30, 1998",106.305
"Feb 27, 1998",122.179
"Mar 31, 1998",143.964
"Apr 30, 1998",126.002
"May 29, 1998",82.528
"Jun 30, 1998",68.060
"Jul 31, 1998",86.298
"Aug 31, 1998",65.945
"Sep 30, 1998",48.700
"Oct 30, 1998",75.771
"Nov 30, 1998",116.639
"Dec 31, 1998",109.647
"Jan 29, 1999",106.205
"Feb 26, 1999",101.792
"Mar 31, 1999",104.359
"Apr 30, 1999",145.690
"May 31, 1999",175.745
"Jun 30, 1999",230.194
"Jul 30, 1999",198.411
"Aug 31, 1999",168.585
"Sep 30, 1999",149.045
"Oct 29, 1999",200.295
"Nov 30, 1999",175.583
"Dec 31, 1999",210.572
"Jan 31, 2000",184.384
"Feb 29, 2000",167.252
"Mar 31, 2000",165.734
"Apr 28, 2000",143.805
"May 31, 2000",105.699
"Jun 30, 2000",117.983
"Jul 31, 2000",110.196
"Aug 31, 2000",111.396
"Sep 29, 2000",96.005
"Oct 31, 2000",84.259
"Nov 30, 2000",86.194
"Dec 29, 2000",77.830
"Jan 31, 2001",85.848
"Feb 28, 2001",84.852
"Mar 30, 2001",69.015
"Apr 30, 2001",57.790
"May 31, 2001",71.048
"Jun 29, 2001",74.465
"Jul 31, 2001",89.784
"Aug 31, 2001",93.942
"Sep 28, 2001",75.547
"Oct 31, 2001",67.852
"Nov 30, 2001",65.289
"Dec 31, 2001",69.359
"Jan 31, 2002",84.712
"Feb 28, 2002",85.713
"Mar 29, 2002",96.137
"Apr 30, 2002",114.017
"May 30, 2002",118.273
"May 31, 2002",122.122
"Jun 03, 2002",122.698
"Jun 04, 2002",119.951
"Jun 05, 2002",116.519
"Jun 06, 2002",113.112
"Jun 07, 2002",114.983
"Jun 10, 2002",117.169
"Jun 11, 2002",118.537
"Jun 12, 2002",120.999
"Jun 13, 2002",124.347
"Jun 14, 2002",128.162
"Jun 17, 2002",127.525
"Jun 18, 2002",126.236
"Jun 19, 2002",124.895
"Jun 20, 2002",123.798
"Jun 21, 2002",122.089
"Jun 24, 2002",120.202
"Jun 25, 2002",118.102
"Jun 26, 2002",114.506
"Jun 27, 2002",116.052
"Jun 28, 2002",114.449
"Jul 01, 2002",111.323
"Jul 02, 2002",107.926
"Jul 03, 2002",104.640
"Jul 04, 2002",109.745
"Jul 05, 2002",111.225
"Jul 08, 2002",108.345
"Jul 09, 2002",107.551
"Jul 10, 2002",106.246
"Jul 11, 2002",101.766
"Jul 12, 2002",105.569
"Jul 15, 2002",106.766
"Jul 16, 2002",107.315
"Jul 17, 2002",108.036
"Jul 18, 2002",112.379
"Jul 19, 2002",112.729
"Jul 22, 2002",109.145
"Jul 23, 2002",107.506
"Jul 24, 2002",102.817
"Jul 25, 2002",101.028
"Jul 26, 2002",96.452
"Jul 29, 2002",99.758
"Jul 30, 2002",102.795
"Jul 31, 2002",103.316
"Aug 01, 2002",101.803
"Aug 02, 2002",101.192
"Aug 05, 2002",98.723
"Aug 06, 2002",96.519
"Aug 07, 2002",98.322
"Aug 08, 2002",98.997
"Aug 09, 2002",100.490
"Aug 12, 2002",102.455
"Aug 13, 2002",102.922
"Aug 14, 2002",102.876
"Aug 15, 2002",102.184
"Aug 16, 2002",103.648
"Aug 19, 2002",103.302
"Aug 20, 2002",104.447
"Aug 21, 2002",103.845
"Aug 22, 2002",103.691
"Aug 23, 2002",104.316
"Aug 26, 2002",103.778
"Aug 27, 2002",102.830
"Aug 28, 2002",100.103
"Aug 29, 2002",98.420
"Aug 30, 2002",99.793
"Sep 02, 2002",98.952
"Sep 03, 2002",95.878
"Sep 04, 2002",92.789
"Sep 05, 2002",94.650
"Sep 06, 2002",95.490
"Sep 09, 2002",96.835
"Sep 10, 2002",96.936
"Sep 11, 2002",96.754
"Sep 12, 2002",95.568
"Sep 13, 2002",92.184
"Sep 16, 2002",91.663
"Sep 17, 2002",93.704
"Sep 18, 2002",91.676
"Sep 19, 2002",87.720
"Sep 20, 2002",87.306
"Sep 23, 2002",88.107
"Sep 24, 2002",88.127
"Sep 25, 2002",88.567
"Sep 26, 2002",89.854
"Sep 27, 2002",90.008
"Sep 30, 2002",93.316
"Oct 01, 2002",88.800
"Oct 02, 2002",88.735
"Oct 03, 2002",89.004
"Oct 04, 2002",89.004
"Oct 07, 2002",86.886
"Oct 08, 2002",87.039
"Oct 09, 2002",84.265
"Oct 10, 2002",82.638
"Oct 11, 2002",80.195
"Oct 14, 2002",65.693
"Oct 15, 2002",68.124
"Oct 16, 2002",72.358
"Oct 17, 2002",71.874
"Oct 18, 2002",73.473
