Index Level :,Price
Currency :,USD


Date,IRELAND Standard (Large+Mid Cap) None
"Jan 29, 1993",122.602
"Feb 26, 1993",119.420
"Mar 31, 1993",141.110
"Apr 30, 1993",144.897
"May 31, 1993",145.488
"Jun 30, 1993",145.368
"Jul 30, 1993",141.463
"Aug 31, 1993",150.093
"Sep 30, 1993",147.792
"Oct 29, 1993",152.347
"Nov 30, 1993",154.124
"Dec 31, 1993",161.470
"Jan 31, 1994",181.197
"Feb 28, 1994",167.763
"Mar 31, 1994",161.458
"Apr 29, 1994",169.493
"May 31, 1994",160.927
"Jun 30, 1994",160.720
"Jul 29, 1994",173.424
"Aug 31, 1994",186.606
"Sep 30, 1994",180.563
"Oct 31, 1994",184.295
"Nov 30, 1994",174.844
"Dec 30, 1994",180.698
"Jan 31, 1995",182.044
"Feb 28, 1995",188.154
"Mar 31, 1995",190.405
"Apr 28, 1995",194.383
"May 31, 1995",195.949
"Jun 30, 1995",204.370
"Jul 31, 1995",210.493
"Aug 31, 1995",210.030
"Sep 29, 1995",214.985
"Oct 31, 1995",210.481
"Nov 30, 1995",211.226
"Dec 29, 1995",215.684
"Jan 31, 1996",218.967
"Feb 29, 1996",221.561
"Mar 29, 1996",229.731
"Apr 30, 1996",236.608
"May 31, 1996",245.424
"Jun 28, 1996",248.162
"Jul 31, 1996",239.823
"Aug 30, 1996",249.611
"Sep 30, 1996",259.982
"Oct 31, 1996",267.418
"Nov 29, 1996",274.909
"Dec 31, 1996",277.795
"Jan 31, 1997",274.077
"Feb 28, 1997",281.177
"Mar 31, 1997",277.049
"Apr 30, 1997",267.596
"May 30, 1997",279.347
"Jun 30, 1997",287.314
"Jul 31, 1997",303.321
"Aug 29, 1997",303.423
"Sep 30, 1997",312.422
"Oct 31, 1997",305.836
"Nov 28, 1997",302.867
"Dec 31, 1997",314.773
"Jan 30, 1998",335.532
"Feb 27, 1998",372.506
"Mar 31, 1998",387.233
"Apr 30, 1998",417.698
"May 29, 1998",399.105
"Jun 30, 1998",397.163
"Jul 31, 1998",388.060
"Aug 31, 1998",333.138
"Sep 30, 1998",341.455
"Oct 30, 1998",360.147
"Nov 30, 1998",379.037
"Dec 31, 1998",418.624
"Jan 29, 1999",425.101
"Feb 26, 1999",423.598
"Mar 31, 1999",415.845
"Apr 30, 1999",426.745
"May 31, 1999",377.176
"Jun 30, 1999",368.012
"Jul 30, 1999",382.729
"Aug 31, 1999",376.301
"Sep 30, 1999",360.008
"Oct 29, 1999",350.271
"Nov 30, 1999",354.119
"Dec 31, 1999",359.928
"Jan 31, 2000",339.577
"Feb 29, 2000",330.331
"Mar 31, 2000",351.925
"Apr 28, 2000",319.574
"May 31, 2000",301.974
"Jun 30, 2000",293.296
"Jul 31, 2000",274.812
"Aug 31, 2000",276.004
"Sep 29, 2000",296.305
"Oct 31, 2000",296.744
"Nov 30, 2000",288.577
"Dec 29, 2000",308.373
"Jan 31, 2001",313.153
"Feb 28, 2001",309.228
"Mar 30, 2001",285.034
"Apr 30, 2001",296.526
"May 31, 2001",306.020
"Jun 29, 2001",314.718
"Jul 31, 2001",307.580
"Aug 31, 2001",300.474
"Sep 28, 2001",263.515
"Oct 31, 2001",268.416
"Nov 30, 2001",281.258
"Dec 31, 2001",295.640
"Jan 31, 2002",254.964
"Feb 28, 2002",231.552
"Mar 29, 2002",246.357
"Apr 30, 2002",250.359
"May 30, 2002",263.673
"May 31, 2002",262.706
"Jun 03, 2002",263.760
"Jun 04, 2002",263.053
"Jun 05, 2002",261.998
"Jun 06, 2002",264.360
"Jun 07, 2002",260.233
"Jun 10, 2002",261.310
"Jun 11, 2002",260.210
"Jun 12, 2002",256.510
"Jun 13, 2002",255.684
"Jun 14, 2002",250.064
"Jun 17, 2002",248.844
"Jun 18, 2002",249.916
"Jun 19, 2002",249.236
"Jun 20, 2002",246.523
"Jun 21, 2002",248.817
"Jun 24, 2002",249.964
"Jun 25, 2002",250.300
"Jun 26, 2002",246.436
"Jun 27, 2002",243.148
"Jun 28, 2002",247.228
"Jul 01, 2002",243.371
"Jul 02, 2002",236.532
"Jul 03, 2002",224.846
"Jul 04, 2002",227.044
"Jul 05, 2002",229.620
"Jul 08, 2002",232.079
"Jul 09, 2002",236.281
"Jul 10, 2002",231.709
"Jul 11, 2002",226.527
"Jul 12, 2002",230.143
"Jul 15, 2002",228.832
"Jul 16, 2002",229.017
"Jul 17, 2002",231.351
"Jul 18, 2002",233.403
"Jul 19, 2002",231.125
"Jul 22, 2002",224.628
"Jul 23, 2002",216.301
"Jul 24, 2002",203.848
"Jul 25, 2002",211.141
"Jul 26, 2002",209.168
"Jul 29, 2002",211.400
"Jul 30, 2002",211.780
"Jul 31, 2002",217.052
"Aug 01, 2002",218.384
"Aug 02, 2002",219.437
"Aug 05, 2002",216.255
"Aug 06, 2002",215.131
"Aug 07, 2002",217.603
"Aug 08, 2002",217.744
"Aug 09, 2002",219.524
"Aug 12, 2002",221.744
"Aug 13, 2002",227.612
"Aug 14, 2002",230.692
"Aug 15, 2002",234.215
"Aug 16, 2002",233.839
"Aug 19, 2002",231.002
"Aug 20, 2002",227.497
"Aug 21, 2002",230.332
"Aug 22, 2002",229.817
"Aug 23, 2002",228.018
"Aug 26, 2002",229.245
"Aug 27, 2002",230.254
"Aug 28, 2002",227.359
"Aug 29, 2002",225.226
"Aug 30, 2002",226.631
"Sep 02, 2002",224.124
"Sep 03, 2002",219.030
"Sep 04, 2002",216.551
"Sep 05, 2002",213.960
"Sep 06, 2002",215.219
"Sep 09, 2002",216.124
"Sep 10, 2002",218.284
"Sep 11, 2002",222.043
"Sep 12, 2002",217.259
"Sep 13, 2002",214.180
"Sep 16, 2002",214.182
"Sep 17, 2002",217.487
"Sep 18, 2002",211.829
"Sep 19, 2002",209.923
"Sep 20, 2002",210.575
"Sep 23, 2002",204.771
"Sep 24, 2002",199.056
"Sep 25, 2002",198.771
"Sep 26, 2002",204.785
"Sep 27, 2002",201.904
"Sep 30, 2002",195.119
"Oct 01, 2002",195.634
"Oct 02, 2002",199.530
"Oct 03, 2002",197.497
"Oct 04, 2002",194.543
"Oct 07, 2002",189.119
"Oct 08, 2002",187.016
"Oct 09, 2002",182.713
"Oct 10, 2002",184.491
"Oct 11, 2002",195.814
"Oct 14, 2002",194.877
"Oct 15, 2002",201.925
"Oct 16, 2002",198.793
"Oct 17, 2002",201.780
"Oct 18, 2002",205.644
