Index Level :,Price
Currency :,USD


Date,ISRAEL Standard (Large+Mid Cap) None
"Jan 29, 1993",104.133
"Feb 26, 1993",99.151
"Mar 31, 1993",104.919
"Apr 30, 1993",104.011
"May 31, 1993",104.289
"Jun 30, 1993",100.538
"Jul 30, 1993",89.367
"Aug 31, 1993",101.383
"Sep 30, 1993",111.795
"Oct 29, 1993",110.771
"Nov 30, 1993",111.970
"Dec 31, 1993",113.834
"Jan 31, 1994",116.434
"Feb 28, 1994",103.611
"Mar 31, 1994",97.026
"Apr 29, 1994",97.805
"May 31, 1994",82.783
"Jun 30, 1994",71.461
"Jul 29, 1994",79.085
"Aug 31, 1994",82.301
"Sep 30, 1994",84.338
"Oct 31, 1994",86.418
"Nov 30, 1994",76.351
"Dec 30, 1994",75.838
"Jan 31, 1995",76.337
"Feb 28, 1995",67.614
"Mar 31, 1995",77.124
"Apr 28, 1995",81.076
"May 31, 1995",82.370
"Jun 30, 1995",87.300
"Jul 31, 1995",88.098
"Aug 31, 1995",92.358
"Sep 29, 1995",93.901
"Oct 31, 1995",88.470
"Nov 30, 1995",88.737
"Dec 29, 1995",92.376
"Jan 31, 1996",91.174
"Feb 29, 1996",94.880
"Mar 29, 1996",86.939
"Apr 30, 1996",92.029
"May 31, 1996",87.669
"Jun 28, 1996",85.010
"Jul 31, 1996",76.737
"Aug 30, 1996",80.714
"Sep 30, 1996",82.420
"Oct 31, 1996",79.653
"Nov 29, 1996",84.548
"Dec 31, 1996",88.794
"Jan 31, 1997",101.065
"Feb 28, 1997",103.870
"Mar 31, 1997",98.892
"Apr 30, 1997",100.671
"May 30, 1997",109.073
"Jun 30, 1997",110.754
"Jul 31, 1997",119.593
"Aug 29, 1997",112.524
"Sep 30, 1997",117.222
"Oct 31, 1997",107.110
"Nov 28, 1997",109.284
"Dec 31, 1997",109.154
"Jan 30, 1998",99.786
"Feb 27, 1998",104.215
"Mar 31, 1998",111.547
"Apr 30, 1998",111.454
"May 29, 1998",119.246
"Jun 30, 1998",117.638
"Jul 31, 1998",115.353
"Aug 31, 1998",101.285
"Sep 30, 1998",98.001
"Oct 30, 1998",91.959
"Nov 30, 1998",98.425
"Dec 31, 1998",100.524
"Jan 29, 1999",103.027
"Feb 26, 1999",105.348
"Mar 31, 1999",116.464
"Apr 30, 1999",117.177
"May 31, 1999",120.918
"Jun 30, 1999",124.801
"Jul 30, 1999",120.997
"Aug 31, 1999",110.117
"Sep 30, 1999",112.645
"Oct 29, 1999",118.496
"Nov 30, 1999",132.425
"Dec 31, 1999",157.113
"Jan 31, 2000",157.614
"Feb 29, 2000",200.085
"Mar 31, 2000",180.996
"Apr 28, 2000",175.922
"May 31, 2000",183.052
"Jun 30, 2000",196.048
"Jul 31, 2000",198.385
"Aug 31, 2000",226.541
"Sep 29, 2000",232.554
"Oct 31, 2000",204.413
"Nov 30, 2000",176.743
"Dec 29, 2000",195.991
"Jan 31, 2001",194.967
"Feb 28, 2001",166.719
"Mar 30, 2001",135.225
"Apr 30, 2001",153.476
"May 31, 2001",146.018
"Jun 29, 2001",144.417
"Jul 31, 2001",144.110
"Aug 31, 2001",128.522
"Sep 28, 2001",104.508
"Oct 31, 2001",113.659
"Nov 30, 2001",126.199
"Dec 31, 2001",132.716
"Jan 31, 2002",126.136
"Feb 28, 2002",110.777
"Mar 29, 2002",110.861
"Apr 30, 2002",91.456
"May 30, 2002",96.221
"May 31, 2002",95.990
"Jun 03, 2002",96.502
"Jun 04, 2002",97.430
"Jun 05, 2002",96.413
"Jun 06, 2002",95.418
"Jun 07, 2002",94.751
"Jun 10, 2002",93.505
"Jun 11, 2002",91.752
"Jun 12, 2002",90.594
"Jun 13, 2002",91.363
"Jun 14, 2002",91.276
"Jun 17, 2002",92.618
"Jun 18, 2002",92.793
"Jun 19, 2002",91.363
"Jun 20, 2002",89.142
"Jun 21, 2002",88.961
"Jun 24, 2002",87.432
"Jun 25, 2002",88.692
"Jun 26, 2002",87.615
"Jun 27, 2002",90.758
"Jun 28, 2002",91.894
"Jul 01, 2002",90.594
"Jul 02, 2002",89.577
"Jul 03, 2002",90.959
"Jul 04, 2002",90.873
"Jul 05, 2002",90.827
"Jul 08, 2002",91.321
"Jul 09, 2002",91.925
"Jul 10, 2002",91.457
"Jul 11, 2002",87.825
"Jul 12, 2002",88.201
"Jul 15, 2002",92.294
"Jul 16, 2002",92.017
"Jul 17, 2002",94.184
"Jul 18, 2002",93.937
"Jul 19, 2002",93.701
"Jul 22, 2002",93.075
"Jul 23, 2002",90.141
"Jul 24, 2002",89.295
"Jul 25, 2002",88.381
"Jul 26, 2002",88.881
"Jul 29, 2002",94.043
"Jul 30, 2002",95.238
"Jul 31, 2002",94.907
"Aug 01, 2002",93.922
"Aug 02, 2002",93.792
"Aug 05, 2002",91.152
"Aug 06, 2002",92.645
"Aug 07, 2002",93.339
"Aug 08, 2002",94.672
"Aug 09, 2002",94.646
"Aug 12, 2002",94.180
"Aug 13, 2002",93.621
"Aug 14, 2002",95.225
"Aug 15, 2002",96.416
"Aug 16, 2002",96.584
"Aug 19, 2002",98.857
"Aug 20, 2002",98.034
"Aug 21, 2002",99.300
"Aug 22, 2002",98.259
"Aug 23, 2002",98.045
"Aug 26, 2002",98.781
"Aug 27, 2002",98.070
"Aug 28, 2002",96.308
"Aug 29, 2002",95.756
"Aug 30, 2002",95.093
"Sep 02, 2002",94.776
"Sep 03, 2002",92.822
"Sep 04, 2002",93.340
"Sep 05, 2002",92.890
"Sep 06, 2002",93.960
"Sep 09, 2002",95.394
"Sep 10, 2002",96.109
"Sep 11, 2002",96.667
"Sep 12, 2002",95.513
"Sep 13, 2002",95.666
"Sep 16, 2002",94.909
"Sep 17, 2002",96.552
"Sep 18, 2002",94.306
"Sep 19, 2002",92.606
"Sep 20, 2002",91.811
"Sep 23, 2002",90.248
"Sep 24, 2002",89.607
"Sep 25, 2002",90.195
"Sep 26, 2002",90.599
"Sep 27, 2002",89.696
"Sep 30, 2002",87.508
"Oct 01, 2002",87.905
"Oct 02, 2002",87.814
"Oct 03, 2002",87.610
"Oct 04, 2002",87.610
"Oct 07, 2002",85.384
"Oct 08, 2002",84.891
"Oct 09, 2002",84.692
"Oct 10, 2002",86.241
"Oct 11, 2002",87.425
"Oct 14, 2002",87.130
"Oct 15, 2002",88.898
"Oct 16, 2002",87.306
"Oct 17, 2002",89.891
"Oct 18, 2002",86.825
