Index Level :,Price
Currency :,USD


Date,ITALY Standard (Large+Mid Cap) None
"Jan 29, 1993",163.014
"Feb 26, 1993",164.348
"Mar 31, 1993",150.536
"Apr 30, 1993",182.761
"May 31, 1993",187.411
"Jun 30, 1993",182.896
"Jul 30, 1993",185.613
"Aug 31, 1993",208.186
"Sep 30, 1993",195.345
"Oct 29, 1993",188.152
"Nov 30, 1993",168.234
"Dec 31, 1993",189.397
"Jan 31, 1994",207.591
"Feb 28, 1994",205.741
"Mar 31, 1994",238.805
"Apr 29, 1994",263.366
"May 31, 1994",242.700
"Jun 30, 1994",226.546
"Jul 29, 1994",238.441
"Aug 31, 1994",233.468
"Sep 30, 1994",233.352
"Oct 31, 1994",220.818
"Nov 30, 1994",205.336
"Dec 30, 1994",209.061
"Jan 31, 1995",223.020
"Feb 28, 1995",202.762
"Mar 31, 1995",190.990
"Apr 28, 1995",210.380
"May 31, 1995",210.909
"Jun 30, 1995",204.483
"Jul 31, 1995",220.287
"Aug 31, 1995",214.833
"Sep 29, 1995",212.502
"Oct 31, 1995",202.126
"Nov 30, 1995",190.614
"Dec 29, 1995",208.623
"Jan 31, 1996",217.844
"Feb 29, 1996",215.472
"Mar 29, 1996",206.724
"Apr 30, 1996",234.666
"May 31, 1996",233.036
"Jun 28, 1996",233.607
"Jul 31, 1996",215.995
"Aug 30, 1996",213.977
"Sep 30, 1996",227.360
"Oct 31, 1996",214.468
"Nov 29, 1996",231.088
"Dec 31, 1996",231.253
"Jan 31, 1997",255.470
"Feb 28, 1997",228.099
"Mar 31, 1997",233.472
"Apr 30, 1997",236.442
"May 30, 1997",233.468
"Jun 30, 1997",255.263
"Jul 31, 1997",269.676
"Aug 29, 1997",262.296
"Sep 30, 1997",299.970
"Oct 31, 1997",281.496
"Nov 28, 1997",288.148
"Dec 31, 1997",308.985
"Jan 30, 1998",336.854
"Feb 27, 1998",350.746
"Mar 31, 1998",419.337
"Apr 30, 1998",410.434
"May 29, 1998",431.331
"Jun 30, 1998",409.550
"Jul 31, 1998",450.219
"Aug 31, 1998",386.081
"Sep 30, 1998",368.000
"Oct 30, 1998",391.517
"Nov 30, 1998",431.525
"Dec 31, 1998",466.527
"Jan 29, 1999",441.743
"Feb 26, 1999",434.868
"Mar 31, 1999",451.253
"Apr 30, 1999",437.260
"May 31, 1999",413.343
"Jun 30, 1999",403.424
"Jul 30, 1999",389.980
"Aug 31, 1999",398.148
"Sep 30, 1999",405.798
"Oct 29, 1999",392.846
"Nov 30, 1999",401.759
"Dec 31, 1999",459.617
"Jan 31, 2000",435.602
"Feb 29, 2000",488.467
"Mar 31, 2000",457.234
"Apr 28, 2000",426.813
"May 31, 2000",444.928
"Jun 30, 2000",474.546
"Jul 31, 2000",454.056
"Aug 31, 2000",447.569
"Sep 29, 2000",420.992
"Oct 31, 2000",430.448
"Nov 30, 2000",438.263
"Dec 29, 2000",447.217
"Jan 31, 2001",455.026
"Feb 28, 2001",409.325
"Mar 30, 2001",383.546
"Apr 30, 2001",402.683
"May 31, 2001",365.836
"Jun 29, 2001",347.554
"Jul 31, 2001",354.988
"Aug 31, 2001",351.347
"Sep 28, 2001",302.942
"Oct 31, 2001",312.605
"Nov 30, 2001",318.320
"Dec 31, 2001",322.441
"Jan 31, 2002",310.996
"Feb 28, 2002",310.279
"Mar 29, 2002",330.014
"Apr 30, 2002",330.965
"May 30, 2002",324.053
"May 31, 2002",320.512
"Jun 03, 2002",318.600
"Jun 04, 2002",313.266
"Jun 05, 2002",311.102
"Jun 06, 2002",311.916
"Jun 07, 2002",310.469
"Jun 10, 2002",312.278
"Jun 11, 2002",319.799
"Jun 12, 2002",315.918
"Jun 13, 2002",310.066
"Jun 14, 2002",304.889
"Jun 17, 2002",313.310
"Jun 18, 2002",315.533
"Jun 19, 2002",315.026
"Jun 20, 2002",310.512
"Jun 21, 2002",310.999
"Jun 24, 2002",305.259
"Jun 25, 2002",307.070
"Jun 26, 2002",312.137
"Jun 27, 2002",308.483
"Jun 28, 2002",318.843
"Jul 01, 2002",320.595
"Jul 02, 2002",310.817
"Jul 03, 2002",303.227
"Jul 04, 2002",305.098
"Jul 05, 2002",314.660
"Jul 08, 2002",318.096
"Jul 09, 2002",318.935
"Jul 10, 2002",311.047
"Jul 11, 2002",301.898
"Jul 12, 2002",298.807
"Jul 15, 2002",290.145
"Jul 16, 2002",292.456
"Jul 17, 2002",295.709
"Jul 18, 2002",300.757
"Jul 19, 2002",291.281
"Jul 22, 2002",277.252
"Jul 23, 2002",269.225
"Jul 24, 2002",267.689
"Jul 25, 2002",275.271
"Jul 26, 2002",273.511
"Jul 29, 2002",282.911
"Jul 30, 2002",286.630
"Jul 31, 2002",286.554
"Aug 01, 2002",278.979
"Aug 02, 2002",278.854
"Aug 05, 2002",274.143
"Aug 06, 2002",277.648
"Aug 07, 2002",276.619
"Aug 08, 2002",284.329
"Aug 09, 2002",289.166
"Aug 12, 2002",285.670
"Aug 13, 2002",289.261
"Aug 14, 2002",283.578
"Aug 15, 2002",281.466
"Aug 16, 2002",291.968
"Aug 19, 2002",298.214
"Aug 20, 2002",295.137
"Aug 21, 2002",298.641
"Aug 22, 2002",299.267
"Aug 23, 2002",296.714
"Aug 26, 2002",295.641
"Aug 27, 2002",305.331
"Aug 28, 2002",295.364
"Aug 29, 2002",288.845
"Aug 30, 2002",290.561
"Sep 02, 2002",287.382
"Sep 03, 2002",280.604
"Sep 04, 2002",283.330
"Sep 05, 2002",281.043
"Sep 06, 2002",286.030
"Sep 09, 2002",279.488
"Sep 10, 2002",285.262
"Sep 11, 2002",288.797
"Sep 12, 2002",281.276
"Sep 13, 2002",277.651
"Sep 16, 2002",276.490
"Sep 17, 2002",272.993
"Sep 18, 2002",267.349
"Sep 19, 2002",264.410
"Sep 20, 2002",260.822
"Sep 23, 2002",248.751
"Sep 24, 2002",248.155
"Sep 25, 2002",251.509
"Sep 26, 2002",258.625
"Sep 27, 2002",257.322
"Sep 30, 2002",250.510
"Oct 01, 2002",251.375
"Oct 02, 2002",256.488
"Oct 03, 2002",257.324
"Oct 04, 2002",249.211
"Oct 07, 2002",249.092
"Oct 08, 2002",243.720
"Oct 09, 2002",243.182
"Oct 10, 2002",249.511
"Oct 11, 2002",257.176
"Oct 14, 2002",254.203
"Oct 15, 2002",267.261
"Oct 16, 2002",263.443
"Oct 17, 2002",265.777
"Oct 18, 2002",263.772
