Index Level :,Price
Currency :,USD


Date,JAMAICA Standard (Large+Mid Cap) None
"Nov 25, 2008","1,000.000"
"Nov 26, 2008","1,016.703"
"Nov 27, 2008","1,038.174"
"Nov 28, 2008","1,067.997"
"Dec 01, 2008",997.031
"Dec 02, 2008",979.004
"Dec 03, 2008",978.769
"Dec 04, 2008",964.315
"Dec 05, 2008",964.099
"Dec 08, 2008",966.681
"Dec 09, 2008",969.050
"Dec 10, 2008",988.385
"Dec 11, 2008",958.212
"Dec 12, 2008",972.823
"Dec 15, 2008",962.815
"Dec 16, 2008",956.768
"Dec 17, 2008",962.966
"Dec 18, 2008",968.656
"Dec 19, 2008",949.517
"Dec 22, 2008",948.328
"Dec 23, 2008",948.328
"Dec 24, 2008",955.074
"Dec 25, 2008",955.074
"Dec 26, 2008",955.074
"Dec 29, 2008",993.608
"Dec 30, 2008","1,032.485"
"Dec 31, 2008","1,031.640"
"Jan 01, 2009","1,031.640"
"Jan 02, 2009","1,076.968"
"Jan 05, 2009","1,020.272"
"Jan 06, 2009","1,020.498"
"Jan 07, 2009","1,042.782"
"Jan 08, 2009","1,034.971"
"Jan 09, 2009",943.442
"Jan 12, 2009","1,012.358"
"Jan 13, 2009",988.475
"Jan 14, 2009","1,032.573"
"Jan 15, 2009","1,019.535"
"Jan 16, 2009","1,044.841"
"Jan 19, 2009","1,033.724"
"Jan 20, 2009","1,027.477"
"Jan 21, 2009","1,005.663"
"Jan 22, 2009",992.105
"Jan 23, 2009",970.849
"Jan 26, 2009",973.084
"Jan 27, 2009",938.635
"Jan 28, 2009",964.614
"Jan 29, 2009",984.619
"Jan 30, 2009",955.975
"Feb 02, 2009",951.124
"Feb 03, 2009",916.189
"Feb 04, 2009",911.163
"Feb 05, 2009",905.589
"Feb 06, 2009",905.589
"Feb 09, 2009",894.676
"Feb 10, 2009",905.118
"Feb 11, 2009",806.292
"Feb 12, 2009",800.464
"Feb 13, 2009",820.415
"Feb 16, 2009",820.415
"Feb 17, 2009",792.350
"Feb 18, 2009",778.850
"Feb 19, 2009",768.466
"Feb 20, 2009",784.573
"Feb 23, 2009",799.409
"Feb 24, 2009",818.348
"Feb 25, 2009",819.512
"Feb 26, 2009",839.947
"Feb 27, 2009",839.947
"Mar 02, 2009",822.751
"Mar 03, 2009",829.390
"Mar 04, 2009",801.642
"Mar 05, 2009",820.461
"Mar 06, 2009",831.088
"Mar 09, 2009",833.051
"Mar 10, 2009",832.911
"Mar 11, 2009",833.587
"Mar 12, 2009",809.724
"Mar 13, 2009",792.245
"Mar 16, 2009",811.012
"Mar 17, 2009",765.786
"Mar 18, 2009",753.210
"Mar 19, 2009",762.280
"Mar 20, 2009",754.026
"Mar 23, 2009",709.023
"Mar 24, 2009",700.982
"Mar 25, 2009",702.188
"Mar 26, 2009",702.001
"Mar 27, 2009",699.595
"Mar 30, 2009",697.666
"Mar 31, 2009",700.017
"Apr 01, 2009",701.040
"Apr 02, 2009",702.094
"Apr 03, 2009",723.021
"Apr 06, 2009",704.588
"Apr 07, 2009",707.776
"Apr 08, 2009",725.877
"Apr 09, 2009",723.299
"Apr 10, 2009",723.299
"Apr 13, 2009",723.299
"Apr 14, 2009",749.975
"Apr 15, 2009",749.975
"Apr 16, 2009",750.823
"Apr 17, 2009",750.399
"Apr 20, 2009",731.977
"Apr 21, 2009",731.977
"Apr 22, 2009",749.975
"Apr 23, 2009",711.957
"Apr 24, 2009",698.088
"Apr 27, 2009",704.145
"Apr 28, 2009",699.145
"Apr 29, 2009",724.736
"Apr 30, 2009",736.809
"May 01, 2009",737.009
"May 04, 2009",737.009
"May 05, 2009",744.211
"May 06, 2009",745.201
"May 07, 2009",742.298
"May 08, 2009",746.392
"May 11, 2009",743.934
"May 12, 2009",750.677
"May 13, 2009",755.160
"May 14, 2009",770.540
"May 15, 2009",761.321
"May 18, 2009",762.382
"May 19, 2009",770.806
"May 20, 2009",787.402
"May 21, 2009",817.617
"May 22, 2009",797.329
"May 25, 2009",797.329
"May 26, 2009",797.329
"May 27, 2009",801.658
"May 28, 2009",807.714
"May 29, 2009",827.281
"Jun 01, 2009",820.245
"Jun 02, 2009",816.315
"Jun 03, 2009",798.378
"Jun 04, 2009",819.729
"Jun 05, 2009",818.806
"Jun 08, 2009",784.935
"Jun 09, 2009",757.740
"Jun 10, 2009",756.896
"Jun 11, 2009",781.684
"Jun 12, 2009",768.902
"Jun 15, 2009",768.902
"Jun 16, 2009",769.474
"Jun 17, 2009",772.555
"Jun 18, 2009",769.897
"Jun 19, 2009",770.723
"Jun 22, 2009",780.023
"Jun 23, 2009",779.181
"Jun 24, 2009",775.252
"Jun 25, 2009",770.211
"Jun 26, 2009",773.288
"Jun 29, 2009",772.572
"Jun 30, 2009",773.317
"Jul 01, 2009",771.456
"Jul 02, 2009",780.728
"Jul 03, 2009",778.617
"Jul 06, 2009",774.557
"Jul 07, 2009",776.407
"Jul 08, 2009",776.853
"Jul 09, 2009",773.036
"Jul 10, 2009",774.721
"Jul 13, 2009",799.907
"Jul 14, 2009",783.904
"Jul 15, 2009",778.391
"Jul 16, 2009",780.522
"Jul 17, 2009",780.522
"Jul 20, 2009",780.522
"Jul 21, 2009",782.150
"Jul 22, 2009",767.678
"Jul 23, 2009",771.059
"Jul 24, 2009",770.224
"Jul 27, 2009",767.698
"Jul 28, 2009",764.327
"Jul 29, 2009",760.394
"Jul 30, 2009",763.573
"Jul 31, 2009",764.088
"Aug 03, 2009",792.042
"Aug 04, 2009",776.109
"Aug 05, 2009",777.847
"Aug 06, 2009",777.847
"Aug 07, 2009",791.467
"Aug 10, 2009",777.720
"Aug 11, 2009",777.720
"Aug 12, 2009",784.505
"Aug 13, 2009",773.687
"Aug 14, 2009",773.405
"Aug 17, 2009",772.559
"Aug 18, 2009",775.096
"Aug 19, 2009",774.055
"Aug 20, 2009",796.933
"Aug 21, 2009",793.829
"Aug 24, 2009",784.100
"Aug 25, 2009",780.082
"Aug 26, 2009",776.138
"Aug 27, 2009",777.195
"Aug 28, 2009",782.323
"Aug 31, 2009",770.349
"Sep 01, 2009",763.783
"Sep 02, 2009",779.873
"Sep 03, 2009",796.516
"Sep 04, 2009",792.297
"Sep 07, 2009",791.889
"Sep 08, 2009",790.551
"Sep 09, 2009",799.505
"Sep 10, 2009",798.834
"Sep 11, 2009",798.834
"Sep 14, 2009",794.600
"Sep 15, 2009",789.617
