Index Level :,Price
Currency :,USD


Date,JAPAN Standard (Large+Mid Cap) None
"Jan 29, 1993","2,216.377"
"Feb 26, 1993","2,310.717"
"Mar 31, 1993","2,634.121"
"Apr 30, 1993","3,100.612"
"May 31, 1993","3,184.270"
"Jun 30, 1993","3,138.352"
"Jul 30, 1993","3,335.344"
"Aug 31, 1993","3,406.320"
"Sep 30, 1993","3,242.651"
"Oct 29, 1993","3,226.184"
"Nov 30, 1993","2,689.095"
"Dec 31, 1993","2,772.776"
"Jan 31, 1994","3,218.808"
"Feb 28, 1994","3,364.274"
"Mar 31, 1994","3,218.656"
"Apr 29, 1994","3,354.156"
"May 31, 1994","3,425.994"
"Jun 30, 1994","3,593.277"
"Jul 29, 1994","3,462.576"
"Aug 31, 1994","3,484.501"
"Sep 30, 1994","3,396.812"
"Oct 31, 1994","3,488.241"
"Nov 30, 1994","3,311.031"
"Dec 30, 1994","3,347.371"
"Jan 31, 1995","3,150.473"
"Feb 28, 1995","2,996.602"
"Mar 31, 1995","3,270.419"
"Apr 28, 1995","3,428.045"
"May 31, 1995","3,213.473"
"Jun 30, 1995","3,057.961"
"Jul 31, 1995","3,299.458"
"Aug 31, 1995","3,165.121"
"Sep 29, 1995","3,190.285"
"Oct 31, 1995","3,010.224"
"Nov 30, 1995","3,186.762"
"Dec 29, 1995","3,348.075"
"Jan 31, 1996","3,302.525"
"Feb 29, 1996","3,242.147"
"Mar 29, 1996","3,355.000"
"Apr 30, 1996","3,544.155"
"May 31, 1996","3,360.214"
"Jun 28, 1996","3,376.471"
"Jul 31, 1996","3,223.710"
"Aug 30, 1996","3,078.094"
"Sep 30, 1996","3,183.240"
"Oct 31, 1996","2,968.193"
"Nov 29, 1996","3,023.328"
"Dec 31, 1996","2,812.892"
"Jan 31, 1997","2,505.340"
"Feb 28, 1997","2,562.466"
"Mar 31, 1997","2,476.684"
"Apr 30, 1997","2,565.181"
"May 30, 1997","2,847.001"
"Jun 30, 1997","3,058.294"
"Jul 31, 1997","2,963.691"
"Aug 29, 1997","2,705.247"
"Sep 30, 1997","2,662.946"
"Oct 31, 1997","2,413.481"
"Nov 28, 1997","2,264.014"
"Dec 31, 1997","2,133.160"
"Jan 30, 1998","2,322.145"
"Feb 27, 1998","2,332.898"
"Mar 31, 1998","2,172.912"
"Apr 30, 1998","2,162.822"
"May 29, 1998","2,042.725"
"Jun 30, 1998","2,070.187"
"Jul 31, 1998","2,041.750"
"Aug 31, 1998","1,807.716"
"Sep 30, 1998","1,757.115"
"Oct 30, 1998","2,050.345"
"Nov 30, 1998","2,142.743"
"Dec 31, 1998","2,224.190"
"Jan 29, 1999","2,238.893"
"Feb 26, 1999","2,188.367"
"Mar 31, 1999","2,490.506"
"Apr 30, 1999","2,593.095"
"May 31, 1999","2,445.673"
"Jun 30, 1999","2,675.885"
"Jul 30, 1999","2,941.694"
"Aug 31, 1999","2,919.729"
"Sep 30, 1999","3,095.502"
"Oct 29, 1999","3,226.799"
"Nov 30, 1999","3,363.731"
"Dec 31, 1999","3,571.063"
"Jan 31, 2000","3,415.036"
"Feb 29, 2000","3,325.178"
"Mar 31, 2000","3,597.970"
"Apr 28, 2000","3,326.074"
"May 31, 2000","3,155.432"
"Jun 30, 2000","3,370.974"
"Jul 31, 2000","2,981.432"
"Aug 31, 2000","3,173.085"
"Sep 29, 2000","3,014.062"
"Oct 31, 2000","2,837.895"
"Nov 30, 2000","2,718.620"
"Dec 29, 2000","2,551.957"
"Jan 31, 2001","2,521.462"
"Feb 28, 2001","2,407.820"
"Mar 30, 2001","2,328.850"
"Apr 30, 2001","2,486.618"
"May 31, 2001","2,480.587"
"Jun 29, 2001","2,332.522"
"Jul 31, 2001","2,158.673"
"Aug 31, 2001","2,104.579"
"Sep 28, 2001","1,902.156"
"Oct 31, 2001","1,898.393"
"Nov 30, 2001","1,919.070"
"Dec 31, 2001","1,789.255"
"Jan 31, 2002","1,649.087"
"Feb 28, 2002","1,717.249"
"Mar 29, 2002","1,809.048"
"Apr 30, 2002","1,914.345"
"May 30, 2002","2,061.971"
"May 31, 2002","2,033.599"
"Jun 03, 2002","2,060.810"
"Jun 04, 2002","2,030.606"
"Jun 05, 2002","2,014.718"
"Jun 06, 2002","2,007.374"
"Jun 07, 2002","1,989.853"
"Jun 10, 2002","1,976.012"
"Jun 11, 2002","1,972.255"
"Jun 12, 2002","1,959.379"
"Jun 13, 2002","1,932.558"
"Jun 14, 2002","1,907.055"
"Jun 17, 2002","1,854.095"
"Jun 18, 2002","1,881.997"
"Jun 19, 2002","1,837.398"
"Jun 20, 2002","1,864.155"
"Jun 21, 2002","1,853.327"
"Jun 24, 2002","1,874.037"
"Jun 25, 2002","1,870.352"
"Jun 26, 2002","1,850.646"
"Jun 27, 2002","1,863.176"
"Jun 28, 2002","1,927.331"
"Jul 01, 2002","1,924.048"
"Jul 02, 2002","1,924.661"
"Jul 03, 2002","1,956.400"
"Jul 04, 2002","1,931.469"
"Jul 05, 2002","1,949.150"
"Jul 08, 2002","1,960.089"
"Jul 09, 2002","1,999.033"
"Jul 10, 2002","1,971.545"
"Jul 11, 2002","1,954.273"
"Jul 12, 2002","1,961.815"
"Jul 15, 2002","1,937.100"
"Jul 16, 2002","1,908.582"
"Jul 17, 2002","1,906.834"
"Jul 18, 2002","1,939.823"
"Jul 19, 2002","1,912.613"
"Jul 22, 2002","1,903.017"
"Jul 23, 2002","1,891.380"
"Jul 24, 2002","1,870.313"
"Jul 25, 2002","1,847.830"
"Jul 26, 2002","1,766.109"
"Jul 29, 2002","1,763.256"
"Jul 30, 2002","1,809.371"
"Jul 31, 2002","1,793.403"
"Aug 01, 2002","1,786.557"
"Aug 02, 2002","1,782.151"
"Aug 05, 2002","1,784.091"
"Aug 06, 2002","1,726.367"
"Aug 07, 2002","1,784.319"
"Aug 08, 2002","1,777.901"
"Aug 09, 2002","1,821.405"
"Aug 12, 2002","1,802.095"
"Aug 13, 2002","1,790.229"
"Aug 14, 2002","1,822.790"
"Aug 15, 2002","1,826.926"
"Aug 16, 2002","1,826.497"
"Aug 19, 2002","1,778.985"
"Aug 20, 2002","1,774.804"
"Aug 21, 2002","1,787.253"
"Aug 22, 2002","1,797.487"
"Aug 23, 2002","1,804.875"
"Aug 26, 2002","1,839.430"
"Aug 27, 2002","1,824.656"
"Aug 28, 2002","1,802.641"
"Aug 29, 2002","1,775.807"
