Index Level :,Price
Currency :,USD


Date,JORDAN Standard (Large+Mid Cap) None
"Jan 29, 1993",93.514
"Feb 26, 1993",92.201
"Mar 31, 1993",94.243
"Apr 30, 1993",94.684
"May 31, 1993",102.718
"Jun 30, 1993",114.443
"Jul 30, 1993",110.334
"Aug 31, 1993",100.632
"Sep 30, 1993",104.477
"Oct 29, 1993",101.702
"Nov 30, 1993",94.940
"Dec 31, 1993",100.337
"Jan 31, 1994",106.401
"Feb 28, 1994",108.720
"Mar 31, 1994",105.555
"Apr 29, 1994",99.425
"May 31, 1994",97.183
"Jun 30, 1994",97.931
"Jul 29, 1994",98.868
"Aug 31, 1994",93.808
"Sep 30, 1994",92.909
"Oct 31, 1994",91.955
"Nov 30, 1994",92.508
"Dec 30, 1994",91.211
"Jan 31, 1995",91.902
"Feb 28, 1995",91.347
"Mar 31, 1995",91.346
"Apr 28, 1995",99.919
"May 31, 1995",107.910
"Jun 30, 1995",100.812
"Jul 31, 1995",97.584
"Aug 31, 1995",94.596
"Sep 29, 1995",93.596
"Oct 31, 1995",92.245
"Nov 30, 1995",88.366
"Dec 29, 1995",96.137
"Jan 31, 1996",93.345
"Feb 29, 1996",92.173
"Mar 29, 1996",88.926
"Apr 30, 1996",90.366
"May 31, 1996",86.973
"Jun 28, 1996",79.952
"Jul 31, 1996",78.466
"Aug 30, 1996",81.286
"Sep 30, 1996",83.184
"Oct 31, 1996",81.599
"Nov 29, 1996",80.976
"Dec 31, 1996",85.190
"Jan 31, 1997",84.299
"Feb 28, 1997",86.234
"Mar 31, 1997",84.614
"Apr 30, 1997",84.148
"May 30, 1997",92.322
"Jun 30, 1997",93.335
"Jul 31, 1997",92.324
"Aug 29, 1997",90.674
"Sep 30, 1997",90.529
"Oct 31, 1997",84.533
"Nov 28, 1997",83.661
"Dec 31, 1997",83.672
"Jan 30, 1998",82.951
"Feb 27, 1998",79.629
"Mar 31, 1998",78.907
"Apr 30, 1998",78.757
"May 29, 1998",77.431
"Jun 30, 1998",71.137
"Jul 31, 1998",70.722
"Aug 31, 1998",70.319
"Sep 30, 1998",67.053
"Oct 30, 1998",63.158
"Nov 30, 1998",66.439
"Dec 31, 1998",71.738
"Jan 29, 1999",76.245
"Feb 26, 1999",80.274
"Mar 31, 1999",79.426
"Apr 30, 1999",73.722
"May 31, 1999",72.029
"Jun 30, 1999",71.391
"Jul 30, 1999",71.659
"Aug 31, 1999",69.585
"Sep 30, 1999",67.582
"Oct 29, 1999",67.323
"Nov 30, 1999",68.753
"Dec 31, 1999",73.175
"Jan 31, 2000",69.980
"Feb 29, 2000",66.112
"Mar 31, 2000",67.184
"Apr 28, 2000",65.717
"May 31, 2000",61.701
"Jun 30, 2000",59.925
"Jul 31, 2000",57.120
"Aug 31, 2000",55.001
"Sep 29, 2000",55.596
"Oct 31, 2000",56.621
"Nov 30, 2000",56.394
"Dec 29, 2000",55.136
"Jan 31, 2001",57.011
"Feb 28, 2001",57.682
"Mar 30, 2001",58.071
"Apr 30, 2001",56.744
"May 31, 2001",58.952
"Jun 29, 2001",59.360
"Jul 31, 2001",61.511
"Aug 31, 2001",64.218
"Sep 28, 2001",64.114
"Oct 31, 2001",69.601
"Nov 30, 2001",72.355
"Dec 31, 2001",71.136
"Jan 31, 2002",73.449
"Feb 28, 2002",73.371
"Mar 29, 2002",74.608
"Apr 30, 2002",70.130
"May 30, 2002",74.640
"May 31, 2002",74.640
"Jun 03, 2002",75.344
"Jun 04, 2002",75.110
"Jun 05, 2002",74.848
"Jun 06, 2002",75.459
"Jun 07, 2002",75.459
"Jun 10, 2002",77.362
"Jun 11, 2002",77.336
"Jun 12, 2002",78.513
"Jun 13, 2002",78.986
"Jun 14, 2002",78.986
"Jun 17, 2002",79.485
"Jun 18, 2002",78.557
"Jun 19, 2002",79.521
"Jun 20, 2002",78.659
"Jun 21, 2002",78.659
"Jun 24, 2002",79.421
"Jun 25, 2002",79.451
"Jun 26, 2002",80.019
"Jun 27, 2002",80.297
"Jun 28, 2002",80.297
"Jul 01, 2002",80.022
"Jul 02, 2002",80.720
"Jul 03, 2002",80.973
"Jul 04, 2002",81.774
"Jul 05, 2002",81.774
"Jul 08, 2002",83.005
"Jul 09, 2002",82.319
"Jul 10, 2002",82.489
"Jul 11, 2002",82.457
"Jul 12, 2002",82.457
"Jul 15, 2002",80.482
"Jul 16, 2002",79.917
"Jul 17, 2002",81.527
"Jul 18, 2002",81.137
"Jul 19, 2002",81.603
"Jul 22, 2002",80.865
"Jul 23, 2002",79.941
"Jul 24, 2002",79.158
"Jul 25, 2002",78.883
"Jul 26, 2002",78.883
"Jul 29, 2002",76.114
"Jul 30, 2002",77.270
"Jul 31, 2002",77.477
"Aug 01, 2002",77.263
"Aug 02, 2002",77.263
"Aug 05, 2002",75.063
"Aug 06, 2002",75.088
"Aug 07, 2002",75.266
"Aug 08, 2002",75.628
"Aug 09, 2002",75.628
"Aug 12, 2002",75.008
"Aug 13, 2002",74.963
"Aug 14, 2002",73.699
"Aug 15, 2002",73.861
"Aug 16, 2002",73.861
"Aug 19, 2002",75.564
"Aug 20, 2002",75.777
"Aug 21, 2002",75.066
"Aug 22, 2002",74.684
"Aug 23, 2002",74.684
"Aug 26, 2002",74.958
"Aug 27, 2002",75.318
"Aug 28, 2002",74.850
"Aug 29, 2002",74.969
"Aug 30, 2002",74.969
"Sep 02, 2002",75.608
"Sep 03, 2002",76.436
"Sep 04, 2002",76.231
"Sep 05, 2002",75.368
"Sep 06, 2002",75.368
"Sep 09, 2002",71.368
"Sep 10, 2002",71.888
"Sep 11, 2002",71.852
"Sep 12, 2002",72.398
"Sep 13, 2002",72.398
"Sep 16, 2002",72.337
"Sep 17, 2002",74.392
"Sep 18, 2002",73.556
"Sep 19, 2002",73.487
"Sep 20, 2002",73.487
"Sep 23, 2002",72.612
"Sep 24, 2002",72.408
"Sep 25, 2002",72.186
"Sep 26, 2002",72.522
"Sep 27, 2002",72.522
"Sep 30, 2002",73.224
"Oct 01, 2002",73.239
"Oct 02, 2002",73.259
"Oct 03, 2002",72.595
"Oct 04, 2002",72.595
"Oct 07, 2002",72.587
"Oct 08, 2002",72.536
"Oct 09, 2002",72.306
"Oct 10, 2002",72.160
"Oct 11, 2002",72.160
"Oct 14, 2002",69.253
"Oct 15, 2002",69.951
"Oct 16, 2002",70.215
"Oct 17, 2002",70.173
"Oct 18, 2002",70.183
