Index Level :,Price
Currency :,USD


Date,KAZAKHSTAN Standard (Large+Mid Cap) None
"Nov 30, 2005",264.257
"Dec 01, 2005",278.901
"Dec 02, 2005",310.675
"Dec 05, 2005",332.513
"Dec 06, 2005",341.003
"Dec 07, 2005",347.412
"Dec 08, 2005",398.804
"Dec 09, 2005",443.415
"Dec 12, 2005",423.480
"Dec 13, 2005",430.460
"Dec 14, 2005",434.387
"Dec 15, 2005",430.630
"Dec 16, 2005",411.418
"Dec 19, 2005",429.019
"Dec 20, 2005",477.065
"Dec 21, 2005",474.840
"Dec 22, 2005",476.142
"Dec 23, 2005",481.114
"Dec 26, 2005",481.114
"Dec 27, 2005",514.006
"Dec 28, 2005",552.022
"Dec 29, 2005",541.447
"Dec 30, 2005",537.622
"Jan 02, 2006",537.622
"Jan 03, 2006",465.132
"Jan 04, 2006",543.565
"Jan 05, 2006",545.392
"Jan 06, 2006",537.897
"Jan 09, 2006",530.640
"Jan 10, 2006",534.487
"Jan 11, 2006",527.529
"Jan 12, 2006",471.601
"Jan 13, 2006",518.299
"Jan 16, 2006",520.231
"Jan 17, 2006",534.310
"Jan 18, 2006",523.494
"Jan 19, 2006",526.620
"Jan 20, 2006",527.333
"Jan 23, 2006",543.920
"Jan 24, 2006",528.556
"Jan 25, 2006",509.658
"Jan 26, 2006",480.682
"Jan 27, 2006",469.653
"Jan 30, 2006",469.248
"Jan 31, 2006",446.740
"Feb 01, 2006",453.383
"Feb 02, 2006",425.757
"Feb 03, 2006",457.849
"Feb 06, 2006",515.790
"Feb 07, 2006",549.664
"Feb 08, 2006",529.218
"Feb 09, 2006",561.832
"Feb 10, 2006",551.836
"Feb 13, 2006",592.164
"Feb 14, 2006",575.962
"Feb 15, 2006",582.038
"Feb 16, 2006",604.025
"Feb 17, 2006",625.398
"Feb 20, 2006",626.710
"Feb 21, 2006",717.475
"Feb 22, 2006",744.471
"Feb 23, 2006",755.351
"Feb 24, 2006",732.587
"Feb 27, 2006",670.511
"Feb 28, 2006",731.046
"Mar 01, 2006",728.922
"Mar 02, 2006",723.432
"Mar 03, 2006",729.397
"Mar 06, 2006",734.273
"Mar 07, 2006",705.185
"Mar 08, 2006",681.817
"Mar 09, 2006",772.099
"Mar 10, 2006",766.303
"Mar 13, 2006",758.068
"Mar 14, 2006",746.357
"Mar 15, 2006",746.884
"Mar 16, 2006",750.840
"Mar 17, 2006",656.292
"Mar 20, 2006",646.321
"Mar 21, 2006",643.855
"Mar 22, 2006",643.734
"Mar 23, 2006",665.297
"Mar 24, 2006",668.736
"Mar 27, 2006",746.188
"Mar 28, 2006",765.364
"Mar 29, 2006",757.547
"Mar 30, 2006",807.317
"Mar 31, 2006",810.820
"Apr 03, 2006",806.315
"Apr 04, 2006",860.796
"Apr 05, 2006",845.941
"Apr 06, 2006",839.404
"Apr 07, 2006",848.665
"Apr 10, 2006",857.805
"Apr 11, 2006",843.694
"Apr 12, 2006",821.179
"Apr 13, 2006",820.363
"Apr 14, 2006",820.363
"Apr 17, 2006",827.484
"Apr 18, 2006",827.558
"Apr 19, 2006",844.677
"Apr 20, 2006",873.395
"Apr 21, 2006",874.687
"Apr 24, 2006",855.434
"Apr 25, 2006",852.305
"Apr 26, 2006",875.097
"Apr 27, 2006",876.269
"Apr 28, 2006",881.037
"May 01, 2006",881.880
"May 02, 2006",875.023
"May 03, 2006",863.385
"May 04, 2006",863.611
"May 05, 2006",854.983
"May 08, 2006",853.355
"May 09, 2006",814.652
"May 10, 2006",776.487
"May 11, 2006",778.079
"May 12, 2006",735.928
"May 15, 2006",718.673
"May 16, 2006",736.621
"May 17, 2006",701.561
"May 18, 2006",723.899
"May 19, 2006",711.412
"May 22, 2006",631.971
"May 23, 2006",659.311
"May 24, 2006",681.451
"May 25, 2006",631.105
"May 26, 2006",640.130
"May 29, 2006",641.024
"May 30, 2006",597.851
"May 31, 2006",720.657
"Jun 01, 2006",684.820
"Jun 02, 2006",678.765
"Jun 05, 2006",679.999
"Jun 06, 2006",656.856
"Jun 07, 2006",651.227
"Jun 08, 2006",638.668
"Jun 09, 2006",617.975
"Jun 12, 2006",611.990
"Jun 13, 2006",587.944
"Jun 14, 2006",583.723
"Jun 15, 2006",586.185
"Jun 16, 2006",581.467
"Jun 19, 2006",592.989
"Jun 20, 2006",574.644
"Jun 21, 2006",588.054
"Jun 22, 2006",587.635
"Jun 23, 2006",611.073
"Jun 26, 2006",587.091
"Jun 27, 2006",587.801
"Jun 28, 2006",583.182
"Jun 29, 2006",587.880
"Jun 30, 2006",593.492
"Jul 03, 2006",586.395
"Jul 04, 2006",586.613
"Jul 05, 2006",582.274
"Jul 06, 2006",587.373
"Jul 07, 2006",579.381
"Jul 10, 2006",587.255
"Jul 11, 2006",578.187
"Jul 12, 2006",578.038
"Jul 13, 2006",538.461
"Jul 14, 2006",545.805
"Jul 17, 2006",529.744
"Jul 18, 2006",504.818
"Jul 19, 2006",529.139
"Jul 20, 2006",532.907
"Jul 21, 2006",532.806
"Jul 24, 2006",537.184
"Jul 25, 2006",547.034
"Jul 26, 2006",550.730
"Jul 27, 2006",602.246
"Jul 28, 2006",592.958
"Jul 31, 2006",607.781
"Aug 01, 2006",606.616
"Aug 02, 2006",603.300
"Aug 03, 2006",572.162
"Aug 04, 2006",588.395
"Aug 07, 2006",568.996
"Aug 08, 2006",598.381
"Aug 09, 2006",602.009
"Aug 10, 2006",599.293
"Aug 11, 2006",571.979
"Aug 14, 2006",589.302
"Aug 15, 2006",586.282
"Aug 16, 2006",582.720
"Aug 17, 2006",594.795
"Aug 18, 2006",632.231
"Aug 21, 2006",618.980
"Aug 22, 2006",621.521
"Aug 23, 2006",636.072
"Aug 24, 2006",633.209
"Aug 25, 2006",612.896
"Aug 28, 2006",638.164
"Aug 29, 2006",637.287
"Aug 30, 2006",644.589
"Aug 31, 2006",642.665
"Sep 01, 2006",638.759
"Sep 04, 2006",640.044
"Sep 05, 2006",682.963
"Sep 06, 2006",690.006
"Sep 07, 2006",666.204
"Sep 08, 2006",694.934
"Sep 11, 2006",689.158
"Sep 12, 2006",689.905
"Sep 13, 2006",693.601
"Sep 14, 2006",691.387
"Sep 15, 2006",688.872
"Sep 18, 2006",691.735
"Sep 19, 2006",693.241
"Sep 20, 2006",698.258
"Sep 21, 2006",683.499
"Sep 22, 2006",669.454
"Sep 25, 2006",670.569
"Sep 26, 2006",664.171
