Index Level :,Price
Currency :,USD


Date,KENYA Standard (Large+Mid Cap) None
"May 31, 2002",118.533
"Jun 03, 2002",117.348
"Jun 04, 2002",116.954
"Jun 05, 2002",117.743
"Jun 06, 2002",118.875
"Jun 07, 2002",118.740
"Jun 10, 2002",118.606
"Jun 11, 2002",121.422
"Jun 12, 2002",122.213
"Jun 13, 2002",123.963
"Jun 14, 2002",125.176
"Jun 17, 2002",125.656
"Jun 18, 2002",127.018
"Jun 19, 2002",126.856
"Jun 20, 2002",126.050
"Jun 21, 2002",124.677
"Jun 24, 2002",122.659
"Jun 25, 2002",122.392
"Jun 26, 2002",122.251
"Jun 27, 2002",121.514
"Jun 28, 2002",121.253
"Jul 01, 2002",119.356
"Jul 02, 2002",118.860
"Jul 03, 2002",119.129
"Jul 04, 2002",119.137
"Jul 05, 2002",118.649
"Jul 08, 2002",117.884
"Jul 09, 2002",118.724
"Jul 10, 2002",119.432
"Jul 11, 2002",118.799
"Jul 12, 2002",118.948
"Jul 15, 2002",120.295
"Jul 16, 2002",120.918
"Jul 17, 2002",120.918
"Jul 18, 2002",121.312
"Jul 19, 2002",121.397
"Jul 22, 2002",122.071
"Jul 23, 2002",122.109
"Jul 24, 2002",122.856
"Jul 25, 2002",122.558
"Jul 26, 2002",123.501
"Jul 29, 2002",123.108
"Jul 30, 2002",122.856
"Jul 31, 2002",122.910
"Aug 01, 2002",123.460
"Aug 02, 2002",118.415
"Aug 05, 2002",117.701
"Aug 06, 2002",117.701
"Aug 07, 2002",118.209
"Aug 08, 2002",118.326
"Aug 09, 2002",118.138
"Aug 12, 2002",119.751
"Aug 13, 2002",119.559
"Aug 14, 2002",121.200
"Aug 15, 2002",121.862
"Aug 16, 2002",121.405
"Aug 19, 2002",122.066
"Aug 20, 2002",122.066
"Aug 21, 2002",122.760
"Aug 22, 2002",122.035
"Aug 23, 2002",121.658
"Aug 26, 2002",122.035
"Aug 27, 2002",122.035
"Aug 28, 2002",121.518
"Aug 29, 2002",121.785
"Aug 30, 2002",122.669
"Sep 02, 2002",122.785
"Sep 03, 2002",121.607
"Sep 04, 2002",125.348
"Sep 05, 2002",128.508
"Sep 06, 2002",127.281
"Sep 09, 2002",126.535
"Sep 10, 2002",125.875
"Sep 11, 2002",125.545
"Sep 12, 2002",125.214
"Sep 13, 2002",123.642
"Sep 16, 2002",123.368
"Sep 17, 2002",122.583
"Sep 18, 2002",123.368
"Sep 19, 2002",123.210
"Sep 20, 2002",122.269
"Sep 23, 2002",121.876
"Sep 24, 2002",122.206
"Sep 25, 2002",122.129
"Sep 26, 2002",121.974
"Sep 27, 2002",123.071
"Sep 30, 2002",123.463
"Oct 01, 2002",122.680
"Oct 02, 2002",123.463
"Oct 03, 2002",123.463
"Oct 04, 2002",123.557
"Oct 07, 2002",122.077
"Oct 08, 2002",122.558
"Oct 09, 2002",123.510
"Oct 10, 2002",123.510
"Oct 11, 2002",123.760
"Oct 14, 2002",124.228
"Oct 15, 2002",124.322
"Oct 16, 2002",124.088
"Oct 17, 2002",124.587
"Oct 18, 2002",125.413
"Oct 21, 2002",125.650
"Oct 22, 2002",125.571
"Oct 23, 2002",125.413
"Oct 24, 2002",126.130
"Oct 25, 2002",126.545
"Oct 28, 2002",126.236
"Oct 29, 2002",129.840
"Oct 30, 2002",130.188
"Oct 31, 2002",130.782
"Nov 01, 2002",131.809
"Nov 04, 2002",134.934
"Nov 05, 2002",138.238
"Nov 06, 2002",139.624
"Nov 07, 2002",141.200
"Nov 08, 2002",138.329
"Nov 11, 2002",139.589
"Nov 12, 2002",138.978
"Nov 13, 2002",140.103
"Nov 14, 2002",139.059
"Nov 15, 2002",141.449
"Nov 18, 2002",132.905
"Nov 19, 2002",133.809
"Nov 20, 2002",137.262
"Nov 21, 2002",134.079
"Nov 22, 2002",129.355
"Nov 25, 2002",129.192
"Nov 26, 2002",130.098
"Nov 27, 2002",130.741
"Nov 28, 2002",130.741
"Nov 29, 2002",136.970
"Dec 02, 2002",136.417
"Dec 03, 2002",139.151
"Dec 04, 2002",141.143
"Dec 05, 2002",142.501
"Dec 06, 2002",142.501
"Dec 09, 2002",143.543
"Dec 10, 2002",144.584
"Dec 11, 2002",147.847
"Dec 12, 2002",147.847
"Dec 13, 2002",149.129
"Dec 16, 2002",151.338
"Dec 17, 2002",153.805
"Dec 18, 2002",151.351
"Dec 19, 2002",152.414
"Dec 20, 2002",152.187
"Dec 23, 2002",152.701
"Dec 24, 2002",153.911
"Dec 25, 2002",153.911
"Dec 26, 2002",153.911
"Dec 27, 2002",153.960
"Dec 30, 2002",158.788
"Dec 31, 2002",166.514
"Jan 01, 2003",166.514
"Jan 02, 2003",166.514
"Jan 03, 2003",171.683
"Jan 06, 2003",185.692
"Jan 07, 2003",194.857
"Jan 08, 2003",192.023
"Jan 09, 2003",192.385
"Jan 10, 2003",186.023
"Jan 13, 2003",185.254
"Jan 14, 2003",180.497
"Jan 15, 2003",170.963
"Jan 16, 2003",175.546
"Jan 17, 2003",168.763
"Jan 20, 2003",167.896
"Jan 21, 2003",167.993
"Jan 22, 2003",170.370
"Jan 23, 2003",165.330
"Jan 24, 2003",167.522
"Jan 27, 2003",167.630
"Jan 28, 2003",168.749
"Jan 29, 2003",169.418
"Jan 30, 2003",171.137
"Jan 31, 2003",176.970
"Feb 03, 2003",173.238
"Feb 04, 2003",173.072
"Feb 05, 2003",177.332
"Feb 06, 2003",178.868
"Feb 07, 2003",179.789
"Feb 10, 2003",180.818
"Feb 11, 2003",181.624
"Feb 12, 2003",182.478
"Feb 13, 2003",182.869
"Feb 14, 2003",187.010
"Feb 17, 2003",187.688
"Feb 18, 2003",185.389
"Feb 19, 2003",181.710
"Feb 20, 2003",181.700
"Feb 21, 2003",184.368
"Feb 24, 2003",188.914
"Feb 25, 2003",194.925
"Feb 26, 2003",197.848
"Feb 27, 2003",198.914
"Feb 28, 2003",202.410
"Mar 03, 2003",202.157
"Mar 04, 2003",199.304
"Mar 05, 2003",203.769
"Mar 06, 2003",203.159
"Mar 07, 2003",207.833
"Mar 10, 2003",210.687
"Mar 11, 2003",217.269
"Mar 12, 2003",212.326
"Mar 13, 2003",213.809
"Mar 14, 2003",218.237
"Mar 17, 2003",219.587
"Mar 18, 2003",220.827
"Mar 19, 2003",220.511
"Mar 20, 2003",224.989
"Mar 21, 2003",216.418
"Mar 24, 2003",217.484
