Index Level :,Price
Currency :,USD


Date,KOREA Standard (Large+Mid Cap) None
"Jan 29, 1993",114.081
"Feb 26, 1993",106.223
"Mar 31, 1993",112.499
"Apr 30, 1993",122.777
"May 31, 1993",128.547
"Jun 30, 1993",125.333
"Jul 30, 1993",120.968
"Aug 31, 1993",112.848
"Sep 30, 1993",120.727
"Oct 29, 1993",123.144
"Nov 30, 1993",134.668
"Dec 31, 1993",149.238
"Jan 31, 1994",169.294
"Feb 28, 1994",167.185
"Mar 31, 1994",152.501
"Apr 29, 1994",162.778
"May 31, 1994",169.941
"Jun 30, 1994",167.057
"Jul 29, 1994",167.317
"Aug 31, 1994",175.537
"Sep 30, 1994",202.408
"Oct 31, 1994",203.496
"Nov 30, 1994",194.473
"Dec 30, 1994",182.257
"Jan 31, 1995",165.547
"Feb 28, 1995",162.015
"Mar 31, 1995",175.539
"Apr 28, 1995",175.774
"May 31, 1995",173.481
"Jun 30, 1995",176.318
"Jul 31, 1995",183.213
"Aug 31, 1995",176.864
"Sep 29, 1995",193.528
"Oct 31, 1995",196.832
"Nov 30, 1995",181.206
"Dec 29, 1995",173.813
"Jan 31, 1996",169.705
"Feb 29, 1996",166.096
"Mar 29, 1996",169.674
"Apr 30, 1996",189.442
"May 31, 1996",166.718
"Jun 28, 1996",147.928
"Jul 31, 1996",142.556
"Aug 30, 1996",135.010
"Sep 30, 1996",133.361
"Oct 31, 1996",124.980
"Nov 29, 1996",122.681
"Dec 31, 1996",107.099
"Jan 31, 1997",112.752
"Feb 28, 1997",107.331
"Mar 31, 1997",103.603
"Apr 30, 1997",107.197
"May 30, 1997",115.574
"Jun 30, 1997",117.491
"Jul 31, 1997",113.185
"Aug 29, 1997",109.506
"Sep 30, 1997",98.666
"Oct 31, 1997",67.827
"Nov 28, 1997",50.854
"Dec 31, 1997",35.075
"Jan 30, 1998",59.835
"Feb 27, 1998",56.152
"Mar 31, 1998",55.531
"Apr 30, 1998",53.720
"May 29, 1998",40.345
"Jun 30, 1998",36.495
"Jul 31, 1998",47.753
"Aug 31, 1998",39.857
"Sep 30, 1998",38.862
"Oct 30, 1998",51.201
"Nov 30, 1998",60.791
"Dec 31, 1998",83.318
"Jan 29, 1999",86.108
"Feb 26, 1999",76.393
"Mar 31, 1999",89.163
"Apr 30, 1999",112.853
"May 31, 1999",113.075
"Jun 30, 1999",146.596
"Jul 30, 1999",152.462
"Aug 31, 1999",155.357
"Sep 30, 1999",132.427
"Oct 29, 1999",134.048
"Nov 30, 1999",163.304
"Dec 31, 1999",158.449
"Jan 31, 2000",160.154
"Feb 29, 2000",137.109
"Mar 31, 2000",152.927
"Apr 28, 2000",135.359
"May 31, 2000",133.274
"Jun 30, 2000",151.757
"Jul 31, 2000",127.344
"Aug 31, 2000",123.275
"Sep 29, 2000",107.935
"Oct 31, 2000",87.525
"Nov 30, 2000",81.785
"Dec 29, 2000",78.674
"Jan 31, 2001",100.278
"Feb 28, 2001",92.850
"Mar 30, 2001",79.218
"Apr 30, 2001",90.303
"May 31, 2001",97.142
"Jun 29, 2001",91.659
"Jul 31, 2001",85.040
"Aug 31, 2001",87.843
"Sep 28, 2001",73.568
"Oct 31, 2001",85.102
"Nov 30, 2001",106.651
"Dec 31, 2001",114.841
"Jan 31, 2002",123.480
"Feb 28, 2002",135.686
"Mar 29, 2002",147.474
"Apr 30, 2002",147.457
"May 30, 2002",151.629
"May 31, 2002",147.814
"Jun 03, 2002",150.255
"Jun 04, 2002",151.581
"Jun 05, 2002",151.713
"Jun 06, 2002",151.713
"Jun 07, 2002",148.926
"Jun 10, 2002",151.570
"Jun 11, 2002",152.684
"Jun 12, 2002",152.600
"Jun 13, 2002",152.600
"Jun 14, 2002",152.274
"Jun 17, 2002",150.694
"Jun 18, 2002",150.420
"Jun 19, 2002",145.064
"Jun 20, 2002",145.043
"Jun 21, 2002",145.917
"Jun 24, 2002",145.260
"Jun 25, 2002",143.766
"Jun 26, 2002",134.582
"Jun 27, 2002",136.435
"Jun 28, 2002",142.097
"Jul 01, 2002",142.304
"Jul 02, 2002",142.725
"Jul 03, 2002",143.496
"Jul 04, 2002",147.623
"Jul 05, 2002",150.775
"Jul 08, 2002",151.864
"Jul 09, 2002",156.034
"Jul 10, 2002",153.594
"Jul 11, 2002",147.451
"Jul 12, 2002",152.974
"Jul 15, 2002",151.967
"Jul 16, 2002",150.525
"Jul 17, 2002",150.525
"Jul 18, 2002",150.578
"Jul 19, 2002",147.308
"Jul 22, 2002",141.961
"Jul 23, 2002",145.776
"Jul 24, 2002",141.373
"Jul 25, 2002",141.844
"Jul 26, 2002",133.748
"Jul 29, 2002",132.817
"Jul 30, 2002",138.368
"Jul 31, 2002",138.256
"Aug 01, 2002",136.515
"Aug 02, 2002",134.534
"Aug 05, 2002",127.714
"Aug 06, 2002",125.672
"Aug 07, 2002",127.701
"Aug 08, 2002",128.137
"Aug 09, 2002",130.249
"Aug 12, 2002",130.892
"Aug 13, 2002",134.170
"Aug 14, 2002",136.166
"Aug 15, 2002",136.166
"Aug 16, 2002",137.449
"Aug 19, 2002",136.771
"Aug 20, 2002",140.857
"Aug 21, 2002",142.921
"Aug 22, 2002",142.606
"Aug 23, 2002",140.599
"Aug 26, 2002",138.859
"Aug 27, 2002",137.190
"Aug 28, 2002",136.718
"Aug 29, 2002",136.644
"Aug 30, 2002",138.830
"Sep 02, 2002",141.828
"Sep 03, 2002",139.773
"Sep 04, 2002",136.591
"Sep 05, 2002",136.248
"Sep 06, 2002",133.572
"Sep 09, 2002",132.307
"Sep 10, 2002",135.498
"Sep 11, 2002",137.333
"Sep 12, 2002",140.079
"Sep 13, 2002",135.480
"Sep 16, 2002",131.016
"Sep 17, 2002",135.904
"Sep 18, 2002",132.476
"Sep 19, 2002",132.783
"Sep 20, 2002",132.783
"Sep 23, 2002",126.556
"Sep 24, 2002",124.658
"Sep 25, 2002",121.462
"Sep 26, 2002",122.195
"Sep 27, 2002",122.287
"Sep 30, 2002",119.138
"Oct 01, 2002",119.843
"Oct 02, 2002",119.449
"Oct 03, 2002",119.449
"Oct 04, 2002",120.199
"Oct 07, 2002",114.909
"Oct 08, 2002",115.882
"Oct 09, 2002",113.351
"Oct 10, 2002",105.610
"Oct 11, 2002",105.975
"Oct 14, 2002",111.410
"Oct 15, 2002",114.170
"Oct 16, 2002",117.292
"Oct 17, 2002",119.333
"Oct 18, 2002",124.091
