Index Level :,Price
Currency :,USD


Date,KUWAIT Standard (Large+Mid Cap) None
"May 31, 2005",709.284
"Jun 01, 2005",722.036
"Jun 02, 2005",722.036
"Jun 03, 2005",721.913
"Jun 06, 2005",781.362
"Jun 07, 2005",785.707
"Jun 08, 2005",790.340
"Jun 09, 2005",790.340
"Jun 10, 2005",790.340
"Jun 13, 2005",773.924
"Jun 14, 2005",775.028
"Jun 15, 2005",777.884
"Jun 16, 2005",777.884
"Jun 17, 2005",777.751
"Jun 20, 2005",784.693
"Jun 21, 2005",780.242
"Jun 22, 2005",790.048
"Jun 23, 2005",789.913
"Jun 24, 2005",790.048
"Jun 27, 2005",770.466
"Jun 28, 2005",759.994
"Jun 29, 2005",760.178
"Jun 30, 2005",760.178
"Jul 01, 2005",760.178
"Jul 04, 2005",764.586
"Jul 05, 2005",777.293
"Jul 06, 2005",791.799
"Jul 07, 2005",791.799
"Jul 08, 2005",791.799
"Jul 11, 2005",772.584
"Jul 12, 2005",766.036
"Jul 13, 2005",765.888
"Jul 14, 2005",765.888
"Jul 15, 2005",765.888
"Jul 18, 2005",754.932
"Jul 19, 2005",774.343
"Jul 20, 2005",776.368
"Jul 21, 2005",776.501
"Jul 22, 2005",776.501
"Jul 25, 2005",761.523
"Jul 26, 2005",795.471
"Jul 27, 2005",798.870
"Jul 28, 2005",798.870
"Jul 29, 2005",798.870
"Aug 01, 2005",803.883
"Aug 02, 2005",810.414
"Aug 03, 2005",810.232
"Aug 04, 2005",810.093
"Aug 05, 2005",810.093
"Aug 08, 2005",806.066
"Aug 09, 2005",809.802
"Aug 10, 2005",818.906
"Aug 11, 2005",818.906
"Aug 12, 2005",819.046
"Aug 15, 2005",822.667
"Aug 16, 2005",814.724
"Aug 17, 2005",802.813
"Aug 18, 2005",802.675
"Aug 19, 2005",802.813
"Aug 22, 2005",816.117
"Aug 23, 2005",808.371
"Aug 24, 2005",815.531
"Aug 25, 2005",815.531
"Aug 26, 2005",815.391
"Aug 29, 2005",818.544
"Aug 30, 2005",818.475
"Aug 31, 2005",819.056
"Sep 01, 2005",819.056
"Sep 02, 2005",819.196
"Sep 05, 2005",809.148
"Sep 06, 2005",811.242
"Sep 07, 2005",819.886
"Sep 08, 2005",820.027
"Sep 09, 2005",820.027
"Sep 12, 2005",838.438
"Sep 13, 2005",845.335
"Sep 14, 2005",847.107
"Sep 15, 2005",847.107
"Sep 16, 2005",847.107
"Sep 19, 2005",868.926
"Sep 20, 2005",872.241
"Sep 21, 2005",866.662
"Sep 22, 2005",866.662
"Sep 23, 2005",866.810
"Sep 26, 2005",853.393
"Sep 27, 2005",857.100
"Sep 28, 2005",856.603
"Sep 29, 2005",856.456
"Sep 30, 2005",856.603
"Oct 03, 2005",880.531
"Oct 04, 2005",876.595
"Oct 05, 2005",876.319
"Oct 06, 2005",876.319
"Oct 07, 2005",876.169
"Oct 10, 2005",880.135
"Oct 11, 2005",878.553
"Oct 12, 2005",879.034
"Oct 13, 2005",879.185
"Oct 14, 2005",879.185
"Oct 17, 2005",888.021
"Oct 18, 2005",898.108
"Oct 19, 2005",898.172
"Oct 20, 2005",898.172
"Oct 21, 2005",898.018
"Oct 24, 2005",901.737
"Oct 25, 2005",907.565
"Oct 26, 2005",898.508
"Oct 27, 2005",898.354
"Oct 28, 2005",898.354
"Oct 31, 2005",905.344
"Nov 01, 2005",909.847
"Nov 02, 2005",925.586
"Nov 03, 2005",925.586
"Nov 04, 2005",925.428
"Nov 07, 2005",942.329
"Nov 08, 2005",949.861
"Nov 09, 2005",957.881
"Nov 10, 2005",959.180
"Nov 11, 2005",960.643
"Nov 14, 2005",994.348
"Nov 15, 2005",983.252
"Nov 16, 2005",954.362
"Nov 17, 2005",954.362
"Nov 18, 2005",954.362
"Nov 21, 2005",945.711
"Nov 22, 2005",950.242
"Nov 23, 2005",962.150
"Nov 24, 2005",961.986
"Nov 25, 2005",962.150
"Nov 28, 2005",987.416
"Nov 29, 2005",997.518
"Nov 30, 2005","1,000.000"
"Dec 01, 2005","1,000.000"
"Dec 02, 2005",999.829
"Dec 05, 2005",987.891
"Dec 06, 2005",982.333
"Dec 07, 2005",970.298
"Dec 08, 2005",970.464
"Dec 09, 2005",970.464
"Dec 12, 2005",935.359
"Dec 13, 2005",935.974
"Dec 14, 2005",921.918
"Dec 15, 2005",921.918
"Dec 16, 2005",921.918
"Dec 19, 2005",909.272
"Dec 20, 2005",925.897
"Dec 21, 2005",932.445
"Dec 22, 2005",932.445
"Dec 23, 2005",932.445
"Dec 26, 2005",940.611
"Dec 27, 2005",936.764
"Dec 28, 2005",942.507
"Dec 29, 2005",941.570
"Dec 30, 2005",942.668
"Jan 02, 2006",947.169
"Jan 03, 2006",946.829
"Jan 04, 2006",942.789
"Jan 05, 2006",942.628
"Jan 06, 2006",942.789
"Jan 09, 2006",961.565
"Jan 10, 2006",961.565
"Jan 11, 2006",961.565
"Jan 12, 2006",961.565
"Jan 13, 2006",961.565
"Jan 16, 2006",963.480
"Jan 17, 2006",964.685
"Jan 18, 2006",964.685
"Jan 19, 2006",964.685
"Jan 20, 2006",964.685
"Jan 23, 2006",943.170
"Jan 24, 2006",966.636
"Jan 25, 2006",970.125
"Jan 26, 2006",970.125
"Jan 27, 2006",969.958
"Jan 30, 2006",951.725
"Jan 31, 2006",955.744
"Feb 01, 2006",969.132
"Feb 02, 2006",969.132
"Feb 03, 2006",969.132
"Feb 06, 2006",965.100
"Feb 07, 2006",966.947
"Feb 08, 2006",962.017
"Feb 09, 2006",961.852
"Feb 10, 2006",961.852
"Feb 13, 2006",963.249
"Feb 14, 2006",962.208
"Feb 15, 2006",952.914
"Feb 16, 2006",952.751
"Feb 17, 2006",952.751
"Feb 20, 2006",918.623
"Feb 21, 2006",928.387
"Feb 22, 2006",929.681
"Feb 23, 2006",929.681
"Feb 24, 2006",929.681
"Feb 27, 2006",923.802
"Feb 28, 2006",923.576
"Mar 01, 2006",918.112
"Mar 02, 2006",918.112
"Mar 03, 2006",918.269
"Mar 06, 2006",883.759
"Mar 07, 2006",871.779
"Mar 08, 2006",855.048
"Mar 09, 2006",855.048
"Mar 10, 2006",855.048
"Mar 13, 2006",846.523
"Mar 14, 2006",810.837
"Mar 15, 2006",801.560
"Mar 16, 2006",801.560
"Mar 17, 2006",801.560
"Mar 20, 2006",860.407
"Mar 21, 2006",838.657
"Mar 22, 2006",844.321
