Index Level :,Price
Currency :,USD


Date,LEBANON Standard (Large+Mid Cap) None
"May 31, 2002",314.107
"Jun 03, 2002",314.107
"Jun 04, 2002",314.107
"Jun 05, 2002",314.107
"Jun 06, 2002",316.207
"Jun 07, 2002",315.419
"Jun 10, 2002",316.207
"Jun 11, 2002",318.569
"Jun 12, 2002",317.519
"Jun 13, 2002",317.257
"Jun 14, 2002",318.044
"Jun 17, 2002",318.044
"Jun 18, 2002",318.044
"Jun 19, 2002",319.881
"Jun 20, 2002",319.881
"Jun 21, 2002",321.456
"Jun 24, 2002",321.456
"Jun 25, 2002",321.456
"Jun 26, 2002",322.769
"Jun 27, 2002",322.769
"Jun 28, 2002",310.001
"Jul 01, 2002",311.313
"Jul 02, 2002",312.626
"Jul 03, 2002",316.825
"Jul 04, 2002",316.825
"Jul 05, 2002",317.088
"Jul 08, 2002",300.489
"Jul 09, 2002",300.489
"Jul 10, 2002",300.489
"Jul 11, 2002",300.489
"Jul 12, 2002",300.489
"Jul 15, 2002",300.489
"Jul 16, 2002",299.964
"Jul 17, 2002",316.563
"Jul 18, 2002",316.563
"Jul 19, 2002",317.088
"Jul 22, 2002",317.088
"Jul 23, 2002",317.088
"Jul 24, 2002",317.088
"Jul 25, 2002",317.088
"Jul 26, 2002",317.088
"Jul 29, 2002",317.088
"Jul 30, 2002",317.088
"Jul 31, 2002",317.088
"Aug 01, 2002",317.088
"Aug 02, 2002",317.088
"Aug 05, 2002",317.088
"Aug 06, 2002",317.088
"Aug 07, 2002",317.088
"Aug 08, 2002",317.088
"Aug 09, 2002",317.088
"Aug 12, 2002",317.088
"Aug 13, 2002",304.320
"Aug 14, 2002",304.320
"Aug 15, 2002",317.088
"Aug 16, 2002",317.088
"Aug 19, 2002",317.088
"Aug 20, 2002",317.088
"Aug 21, 2002",304.320
"Aug 22, 2002",304.320
"Aug 23, 2002",304.320
"Aug 26, 2002",304.320
"Aug 27, 2002",304.320
"Aug 28, 2002",304.320
"Aug 29, 2002",304.320
"Aug 30, 2002",304.320
"Sep 02, 2002",304.320
"Sep 03, 2002",311.519
"Sep 04, 2002",326.636
"Sep 05, 2002",326.636
"Sep 06, 2002",311.519
"Sep 09, 2002",310.071
"Sep 10, 2002",310.071
"Sep 11, 2002",307.288
"Sep 12, 2002",307.288
"Sep 13, 2002",307.288
"Sep 16, 2002",305.952
"Sep 17, 2002",305.952
"Sep 18, 2002",299.444
"Sep 19, 2002",299.444
"Sep 20, 2002",298.704
"Sep 23, 2002",290.540
"Sep 24, 2002",290.865
"Sep 25, 2002",290.798
"Sep 26, 2002",290.085
"Sep 27, 2002",300.223
"Sep 30, 2002",298.887
"Oct 01, 2002",296.809
"Oct 02, 2002",298.145
"Oct 03, 2002",298.145
"Oct 04, 2002",300.223
"Oct 07, 2002",297.997
"Oct 08, 2002",299.444
"Oct 09, 2002",299.444
"Oct 10, 2002",299.444
"Oct 11, 2002",300.780
"Oct 14, 2002",300.780
"Oct 15, 2002",298.724
"Oct 16, 2002",297.997
"Oct 17, 2002",297.997
"Oct 18, 2002",299.444
"Oct 21, 2002",298.780
"Oct 22, 2002",298.724
"Oct 23, 2002",298.724
"Oct 24, 2002",293.685
"Oct 25, 2002",293.685
"Oct 28, 2002",298.724
"Oct 29, 2002",298.724
"Oct 30, 2002",295.941
"Oct 31, 2002",297.997
"Nov 01, 2002",300.780
"Nov 04, 2002",300.780
"Nov 05, 2002",313.017
"Nov 06, 2002",307.978
"Nov 07, 2002",307.978
"Nov 08, 2002",312.260
"Nov 11, 2002",320.082
"Nov 12, 2002",320.082
"Nov 13, 2002",315.800
"Nov 14, 2002",315.800
"Nov 15, 2002",320.082
"Nov 18, 2002",320.082
"Nov 19, 2002",320.082
"Nov 20, 2002",317.941
"Nov 21, 2002",315.800
"Nov 22, 2002",315.800
"Nov 25, 2002",315.800
"Nov 26, 2002",320.082
"Nov 27, 2002",320.725
"Nov 28, 2002",320.725
"Nov 29, 2002",320.639
"Dec 02, 2002",314.348
"Dec 03, 2002",306.431
"Dec 04, 2002",306.557
"Dec 05, 2002",306.557
"Dec 06, 2002",306.557
"Dec 09, 2002",306.557
"Dec 10, 2002",296.879
"Dec 11, 2002",301.399
"Dec 12, 2002",314.348
"Dec 13, 2002",309.703
"Dec 16, 2002",304.670
"Dec 17, 2002",314.348
"Dec 18, 2002",309.703
"Dec 19, 2002",309.703
"Dec 20, 2002",319.381
"Dec 23, 2002",314.348
"Dec 24, 2002",314.348
"Dec 25, 2002",314.348
"Dec 26, 2002",309.703
"Dec 27, 2002",309.703
"Dec 30, 2002",314.348
"Dec 31, 2002",308.057
"Jan 01, 2003",308.057
"Jan 02, 2003",308.057
"Jan 03, 2003",308.057
"Jan 06, 2003",314.348
"Jan 07, 2003",314.542
"Jan 08, 2003",314.348
"Jan 09, 2003",308.057
"Jan 10, 2003",314.542
"Jan 13, 2003",308.251
"Jan 14, 2003",319.381
"Jan 15, 2003",314.542
"Jan 16, 2003",314.542
"Jan 17, 2003",314.542
"Jan 20, 2003",314.542
"Jan 21, 2003",317.687
"Jan 22, 2003",320.833
"Jan 23, 2003",320.833
"Jan 24, 2003",314.542
"Jan 27, 2003",309.703
"Jan 28, 2003",309.703
"Jan 29, 2003",309.703
"Jan 30, 2003",309.703
"Jan 31, 2003",314.542
"Feb 03, 2003",314.542
"Feb 04, 2003",314.735
"Feb 05, 2003",314.542
"Feb 06, 2003",314.542
"Feb 07, 2003",314.542
"Feb 10, 2003",309.703
"Feb 11, 2003",314.542
"Feb 12, 2003",314.542
"Feb 13, 2003",314.542
"Feb 14, 2003",314.542
"Feb 17, 2003",314.542
"Feb 18, 2003",309.703
"Feb 19, 2003",309.703
"Feb 20, 2003",304.863
"Feb 21, 2003",300.024
"Feb 24, 2003",293.734
"Feb 25, 2003",300.024
"Feb 26, 2003",303.170
"Feb 27, 2003",303.170
"Feb 28, 2003",295.185
"Mar 03, 2003",300.024
"Mar 04, 2003",300.024
"Mar 05, 2003",300.024
"Mar 06, 2003",300.024
"Mar 07, 2003",295.379
"Mar 10, 2003",295.379
"Mar 11, 2003",295.379
"Mar 12, 2003",295.379
"Mar 13, 2003",295.379
"Mar 14, 2003",295.379
"Mar 17, 2003",300.024
"Mar 18, 2003",300.024
"Mar 19, 2003",300.024
"Mar 20, 2003",300.024
"Mar 21, 2003",300.024
"Mar 24, 2003",300.024
