Index Level :,Price
Currency :,USD


Date,LITHUANIA Standard (Large+Mid Cap) None
"May 30, 2008","1,000.000"
"Jun 02, 2008","1,002.518"
"Jun 03, 2008",963.494
"Jun 04, 2008",963.129
"Jun 05, 2008",993.905
"Jun 06, 2008","1,017.818"
"Jun 09, 2008","1,002.235"
"Jun 10, 2008",980.871
"Jun 11, 2008",975.940
"Jun 12, 2008",965.769
"Jun 13, 2008",963.840
"Jun 16, 2008",969.597
"Jun 17, 2008",974.402
"Jun 18, 2008",984.638
"Jun 19, 2008",981.743
"Jun 20, 2008",988.164
"Jun 23, 2008",978.858
"Jun 24, 2008",985.621
"Jun 25, 2008",988.159
"Jun 26, 2008",999.742
"Jun 27, 2008",989.693
"Jun 30, 2008",977.592
"Jul 01, 2008",979.775
"Jul 02, 2008",991.793
"Jul 03, 2008",968.193
"Jul 04, 2008",968.871
"Jul 07, 2008",967.113
"Jul 08, 2008",981.379
"Jul 09, 2008",981.913
"Jul 10, 2008",993.450
"Jul 11, 2008","1,005.937"
"Jul 14, 2008",999.320
"Jul 15, 2008","1,001.799"
"Jul 16, 2008",981.447
"Jul 17, 2008",980.103
"Jul 18, 2008",978.191
"Jul 21, 2008",974.845
"Jul 22, 2008",966.497
"Jul 23, 2008",961.863
"Jul 24, 2008",974.989
"Jul 25, 2008",971.084
"Jul 28, 2008",976.346
"Jul 29, 2008",963.444
"Jul 30, 2008",971.967
"Jul 31, 2008",982.750
"Aug 01, 2008",978.437
"Aug 04, 2008",992.197
"Aug 05, 2008",978.641
"Aug 06, 2008",969.890
"Aug 07, 2008",970.657
"Aug 08, 2008",952.008
"Aug 11, 2008",949.961
"Aug 12, 2008",955.196
"Aug 13, 2008",950.503
"Aug 14, 2008",944.278
"Aug 15, 2008",931.101
"Aug 18, 2008",928.189
"Aug 19, 2008",928.228
"Aug 20, 2008",937.315
"Aug 21, 2008",947.133
"Aug 22, 2008",949.191
"Aug 25, 2008",954.283
"Aug 26, 2008",942.371
"Aug 27, 2008",945.984
"Aug 28, 2008",946.992
"Aug 29, 2008",961.233
"Sep 01, 2008",964.162
"Sep 02, 2008",959.824
"Sep 03, 2008",957.020
"Sep 04, 2008",962.223
"Sep 05, 2008",936.822
"Sep 08, 2008",948.876
"Sep 09, 2008",938.025
"Sep 10, 2008",921.301
"Sep 11, 2008",901.013
"Sep 12, 2008",924.948
"Sep 15, 2008",905.257
"Sep 16, 2008",899.699
"Sep 17, 2008",894.674
"Sep 18, 2008",894.307
"Sep 19, 2008",888.806
"Sep 22, 2008",921.068
"Sep 23, 2008",908.213
"Sep 24, 2008",902.997
"Sep 25, 2008",898.399
"Sep 26, 2008",880.619
"Sep 29, 2008",843.297
"Sep 30, 2008",795.468
"Oct 01, 2008",817.737
"Oct 02, 2008",802.586
"Oct 03, 2008",800.476
"Oct 06, 2008",746.869
"Oct 07, 2008",706.984
"Oct 08, 2008",649.149
"Oct 09, 2008",741.706
"Oct 10, 2008",685.848
"Oct 13, 2008",741.030
"Oct 14, 2008",794.838
"Oct 15, 2008",766.974
"Oct 16, 2008",725.165
"Oct 17, 2008",715.873
"Oct 20, 2008",709.189
"Oct 21, 2008",697.516
"Oct 22, 2008",650.724
"Oct 23, 2008",639.765
"Oct 24, 2008",601.900
"Oct 27, 2008",546.121
"Oct 28, 2008",551.329
"Oct 29, 2008",580.932
"Oct 30, 2008",572.643
"Oct 31, 2008",555.498
"Nov 03, 2008",558.926
"Nov 04, 2008",585.091
"Nov 05, 2008",594.722
"Nov 06, 2008",581.278
"Nov 07, 2008",583.569
"Nov 10, 2008",582.821
"Nov 11, 2008",556.946
"Nov 12, 2008",541.053
"Nov 13, 2008",526.201
"Nov 14, 2008",540.900
"Nov 17, 2008",527.340
"Nov 18, 2008",501.046
"Nov 19, 2008",501.926
"Nov 20, 2008",473.791
"Nov 21, 2008",464.187
"Nov 24, 2008",482.447
"Nov 25, 2008",505.781
"Nov 26, 2008",507.366
"Nov 27, 2008",502.161
"Nov 28, 2008",489.908
"Dec 01, 2008",487.285
"Dec 02, 2008",486.549
"Dec 03, 2008",487.502
"Dec 04, 2008",481.999
"Dec 05, 2008",477.258
"Dec 08, 2008",483.165
"Dec 09, 2008",479.961
"Dec 10, 2008",481.128
"Dec 11, 2008",486.309
"Dec 12, 2008",484.329
"Dec 15, 2008",490.342
"Dec 16, 2008",497.957
"Dec 17, 2008",530.313
"Dec 18, 2008",534.308
"Dec 19, 2008",504.694
"Dec 22, 2008",507.804
"Dec 23, 2008",504.522
"Dec 24, 2008",506.136
"Dec 25, 2008",506.136
"Dec 26, 2008",508.578
"Dec 29, 2008",520.761
"Dec 30, 2008",514.215
"Dec 31, 2008",505.334
"Jan 01, 2009",505.334
"Jan 02, 2009",506.558
"Jan 05, 2009",509.454
"Jan 06, 2009",523.229
"Jan 07, 2009",552.312
"Jan 08, 2009",539.937
"Jan 09, 2009",538.441
"Jan 12, 2009",526.444
"Jan 13, 2009",519.524
"Jan 14, 2009",524.216
"Jan 15, 2009",518.411
"Jan 16, 2009",529.189
"Jan 19, 2009",540.519
"Jan 20, 2009",520.860
"Jan 21, 2009",507.668
"Jan 22, 2009",513.379
"Jan 23, 2009",496.935
"Jan 26, 2009",514.477
"Jan 27, 2009",516.008
"Jan 28, 2009",521.414
"Jan 29, 2009",519.030
"Jan 30, 2009",501.598
"Feb 02, 2009",503.574
"Feb 03, 2009",500.238
"Feb 04, 2009",493.183
"Feb 05, 2009",494.209
"Feb 06, 2009",497.658
"Feb 09, 2009",507.431
"Feb 10, 2009",499.280
"Feb 11, 2009",501.469
"Feb 12, 2009",500.362
"Feb 13, 2009",509.793
"Feb 16, 2009",505.353
"Feb 17, 2009",487.007
"Feb 18, 2009",469.971
"Feb 19, 2009",472.963
"Feb 20, 2009",465.758
"Feb 23, 2009",466.886
"Feb 24, 2009",446.446
"Feb 25, 2009",446.747
"Feb 26, 2009",445.447
"Feb 27, 2009",446.928
"Mar 02, 2009",442.242
"Mar 03, 2009",435.877
"Mar 04, 2009",435.671
"Mar 05, 2009",433.445
"Mar 06, 2009",434.123
"Mar 09, 2009",423.677
"Mar 10, 2009",423.087
"Mar 11, 2009",423.815
"Mar 12, 2009",421.821
"Mar 13, 2009",424.341
"Mar 16, 2009",427.360
"Mar 17, 2009",425.633
"Mar 18, 2009",430.633
"Mar 19, 2009",438.146
"Mar 20, 2009",438.249
