Index Level :,Price
Currency :,USD


Date,MALAYSIA Standard (Large+Mid Cap) None
"Jan 29, 1993",197.920
"Feb 26, 1993",207.653
"Mar 31, 1993",214.056
"Apr 30, 1993",249.119
"May 31, 1993",257.848
"Jun 30, 1993",247.682
"Jul 30, 1993",259.953
"Aug 31, 1993",284.937
"Sep 30, 1993",306.134
"Oct 29, 1993",354.926
"Nov 30, 1993",348.584
"Dec 31, 1993",421.024
"Jan 31, 1994",355.242
"Feb 28, 1994",369.359
"Mar 31, 1994",314.808
"Apr 29, 1994",346.579
"May 31, 1994",334.939
"Jun 30, 1994",340.402
"Jul 29, 1994",349.164
"Aug 31, 1994",388.148
"Sep 30, 1994",386.128
"Oct 31, 1994",383.102
"Nov 30, 1994",350.477
"Dec 30, 1994",333.765
"Jan 31, 1995",299.807
"Feb 28, 1995",340.310
"Mar 31, 1995",341.028
"Apr 28, 1995",336.698
"May 31, 1995",374.266
"Jun 30, 1995",367.793
"Jul 31, 1995",375.599
"Aug 31, 1995",353.992
"Sep 29, 1995",347.139
"Oct 31, 1995",327.831
"Nov 30, 1995",328.250
"Dec 29, 1995",346.967
"Jan 31, 1996",359.363
"Feb 29, 1996",372.659
"Mar 29, 1996",396.404
"Apr 30, 1996",417.138
"May 31, 1996",399.929
"Jun 28, 1996",401.426
"Jul 31, 1996",376.633
"Aug 30, 1996",396.910
"Sep 30, 1996",403.222
"Oct 31, 1996",411.174
"Nov 29, 1996",427.943
"Dec 31, 1996",432.058
"Jan 31, 1997",438.128
"Feb 28, 1997",457.174
"Mar 31, 1997",431.433
"Apr 30, 1997",382.766
"May 30, 1997",389.859
"Jun 30, 1997",379.129
"Jul 31, 1997",341.885
"Aug 29, 1997",238.252
"Sep 30, 1997",220.460
"Oct 31, 1997",173.958
"Nov 28, 1997",136.819
"Dec 31, 1997",135.631
"Jan 30, 1998",120.331
"Feb 27, 1998",180.435
"Mar 31, 1998",175.643
"Apr 30, 1998",147.948
"May 29, 1998",121.595
"Jun 30, 1998",93.863
"Jul 31, 1998",83.721
"Aug 31, 1998",60.309
"Sep 30, 1998",56.178
"Oct 30, 1998",61.882
"Nov 30, 1998",77.864
"Dec 31, 1998",91.784
"Jan 29, 1999",93.188
"Feb 26, 1999",102.588
"Mar 31, 1999",94.899
"Apr 30, 1999",131.802
"May 31, 1999",146.909
"Jun 30, 1999",162.317
"Jul 30, 1999",154.665
"Aug 31, 1999",180.435
"Sep 30, 1999",156.726
"Oct 29, 1999",177.109
"Nov 30, 1999",175.023
"Dec 31, 1999",194.211
"Jan 31, 2000",222.973
"Feb 29, 2000",239.310
"Mar 31, 2000",237.088
"Apr 28, 2000",218.541
"May 31, 2000",225.104
"Jun 30, 2000",201.369
"Jul 31, 2000",191.658
"Aug 31, 2000",189.797
"Sep 29, 2000",166.881
"Oct 31, 2000",177.656
"Nov 30, 2000",173.092
"Dec 29, 2000",160.706
"Jan 31, 2001",173.285
"Feb 28, 2001",169.231
"Mar 30, 2001",154.138
"Apr 30, 2001",138.063
"May 31, 2001",134.532
"Jun 29, 2001",139.368
"Jul 31, 2001",157.081
"Aug 31, 2001",164.812
"Sep 28, 2001",147.074
"Oct 31, 2001",142.774
"Nov 30, 2001",151.404
"Dec 31, 2001",164.332
"Jan 31, 2002",172.969
"Feb 28, 2002",170.061
"Mar 29, 2002",183.843
"Apr 30, 2002",193.613
"May 30, 2002",183.997
"May 31, 2002",180.079
"Jun 03, 2002",181.931
"Jun 04, 2002",182.353
"Jun 05, 2002",182.063
"Jun 06, 2002",183.905
"Jun 07, 2002",184.850
"Jun 10, 2002",184.432
"Jun 11, 2002",184.475
"Jun 12, 2002",184.656
"Jun 13, 2002",185.324
"Jun 14, 2002",183.843
"Jun 17, 2002",183.077
"Jun 18, 2002",183.446
"Jun 19, 2002",182.029
"Jun 20, 2002",183.124
"Jun 21, 2002",181.841
"Jun 24, 2002",176.826
"Jun 25, 2002",174.202
"Jun 26, 2002",171.045
"Jun 27, 2002",173.391
"Jun 28, 2002",177.391
"Jul 01, 2002",177.494
"Jul 02, 2002",182.100
"Jul 03, 2002",181.066
"Jul 04, 2002",181.665
"Jul 05, 2002",182.607
"Jul 08, 2002",180.200
"Jul 09, 2002",182.187
"Jul 10, 2002",182.425
"Jul 11, 2002",181.354
"Jul 12, 2002",182.028
"Jul 15, 2002",181.741
"Jul 16, 2002",180.254
"Jul 17, 2002",179.472
"Jul 18, 2002",180.231
"Jul 19, 2002",178.438
"Jul 22, 2002",176.032
"Jul 23, 2002",177.871
"Jul 24, 2002",175.452
"Jul 25, 2002",176.463
"Jul 26, 2002",176.111
"Jul 29, 2002",177.081
"Jul 30, 2002",176.918
"Jul 31, 2002",176.635
"Aug 01, 2002",177.564
"Aug 02, 2002",176.513
"Aug 05, 2002",176.500
"Aug 06, 2002",176.385
"Aug 07, 2002",176.465
"Aug 08, 2002",176.652
"Aug 09, 2002",177.519
"Aug 12, 2002",177.754
"Aug 13, 2002",179.511
"Aug 14, 2002",178.971
"Aug 15, 2002",180.342
"Aug 16, 2002",181.038
"Aug 19, 2002",181.036
"Aug 20, 2002",179.821
"Aug 21, 2002",178.893
"Aug 22, 2002",178.608
"Aug 23, 2002",178.708
"Aug 26, 2002",178.299
"Aug 27, 2002",178.086
"Aug 28, 2002",177.255
"Aug 29, 2002",174.943
"Aug 30, 2002",174.721
"Sep 02, 2002",175.105
"Sep 03, 2002",175.097
"Sep 04, 2002",173.444
"Sep 05, 2002",173.432
"Sep 06, 2002",170.482
"Sep 09, 2002",167.997
"Sep 10, 2002",169.408
"Sep 11, 2002",170.390
"Sep 12, 2002",171.389
"Sep 13, 2002",169.025
"Sep 16, 2002",168.079
"Sep 17, 2002",169.847
"Sep 18, 2002",166.910
"Sep 19, 2002",166.279
"Sep 20, 2002",165.485
"Sep 23, 2002",162.540
"Sep 24, 2002",160.171
"Sep 25, 2002",156.094
"Sep 26, 2002",156.789
"Sep 27, 2002",158.996
"Sep 30, 2002",156.631
"Oct 01, 2002",158.643
"Oct 02, 2002",159.054
"Oct 03, 2002",158.934
"Oct 04, 2002",158.624
"Oct 07, 2002",158.022
"Oct 08, 2002",158.059
"Oct 09, 2002",157.582
"Oct 10, 2002",155.675
"Oct 11, 2002",156.926
"Oct 14, 2002",154.486
"Oct 15, 2002",152.995
"Oct 16, 2002",155.822
"Oct 17, 2002",156.915
"Oct 18, 2002",160.870
