Index Level :,Price
Currency :,USD


Date,MAURITIUS Standard (Large+Mid Cap) None
"May 31, 2002",131.566
"Jun 03, 2002",131.653
"Jun 04, 2002",131.412
"Jun 05, 2002",131.040
"Jun 06, 2002",131.190
"Jun 07, 2002",130.669
"Jun 10, 2002",130.712
"Jun 11, 2002",131.201
"Jun 12, 2002",131.467
"Jun 13, 2002",132.984
"Jun 14, 2002",133.426
"Jun 17, 2002",130.753
"Jun 18, 2002",130.883
"Jun 19, 2002",128.782
"Jun 20, 2002",131.402
"Jun 21, 2002",131.490
"Jun 24, 2002",131.994
"Jun 25, 2002",131.665
"Jun 26, 2002",131.422
"Jun 27, 2002",132.024
"Jun 28, 2002",131.029
"Jul 01, 2002",133.650
"Jul 02, 2002",132.370
"Jul 03, 2002",132.657
"Jul 04, 2002",130.564
"Jul 05, 2002",131.035
"Jul 08, 2002",131.384
"Jul 09, 2002",133.273
"Jul 10, 2002",133.117
"Jul 11, 2002",133.073
"Jul 12, 2002",133.117
"Jul 15, 2002",133.699
"Jul 16, 2002",136.025
"Jul 17, 2002",138.337
"Jul 18, 2002",140.082
"Jul 19, 2002",141.071
"Jul 22, 2002",141.210
"Jul 23, 2002",142.336
"Jul 24, 2002",141.210
"Jul 25, 2002",140.579
"Jul 26, 2002",141.213
"Jul 29, 2002",141.708
"Jul 30, 2002",141.922
"Jul 31, 2002",142.906
"Aug 01, 2002",141.779
"Aug 02, 2002",143.146
"Aug 05, 2002",142.673
"Aug 06, 2002",142.673
"Aug 07, 2002",143.630
"Aug 08, 2002",143.753
"Aug 09, 2002",143.705
"Aug 12, 2002",143.979
"Aug 13, 2002",142.899
"Aug 14, 2002",142.899
"Aug 15, 2002",143.768
"Aug 16, 2002",144.178
"Aug 19, 2002",144.404
"Aug 20, 2002",144.555
"Aug 21, 2002",144.178
"Aug 22, 2002",144.932
"Aug 23, 2002",145.158
"Aug 26, 2002",145.658
"Aug 27, 2002",145.658
"Aug 28, 2002",145.933
"Aug 29, 2002",145.104
"Aug 30, 2002",144.701
"Sep 02, 2002",144.701
"Sep 03, 2002",145.756
"Sep 04, 2002",147.362
"Sep 05, 2002",148.266
"Sep 06, 2002",149.270
"Sep 09, 2002",150.023
"Sep 10, 2002",149.345
"Sep 11, 2002",150.052
"Sep 12, 2002",148.516
"Sep 13, 2002",148.114
"Sep 16, 2002",145.879
"Sep 17, 2002",145.830
"Sep 18, 2002",146.154
"Sep 19, 2002",146.581
"Sep 20, 2002",145.651
"Sep 23, 2002",146.407
"Sep 24, 2002",146.358
"Sep 25, 2002",146.358
"Sep 26, 2002",146.309
"Sep 27, 2002",146.309
"Sep 30, 2002",145.553
"Oct 01, 2002",146.358
"Oct 02, 2002",145.934
"Oct 03, 2002",145.605
"Oct 04, 2002",144.097
"Oct 07, 2002",144.200
"Oct 08, 2002",144.248
"Oct 09, 2002",145.132
"Oct 10, 2002",145.004
"Oct 11, 2002",142.921
"Oct 14, 2002",142.921
"Oct 15, 2002",142.743
"Oct 16, 2002",143.121
"Oct 17, 2002",144.357
"Oct 18, 2002",144.308
"Oct 21, 2002",144.308
"Oct 22, 2002",144.686
"Oct 23, 2002",144.357
"Oct 24, 2002",143.679
"Oct 25, 2002",143.727
"Oct 28, 2002",142.442
"Oct 29, 2002",141.878
"Oct 30, 2002",142.490
"Oct 31, 2002",141.131
"Nov 01, 2002",141.934
"Nov 04, 2002",141.934
"Nov 05, 2002",140.898
"Nov 06, 2002",140.141
"Nov 07, 2002",140.378
"Nov 08, 2002",140.520
"Nov 11, 2002",139.477
"Nov 12, 2002",138.568
"Nov 13, 2002",139.524
"Nov 14, 2002",140.215
"Nov 15, 2002",139.666
"Nov 18, 2002",141.745
"Nov 19, 2002",142.050
"Nov 20, 2002",140.988
"Nov 21, 2002",142.507
"Nov 22, 2002",143.267
"Nov 25, 2002",143.170
"Nov 26, 2002",143.122
"Nov 27, 2002",143.881
"Nov 28, 2002",143.881
"Nov 29, 2002",143.881
"Dec 02, 2002",143.881
"Dec 03, 2002",143.267
"Dec 04, 2002",143.316
"Dec 05, 2002",142.706
"Dec 06, 2002",142.706
"Dec 09, 2002",144.142
"Dec 10, 2002",144.142
"Dec 11, 2002",144.142
"Dec 12, 2002",143.914
"Dec 13, 2002",144.165
"Dec 16, 2002",144.490
"Dec 17, 2002",145.928
"Dec 18, 2002",148.493
"Dec 19, 2002",148.950
"Dec 20, 2002",150.879
"Dec 23, 2002",152.021
"Dec 24, 2002",154.077
"Dec 25, 2002",154.077
"Dec 26, 2002",154.107
"Dec 27, 2002",154.264
"Dec 30, 2002",154.422
"Dec 31, 2002",155.643
"Jan 01, 2003",155.643
"Jan 02, 2003",155.776
"Jan 03, 2003",155.643
"Jan 06, 2003",155.927
"Jan 07, 2003",155.911
"Jan 08, 2003",157.377
"Jan 09, 2003",158.654
"Jan 10, 2003",159.316
"Jan 13, 2003",159.946
"Jan 14, 2003",163.905
"Jan 15, 2003",164.428
"Jan 16, 2003",165.845
"Jan 17, 2003",170.633
"Jan 20, 2003",169.052
"Jan 21, 2003",169.446
"Jan 22, 2003",170.107
"Jan 23, 2003",172.249
"Jan 24, 2003",171.643
"Jan 27, 2003",173.656
"Jan 28, 2003",186.313
"Jan 29, 2003",200.916
"Jan 30, 2003",197.941
"Jan 31, 2003",194.756
"Feb 03, 2003",194.411
"Feb 04, 2003",192.796
"Feb 05, 2003",191.731
"Feb 06, 2003",187.956
"Feb 07, 2003",189.318
"Feb 10, 2003",186.800
"Feb 11, 2003",182.905
"Feb 12, 2003",178.766
"Feb 13, 2003",178.766
"Feb 14, 2003",179.139
"Feb 17, 2003",179.334
"Feb 18, 2003",181.371
"Feb 19, 2003",186.164
"Feb 20, 2003",183.126
"Feb 21, 2003",183.326
"Feb 24, 2003",168.203
"Feb 25, 2003",162.352
"Feb 26, 2003",170.738
"Feb 27, 2003",175.006
"Feb 28, 2003",172.613
"Mar 03, 2003",171.470
"Mar 04, 2003",172.599
"Mar 05, 2003",173.361
"Mar 06, 2003",174.997
"Mar 07, 2003",177.071
"Mar 10, 2003",180.609
"Mar 11, 2003",180.316
"Mar 12, 2003",181.144
"Mar 13, 2003",178.674
"Mar 14, 2003",179.084
"Mar 17, 2003",179.496
"Mar 18, 2003",178.421
"Mar 19, 2003",170.574
"Mar 20, 2003",171.502
"Mar 21, 2003",176.520
"Mar 24, 2003",176.520
