Index Level :,Price
Currency :,USD


Date,MEXICO Standard (Large+Mid Cap) None
"Jan 29, 1993","1,268.247"
"Feb 26, 1993","1,193.570"
"Mar 31, 1993","1,354.980"
"Apr 30, 1993","1,254.521"
"May 31, 1993","1,234.614"
"Jun 30, 1993","1,241.093"
"Jul 30, 1993","1,308.635"
"Aug 31, 1993","1,433.730"
"Sep 30, 1993","1,383.329"
"Oct 29, 1993","1,525.440"
"Nov 30, 1993","1,684.195"
"Dec 31, 1993","1,965.573"
"Jan 31, 1994","2,121.089"
"Feb 28, 1994","1,930.101"
"Mar 31, 1994","1,709.672"
"Apr 29, 1994","1,660.896"
"May 31, 1994","1,783.246"
"Jun 30, 1994","1,587.491"
"Jul 29, 1994","1,723.497"
"Aug 31, 1994","1,849.624"
"Sep 30, 1994","1,880.068"
"Oct 31, 1994","1,726.220"
"Nov 30, 1994","1,736.385"
"Dec 30, 1994","1,149.745"
"Jan 31, 1995",898.370
"Feb 28, 1995",683.992
"Mar 31, 1995",696.380
"Apr 28, 1995",828.194
"May 31, 1995",802.837
"Jun 30, 1995",878.591
"Jul 31, 1995",958.895
"Aug 31, 1995",991.590
"Sep 29, 1995",931.761
"Oct 31, 1995",808.734
"Nov 30, 1995",878.678
"Dec 29, 1995",901.884
"Jan 31, 1996","1,006.897"
"Feb 29, 1996",914.762
"Mar 29, 1996",988.123
"Apr 30, 1996","1,042.257"
"May 31, 1996","1,047.820"
"Jun 28, 1996","1,031.983"
"Jul 31, 1996",964.528
"Aug 30, 1996","1,053.540"
"Sep 30, 1996","1,051.816"
"Oct 31, 1996",988.466
"Nov 29, 1996","1,026.733"
"Dec 31, 1996","1,052.641"
"Jan 31, 1997","1,143.245"
"Feb 28, 1997","1,184.034"
"Mar 31, 1997","1,157.935"
"Apr 30, 1997","1,162.171"
"May 30, 1997","1,229.068"
"Jun 30, 1997","1,367.050"
"Jul 31, 1997","1,571.127"
"Aug 29, 1997","1,444.529"
"Sep 30, 1997","1,655.977"
"Oct 31, 1997","1,348.375"
"Nov 28, 1997","1,479.255"
"Dec 31, 1997","1,596.297"
"Jan 30, 1998","1,372.203"
"Feb 27, 1998","1,420.130"
"Mar 31, 1998","1,492.001"
"Apr 30, 1998","1,522.310"
"May 29, 1998","1,313.655"
"Jun 30, 1998","1,232.037"
"Jul 31, 1998","1,216.043"
"Aug 31, 1998",799.389
"Sep 30, 1998",951.496
"Oct 30, 1998","1,065.630"
"Nov 30, 1998",999.985
"Dec 31, 1998","1,045.593"
"Jan 29, 1999","1,032.243"
"Feb 26, 1999","1,133.570"
"Mar 31, 1999","1,341.343"
"Apr 30, 1999","1,498.285"
"May 31, 1999","1,455.907"
"Jun 30, 1999","1,580.703"
"Jul 30, 1999","1,428.204"
"Aug 31, 1999","1,381.412"
"Sep 30, 1999","1,363.125"
"Oct 29, 1999","1,435.102"
"Nov 30, 1999","1,636.535"
"Dec 31, 1999","1,866.390"
"Jan 31, 2000","1,676.746"
"Feb 29, 2000","1,906.060"
"Mar 31, 2000","1,950.629"
"Apr 28, 2000","1,735.470"
"May 31, 2000","1,553.512"
"Jun 30, 2000","1,742.700"
"Jul 31, 2000","1,701.237"
"Aug 31, 2000","1,780.853"
"Sep 29, 2000","1,639.932"
"Oct 31, 2000","1,674.594"
"Nov 30, 2000","1,503.749"
"Dec 29, 2000","1,464.859"
"Jan 31, 2001","1,685.781"
"Feb 28, 2001","1,565.253"
"Mar 30, 2001","1,509.230"
"Apr 30, 2001","1,650.136"
"May 31, 2001","1,780.033"
"Jun 29, 2001","1,804.438"
"Jul 31, 2001","1,743.553"
"Aug 31, 2001","1,698.165"
"Sep 28, 2001","1,430.029"
"Oct 31, 2001","1,519.037"
"Nov 30, 2001","1,571.500"
"Dec 31, 2001","1,698.239"
"Jan 31, 2002","1,846.406"
"Feb 28, 2002","1,799.336"
"Mar 29, 2002","1,988.154"
"Apr 30, 2002","1,949.814"
"May 30, 2002","1,783.273"
"May 31, 2002","1,783.301"
"Jun 03, 2002","1,771.592"
"Jun 04, 2002","1,778.660"
"Jun 05, 2002","1,760.990"
"Jun 06, 2002","1,707.095"
"Jun 07, 2002","1,726.713"
"Jun 10, 2002","1,724.261"
"Jun 11, 2002","1,742.479"
"Jun 12, 2002","1,710.482"
"Jun 13, 2002","1,705.530"
"Jun 14, 2002","1,698.576"
"Jun 17, 2002","1,727.627"
"Jun 18, 2002","1,717.930"
"Jun 19, 2002","1,690.332"
"Jun 20, 2002","1,654.264"
"Jun 21, 2002","1,599.961"
"Jun 24, 2002","1,564.531"
"Jun 25, 2002","1,589.707"
"Jun 26, 2002","1,514.432"
"Jun 27, 2002","1,586.375"
"Jun 28, 2002","1,597.694"
"Jul 01, 2002","1,566.138"
"Jul 02, 2002","1,544.644"
"Jul 03, 2002","1,552.340"
"Jul 04, 2002","1,565.783"
"Jul 05, 2002","1,604.287"
"Jul 08, 2002","1,609.515"
"Jul 09, 2002","1,597.730"
"Jul 10, 2002","1,579.771"
"Jul 11, 2002","1,592.629"
"Jul 12, 2002","1,606.057"
"Jul 15, 2002","1,598.947"
"Jul 16, 2002","1,582.499"
"Jul 17, 2002","1,610.189"
"Jul 18, 2002","1,617.811"
"Jul 19, 2002","1,584.144"
"Jul 22, 2002","1,542.292"
"Jul 23, 2002","1,484.106"
"Jul 24, 2002","1,505.358"
"Jul 25, 2002","1,487.368"
"Jul 26, 2002","1,459.759"
"Jul 29, 2002","1,524.470"
"Jul 30, 2002","1,491.790"
"Jul 31, 2002","1,483.802"
"Aug 01, 2002","1,409.563"
"Aug 02, 2002","1,380.128"
"Aug 05, 2002","1,358.500"
"Aug 06, 2002","1,417.982"
"Aug 07, 2002","1,451.917"
"Aug 08, 2002","1,500.059"
"Aug 09, 2002","1,463.963"
"Aug 12, 2002","1,461.876"
"Aug 13, 2002","1,429.368"
"Aug 14, 2002","1,478.948"
"Aug 15, 2002","1,508.671"
"Aug 16, 2002","1,526.686"
"Aug 19, 2002","1,546.642"
"Aug 20, 2002","1,543.100"
"Aug 21, 2002","1,556.729"
"Aug 22, 2002","1,538.051"
"Aug 23, 2002","1,511.214"
"Aug 26, 2002","1,546.692"
"Aug 27, 2002","1,517.597"
"Aug 28, 2002","1,496.508"
"Aug 29, 2002","1,510.047"
"Aug 30, 2002","1,521.160"
"Sep 02, 2002","1,507.983"
"Sep 03, 2002","1,481.580"
