Index Level :,Price
Currency :,USD


Date,MOROCCO Standard (Large+Mid Cap) None
"Dec 30, 1994",100.000
"Jan 31, 1995",104.740
"Feb 28, 1995",110.026
"Mar 31, 1995",118.297
"Apr 28, 1995",117.477
"May 31, 1995",116.073
"Jun 30, 1995",113.349
"Jul 31, 1995",108.719
"Aug 31, 1995",104.575
"Sep 29, 1995",109.145
"Oct 31, 1995",114.030
"Nov 30, 1995",114.848
"Dec 29, 1995",119.214
"Jan 31, 1996",115.510
"Feb 29, 1996",119.683
"Mar 29, 1996",126.834
"Apr 30, 1996",134.190
"May 31, 1996",136.887
"Jun 28, 1996",140.433
"Jul 31, 1996",145.005
"Aug 30, 1996",145.359
"Sep 30, 1996",151.838
"Oct 31, 1996",156.558
"Nov 29, 1996",154.544
"Dec 31, 1996",158.192
"Jan 31, 1997",163.951
"Feb 28, 1997",174.251
"Mar 31, 1997",205.068
"Apr 30, 1997",220.109
"May 30, 1997",202.299
"Jun 30, 1997",205.714
"Jul 31, 1997",201.230
"Aug 29, 1997",208.218
"Sep 30, 1997",207.507
"Oct 31, 1997",212.982
"Nov 28, 1997",213.363
"Dec 31, 1997",209.728
"Jan 30, 1998",209.520
"Feb 27, 1998",221.554
"Mar 31, 1998",227.095
"Apr 30, 1998",253.964
"May 29, 1998",267.587
"Jun 30, 1998",260.460
"Jul 31, 1998",260.591
"Aug 31, 1998",278.993
"Sep 30, 1998",277.693
"Oct 30, 1998",267.579
"Nov 30, 1998",258.742
"Dec 31, 1998",256.422
"Jan 29, 1999",266.284
"Feb 26, 1999",254.986
"Mar 31, 1999",237.991
"Apr 30, 1999",230.781
"May 31, 1999",217.816
"Jun 30, 1999",224.927
"Jul 30, 1999",234.110
"Aug 31, 1999",239.552
"Sep 30, 1999",236.396
"Oct 29, 1999",233.475
"Nov 30, 1999",225.017
"Dec 31, 1999",220.565
"Jan 31, 2000",212.366
"Feb 29, 2000",196.306
"Mar 31, 2000",201.082
"Apr 28, 2000",182.791
"May 31, 2000",193.547
"Jun 30, 2000",196.516
"Jul 31, 2000",176.329
"Aug 31, 2000",182.741
"Sep 29, 2000",179.991
"Oct 31, 2000",170.915
"Nov 30, 2000",163.690
"Dec 29, 2000",167.955
"Jan 31, 2001",160.209
"Feb 28, 2001",177.753
"Mar 30, 2001",169.522
"Apr 30, 2001",156.940
"May 31, 2001",151.286
"Jun 29, 2001",144.805
"Jul 31, 2001",138.300
"Aug 31, 2001",149.763
"Sep 28, 2001",144.563
"Oct 31, 2001",135.547
"Nov 30, 2001",141.034
"Dec 31, 2001",139.412
"Jan 31, 2002",130.006
"Feb 28, 2002",128.537
"Mar 29, 2002",128.831
"Apr 30, 2002",125.853
"May 30, 2002",126.180
"May 31, 2002",126.055
"Jun 03, 2002",125.092
"Jun 04, 2002",125.388
"Jun 05, 2002",124.290
"Jun 06, 2002",125.018
"Jun 07, 2002",124.201
"Jun 10, 2002",124.031
"Jun 11, 2002",123.154
"Jun 12, 2002",122.371
"Jun 13, 2002",122.656
"Jun 14, 2002",122.212
"Jun 17, 2002",120.918
"Jun 18, 2002",121.409
"Jun 19, 2002",122.238
"Jun 20, 2002",123.315
"Jun 21, 2002",122.509
"Jun 24, 2002",123.294
"Jun 25, 2002",123.134
"Jun 26, 2002",125.615
"Jun 27, 2002",125.014
"Jun 28, 2002",124.394
"Jul 01, 2002",121.943
"Jul 02, 2002",120.668
"Jul 03, 2002",118.923
"Jul 04, 2002",117.591
"Jul 05, 2002",114.586
"Jul 08, 2002",115.776
"Jul 09, 2002",115.075
"Jul 10, 2002",115.104
"Jul 11, 2002",115.454
"Jul 12, 2002",113.836
"Jul 15, 2002",115.394
"Jul 16, 2002",113.096
"Jul 17, 2002",112.312
"Jul 18, 2002",110.788
"Jul 19, 2002",109.509
"Jul 22, 2002",108.169
"Jul 23, 2002",107.766
"Jul 24, 2002",109.973
"Jul 25, 2002",111.525
"Jul 26, 2002",112.776
"Jul 29, 2002",113.332
"Jul 30, 2002",114.079
"Jul 31, 2002",117.523
"Aug 01, 2002",121.359
"Aug 02, 2002",122.047
"Aug 05, 2002",121.046
"Aug 06, 2002",116.620
"Aug 07, 2002",116.185
"Aug 08, 2002",116.952
"Aug 09, 2002",117.280
"Aug 12, 2002",117.270
"Aug 13, 2002",117.733
"Aug 14, 2002",118.658
"Aug 15, 2002",118.138
"Aug 16, 2002",118.883
"Aug 19, 2002",118.124
"Aug 20, 2002",118.061
"Aug 21, 2002",118.531
"Aug 22, 2002",118.115
"Aug 23, 2002",118.335
"Aug 26, 2002",118.948
"Aug 27, 2002",120.616
"Aug 28, 2002",121.790
"Aug 29, 2002",121.505
"Aug 30, 2002",121.230
"Sep 02, 2002",121.505
"Sep 03, 2002",122.970
"Sep 04, 2002",123.005
"Sep 05, 2002",121.703
"Sep 06, 2002",120.910
"Sep 09, 2002",120.365
"Sep 10, 2002",119.388
"Sep 11, 2002",119.253
"Sep 12, 2002",120.823
"Sep 13, 2002",121.549
"Sep 16, 2002",120.728
"Sep 17, 2002",119.676
"Sep 18, 2002",120.025
"Sep 19, 2002",118.161
"Sep 20, 2002",115.811
"Sep 23, 2002",114.421
"Sep 24, 2002",112.661
"Sep 25, 2002",112.317
"Sep 26, 2002",113.404
"Sep 27, 2002",113.189
"Sep 30, 2002",114.970
"Oct 01, 2002",114.516
"Oct 02, 2002",114.656
"Oct 03, 2002",115.304
"Oct 04, 2002",114.823
"Oct 07, 2002",114.634
"Oct 08, 2002",114.370
"Oct 09, 2002",114.357
"Oct 10, 2002",114.075
"Oct 11, 2002",114.256
"Oct 14, 2002",114.302
"Oct 15, 2002",114.135
"Oct 16, 2002",113.165
"Oct 17, 2002",112.305
"Oct 18, 2002",112.391
"Oct 21, 2002",111.384
"Oct 22, 2002",111.874
"Oct 23, 2002",111.925
"Oct 24, 2002",111.474
"Oct 25, 2002",112.114
"Oct 28, 2002",112.646
"Oct 29, 2002",112.737
"Oct 30, 2002",112.350
"Oct 31, 2002",112.571
"Nov 01, 2002",113.463
"Nov 04, 2002",113.618
"Nov 05, 2002",113.906
"Nov 06, 2002",113.754
"Nov 07, 2002",114.778
"Nov 08, 2002",115.636
"Nov 11, 2002",116.343
"Nov 12, 2002",116.530
"Nov 13, 2002",118.082
"Nov 14, 2002",118.812
"Nov 15, 2002",118.066
"Nov 18, 2002",118.233
"Nov 19, 2002",116.585
