Index Level :,Price
Currency :,USD


Date,NETHERLANDS Standard (Large+Mid Cap) None
"Jan 29, 1993",682.876
"Feb 26, 1993",702.687
"Mar 31, 1993",745.620
"Apr 30, 1993",740.440
"May 31, 1993",753.668
"Jun 30, 1993",745.948
"Jul 30, 1993",745.040
"Aug 31, 1993",818.564
"Sep 30, 1993",820.064
"Oct 29, 1993",866.605
"Nov 30, 1993",838.121
"Dec 31, 1993",880.968
"Jan 31, 1994",919.707
"Feb 28, 1994",900.309
"Mar 31, 1994",868.708
"Apr 29, 1994",915.357
"May 31, 1994",884.890
"Jun 30, 1994",874.836
"Jul 29, 1994",926.291
"Aug 31, 1994",957.287
"Sep 30, 1994",928.511
"Oct 31, 1994",988.698
"Nov 30, 1994",936.323
"Dec 30, 1994",959.305
"Jan 31, 1995",968.544
"Feb 28, 1995",993.670
"Mar 31, 1995","1,041.393"
"Apr 28, 1995","1,074.000"
"May 31, 1995","1,085.081"
"Jun 30, 1995","1,093.863"
"Jul 31, 1995","1,153.396"
"Aug 31, 1995","1,081.850"
"Sep 29, 1995","1,131.632"
"Oct 31, 1995","1,112.478"
"Nov 30, 1995","1,145.231"
"Dec 29, 1995","1,192.358"
"Jan 31, 1996","1,197.053"
"Feb 29, 1996","1,220.723"
"Mar 29, 1996","1,254.118"
"Apr 30, 1996","1,257.107"
"May 31, 1996","1,312.769"
"Jun 28, 1996","1,313.216"
"Jul 31, 1996","1,289.722"
"Aug 30, 1996","1,308.762"
"Sep 30, 1996","1,339.434"
"Oct 31, 1996","1,370.308"
"Nov 29, 1996","1,453.285"
"Dec 31, 1996","1,484.941"
"Jan 31, 1997","1,470.586"
"Feb 28, 1997","1,527.811"
"Mar 31, 1997","1,562.000"
"Apr 30, 1997","1,543.557"
"May 30, 1997","1,639.319"
"Jun 30, 1997","1,765.451"
"Jul 31, 1997","1,907.399"
"Aug 29, 1997","1,716.915"
"Sep 30, 1997","1,865.112"
"Oct 31, 1997","1,781.437"
"Nov 28, 1997","1,763.854"
"Dec 31, 1997","1,805.389"
"Jan 30, 1998","1,819.897"
"Feb 27, 1998","2,003.163"
"Mar 31, 1998","2,063.905"
"Apr 30, 1998","2,131.854"
"May 29, 1998","2,240.993"
"Jun 30, 1998","2,199.913"
"Jul 31, 1998","2,210.207"
"Aug 31, 1998","1,935.443"
"Sep 30, 1998","1,819.308"
"Oct 30, 1998","1,919.410"
"Nov 30, 1998","2,016.732"
"Dec 31, 1998","2,186.923"
"Jan 29, 1999","2,019.858"
"Feb 26, 1999","2,003.211"
"Mar 31, 1999","2,021.166"
"Apr 30, 1999","2,147.365"
"May 31, 1999","2,021.859"
"Jun 30, 1999","2,025.168"
"Jul 30, 1999","2,087.675"
"Aug 31, 1999","2,133.487"
"Sep 30, 1999","2,053.359"
"Oct 29, 1999","2,121.376"
"Nov 30, 1999","2,105.340"
"Dec 31, 1999","2,301.723"
"Jan 31, 2000","2,024.530"
"Feb 29, 2000","2,151.335"
"Mar 31, 2000","2,211.868"
"Apr 28, 2000","2,135.658"
"May 31, 2000","2,190.691"
"Jun 30, 2000","2,309.671"
"Jul 31, 2000","2,206.793"
"Aug 31, 2000","2,200.750"
"Sep 29, 2000","2,113.365"
"Oct 31, 2000","2,093.701"
"Nov 30, 2000","2,073.880"
"Dec 29, 2000","2,177.157"
"Jan 31, 2001","2,162.450"
"Feb 28, 2001","2,021.964"
"Mar 30, 2001","1,837.784"
"Apr 30, 2001","1,961.812"
"May 31, 2001","1,870.314"
"Jun 29, 2001","1,826.036"
"Jul 31, 2001","1,810.270"
"Aug 31, 2001","1,789.965"
"Sep 28, 2001","1,550.601"
"Oct 31, 2001","1,555.420"
"Nov 30, 2001","1,623.701"
"Dec 31, 2001","1,664.954"
"Jan 31, 2002","1,600.030"
"Feb 28, 2002","1,604.390"
"Mar 29, 2002","1,743.965"
"Apr 30, 2002","1,727.098"
"May 30, 2002","1,704.282"
"May 31, 2002","1,725.415"
"Jun 03, 2002","1,706.573"
"Jun 04, 2002","1,661.542"
"Jun 05, 2002","1,657.969"
"Jun 06, 2002","1,680.673"
"Jun 07, 2002","1,638.361"
"Jun 10, 2002","1,631.279"
"Jun 11, 2002","1,657.918"
"Jun 12, 2002","1,613.743"
"Jun 13, 2002","1,599.962"
"Jun 14, 2002","1,558.048"
"Jun 17, 2002","1,607.862"
"Jun 18, 2002","1,621.523"
"Jun 19, 2002","1,607.353"
"Jun 20, 2002","1,582.182"
"Jun 21, 2002","1,571.167"
"Jun 24, 2002","1,542.771"
"Jun 25, 2002","1,583.476"
"Jun 26, 2002","1,576.893"
"Jun 27, 2002","1,587.928"
"Jun 28, 2002","1,672.260"
"Jul 01, 2002","1,671.715"
"Jul 02, 2002","1,609.891"
"Jul 03, 2002","1,554.656"
"Jul 04, 2002","1,605.697"
"Jul 05, 2002","1,655.982"
"Jul 08, 2002","1,665.521"
"Jul 09, 2002","1,659.925"
"Jul 10, 2002","1,560.094"
"Jul 11, 2002","1,499.423"
"Jul 12, 2002","1,487.740"
"Jul 15, 2002","1,414.142"
"Jul 16, 2002","1,404.379"
"Jul 17, 2002","1,460.071"
"Jul 18, 2002","1,480.523"
"Jul 19, 2002","1,431.684"
"Jul 22, 2002","1,315.382"
"Jul 23, 2002","1,270.125"
"Jul 24, 2002","1,229.113"
"Jul 25, 2002","1,296.347"
"Jul 26, 2002","1,283.916"
"Jul 29, 2002","1,355.711"
"Jul 30, 2002","1,347.086"
"Jul 31, 2002","1,374.910"
"Aug 01, 2002","1,296.711"
"Aug 02, 2002","1,278.310"
"Aug 05, 2002","1,238.359"
"Aug 06, 2002","1,267.204"
"Aug 07, 2002","1,272.816"
"Aug 08, 2002","1,331.385"
"Aug 09, 2002","1,364.052"
"Aug 12, 2002","1,331.784"
"Aug 13, 2002","1,351.403"
"Aug 14, 2002","1,325.520"
"Aug 15, 2002","1,376.843"
"Aug 16, 2002","1,397.590"
"Aug 19, 2002","1,437.878"
"Aug 20, 2002","1,417.002"
"Aug 21, 2002","1,426.035"
"Aug 22, 2002","1,465.281"
"Aug 23, 2002","1,446.256"
"Aug 26, 2002","1,406.766"
"Aug 27, 2002","1,469.686"
"Aug 28, 2002","1,407.000"
"Aug 29, 2002","1,370.468"
"Aug 30, 2002","1,387.173"
"Sep 02, 2002","1,366.908"
"Sep 03, 2002","1,322.690"
"Sep 04, 2002","1,315.695"
