Index Level :,Price
Currency :,USD


Date,NEW ZEALAND Standard (Large+Mid Cap) None
"Jan 29, 1993",55.478
"Feb 26, 1993",59.426
"Mar 31, 1993",61.575
"Apr 30, 1993",64.933
"May 31, 1993",65.718
"Jun 30, 1993",66.821
"Jul 30, 1993",75.360
"Aug 31, 1993",82.453
"Sep 30, 1993",80.404
"Oct 29, 1993",90.972
"Nov 30, 1993",82.594
"Dec 31, 1993",92.008
"Jan 31, 1994",102.303
"Feb 28, 1994",95.993
"Mar 31, 1994",86.295
"Apr 29, 1994",91.845
"May 31, 1994",96.988
"Jun 30, 1994",91.079
"Jul 29, 1994",94.421
"Aug 31, 1994",101.845
"Sep 30, 1994",100.086
"Oct 31, 1994",106.206
"Nov 30, 1994",101.684
"Dec 30, 1994",97.353
"Jan 31, 1995",100.217
"Feb 28, 1995",101.806
"Mar 31, 1995",105.074
"Apr 28, 1995",116.667
"May 31, 1995",113.703
"Jun 30, 1995",111.231
"Jul 31, 1995",115.909
"Aug 31, 1995",111.025
"Sep 29, 1995",112.901
"Oct 31, 1995",116.874
"Nov 30, 1995",113.089
"Dec 29, 1995",114.186
"Jan 31, 1996",114.973
"Feb 29, 1996",116.292
"Mar 29, 1996",117.363
"Apr 30, 1996",116.706
"May 31, 1996",109.885
"Jun 28, 1996",114.243
"Jul 31, 1996",119.299
"Aug 30, 1996",122.068
"Sep 30, 1996",121.208
"Oct 31, 1996",128.826
"Nov 29, 1996",130.255
"Dec 31, 1996",129.627
"Jan 31, 1997",129.382
"Feb 28, 1997",121.360
"Mar 31, 1997",119.618
"Apr 30, 1997",120.486
"May 30, 1997",128.001
"Jun 30, 1997",134.750
"Jul 31, 1997",131.770
"Aug 29, 1997",123.501
"Sep 30, 1997",128.917
"Oct 31, 1997",117.466
"Nov 28, 1997",113.419
"Dec 31, 1997",107.925
"Jan 30, 1998",106.062
"Feb 27, 1998",108.432
"Mar 31, 1998",103.720
"Apr 30, 1998",103.456
"May 29, 1998",96.297
"Jun 30, 1998",83.689
"Jul 31, 1998",90.549
"Aug 31, 1998",72.071
"Sep 30, 1998",67.568
"Oct 30, 1998",76.314
"Nov 30, 1998",80.647
"Dec 31, 1998",80.692
"Jan 29, 1999",88.447
"Feb 26, 1999",88.332
"Mar 31, 1999",86.121
"Apr 30, 1999",99.536
"May 31, 1999",82.747
"Jun 30, 1999",85.246
"Jul 30, 1999",88.433
"Aug 31, 1999",84.837
"Sep 30, 1999",78.518
"Oct 29, 1999",79.721
"Nov 30, 1999",81.729
"Dec 31, 1999",88.519
"Jan 31, 2000",77.571
"Feb 29, 2000",73.969
"Mar 31, 2000",76.590
"Apr 28, 2000",75.647
"May 31, 2000",68.508
"Jun 30, 2000",72.315
"Jul 31, 2000",70.265
"Aug 31, 2000",64.956
"Sep 29, 2000",58.216
"Oct 31, 2000",53.587
"Nov 30, 2000",56.660
"Dec 29, 2000",56.383
"Jan 31, 2001",61.798
"Feb 28, 2001",58.081
"Mar 30, 2001",58.054
"Apr 30, 2001",63.764
"May 31, 2001",57.513
"Jun 29, 2001",58.422
"Jul 31, 2001",60.451
"Aug 31, 2001",62.522
"Sep 28, 2001",51.767
"Oct 31, 2001",55.467
"Nov 30, 2001",60.834
"Dec 31, 2001",59.556
"Jan 31, 2002",62.151
"Feb 28, 2002",60.556
"Mar 29, 2002",62.605
"Apr 30, 2002",62.703
"May 30, 2002",70.600
"May 31, 2002",70.302
"Jun 03, 2002",71.300
"Jun 04, 2002",71.653
"Jun 05, 2002",70.673
"Jun 06, 2002",71.853
"Jun 07, 2002",72.199
"Jun 10, 2002",72.378
"Jun 11, 2002",72.257
"Jun 12, 2002",72.161
"Jun 13, 2002",72.159
"Jun 14, 2002",71.068
"Jun 17, 2002",71.713
"Jun 18, 2002",73.074
"Jun 19, 2002",72.863
"Jun 20, 2002",72.847
"Jun 21, 2002",72.868
"Jun 24, 2002",71.519
"Jun 25, 2002",70.614
"Jun 26, 2002",68.621
"Jun 27, 2002",69.544
"Jun 28, 2002",68.768
"Jul 01, 2002",68.995
"Jul 02, 2002",69.499
"Jul 03, 2002",69.159
"Jul 04, 2002",67.994
"Jul 05, 2002",69.055
"Jul 08, 2002",70.803
"Jul 09, 2002",70.774
"Jul 10, 2002",70.741
"Jul 11, 2002",68.438
"Jul 12, 2002",69.198
"Jul 15, 2002",68.634
"Jul 16, 2002",68.408
"Jul 17, 2002",66.872
"Jul 18, 2002",67.737
"Jul 19, 2002",68.160
"Jul 22, 2002",66.240
"Jul 23, 2002",65.758
"Jul 24, 2002",62.661
"Jul 25, 2002",63.347
"Jul 26, 2002",61.790
"Jul 29, 2002",63.504
"Jul 30, 2002",64.677
"Jul 31, 2002",63.320
"Aug 01, 2002",62.926
"Aug 02, 2002",62.494
"Aug 05, 2002",62.694
"Aug 06, 2002",61.250
"Aug 07, 2002",62.617
"Aug 08, 2002",63.040
"Aug 09, 2002",64.194
"Aug 12, 2002",64.965
"Aug 13, 2002",64.917
"Aug 14, 2002",64.826
"Aug 15, 2002",65.217
"Aug 16, 2002",65.364
"Aug 19, 2002",65.726
"Aug 20, 2002",65.940
"Aug 21, 2002",65.074
"Aug 22, 2002",65.607
"Aug 23, 2002",65.644
"Aug 26, 2002",65.698
"Aug 27, 2002",66.662
"Aug 28, 2002",66.839
"Aug 29, 2002",66.781
"Aug 30, 2002",66.632
"Sep 02, 2002",67.107
"Sep 03, 2002",67.571
"Sep 04, 2002",66.609
"Sep 05, 2002",66.399
"Sep 06, 2002",65.972
"Sep 09, 2002",65.673
"Sep 10, 2002",65.628
"Sep 11, 2002",66.281
"Sep 12, 2002",67.255
"Sep 13, 2002",66.901
"Sep 16, 2002",66.311
"Sep 17, 2002",66.393
"Sep 18, 2002",66.245
"Sep 19, 2002",66.333
"Sep 20, 2002",65.982
"Sep 23, 2002",65.140
"Sep 24, 2002",64.679
"Sep 25, 2002",64.544
"Sep 26, 2002",65.294
"Sep 27, 2002",64.917
"Sep 30, 2002",65.646
"Oct 01, 2002",65.851
"Oct 02, 2002",66.769
"Oct 03, 2002",66.801
"Oct 04, 2002",66.476
"Oct 07, 2002",67.275
"Oct 08, 2002",67.374
"Oct 09, 2002",67.810
"Oct 10, 2002",67.098
"Oct 11, 2002",67.957
"Oct 14, 2002",68.256
"Oct 15, 2002",68.150
"Oct 16, 2002",67.831
"Oct 17, 2002",67.981
