Index Level :,Price
Currency :,USD


Date,NIGERIA Standard (Large+Mid Cap) None
"May 31, 2002",164.944
"Jun 03, 2002",165.919
"Jun 04, 2002",169.963
"Jun 05, 2002",173.202
"Jun 06, 2002",174.814
"Jun 07, 2002",180.066
"Jun 10, 2002",188.861
"Jun 11, 2002",190.695
"Jun 12, 2002",189.069
"Jun 13, 2002",195.204
"Jun 14, 2002",206.251
"Jun 17, 2002",198.073
"Jun 18, 2002",189.535
"Jun 19, 2002",180.123
"Jun 20, 2002",171.610
"Jun 21, 2002",172.556
"Jun 24, 2002",166.245
"Jun 25, 2002",171.491
"Jun 26, 2002",173.289
"Jun 27, 2002",173.804
"Jun 28, 2002",177.685
"Jul 01, 2002",179.727
"Jul 02, 2002",179.780
"Jul 03, 2002",185.341
"Jul 04, 2002",187.152
"Jul 05, 2002",190.420
"Jul 08, 2002",192.455
"Jul 09, 2002",196.285
"Jul 10, 2002",192.499
"Jul 11, 2002",191.850
"Jul 12, 2002",187.316
"Jul 15, 2002",187.671
"Jul 16, 2002",183.035
"Jul 17, 2002",177.856
"Jul 18, 2002",176.639
"Jul 19, 2002",178.341
"Jul 22, 2002",166.300
"Jul 23, 2002",167.355
"Jul 24, 2002",170.269
"Jul 25, 2002",174.266
"Jul 26, 2002",178.535
"Jul 29, 2002",170.204
"Jul 30, 2002",162.701
"Jul 31, 2002",163.036
"Aug 01, 2002",170.188
"Aug 02, 2002",181.899
"Aug 05, 2002",183.385
"Aug 06, 2002",186.113
"Aug 07, 2002",183.475
"Aug 08, 2002",181.364
"Aug 09, 2002",181.008
"Aug 12, 2002",182.616
"Aug 13, 2002",180.027
"Aug 14, 2002",175.854
"Aug 15, 2002",176.023
"Aug 16, 2002",172.293
"Aug 19, 2002",174.124
"Aug 20, 2002",170.184
"Aug 21, 2002",171.986
"Aug 22, 2002",176.086
"Aug 23, 2002",177.211
"Aug 26, 2002",180.644
"Aug 27, 2002",178.882
"Aug 28, 2002",176.231
"Aug 29, 2002",174.563
"Aug 30, 2002",173.421
"Sep 02, 2002",173.224
"Sep 03, 2002",173.562
"Sep 04, 2002",179.093
"Sep 05, 2002",177.976
"Sep 06, 2002",175.267
"Sep 09, 2002",179.141
"Sep 10, 2002",173.141
"Sep 11, 2002",172.569
"Sep 12, 2002",167.922
"Sep 13, 2002",169.650
"Sep 16, 2002",169.744
"Sep 17, 2002",166.293
"Sep 18, 2002",166.291
"Sep 19, 2002",168.633
"Sep 20, 2002",168.176
"Sep 23, 2002",169.167
"Sep 24, 2002",169.964
"Sep 25, 2002",168.962
"Sep 26, 2002",169.002
"Sep 27, 2002",168.328
"Sep 30, 2002",164.420
"Oct 01, 2002",162.808
"Oct 02, 2002",162.131
"Oct 03, 2002",165.980
"Oct 04, 2002",169.152
"Oct 07, 2002",166.161
"Oct 08, 2002",167.001
"Oct 09, 2002",164.339
"Oct 10, 2002",164.906
"Oct 11, 2002",168.146
"Oct 14, 2002",167.667
"Oct 15, 2002",165.617
"Oct 16, 2002",165.352
"Oct 17, 2002",165.924
"Oct 18, 2002",167.503
"Oct 21, 2002",165.673
"Oct 22, 2002",163.491
"Oct 23, 2002",160.533
"Oct 24, 2002",156.860
"Oct 25, 2002",159.501
"Oct 28, 2002",158.112
"Oct 29, 2002",157.534
"Oct 30, 2002",156.956
"Oct 31, 2002",157.195
"Nov 01, 2002",157.936
"Nov 04, 2002",159.912
"Nov 05, 2002",159.224
"Nov 06, 2002",156.445
"Nov 07, 2002",161.806
"Nov 08, 2002",165.007
"Nov 11, 2002",163.008
"Nov 12, 2002",162.804
"Nov 13, 2002",163.263
"Nov 14, 2002",160.840
"Nov 15, 2002",159.334
"Nov 18, 2002",157.905
"Nov 19, 2002",159.406
"Nov 20, 2002",159.562
"Nov 21, 2002",160.917
"Nov 22, 2002",163.150
"Nov 25, 2002",162.790
"Nov 26, 2002",161.342
"Nov 27, 2002",162.112
"Nov 28, 2002",164.883
"Nov 29, 2002",165.292
"Dec 02, 2002",168.598
"Dec 03, 2002",164.470
"Dec 04, 2002",163.830
"Dec 05, 2002",163.957
"Dec 06, 2002",161.152
"Dec 09, 2002",161.398
"Dec 10, 2002",162.449
"Dec 11, 2002",165.251
"Dec 12, 2002",164.422
"Dec 13, 2002",164.354
"Dec 16, 2002",161.431
"Dec 17, 2002",158.632
"Dec 18, 2002",158.234
"Dec 19, 2002",158.059
"Dec 20, 2002",160.548
"Dec 23, 2002",160.515
"Dec 24, 2002",163.074
"Dec 25, 2002",163.074
"Dec 26, 2002",163.074
"Dec 27, 2002",167.393
"Dec 30, 2002",173.057
"Dec 31, 2002",171.096
"Jan 01, 2003",171.096
"Jan 02, 2003",171.746
"Jan 03, 2003",171.834
"Jan 06, 2003",175.456
"Jan 07, 2003",177.328
"Jan 08, 2003",177.310
"Jan 09, 2003",179.513
"Jan 10, 2003",184.368
"Jan 13, 2003",193.315
"Jan 14, 2003",201.937
"Jan 15, 2003",204.640
"Jan 16, 2003",200.061
"Jan 17, 2003",195.356
"Jan 20, 2003",196.113
"Jan 21, 2003",197.010
"Jan 22, 2003",193.207
"Jan 23, 2003",190.148
"Jan 24, 2003",191.180
"Jan 27, 2003",192.725
"Jan 28, 2003",192.681
"Jan 29, 2003",195.202
"Jan 30, 2003",195.822
"Jan 31, 2003",196.363
"Feb 03, 2003",196.639
"Feb 04, 2003",198.711
"Feb 05, 2003",200.461
"Feb 06, 2003",201.695
"Feb 07, 2003",200.721
"Feb 10, 2003",200.240
"Feb 11, 2003",200.785
"Feb 12, 2003",200.785
"Feb 13, 2003",206.400
"Feb 14, 2003",192.081
"Feb 17, 2003",215.382
"Feb 18, 2003",220.269
"Feb 19, 2003",218.213
"Feb 20, 2003",213.219
"Feb 21, 2003",210.112
"Feb 24, 2003",206.912
"Feb 25, 2003",201.787
"Feb 26, 2003",197.269
"Feb 27, 2003",198.444
"Feb 28, 2003",203.073
"Mar 03, 2003",207.207
"Mar 04, 2003",207.408
"Mar 05, 2003",207.459
"Mar 06, 2003",207.031
"Mar 07, 2003",206.622
"Mar 10, 2003",206.296
"Mar 11, 2003",206.300
"Mar 12, 2003",204.013
"Mar 13, 2003",205.666
"Mar 14, 2003",206.777
"Mar 17, 2003",206.012
"Mar 18, 2003",204.819
"Mar 19, 2003",199.982
"Mar 20, 2003",197.799
"Mar 21, 2003",197.126
"Mar 24, 2003",201.322
