Index Level :,Price
Currency :,USD


Date,NORWAY Standard (Large+Mid Cap) None
"Jan 29, 1993",593.843
"Feb 26, 1993",590.091
"Mar 31, 1993",656.180
"Apr 30, 1993",688.117
"May 31, 1993",678.986
"Jun 30, 1993",649.788
"Jul 30, 1993",675.402
"Aug 31, 1993",739.102
"Sep 30, 1993",724.219
"Oct 29, 1993",805.625
"Nov 30, 1993",747.169
"Dec 31, 1993",801.068
"Jan 31, 1994",905.250
"Feb 28, 1994",932.292
"Mar 31, 1994",862.906
"Apr 29, 1994",865.846
"May 31, 1994",875.882
"Jun 30, 1994",834.079
"Jul 29, 1994",936.488
"Aug 31, 1994",936.521
"Sep 30, 1994",878.697
"Oct 31, 1994",927.409
"Nov 30, 1994",910.598
"Dec 30, 1994",977.989
"Jan 31, 1995",985.886
"Feb 28, 1995",948.720
"Mar 31, 1995",933.816
"Apr 28, 1995","1,010.699"
"May 31, 1995",993.687
"Jun 30, 1995","1,040.335"
"Jul 31, 1995","1,086.014"
"Aug 31, 1995","1,022.090"
"Sep 29, 1995","1,057.501"
"Oct 31, 1995","1,004.956"
"Nov 30, 1995",998.245
"Dec 29, 1995","1,022.629"
"Jan 31, 1996","1,002.554"
"Feb 29, 1996","1,033.330"
"Mar 29, 1996","1,051.305"
"Apr 30, 1996","1,113.099"
"May 31, 1996","1,124.624"
"Jun 28, 1996","1,125.560"
"Jul 31, 1996","1,071.750"
"Aug 30, 1996","1,098.917"
"Sep 30, 1996","1,103.795"
"Oct 31, 1996","1,143.559"
"Nov 29, 1996","1,225.291"
"Dec 31, 1996","1,296.385"
"Jan 31, 1997","1,362.895"
"Feb 28, 1997","1,298.445"
"Mar 31, 1997","1,335.590"
"Apr 30, 1997","1,273.328"
"May 30, 1997","1,324.200"
"Jun 30, 1997","1,358.851"
"Jul 31, 1997","1,376.799"
"Aug 29, 1997","1,381.389"
"Sep 30, 1997","1,530.860"
"Oct 31, 1997","1,482.745"
"Nov 28, 1997","1,379.930"
"Dec 31, 1997","1,358.219"
"Jan 30, 1998","1,251.066"
"Feb 27, 1998","1,280.803"
"Mar 31, 1998","1,386.338"
"Apr 30, 1998","1,460.113"
"May 29, 1998","1,341.847"
"Jun 30, 1998","1,294.142"
"Jul 31, 1998","1,312.414"
"Aug 31, 1998",946.296
"Sep 30, 1998",907.241
"Oct 30, 1998","1,058.061"
"Nov 30, 1998",984.565
"Dec 31, 1998",934.273
"Jan 29, 1999","1,029.513"
"Feb 26, 1999",933.927
"Mar 31, 1999","1,024.152"
"Apr 30, 1999","1,104.535"
"May 31, 1999","1,041.603"
"Jun 30, 1999","1,022.142"
"Jul 30, 1999","1,064.701"
"Aug 31, 1999","1,105.942"
"Sep 30, 1999","1,128.423"
"Oct 29, 1999","1,072.025"
"Nov 30, 1999","1,097.295"
"Dec 31, 1999","1,210.028"
"Jan 31, 2000","1,111.871"
"Feb 29, 2000","1,111.726"
"Mar 31, 2000","1,119.030"
"Apr 28, 2000","1,051.495"
"May 31, 2000","1,093.311"
"Jun 30, 2000","1,182.228"
"Jul 31, 2000","1,168.390"
"Aug 31, 2000","1,237.002"
"Sep 29, 2000","1,210.108"
"Oct 31, 2000","1,176.329"
"Nov 30, 2000","1,132.298"
"Dec 29, 2000","1,180.944"
"Jan 31, 2001","1,201.822"
"Feb 28, 2001","1,182.066"
"Mar 30, 2001","1,088.581"
"Apr 30, 2001","1,163.406"
"May 31, 2001","1,140.370"
"Jun 29, 2001","1,100.618"
"Jul 31, 2001","1,090.030"
"Aug 31, 2001","1,074.232"
"Sep 28, 2001",914.388
"Oct 31, 2001",926.925
"Nov 30, 2001",971.500
"Dec 31, 2001","1,018.034"
"Jan 31, 2002",979.134
"Feb 28, 2002","1,016.084"
"Mar 29, 2002","1,101.105"
"Apr 30, 2002","1,100.242"
"May 30, 2002","1,126.929"
"May 31, 2002","1,114.376"
"Jun 03, 2002","1,118.980"
"Jun 04, 2002","1,096.208"
"Jun 05, 2002","1,089.428"
"Jun 06, 2002","1,106.387"
"Jun 07, 2002","1,074.668"
"Jun 10, 2002","1,081.428"
"Jun 11, 2002","1,098.624"
"Jun 12, 2002","1,104.453"
"Jun 13, 2002","1,106.543"
"Jun 14, 2002","1,074.941"
"Jun 17, 2002","1,099.496"
"Jun 18, 2002","1,108.230"
"Jun 19, 2002","1,111.043"
"Jun 20, 2002","1,089.851"
"Jun 21, 2002","1,085.328"
"Jun 24, 2002","1,069.072"
"Jun 25, 2002","1,074.787"
"Jun 26, 2002","1,040.783"
"Jun 27, 2002","1,072.571"
"Jun 28, 2002","1,082.571"
"Jul 01, 2002","1,094.594"
"Jul 02, 2002","1,088.402"
"Jul 03, 2002","1,070.193"
"Jul 04, 2002","1,070.363"
"Jul 05, 2002","1,087.702"
"Jul 08, 2002","1,108.234"
"Jul 09, 2002","1,111.035"
"Jul 10, 2002","1,092.966"
"Jul 11, 2002","1,084.371"
"Jul 12, 2002","1,065.793"
"Jul 15, 2002","1,076.625"
"Jul 16, 2002","1,070.176"
"Jul 17, 2002","1,085.746"
"Jul 18, 2002","1,085.168"
"Jul 19, 2002","1,064.721"
"Jul 22, 2002","1,009.134"
"Jul 23, 2002",954.344
"Jul 24, 2002",899.242
"Jul 25, 2002",943.660
"Jul 26, 2002",939.221
"Jul 29, 2002",948.853
"Jul 30, 2002",969.502
"Jul 31, 2002",973.286
"Aug 01, 2002",973.553
"Aug 02, 2002",960.572
"Aug 05, 2002",931.526
"Aug 06, 2002",919.447
"Aug 07, 2002",934.258
"Aug 08, 2002",949.064
"Aug 09, 2002",961.622
"Aug 12, 2002",955.234
"Aug 13, 2002",969.778
"Aug 14, 2002",966.838
"Aug 15, 2002",976.814
"Aug 16, 2002",975.453
"Aug 19, 2002",968.148
"Aug 20, 2002",969.983
"Aug 21, 2002",976.671
"Aug 22, 2002",983.395
"Aug 23, 2002",978.965
"Aug 26, 2002",973.071
"Aug 27, 2002",981.684
"Aug 28, 2002",966.674
"Aug 29, 2002",948.382
"Aug 30, 2002",955.382
"Sep 02, 2002",949.378
"Sep 03, 2002",930.210
"Sep 04, 2002",920.538
"Sep 05, 2002",902.661
"Sep 06, 2002",918.413
"Sep 09, 2002",902.909
"Sep 10, 2002",899.374
"Sep 11, 2002",911.155
"Sep 12, 2002",909.626
"Sep 13, 2002",897.443
"Sep 16, 2002",888.009
"Sep 17, 2002",882.951
