Index Level :,Price
Currency :,USD


Date,OMAN Standard (Large+Mid Cap) None
"May 31, 2005","1,075.562"
"Jun 01, 2005","1,056.563"
"Jun 02, 2005","1,042.047"
"Jun 03, 2005","1,042.047"
"Jun 06, 2005","1,069.090"
"Jun 07, 2005","1,093.472"
"Jun 08, 2005","1,103.991"
"Jun 09, 2005","1,095.857"
"Jun 10, 2005","1,095.857"
"Jun 13, 2005","1,115.609"
"Jun 14, 2005","1,133.023"
"Jun 15, 2005","1,178.909"
"Jun 16, 2005","1,214.440"
"Jun 17, 2005","1,214.440"
"Jun 20, 2005","1,236.257"
"Jun 21, 2005","1,216.294"
"Jun 22, 2005","1,220.897"
"Jun 23, 2005","1,228.831"
"Jun 24, 2005","1,228.990"
"Jun 27, 2005","1,226.872"
"Jun 28, 2005","1,204.840"
"Jun 29, 2005","1,193.486"
"Jun 30, 2005","1,186.280"
"Jul 01, 2005","1,186.280"
"Jul 04, 2005","1,156.885"
"Jul 05, 2005","1,165.020"
"Jul 06, 2005","1,179.131"
"Jul 07, 2005","1,174.560"
"Jul 08, 2005","1,174.560"
"Jul 11, 2005","1,174.599"
"Jul 12, 2005","1,172.058"
"Jul 13, 2005","1,171.715"
"Jul 14, 2005","1,173.792"
"Jul 15, 2005","1,173.792"
"Jul 18, 2005","1,149.535"
"Jul 19, 2005","1,158.700"
"Jul 20, 2005","1,160.755"
"Jul 21, 2005","1,157.045"
"Jul 22, 2005","1,157.045"
"Jul 25, 2005","1,129.929"
"Jul 26, 2005","1,124.819"
"Jul 27, 2005","1,131.693"
"Jul 28, 2005","1,135.021"
"Jul 29, 2005","1,135.021"
"Aug 01, 2005","1,141.484"
"Aug 02, 2005","1,141.484"
"Aug 03, 2005","1,093.529"
"Aug 04, 2005","1,061.703"
"Aug 05, 2005","1,061.703"
"Aug 08, 2005","1,137.540"
"Aug 09, 2005","1,177.510"
"Aug 10, 2005","1,157.512"
"Aug 11, 2005","1,152.931"
"Aug 12, 2005","1,152.931"
"Aug 15, 2005","1,150.459"
"Aug 16, 2005","1,147.104"
"Aug 17, 2005","1,143.057"
"Aug 18, 2005","1,121.283"
"Aug 19, 2005","1,121.137"
"Aug 22, 2005","1,143.009"
"Aug 23, 2005","1,148.519"
"Aug 24, 2005","1,141.900"
"Aug 25, 2005","1,143.550"
"Aug 26, 2005","1,143.699"
"Aug 29, 2005","1,143.158"
"Aug 30, 2005","1,139.838"
"Aug 31, 2005","1,137.662"
"Sep 01, 2005","1,137.815"
"Sep 02, 2005","1,137.815"
"Sep 05, 2005","1,117.952"
"Sep 06, 2005","1,105.852"
"Sep 07, 2005","1,104.919"
"Sep 08, 2005","1,110.506"
"Sep 09, 2005","1,110.506"
"Sep 12, 2005","1,108.102"
"Sep 13, 2005","1,105.302"
"Sep 14, 2005","1,102.576"
"Sep 15, 2005","1,100.661"
"Sep 16, 2005","1,100.661"
"Sep 19, 2005","1,098.774"
"Sep 20, 2005","1,099.708"
"Sep 21, 2005","1,092.559"
"Sep 22, 2005","1,083.347"
"Sep 23, 2005","1,083.347"
"Sep 26, 2005","1,065.473"
"Sep 27, 2005","1,074.793"
"Sep 28, 2005","1,096.894"
"Sep 29, 2005","1,103.544"
"Sep 30, 2005","1,103.544"
"Oct 03, 2005","1,111.887"
"Oct 04, 2005","1,134.576"
"Oct 05, 2005","1,135.721"
"Oct 06, 2005","1,124.600"
"Oct 07, 2005","1,124.600"
"Oct 10, 2005","1,131.211"
"Oct 11, 2005","1,132.557"
"Oct 12, 2005","1,133.103"
"Oct 13, 2005","1,128.280"
"Oct 14, 2005","1,128.280"
"Oct 17, 2005","1,154.528"
"Oct 18, 2005","1,163.467"
"Oct 19, 2005","1,155.580"
"Oct 20, 2005","1,150.111"
"Oct 21, 2005","1,150.261"
"Oct 24, 2005","1,114.049"
"Oct 25, 2005","1,128.786"
"Oct 26, 2005","1,126.444"
"Oct 27, 2005","1,120.137"
"Oct 28, 2005","1,120.137"
"Oct 31, 2005","1,087.515"
"Nov 01, 2005","1,099.116"
"Nov 02, 2005","1,103.118"
"Nov 03, 2005","1,103.118"
"Nov 04, 2005","1,103.118"
"Nov 07, 2005","1,095.481"
"Nov 08, 2005","1,079.882"
"Nov 09, 2005","1,073.787"
"Nov 10, 2005","1,071.411"
"Nov 11, 2005","1,071.411"
"Nov 14, 2005","1,029.161"
"Nov 15, 2005","1,050.710"
"Nov 16, 2005","1,048.888"
"Nov 17, 2005","1,042.360"
"Nov 18, 2005","1,042.360"
"Nov 21, 2005","1,029.294"
"Nov 22, 2005","1,019.211"
"Nov 23, 2005","1,008.824"
"Nov 24, 2005","1,014.235"
"Nov 25, 2005","1,014.235"
"Nov 28, 2005",983.358
"Nov 29, 2005",982.823
"Nov 30, 2005","1,000.000"
"Dec 01, 2005","1,003.280"
"Dec 02, 2005","1,003.410"
"Dec 05, 2005","1,006.105"
"Dec 06, 2005","1,012.106"
"Dec 07, 2005",998.030
"Dec 08, 2005",996.344
"Dec 09, 2005",996.344
"Dec 12, 2005",975.008
"Dec 13, 2005",974.551
"Dec 14, 2005",983.461
"Dec 15, 2005",978.092
"Dec 16, 2005",978.092
"Dec 19, 2005",964.019
"Dec 20, 2005",965.112
"Dec 21, 2005",966.284
"Dec 22, 2005",973.331
"Dec 23, 2005",973.331
"Dec 26, 2005",954.902
"Dec 27, 2005",978.683
"Dec 28, 2005",970.773
"Dec 29, 2005",970.736
"Dec 30, 2005",970.736
"Jan 02, 2006","1,001.282"
"Jan 03, 2006","1,006.241"
"Jan 04, 2006","1,008.874"
"Jan 05, 2006","1,004.513"
"Jan 06, 2006","1,004.513"
"Jan 09, 2006","1,005.851"
"Jan 10, 2006","1,005.851"
"Jan 11, 2006","1,005.851"
"Jan 12, 2006","1,005.851"
"Jan 13, 2006","1,001.252"
"Jan 16, 2006",983.893
"Jan 17, 2006",981.050
"Jan 18, 2006",991.559
"Jan 19, 2006",999.693
"Jan 20, 2006",999.693
"Jan 23, 2006",999.196
"Jan 24, 2006","1,001.968"
"Jan 25, 2006",997.638
"Jan 26, 2006","1,000.867"
"Jan 27, 2006","1,000.867"
"Jan 30, 2006","1,002.152"
"Jan 31, 2006","1,002.152"
"Feb 01, 2006",999.775
"Feb 02, 2006",992.808
"Feb 03, 2006",992.808
"Feb 06, 2006",973.305
"Feb 07, 2006",962.834
"Feb 08, 2006",947.757
"Feb 09, 2006",948.100
