Index Level :,Price
Currency :,USD


Date,PAKISTAN Standard (Large+Mid Cap) None
"Jan 29, 1993",99.965
"Feb 26, 1993",93.234
"Mar 31, 1993",90.942
"Apr 30, 1993",87.894
"May 31, 1993",91.919
"Jun 30, 1993",99.828
"Jul 30, 1993",99.912
"Aug 31, 1993",93.703
"Sep 30, 1993",99.237
"Oct 29, 1993",113.742
"Nov 30, 1993",127.288
"Dec 31, 1993",161.399
"Jan 31, 1994",167.084
"Feb 28, 1994",181.065
"Mar 31, 1994",181.418
"Apr 29, 1994",170.016
"May 31, 1994",157.460
"Jun 30, 1994",169.234
"Jul 29, 1994",166.565
"Aug 31, 1994",163.254
"Sep 30, 1994",170.051
"Oct 31, 1994",164.405
"Nov 30, 1994",157.287
"Dec 30, 1994",148.178
"Jan 31, 1995",128.969
"Feb 28, 1995",135.554
"Mar 31, 1995",118.818
"Apr 28, 1995",113.173
"May 31, 1995",106.149
"Jun 30, 1995",113.460
"Jul 31, 1995",125.072
"Aug 31, 1995",124.512
"Sep 29, 1995",111.299
"Oct 31, 1995",95.850
"Nov 30, 1995",83.294
"Dec 29, 1995",91.476
"Jan 31, 1996",96.232
"Feb 29, 1996",104.966
"Mar 29, 1996",96.303
"Apr 30, 1996",97.340
"May 31, 1996",109.249
"Jun 28, 1996",104.959
"Jul 31, 1996",87.885
"Aug 30, 1996",84.400
"Sep 30, 1996",80.407
"Oct 31, 1996",79.784
"Nov 29, 1996",83.749
"Dec 31, 1996",73.765
"Jan 31, 1997",88.935
"Feb 28, 1997",93.822
"Mar 31, 1997",87.807
"Apr 30, 1997",84.556
"May 30, 1997",83.948
"Jun 30, 1997",88.737
"Jul 31, 1997",115.075
"Aug 29, 1997",98.632
"Sep 30, 1997",104.946
"Oct 31, 1997",99.193
"Nov 28, 1997",93.574
"Dec 31, 1997",91.612
"Jan 30, 1998",83.564
"Feb 27, 1998",85.123
"Mar 31, 1998",77.515
"Apr 30, 1998",77.673
"May 29, 1998",48.245
"Jun 30, 1998",36.284
"Jul 31, 1998",35.549
"Aug 31, 1998",37.286
"Sep 30, 1998",42.878
"Oct 30, 1998",30.216
"Nov 30, 1998",40.969
"Dec 31, 1998",36.132
"Jan 29, 1999",33.053
"Feb 26, 1999",33.955
"Mar 31, 1999",41.430
"Apr 30, 1999",42.082
"May 31, 1999",44.919
"Jun 30, 1999",37.835
"Jul 30, 1999",46.471
"Aug 31, 1999",44.193
"Sep 30, 1999",43.851
"Oct 29, 1999",43.350
"Nov 30, 1999",45.114
"Dec 31, 1999",51.393
"Jan 31, 2000",65.085
"Feb 29, 2000",69.185
"Mar 31, 2000",72.648
"Apr 28, 2000",68.959
"May 31, 2000",54.142
"Jun 30, 2000",52.346
"Jul 31, 2000",52.184
"Aug 31, 2000",49.767
"Sep 29, 2000",47.568
"Oct 31, 2000",45.738
"Nov 30, 2000",37.692
"Dec 29, 2000",44.576
"Jan 31, 2001",42.068
"Feb 28, 2001",39.927
"Mar 30, 2001",36.561
"Apr 30, 2001",37.870
"May 31, 2001",36.333
"Jun 29, 2001",34.698
"Jul 31, 2001",30.424
"Aug 31, 2001",31.301
"Sep 28, 2001",26.328
"Oct 31, 2001",36.142
"Nov 30, 2001",33.956
"Dec 31, 2001",28.976
"Jan 31, 2002",38.041
"Feb 28, 2002",43.254
"Mar 29, 2002",43.236
"Apr 30, 2002",42.867
"May 30, 2002",36.258
"May 31, 2002",35.955
"Jun 03, 2002",35.381
"Jun 04, 2002",36.189
"Jun 05, 2002",37.686
"Jun 06, 2002",37.429
"Jun 07, 2002",36.710
"Jun 10, 2002",39.315
"Jun 11, 2002",39.405
"Jun 12, 2002",39.251
"Jun 13, 2002",39.385
"Jun 14, 2002",38.737
"Jun 17, 2002",38.594
"Jun 18, 2002",38.509
"Jun 19, 2002",38.330
"Jun 20, 2002",39.147
"Jun 21, 2002",38.868
"Jun 24, 2002",38.499
"Jun 25, 2002",38.776
"Jun 26, 2002",38.737
"Jun 27, 2002",38.685
"Jun 28, 2002",38.615
"Jul 01, 2002",39.056
"Jul 02, 2002",39.722
"Jul 03, 2002",39.566
"Jul 04, 2002",39.325
"Jul 05, 2002",39.678
"Jul 08, 2002",39.556
"Jul 09, 2002",39.414
"Jul 10, 2002",39.547
"Jul 11, 2002",39.223
"Jul 12, 2002",39.391
"Jul 15, 2002",38.166
"Jul 16, 2002",39.006
"Jul 17, 2002",39.840
"Jul 18, 2002",39.744
"Jul 19, 2002",40.159
"Jul 22, 2002",40.203
"Jul 23, 2002",40.068
"Jul 24, 2002",40.075
"Jul 25, 2002",39.890
"Jul 26, 2002",39.844
"Jul 29, 2002",39.695
"Jul 30, 2002",39.891
"Jul 31, 2002",40.191
"Aug 01, 2002",39.949
"Aug 02, 2002",39.800
"Aug 05, 2002",39.832
"Aug 06, 2002",39.748
"Aug 07, 2002",40.253
"Aug 08, 2002",40.496
"Aug 09, 2002",40.931
"Aug 12, 2002",41.792
"Aug 13, 2002",42.056
"Aug 14, 2002",42.109
"Aug 15, 2002",41.806
"Aug 16, 2002",42.113
"Aug 19, 2002",42.505
"Aug 20, 2002",42.867
"Aug 21, 2002",43.230
"Aug 22, 2002",45.131
"Aug 23, 2002",45.197
"Aug 26, 2002",44.884
"Aug 27, 2002",45.526
"Aug 28, 2002",46.116
"Aug 29, 2002",46.849
"Aug 30, 2002",47.180
"Sep 02, 2002",45.994
"Sep 03, 2002",46.465
"Sep 04, 2002",46.659
"Sep 05, 2002",46.614
"Sep 06, 2002",47.226
"Sep 09, 2002",46.147
"Sep 10, 2002",45.659
"Sep 11, 2002",45.699
"Sep 12, 2002",45.464
"Sep 13, 2002",45.370
"Sep 16, 2002",44.921
"Sep 17, 2002",45.588
"Sep 18, 2002",45.427
"Sep 19, 2002",46.184
"Sep 20, 2002",46.027
"Sep 23, 2002",46.172
"Sep 24, 2002",45.521
"Sep 25, 2002",45.151
"Sep 26, 2002",45.547
"Sep 27, 2002",45.549
"Sep 30, 2002",45.589
"Oct 01, 2002",45.349
"Oct 02, 2002",46.095
"Oct 03, 2002",45.708
"Oct 04, 2002",46.101
"Oct 07, 2002",46.375
"Oct 08, 2002",46.689
"Oct 09, 2002",47.127
"Oct 10, 2002",47.153
"Oct 11, 2002",45.639
"Oct 14, 2002",45.767
"Oct 15, 2002",46.165
"Oct 16, 2002",46.673
"Oct 17, 2002",46.897
"Oct 18, 2002",47.683
