Index Level :,Price
Currency :,USD


Date,PERU Standard (Large+Mid Cap) None
"Jan 29, 1993",81.359
"Feb 26, 1993",85.445
"Mar 31, 1993",92.689
"Apr 30, 1993",84.721
"May 31, 1993",82.288
"Jun 30, 1993",96.630
"Jul 30, 1993",97.946
"Aug 31, 1993",107.448
"Sep 30, 1993",110.918
"Oct 29, 1993",126.975
"Nov 30, 1993",102.082
"Dec 31, 1993",125.402
"Jan 31, 1994",152.158
"Feb 28, 1994",163.186
"Mar 31, 1994",160.295
"Apr 29, 1994",152.666
"May 31, 1994",159.748
"Jun 30, 1994",140.624
"Jul 29, 1994",139.476
"Aug 31, 1994",152.302
"Sep 30, 1994",192.428
"Oct 31, 1994",199.740
"Nov 30, 1994",183.602
"Dec 30, 1994",181.257
"Jan 31, 1995",146.746
"Feb 28, 1995",136.723
"Mar 31, 1995",142.677
"Apr 28, 1995",193.445
"May 31, 1995",202.466
"Jun 30, 1995",201.938
"Jul 31, 1995",218.422
"Aug 31, 1995",221.004
"Sep 29, 1995",214.257
"Oct 31, 1995",200.416
"Nov 30, 1995",206.368
"Dec 29, 1995",221.324
"Jan 31, 1996",234.602
"Feb 29, 1996",228.732
"Mar 29, 1996",224.283
"Apr 30, 1996",241.094
"May 31, 1996",230.433
"Jun 28, 1996",239.130
"Jul 31, 1996",243.833
"Aug 30, 1996",251.162
"Sep 30, 1996",249.759
"Oct 31, 1996",232.009
"Nov 29, 1996",219.089
"Dec 31, 1996",215.182
"Jan 31, 1997",237.009
"Feb 28, 1997",249.967
"Mar 31, 1997",256.504
"Apr 30, 1997",272.158
"May 30, 1997",299.591
"Jun 30, 1997",297.547
"Jul 31, 1997",277.273
"Aug 29, 1997",274.479
"Sep 30, 1997",275.051
"Oct 31, 1997",247.616
"Nov 28, 1997",246.760
"Dec 31, 1997",253.302
"Jan 30, 1998",224.437
"Feb 27, 1998",215.209
"Mar 31, 1998",238.812
"Apr 30, 1998",250.084
"May 29, 1998",242.860
"Jun 30, 1998",226.207
"Jul 31, 1998",228.210
"Aug 31, 1998",151.478
"Sep 30, 1998",148.947
"Oct 30, 1998",147.426
"Nov 30, 1998",173.912
"Dec 31, 1998",146.631
"Jan 29, 1999",143.162
"Feb 26, 1999",147.054
"Mar 31, 1999",154.470
"Apr 30, 1999",174.991
"May 31, 1999",172.621
"Jun 30, 1999",174.423
"Jul 30, 1999",172.539
"Aug 31, 1999",165.015
"Sep 30, 1999",173.561
"Oct 29, 1999",163.034
"Nov 30, 1999",168.620
"Dec 31, 1999",170.594
"Jan 31, 2000",189.421
"Feb 29, 2000",205.259
"Mar 31, 2000",184.770
"Apr 28, 2000",175.492
"May 31, 2000",157.493
"Jun 30, 2000",161.945
"Jul 31, 2000",154.372
"Aug 31, 2000",158.449
"Sep 29, 2000",141.658
"Oct 31, 2000",133.344
"Nov 30, 2000",123.304
"Dec 29, 2000",125.006
"Jan 31, 2001",139.811
"Feb 28, 2001",140.169
"Mar 30, 2001",139.008
"Apr 30, 2001",126.537
"May 31, 2001",135.274
"Jun 29, 2001",145.058
"Jul 31, 2001",140.740
"Aug 31, 2001",147.921
"Sep 28, 2001",144.444
"Oct 31, 2001",137.271
"Nov 30, 2001",137.971
"Dec 31, 2001",144.089
"Jan 31, 2002",156.725
"Feb 28, 2002",165.929
"Mar 29, 2002",171.757
"Apr 30, 2002",169.397
"May 30, 2002",179.876
"May 31, 2002",178.391
"Jun 03, 2002",178.669
"Jun 04, 2002",179.936
"Jun 05, 2002",180.071
"Jun 06, 2002",180.091
"Jun 07, 2002",174.569
"Jun 10, 2002",169.178
"Jun 11, 2002",166.945
"Jun 12, 2002",168.724
"Jun 13, 2002",166.071
"Jun 14, 2002",168.692
"Jun 17, 2002",166.054
"Jun 18, 2002",165.827
"Jun 19, 2002",165.923
"Jun 20, 2002",170.975
"Jun 21, 2002",170.149
"Jun 24, 2002",166.235
"Jun 25, 2002",164.374
"Jun 26, 2002",164.457
"Jun 27, 2002",161.911
"Jun 28, 2002",160.339
"Jul 01, 2002",160.574
"Jul 02, 2002",157.478
"Jul 03, 2002",153.391
"Jul 04, 2002",153.947
"Jul 05, 2002",153.515
"Jul 08, 2002",156.075
"Jul 09, 2002",160.950
"Jul 10, 2002",160.443
"Jul 11, 2002",160.746
"Jul 12, 2002",158.827
"Jul 15, 2002",160.425
"Jul 16, 2002",158.726
"Jul 17, 2002",158.994
"Jul 18, 2002",158.253
"Jul 19, 2002",160.892
"Jul 22, 2002",160.102
"Jul 23, 2002",151.428
"Jul 24, 2002",151.064
"Jul 25, 2002",151.008
"Jul 26, 2002",144.096
"Jul 29, 2002",144.627
"Jul 30, 2002",144.627
"Jul 31, 2002",145.926
"Aug 01, 2002",146.665
"Aug 02, 2002",150.518
"Aug 05, 2002",145.755
"Aug 06, 2002",145.572
"Aug 07, 2002",147.796
"Aug 08, 2002",147.182
"Aug 09, 2002",149.923
"Aug 12, 2002",149.949
"Aug 13, 2002",149.767
"Aug 14, 2002",150.579
"Aug 15, 2002",154.969
"Aug 16, 2002",156.428
"Aug 19, 2002",154.678
"Aug 20, 2002",156.310
"Aug 21, 2002",153.583
"Aug 22, 2002",155.669
"Aug 23, 2002",156.304
"Aug 26, 2002",157.847
"Aug 27, 2002",159.970
"Aug 28, 2002",158.636
"Aug 29, 2002",159.819
"Aug 30, 2002",159.509
"Sep 02, 2002",159.781
"Sep 03, 2002",159.955
"Sep 04, 2002",159.011
"Sep 05, 2002",160.927
"Sep 06, 2002",153.895
"Sep 09, 2002",155.286
"Sep 10, 2002",157.617
"Sep 11, 2002",157.062
"Sep 12, 2002",158.513
"Sep 13, 2002",158.292
"Sep 16, 2002",158.083
"Sep 17, 2002",155.674
"Sep 18, 2002",156.405
"Sep 19, 2002",156.506
"Sep 20, 2002",153.728
"Sep 23, 2002",151.504
"Sep 24, 2002",149.963
"Sep 25, 2002",150.328
"Sep 26, 2002",148.136
"Sep 27, 2002",147.668
"Sep 30, 2002",150.010
"Oct 01, 2002",150.512
"Oct 02, 2002",150.821
"Oct 03, 2002",150.423
"Oct 04, 2002",151.685
"Oct 07, 2002",152.260
"Oct 08, 2002",152.260
"Oct 09, 2002",148.925
"Oct 10, 2002",147.369
"Oct 11, 2002",148.707
"Oct 14, 2002",150.598
"Oct 15, 2002",149.306
"Oct 16, 2002",149.796
"Oct 17, 2002",148.384
"Oct 18, 2002",149.858
