Index Level :,Price
Currency :,USD


Date,PHILIPPINES Standard (Large+Mid Cap) None
"Jan 29, 1993",307.725
"Feb 26, 1993",346.718
"Mar 31, 1993",321.811
"Apr 30, 1993",334.294
"May 31, 1993",328.388
"Jun 30, 1993",326.578
"Jul 30, 1993",350.493
"Aug 31, 1993",361.034
"Sep 30, 1993",398.521
"Oct 29, 1993",467.278
"Nov 30, 1993",486.230
"Dec 31, 1993",665.014
"Jan 31, 1994",597.875
"Feb 28, 1994",583.635
"Mar 31, 1994",563.862
"Apr 29, 1994",585.417
"May 31, 1994",639.945
"Jun 30, 1994",578.759
"Jul 29, 1994",598.806
"Aug 31, 1994",652.959
"Sep 30, 1994",599.535
"Oct 31, 1994",646.070
"Nov 30, 1994",604.027
"Dec 30, 1994",610.023
"Jan 31, 1995",525.365
"Feb 28, 1995",529.602
"Mar 31, 1995",509.783
"Apr 28, 1995",515.572
"May 31, 1995",599.890
"Jun 30, 1995",600.708
"Jul 31, 1995",610.385
"Aug 31, 1995",576.444
"Sep 29, 1995",549.206
"Oct 31, 1995",504.528
"Nov 30, 1995",502.133
"Dec 29, 1995",538.059
"Jan 31, 1996",592.646
"Feb 29, 1996",582.818
"Mar 29, 1996",571.334
"Apr 30, 1996",586.662
"May 31, 1996",652.068
"Jun 28, 1996",663.330
"Jul 31, 1996",613.585
"Aug 30, 1996",649.306
"Sep 30, 1996",633.565
"Oct 31, 1996",584.934
"Nov 29, 1996",613.947
"Dec 31, 1996",628.283
"Jan 31, 1997",688.873
"Feb 28, 1997",664.254
"Mar 31, 1997",643.750
"Apr 30, 1997",534.582
"May 30, 1997",555.233
"Jun 30, 1997",551.511
"Jul 31, 1997",483.646
"Aug 29, 1997",342.006
"Sep 30, 1997",301.331
"Oct 31, 1997",264.162
"Nov 28, 1997",258.811
"Dec 31, 1997",232.645
"Jan 30, 1998",230.111
"Feb 27, 1998",294.239
"Mar 31, 1998",313.472
"Apr 30, 1998",282.367
"May 29, 1998",272.124
"Jun 30, 1998",222.325
"Jul 31, 1998",200.842
"Aug 31, 1998",146.324
"Sep 30, 1998",165.374
"Oct 30, 1998",237.063
"Nov 30, 1998",270.479
"Dec 31, 1998",261.955
"Jan 29, 1999",259.374
"Feb 26, 1999",259.816
"Mar 31, 1999",273.395
"Apr 30, 1999",338.877
"May 31, 1999",320.906
"Jun 30, 1999",331.219
"Jul 30, 1999",299.137
"Aug 31, 1999",270.905
"Sep 30, 1999",252.604
"Oct 29, 1999",256.838
"Nov 30, 1999",244.850
"Dec 31, 1999",268.064
"Jan 31, 2000",244.607
"Feb 29, 2000",205.448
"Mar 31, 2000",203.055
"Apr 28, 2000",188.093
"May 31, 2000",169.754
"Jun 30, 2000",171.188
"Jul 31, 2000",146.517
"Aug 31, 2000",158.561
"Sep 29, 2000",146.301
"Oct 31, 2000",121.187
"Nov 30, 2000",134.110
"Dec 29, 2000",146.669
"Jan 31, 2001",174.084
"Feb 28, 2001",165.130
"Mar 30, 2001",144.660
"Apr 30, 2001",139.220
"May 31, 2001",141.719
"Jun 29, 2001",140.444
"Jul 31, 2001",134.220
"Aug 31, 2001",127.800
"Sep 28, 2001",117.337
"Oct 31, 2001",102.618
"Nov 30, 2001",113.519
"Dec 31, 2001",117.769
"Jan 31, 2002",137.570
"Feb 28, 2002",141.060
"Mar 29, 2002",141.904
"Apr 30, 2002",129.891
"May 30, 2002",127.067
"May 31, 2002",123.438
"Jun 03, 2002",124.263
"Jun 04, 2002",124.463
"Jun 05, 2002",121.068
"Jun 06, 2002",120.491
"Jun 07, 2002",118.024
"Jun 10, 2002",119.101
"Jun 11, 2002",118.389
"Jun 12, 2002",118.389
"Jun 13, 2002",116.726
"Jun 14, 2002",117.576
"Jun 17, 2002",116.068
"Jun 18, 2002",116.197
"Jun 19, 2002",112.733
"Jun 20, 2002",112.349
"Jun 21, 2002",112.206
"Jun 24, 2002",112.437
"Jun 25, 2002",110.620
"Jun 26, 2002",106.663
"Jun 27, 2002",106.382
"Jun 28, 2002",107.078
"Jul 01, 2002",111.009
"Jul 02, 2002",110.088
"Jul 03, 2002",105.130
"Jul 04, 2002",104.306
"Jul 05, 2002",102.398
"Jul 08, 2002",103.378
"Jul 09, 2002",105.448
"Jul 10, 2002",107.709
"Jul 11, 2002",106.172
"Jul 12, 2002",108.068
"Jul 15, 2002",108.196
"Jul 16, 2002",109.024
"Jul 17, 2002",107.839
"Jul 18, 2002",108.330
"Jul 19, 2002",109.171
"Jul 22, 2002",108.043
"Jul 23, 2002",108.161
"Jul 24, 2002",106.740
"Jul 25, 2002",106.292
"Jul 26, 2002",103.289
"Jul 29, 2002",102.200
"Jul 30, 2002",103.682
"Jul 31, 2002",103.485
"Aug 01, 2002",103.875
"Aug 02, 2002",102.951
"Aug 05, 2002",101.882
"Aug 06, 2002",97.867
"Aug 07, 2002",98.750
"Aug 08, 2002",98.682
"Aug 09, 2002",99.855
"Aug 12, 2002",99.459
"Aug 13, 2002",102.169
"Aug 14, 2002",103.403
"Aug 15, 2002",103.159
"Aug 16, 2002",104.344
"Aug 19, 2002",103.297
"Aug 20, 2002",102.473
"Aug 21, 2002",99.344
"Aug 22, 2002",98.108
"Aug 23, 2002",96.462
"Aug 26, 2002",97.647
"Aug 27, 2002",98.219
"Aug 28, 2002",99.914
"Aug 29, 2002",100.079
"Aug 30, 2002",99.480
"Sep 02, 2002",99.055
"Sep 03, 2002",99.504
"Sep 04, 2002",101.179
"Sep 05, 2002",101.755
"Sep 06, 2002",101.777
"Sep 09, 2002",102.437
"Sep 10, 2002",102.152
"Sep 11, 2002",104.154
"Sep 12, 2002",103.433
"Sep 13, 2002",103.470
"Sep 16, 2002",103.289
"Sep 17, 2002",103.781
"Sep 18, 2002",103.460
"Sep 19, 2002",102.557
"Sep 20, 2002",102.057
"Sep 23, 2002",101.372
"Sep 24, 2002",99.164
"Sep 25, 2002",99.787
"Sep 26, 2002",99.006
"Sep 27, 2002",99.141
"Sep 30, 2002",100.893
"Oct 01, 2002",98.942
"Oct 02, 2002",98.516
"Oct 03, 2002",97.197
"Oct 04, 2002",96.869
"Oct 07, 2002",96.174
"Oct 08, 2002",94.536
"Oct 09, 2002",95.176
"Oct 10, 2002",93.463
"Oct 11, 2002",94.360
"Oct 14, 2002",93.158
"Oct 15, 2002",90.752
"Oct 16, 2002",90.808
"Oct 17, 2002",89.475
"Oct 18, 2002",87.822
