Index Level :,Price
Currency :,USD


Date,POLAND Standard (Large+Mid Cap) None
"Jan 29, 1993",102.324
"Feb 26, 1993",102.936
"Mar 31, 1993",120.361
"Apr 30, 1993",166.045
"May 31, 1993",362.459
"Jun 30, 1993",316.771
"Jul 30, 1993",359.465
"Aug 31, 1993",478.947
"Sep 30, 1993",489.732
"Oct 29, 1993",593.947
"Nov 30, 1993",656.565
"Dec 31, 1993",845.128
"Jan 31, 1994","1,066.051"
"Feb 28, 1994","1,267.194"
"Mar 31, 1994",880.470
"Apr 29, 1994",665.595
"May 31, 1994",676.716
"Jun 30, 1994",486.000
"Jul 29, 1994",593.000
"Aug 31, 1994",614.090
"Sep 30, 1994",503.344
"Oct 31, 1994",413.977
"Nov 30, 1994",428.526
"Dec 30, 1994",381.026
"Jan 31, 1995",311.383
"Feb 28, 1995",328.044
"Mar 31, 1995",318.903
"Apr 28, 1995",447.728
"May 31, 1995",405.763
"Jun 30, 1995",433.941
"Jul 31, 1995",411.119
"Aug 31, 1995",394.900
"Sep 29, 1995",422.768
"Oct 31, 1995",379.658
"Nov 30, 1995",371.476
"Dec 29, 1995",362.654
"Jan 31, 1996",481.488
"Feb 29, 1996",485.397
"Mar 29, 1996",480.380
"Apr 30, 1996",503.111
"May 31, 1996",478.402
"Jun 28, 1996",545.959
"Jul 31, 1996",520.695
"Aug 30, 1996",565.610
"Sep 30, 1996",588.880
"Oct 31, 1996",533.785
"Nov 29, 1996",552.373
"Dec 31, 1996",570.151
"Jan 31, 1997",621.989
"Feb 28, 1997",663.038
"Mar 31, 1997",611.744
"Apr 30, 1997",574.829
"May 30, 1997",555.322
"Jun 30, 1997",516.774
"Jul 31, 1997",483.996
"Aug 29, 1997",535.028
"Sep 30, 1997",561.402
"Oct 31, 1997",474.201
"Nov 28, 1997",423.705
"Dec 31, 1997",435.854
"Jan 30, 1998",429.264
"Feb 27, 1998",548.636
"Mar 31, 1998",517.156
"Apr 30, 1998",567.552
"May 29, 1998",498.304
"Jun 30, 1998",497.235
"Jul 31, 1998",537.833
"Aug 31, 1998",349.931
"Sep 30, 1998",363.882
"Oct 30, 1998",397.172
"Nov 30, 1998",371.754
"Dec 31, 1998",400.699
"Jan 29, 1999",469.524
"Feb 26, 1999",375.925
"Mar 31, 1999",409.662
"Apr 30, 1999",461.573
"May 31, 1999",465.155
"Jun 30, 1999",522.132
"Jul 30, 1999",534.217
"Aug 31, 1999",521.987
"Sep 30, 1999",410.087
"Oct 29, 1999",423.262
"Nov 30, 1999",439.500
"Dec 31, 1999",522.997
"Jan 31, 2000",542.910
"Feb 29, 2000",624.787
"Mar 31, 2000",622.279
"Apr 28, 2000",525.800
"May 31, 2000",524.167
"Jun 30, 2000",529.243
"Jul 31, 2000",504.536
"Aug 31, 2000",479.181
"Sep 29, 2000",423.096
"Oct 31, 2000",376.987
"Nov 30, 2000",413.516
"Dec 29, 2000",498.983
"Jan 31, 2001",492.906
"Feb 28, 2001",434.376
"Mar 30, 2001",401.491
"Apr 30, 2001",421.411
"May 31, 2001",428.905
"Jun 29, 2001",370.318
"Jul 31, 2001",326.567
"Aug 31, 2001",311.346
"Sep 28, 2001",280.292
"Oct 31, 2001",351.217
"Nov 30, 2001",359.129
"Dec 31, 2001",355.810
"Jan 31, 2002",401.752
"Feb 28, 2002",372.184
"Mar 29, 2002",367.814
"Apr 30, 2002",378.590
"May 30, 2002",392.818
"May 31, 2002",389.332
"Jun 03, 2002",397.377
"Jun 04, 2002",392.740
"Jun 05, 2002",392.731
"Jun 06, 2002",395.248
"Jun 07, 2002",389.232
"Jun 10, 2002",385.202
"Jun 11, 2002",385.891
"Jun 12, 2002",388.231
"Jun 13, 2002",383.902
"Jun 14, 2002",371.361
"Jun 17, 2002",371.238
"Jun 18, 2002",370.558
"Jun 19, 2002",364.474
"Jun 20, 2002",363.666
"Jun 21, 2002",369.570
"Jun 24, 2002",357.966
"Jun 25, 2002",351.522
"Jun 26, 2002",340.438
"Jun 27, 2002",343.774
"Jun 28, 2002",334.574
"Jul 01, 2002",336.937
"Jul 02, 2002",327.455
"Jul 03, 2002",325.840
"Jul 04, 2002",319.869
"Jul 05, 2002",322.275
"Jul 08, 2002",321.490
"Jul 09, 2002",323.812
"Jul 10, 2002",321.171
"Jul 11, 2002",311.759
"Jul 12, 2002",312.962
"Jul 15, 2002",307.737
"Jul 16, 2002",312.577
"Jul 17, 2002",326.182
"Jul 18, 2002",320.027
"Jul 19, 2002",314.324
"Jul 22, 2002",302.226
"Jul 23, 2002",303.927
"Jul 24, 2002",291.402
"Jul 25, 2002",287.908
"Jul 26, 2002",293.445
"Jul 29, 2002",288.233
"Jul 30, 2002",289.208
"Jul 31, 2002",290.948
"Aug 01, 2002",294.220
"Aug 02, 2002",293.902
"Aug 05, 2002",291.387
"Aug 06, 2002",287.131
"Aug 07, 2002",282.748
"Aug 08, 2002",281.752
"Aug 09, 2002",282.819
"Aug 12, 2002",281.339
"Aug 13, 2002",291.858
"Aug 14, 2002",292.096
"Aug 15, 2002",291.243
"Aug 16, 2002",293.372
"Aug 19, 2002",294.798
"Aug 20, 2002",292.619
"Aug 21, 2002",308.709
"Aug 22, 2002",305.818
"Aug 23, 2002",309.036
"Aug 26, 2002",312.203
"Aug 27, 2002",321.409
"Aug 28, 2002",314.503
"Aug 29, 2002",307.904
"Aug 30, 2002",314.240
"Sep 02, 2002",315.027
"Sep 03, 2002",301.874
"Sep 04, 2002",299.243
"Sep 05, 2002",295.330
"Sep 06, 2002",301.596
"Sep 09, 2002",304.809
"Sep 10, 2002",310.218
"Sep 11, 2002",313.063
"Sep 12, 2002",304.290
"Sep 13, 2002",302.748
"Sep 16, 2002",305.561
"Sep 17, 2002",308.116
"Sep 18, 2002",302.293
"Sep 19, 2002",303.576
"Sep 20, 2002",306.453
"Sep 23, 2002",302.821
"Sep 24, 2002",294.952
"Sep 25, 2002",300.100
"Sep 26, 2002",298.079
"Sep 27, 2002",296.603
"Sep 30, 2002",292.040
"Oct 01, 2002",290.141
"Oct 02, 2002",291.067
"Oct 03, 2002",294.673
"Oct 04, 2002",294.252
"Oct 07, 2002",290.293
"Oct 08, 2002",290.680
"Oct 09, 2002",292.510
"Oct 10, 2002",299.441
"Oct 11, 2002",307.523
"Oct 14, 2002",309.744
"Oct 15, 2002",316.980
"Oct 16, 2002",313.195
"Oct 17, 2002",311.376
