Index Level :,Price
Currency :,USD


Date,PORTUGAL Standard (Large+Mid Cap) None
"Jan 29, 1993",53.173
"Feb 26, 1993",55.983
"Mar 31, 1993",56.193
"Apr 30, 1993",54.852
"May 31, 1993",60.564
"Jun 30, 1993",57.434
"Jul 30, 1993",55.860
"Aug 31, 1993",67.850
"Sep 30, 1993",63.615
"Oct 29, 1993",67.136
"Nov 30, 1993",64.602
"Dec 31, 1993",64.815
"Jan 31, 1994",73.069
"Feb 28, 1994",74.376
"Mar 31, 1994",75.593
"Apr 29, 1994",71.829
"May 31, 1994",64.875
"Jun 30, 1994",61.546
"Jul 29, 1994",65.348
"Aug 31, 1994",69.981
"Sep 30, 1994",69.608
"Oct 31, 1994",72.297
"Nov 30, 1994",70.961
"Dec 30, 1994",70.126
"Jan 31, 1995",63.870
"Feb 28, 1995",68.219
"Mar 31, 1995",72.674
"Apr 28, 1995",72.254
"May 31, 1995",72.281
"Jun 30, 1995",71.994
"Jul 31, 1995",72.801
"Aug 31, 1995",66.821
"Sep 29, 1995",69.521
"Oct 31, 1995",69.202
"Nov 30, 1995",66.364
"Dec 29, 1995",68.372
"Jan 31, 1996",74.296
"Feb 29, 1996",76.649
"Mar 29, 1996",77.655
"Apr 30, 1996",75.064
"May 31, 1996",78.713
"Jun 28, 1996",82.644
"Jul 31, 1996",83.520
"Aug 30, 1996",86.436
"Sep 30, 1996",84.051
"Oct 31, 1996",85.483
"Nov 29, 1996",86.670
"Dec 31, 1996",90.460
"Jan 31, 1997",99.297
"Feb 28, 1997",100.243
"Mar 31, 1997",103.284
"Apr 30, 1997",103.308
"May 30, 1997",110.286
"Jun 30, 1997",118.109
"Jul 31, 1997",118.843
"Aug 29, 1997",111.203
"Sep 30, 1997",126.039
"Oct 31, 1997",121.769
"Nov 28, 1997",127.040
"Dec 31, 1997",130.153
"Jan 30, 1998",143.406
"Feb 27, 1998",158.915
"Mar 31, 1998",172.049
"Apr 30, 1998",185.151
"May 29, 1998",180.978
"Jun 30, 1998",167.330
"Jul 31, 1998",180.946
"Aug 31, 1998",156.011
"Sep 30, 1998",141.796
"Oct 30, 1998",164.931
"Nov 30, 1998",159.279
"Dec 31, 1998",163.242
"Jan 29, 1999",169.486
"Feb 26, 1999",157.763
"Mar 31, 1999",146.858
"Apr 30, 1999",137.489
"May 31, 1999",140.178
"Jun 30, 1999",132.392
"Jul 30, 1999",135.270
"Aug 31, 1999",131.304
"Sep 30, 1999",128.862
"Oct 29, 1999",131.094
"Nov 30, 1999",132.110
"Dec 31, 1999",145.516
"Jan 31, 2000",143.719
"Feb 29, 2000",160.037
"Mar 31, 2000",147.639
"Apr 28, 2000",134.615
"May 31, 2000",133.627
"Jun 30, 2000",141.212
"Jul 31, 2000",137.943
"Aug 31, 2000",132.858
"Sep 29, 2000",130.701
"Oct 31, 2000",117.865
"Nov 30, 2000",118.477
"Dec 29, 2000",127.809
"Jan 31, 2001",135.843
"Feb 28, 2001",127.533
"Mar 30, 2001",115.917
"Apr 30, 2001",115.638
"May 31, 2001",103.476
"Jun 29, 2001",96.275
"Jul 31, 2001",99.836
"Aug 31, 2001",96.411
"Sep 28, 2001",96.106
"Oct 31, 2001",99.467
"Nov 30, 2001",98.528
"Dec 31, 2001",98.406
"Jan 31, 2002",92.004
"Feb 28, 2002",90.076
"Mar 29, 2002",94.580
"Apr 30, 2002",94.433
"May 30, 2002",97.357
"May 31, 2002",95.139
"Jun 03, 2002",95.336
"Jun 04, 2002",94.591
"Jun 05, 2002",94.675
"Jun 06, 2002",94.018
"Jun 07, 2002",93.044
"Jun 10, 2002",92.960
"Jun 11, 2002",93.071
"Jun 12, 2002",92.328
"Jun 13, 2002",90.862
"Jun 14, 2002",89.366
"Jun 17, 2002",90.370
"Jun 18, 2002",91.264
"Jun 19, 2002",91.919
"Jun 20, 2002",92.715
"Jun 21, 2002",92.706
"Jun 24, 2002",92.416
"Jun 25, 2002",92.905
"Jun 26, 2002",92.998
"Jun 27, 2002",92.887
"Jun 28, 2002",93.367
"Jul 01, 2002",92.449
"Jul 02, 2002",90.312
"Jul 03, 2002",87.807
"Jul 04, 2002",88.416
"Jul 05, 2002",89.731
"Jul 08, 2002",91.444
"Jul 09, 2002",91.829
"Jul 10, 2002",91.457
"Jul 11, 2002",90.298
"Jul 12, 2002",90.266
"Jul 15, 2002",90.418
"Jul 16, 2002",90.366
"Jul 17, 2002",90.487
"Jul 18, 2002",89.783
"Jul 19, 2002",87.431
"Jul 22, 2002",84.834
"Jul 23, 2002",82.799
"Jul 24, 2002",80.819
"Jul 25, 2002",82.402
"Jul 26, 2002",81.572
"Jul 29, 2002",82.558
"Jul 30, 2002",82.091
"Jul 31, 2002",81.896
"Aug 01, 2002",81.770
"Aug 02, 2002",80.469
"Aug 05, 2002",78.495
"Aug 06, 2002",77.009
"Aug 07, 2002",76.003
"Aug 08, 2002",77.752
"Aug 09, 2002",79.603
"Aug 12, 2002",79.765
"Aug 13, 2002",79.348
"Aug 14, 2002",79.576
"Aug 15, 2002",78.983
"Aug 16, 2002",78.765
"Aug 19, 2002",78.880
"Aug 20, 2002",78.669
"Aug 21, 2002",79.628
"Aug 22, 2002",81.501
"Aug 23, 2002",81.335
"Aug 26, 2002",80.823
"Aug 27, 2002",82.517
"Aug 28, 2002",81.738
"Aug 29, 2002",81.808
"Aug 30, 2002",81.909
"Sep 02, 2002",80.200
"Sep 03, 2002",80.916
"Sep 04, 2002",79.984
"Sep 05, 2002",79.252
"Sep 06, 2002",79.354
"Sep 09, 2002",78.783
"Sep 10, 2002",78.707
"Sep 11, 2002",79.057
"Sep 12, 2002",78.655
"Sep 13, 2002",77.909
"Sep 16, 2002",76.351
"Sep 17, 2002",74.014
"Sep 18, 2002",71.816
"Sep 19, 2002",71.445
"Sep 20, 2002",72.694
"Sep 23, 2002",70.037
"Sep 24, 2002",67.936
"Sep 25, 2002",69.359
"Sep 26, 2002",69.855
"Sep 27, 2002",67.785
"Sep 30, 2002",66.054
"Oct 01, 2002",66.234
"Oct 02, 2002",67.787
"Oct 03, 2002",67.869
"Oct 04, 2002",68.197
"Oct 07, 2002",67.907
"Oct 08, 2002",68.431
"Oct 09, 2002",69.169
"Oct 10, 2002",68.606
"Oct 11, 2002",71.135
"Oct 14, 2002",69.659
"Oct 15, 2002",70.840
"Oct 16, 2002",70.571
"Oct 17, 2002",70.104
"Oct 18, 2002",69.140
