Index Level :,Price
Currency :,USD


Date,QATAR Standard (Large+Mid Cap) None
"May 31, 2005",787.557
"Jun 01, 2005",797.837
"Jun 02, 2005",798.594
"Jun 03, 2005",798.572
"Jun 06, 2005",809.150
"Jun 07, 2005",843.332
"Jun 08, 2005",840.997
"Jun 09, 2005",837.185
"Jun 10, 2005",837.185
"Jun 13, 2005",893.646
"Jun 14, 2005",905.283
"Jun 15, 2005",871.189
"Jun 16, 2005",884.955
"Jun 17, 2005",884.614
"Jun 20, 2005",929.197
"Jun 21, 2005",932.755
"Jun 22, 2005",952.095
"Jun 23, 2005",953.401
"Jun 24, 2005",953.362
"Jun 27, 2005",960.134
"Jun 28, 2005",962.238
"Jun 29, 2005",982.564
"Jun 30, 2005",964.196
"Jul 01, 2005",964.169
"Jul 04, 2005",907.488
"Jul 05, 2005",942.934
"Jul 06, 2005",944.571
"Jul 07, 2005",932.920
"Jul 08, 2005",932.920
"Jul 11, 2005",936.041
"Jul 12, 2005",934.192
"Jul 13, 2005",919.730
"Jul 14, 2005",936.211
"Jul 15, 2005",936.237
"Jul 18, 2005",941.255
"Jul 19, 2005",939.984
"Jul 20, 2005",940.483
"Jul 21, 2005",943.506
"Jul 22, 2005",943.506
"Jul 25, 2005",914.789
"Jul 26, 2005",915.970
"Jul 27, 2005",925.906
"Jul 28, 2005",926.425
"Jul 29, 2005",926.425
"Aug 01, 2005",934.642
"Aug 02, 2005",946.446
"Aug 03, 2005",948.908
"Aug 04, 2005",951.144
"Aug 05, 2005",951.144
"Aug 08, 2005",991.593
"Aug 09, 2005",978.206
"Aug 10, 2005",980.767
"Aug 11, 2005",989.787
"Aug 12, 2005",989.787
"Aug 15, 2005","1,038.662"
"Aug 16, 2005","1,038.481"
"Aug 17, 2005","1,064.252"
"Aug 18, 2005","1,087.498"
"Aug 19, 2005","1,087.498"
"Aug 22, 2005","1,155.235"
"Aug 23, 2005","1,132.017"
"Aug 24, 2005","1,097.640"
"Aug 25, 2005","1,114.918"
"Aug 26, 2005","1,114.398"
"Aug 29, 2005","1,116.422"
"Aug 30, 2005","1,109.980"
"Aug 31, 2005","1,121.469"
"Sep 01, 2005","1,120.050"
"Sep 02, 2005","1,119.958"
"Sep 05, 2005","1,150.580"
"Sep 06, 2005","1,146.510"
"Sep 07, 2005","1,145.170"
"Sep 08, 2005","1,141.095"
"Sep 09, 2005","1,141.095"
"Sep 12, 2005","1,136.538"
"Sep 13, 2005","1,141.359"
"Sep 14, 2005","1,162.545"
"Sep 15, 2005","1,173.660"
"Sep 16, 2005","1,173.901"
"Sep 19, 2005","1,215.179"
"Sep 20, 2005","1,201.192"
"Sep 21, 2005","1,198.925"
"Sep 22, 2005","1,192.089"
"Sep 23, 2005","1,192.793"
"Sep 26, 2005","1,145.650"
"Sep 27, 2005","1,170.568"
"Sep 28, 2005","1,163.592"
"Sep 29, 2005","1,168.563"
"Sep 30, 2005","1,168.580"
"Oct 03, 2005","1,146.429"
"Oct 04, 2005","1,124.077"
"Oct 05, 2005","1,129.119"
"Oct 06, 2005","1,148.699"
"Oct 07, 2005","1,148.604"
"Oct 10, 2005","1,178.773"
"Oct 11, 2005","1,151.311"
"Oct 12, 2005","1,161.602"
"Oct 13, 2005","1,152.358"
"Oct 14, 2005","1,152.373"
"Oct 17, 2005","1,147.023"
"Oct 18, 2005","1,128.664"
"Oct 19, 2005","1,139.542"
"Oct 20, 2005","1,141.266"
"Oct 21, 2005","1,141.141"
"Oct 24, 2005","1,126.309"
"Oct 25, 2005","1,130.583"
"Oct 26, 2005","1,138.772"
"Oct 27, 2005","1,149.614"
"Oct 28, 2005","1,149.598"
"Oct 31, 2005","1,161.830"
"Nov 01, 2005","1,147.663"
"Nov 02, 2005","1,147.663"
"Nov 03, 2005","1,147.663"
"Nov 04, 2005","1,147.632"
"Nov 07, 2005","1,151.202"
"Nov 08, 2005","1,149.919"
"Nov 09, 2005","1,143.726"
"Nov 10, 2005","1,128.525"
"Nov 11, 2005","1,128.633"
"Nov 14, 2005","1,041.145"
"Nov 15, 2005","1,096.591"
"Nov 16, 2005","1,091.242"
"Nov 17, 2005","1,075.183"
"Nov 18, 2005","1,075.183"
"Nov 21, 2005","1,035.674"
"Nov 22, 2005","1,025.681"
"Nov 23, 2005","1,006.708"
"Nov 24, 2005","1,015.663"
"Nov 25, 2005","1,015.691"
"Nov 28, 2005",975.657
"Nov 29, 2005","1,014.853"
"Nov 30, 2005","1,000.000"
"Dec 01, 2005","1,013.484"
"Dec 02, 2005","1,013.428"
"Dec 05, 2005","1,044.315"
"Dec 06, 2005","1,047.764"
"Dec 07, 2005","1,060.066"
"Dec 08, 2005","1,078.713"
"Dec 09, 2005","1,078.743"
"Dec 12, 2005","1,084.547"
"Dec 13, 2005","1,057.714"
"Dec 14, 2005","1,072.090"
"Dec 15, 2005","1,071.980"
"Dec 16, 2005","1,071.980"
"Dec 19, 2005","1,058.839"
"Dec 20, 2005","1,035.916"
"Dec 21, 2005",992.768
"Dec 22, 2005",986.300
"Dec 23, 2005",986.327
"Dec 26, 2005",944.922
"Dec 27, 2005",968.838
"Dec 28, 2005","1,000.451"
"Dec 29, 2005","1,004.239"
"Dec 30, 2005","1,004.239"
"Jan 02, 2006","1,000.472"
"Jan 03, 2006",966.385
"Jan 04, 2006",955.499
"Jan 05, 2006",959.505
"Jan 06, 2006",959.479
"Jan 09, 2006",946.845
"Jan 10, 2006",946.845
"Jan 11, 2006",946.845
"Jan 12, 2006",946.819
"Jan 13, 2006",946.845
"Jan 16, 2006",943.170
"Jan 17, 2006",915.868
"Jan 18, 2006",923.797
"Jan 19, 2006",941.960
"Jan 20, 2006",941.960
"Jan 23, 2006",892.900
"Jan 24, 2006",861.358
"Jan 25, 2006",907.234
"Jan 26, 2006",936.882
"Jan 27, 2006",936.882
"Jan 30, 2006",922.736
"Jan 31, 2006",951.236
"Feb 01, 2006",939.305
"Feb 02, 2006",933.702
"Feb 03, 2006",933.728
"Feb 06, 2006",907.402
"Feb 07, 2006",908.893
"Feb 08, 2006",899.071
"Feb 09, 2006",899.870
"Feb 10, 2006",899.858
"Feb 13, 2006",881.084
"Feb 14, 2006",853.626
"Feb 15, 2006",823.647
"Feb 16, 2006",859.166
"Feb 17, 2006",859.166
"Feb 20, 2006",824.397
"Feb 21, 2006",806.773
"Feb 22, 2006",822.404
"Feb 23, 2006",811.967
