Index Level :,Price
Currency :,USD


Date,ROMANIA Standard (Large+Mid Cap) None
"Nov 30, 2005",569.618
"Dec 01, 2005",565.924
"Dec 02, 2005",564.469
"Dec 05, 2005",559.827
"Dec 06, 2005",558.921
"Dec 07, 2005",568.285
"Dec 08, 2005",582.598
"Dec 09, 2005",577.100
"Dec 12, 2005",571.397
"Dec 13, 2005",572.381
"Dec 14, 2005",569.197
"Dec 15, 2005",561.762
"Dec 16, 2005",568.919
"Dec 19, 2005",569.091
"Dec 20, 2005",565.145
"Dec 21, 2005",560.136
"Dec 22, 2005",559.086
"Dec 23, 2005",557.108
"Dec 26, 2005",557.108
"Dec 27, 2005",557.054
"Dec 28, 2005",555.219
"Dec 29, 2005",551.665
"Dec 30, 2005",550.446
"Jan 02, 2006",550.446
"Jan 03, 2006",581.182
"Jan 04, 2006",610.469
"Jan 05, 2006",609.091
"Jan 06, 2006",610.482
"Jan 09, 2006",631.426
"Jan 10, 2006",634.274
"Jan 11, 2006",660.902
"Jan 12, 2006",670.822
"Jan 13, 2006",663.524
"Jan 16, 2006",664.630
"Jan 17, 2006",682.860
"Jan 18, 2006",669.444
"Jan 19, 2006",683.439
"Jan 20, 2006",696.349
"Jan 23, 2006",711.899
"Jan 24, 2006",698.866
"Jan 25, 2006",704.601
"Jan 26, 2006",707.370
"Jan 27, 2006",701.266
"Jan 30, 2006",708.157
"Jan 31, 2006",723.622
"Feb 01, 2006",746.454
"Feb 02, 2006",733.915
"Feb 03, 2006",729.637
"Feb 06, 2006",737.826
"Feb 07, 2006",754.941
"Feb 08, 2006",744.016
"Feb 09, 2006",754.715
"Feb 10, 2006",756.233
"Feb 13, 2006",753.106
"Feb 14, 2006",724.477
"Feb 15, 2006",724.872
"Feb 16, 2006",737.954
"Feb 17, 2006",745.947
"Feb 20, 2006",747.715
"Feb 21, 2006",743.126
"Feb 22, 2006",745.078
"Feb 23, 2006",744.546
"Feb 24, 2006",737.217
"Feb 27, 2006",741.485
"Feb 28, 2006",762.065
"Mar 01, 2006",763.398
"Mar 02, 2006",745.637
"Mar 03, 2006",760.123
"Mar 06, 2006",764.896
"Mar 07, 2006",745.017
"Mar 08, 2006",748.571
"Mar 09, 2006",731.039
"Mar 10, 2006",715.464
"Mar 13, 2006",722.815
"Mar 14, 2006",700.512
"Mar 15, 2006",709.758
"Mar 16, 2006",735.933
"Mar 17, 2006",727.025
"Mar 20, 2006",731.344
"Mar 21, 2006",738.892
"Mar 22, 2006",731.231
"Mar 23, 2006",729.762
"Mar 24, 2006",732.788
"Mar 27, 2006",743.788
"Mar 28, 2006",728.491
"Mar 29, 2006",722.211
"Mar 30, 2006",720.231
"Mar 31, 2006",711.127
"Apr 03, 2006",718.181
"Apr 04, 2006",706.512
"Apr 05, 2006",700.149
"Apr 06, 2006",682.780
"Apr 07, 2006",689.331
"Apr 10, 2006",703.343
"Apr 11, 2006",713.734
"Apr 12, 2006",713.146
"Apr 13, 2006",700.396
"Apr 14, 2006",700.396
"Apr 17, 2006",713.369
"Apr 18, 2006",712.863
"Apr 19, 2006",712.500
"Apr 20, 2006",711.366
"Apr 21, 2006",719.686
"Apr 24, 2006",721.846
"Apr 25, 2006",723.942
"Apr 26, 2006",724.628
"Apr 27, 2006",729.805
"Apr 28, 2006",744.747
"May 01, 2006",746.044
"May 02, 2006",747.102
"May 03, 2006",738.800
"May 04, 2006",734.897
"May 05, 2006",743.250
"May 08, 2006",754.506
"May 09, 2006",747.440
"May 10, 2006",740.644
"May 11, 2006",744.960
"May 12, 2006",748.109
"May 15, 2006",721.024
"May 16, 2006",728.013
"May 17, 2006",731.225
"May 18, 2006",713.201
"May 19, 2006",712.763
"May 22, 2006",694.623
"May 23, 2006",638.929
"May 24, 2006",663.602
"May 25, 2006",680.221
"May 26, 2006",717.543
"May 29, 2006",719.717
"May 30, 2006",707.863
"May 31, 2006",707.610
"Jun 01, 2006",698.620
"Jun 02, 2006",720.299
"Jun 05, 2006",717.047
"Jun 06, 2006",708.951
"Jun 07, 2006",704.484
"Jun 08, 2006",685.104
"Jun 09, 2006",684.755
"Jun 12, 2006",677.870
"Jun 13, 2006",670.315
"Jun 14, 2006",671.344
"Jun 15, 2006",664.609
"Jun 16, 2006",667.268
"Jun 19, 2006",659.967
"Jun 20, 2006",662.130
"Jun 21, 2006",651.617
"Jun 22, 2006",643.995
"Jun 23, 2006",628.937
"Jun 26, 2006",625.235
"Jun 27, 2006",621.290
"Jun 28, 2006",640.227
"Jun 29, 2006",664.880
"Jun 30, 2006",708.994
"Jul 03, 2006",733.136
"Jul 04, 2006",734.653
"Jul 05, 2006",733.766
"Jul 06, 2006",742.391
"Jul 07, 2006",766.691
"Jul 10, 2006",759.547
"Jul 11, 2006",754.788
"Jul 12, 2006",749.648
"Jul 13, 2006",741.241
"Jul 14, 2006",725.814
"Jul 17, 2006",738.017
"Jul 18, 2006",754.160
"Jul 19, 2006",734.856
"Jul 20, 2006",750.845
"Jul 21, 2006",740.259
"Jul 24, 2006",737.989
"Jul 25, 2006",747.354
"Jul 26, 2006",754.910
"Jul 27, 2006",770.259
"Jul 28, 2006",779.236
"Jul 31, 2006",777.718
"Aug 01, 2006",770.238
"Aug 02, 2006",766.679
"Aug 03, 2006",767.604
"Aug 04, 2006",779.183
"Aug 07, 2006",773.937
"Aug 08, 2006",777.601
"Aug 09, 2006",795.874
"Aug 10, 2006",793.284
"Aug 11, 2006",780.494
"Aug 14, 2006",776.468
"Aug 15, 2006",783.190
"Aug 16, 2006",796.841
"Aug 17, 2006",785.771
"Aug 18, 2006",782.044
"Aug 21, 2006",788.585
"Aug 22, 2006",784.767
"Aug 23, 2006",772.888
"Aug 24, 2006",770.218
"Aug 25, 2006",770.263
"Aug 28, 2006",775.771
"Aug 29, 2006",764.920
"Aug 30, 2006",782.732
"Aug 31, 2006",780.674
"Sep 01, 2006",778.067
"Sep 04, 2006",782.211
"Sep 05, 2006",773.910
"Sep 06, 2006",767.687
"Sep 07, 2006",766.380
"Sep 08, 2006",769.021
"Sep 11, 2006",766.330
"Sep 12, 2006",764.219
"Sep 13, 2006",764.777
"Sep 14, 2006",766.200
"Sep 15, 2006",781.619
"Sep 18, 2006",764.051
"Sep 19, 2006",776.815
"Sep 20, 2006",777.730
"Sep 21, 2006",775.459
"Sep 22, 2006",768.637
"Sep 25, 2006",766.490
"Sep 26, 2006",764.569
