Index Level :,Price
Currency :,USD


Date,RUSSIA Standard (Large+Mid Cap) None
"Dec 30, 1994",100.000
"Jan 31, 1995",78.013
"Feb 28, 1995",62.429
"Mar 31, 1995",67.817
"Apr 28, 1995",51.322
"May 31, 1995",67.647
"Jun 30, 1995",96.863
"Jul 31, 1995",96.830
"Aug 31, 1995",83.910
"Sep 29, 1995",79.780
"Oct 31, 1995",67.338
"Nov 30, 1995",64.562
"Dec 29, 1995",71.999
"Jan 31, 1996",73.483
"Feb 29, 1996",65.925
"Mar 29, 1996",68.937
"Apr 30, 1996",96.171
"May 31, 1996",131.549
"Jun 28, 1996",187.101
"Jul 31, 1996",138.931
"Aug 30, 1996",171.461
"Sep 30, 1996",152.924
"Oct 31, 1996",167.078
"Nov 29, 1996",171.720
"Dec 31, 1996",180.763
"Jan 31, 1997",249.607
"Feb 28, 1997",294.862
"Mar 31, 1997",271.836
"Apr 30, 1997",293.874
"May 30, 1997",330.274
"Jun 30, 1997",392.734
"Jul 31, 1997",457.413
"Aug 29, 1997",432.844
"Sep 30, 1997",465.568
"Oct 31, 1997",398.787
"Nov 28, 1997",313.861
"Dec 31, 1997",382.434
"Jan 30, 1998",267.571
"Feb 27, 1998",314.070
"Mar 31, 1998",331.763
"Apr 30, 1998",323.814
"May 29, 1998",196.366
"Jun 30, 1998",154.186
"Jul 31, 1998",157.257
"Aug 31, 1998",62.004
"Sep 30, 1998",38.252
"Oct 30, 1998",59.166
"Nov 30, 1998",82.455
"Dec 31, 1998",64.408
"Jan 29, 1999",60.985
"Feb 26, 1999",83.235
"Mar 31, 1999",105.064
"Apr 30, 1999",122.240
"May 31, 1999",127.490
"Jun 30, 1999",150.242
"Jul 30, 1999",145.409
"Aug 31, 1999",122.938
"Sep 30, 1999",103.001
"Oct 29, 1999",120.309
"Nov 30, 1999",138.384
"Dec 31, 1999",222.982
"Jan 31, 2000",204.559
"Feb 29, 2000",199.225
"Mar 31, 2000",274.055
"Apr 28, 2000",268.367
"May 31, 2000",227.950
"Jun 30, 2000",209.494
"Jul 31, 2000",234.462
"Aug 31, 2000",279.318
"Sep 29, 2000",228.929
"Oct 31, 2000",214.919
"Nov 30, 2000",151.195
"Dec 29, 2000",155.225
"Jan 31, 2001",185.360
"Feb 28, 2001",169.813
"Mar 30, 2001",168.492
"Apr 30, 2001",183.774
"May 31, 2001",215.225
"Jun 29, 2001",211.604
"Jul 31, 2001",190.658
"Aug 31, 2001",200.267
"Sep 28, 2001",170.460
"Oct 31, 2001",191.749
"Nov 30, 2001",215.462
"Dec 31, 2001",237.762
"Jan 31, 2002",259.481
"Feb 28, 2002",239.661
"Mar 29, 2002",281.058
"Apr 30, 2002",306.510
"May 30, 2002",305.631
"May 31, 2002",308.504
"Jun 03, 2002",310.649
"Jun 04, 2002",304.561
"Jun 05, 2002",308.213
"Jun 06, 2002",315.909
"Jun 07, 2002",312.130
"Jun 10, 2002",318.173
"Jun 11, 2002",317.291
"Jun 12, 2002",316.879
"Jun 13, 2002",312.846
"Jun 14, 2002",300.730
"Jun 17, 2002",299.665
"Jun 18, 2002",292.631
"Jun 19, 2002",285.737
"Jun 20, 2002",275.728
"Jun 21, 2002",277.966
"Jun 24, 2002",267.885
"Jun 25, 2002",271.577
"Jun 26, 2002",262.209
"Jun 27, 2002",276.164
"Jun 28, 2002",276.613
"Jul 01, 2002",281.516
"Jul 02, 2002",277.953
"Jul 03, 2002",278.616
"Jul 04, 2002",282.688
"Jul 05, 2002",294.461
"Jul 08, 2002",293.668
"Jul 09, 2002",297.351
"Jul 10, 2002",302.091
"Jul 11, 2002",292.709
"Jul 12, 2002",291.081
"Jul 15, 2002",285.886
"Jul 16, 2002",281.718
"Jul 17, 2002",289.886
"Jul 18, 2002",288.467
"Jul 19, 2002",280.934
"Jul 22, 2002",272.039
"Jul 23, 2002",267.448
"Jul 24, 2002",249.729
"Jul 25, 2002",245.154
"Jul 26, 2002",246.520
"Jul 29, 2002",257.189
"Jul 30, 2002",253.647
"Jul 31, 2002",249.019
"Aug 01, 2002",253.562
"Aug 02, 2002",249.820
"Aug 05, 2002",240.092
"Aug 06, 2002",240.732
"Aug 07, 2002",250.022
"Aug 08, 2002",254.764
"Aug 09, 2002",251.706
"Aug 12, 2002",250.404
"Aug 13, 2002",255.495
"Aug 14, 2002",260.139
"Aug 15, 2002",262.564
"Aug 16, 2002",262.819
"Aug 19, 2002",269.554
"Aug 20, 2002",269.279
"Aug 21, 2002",272.592
"Aug 22, 2002",275.629
"Aug 23, 2002",270.439
"Aug 26, 2002",267.636
"Aug 27, 2002",274.205
"Aug 28, 2002",269.516
"Aug 29, 2002",258.791
"Aug 30, 2002",257.148
"Sep 02, 2002",254.850
"Sep 03, 2002",255.377
"Sep 04, 2002",259.340
"Sep 05, 2002",255.783
"Sep 06, 2002",258.353
"Sep 09, 2002",258.276
"Sep 10, 2002",266.867
"Sep 11, 2002",270.816
"Sep 12, 2002",266.695
"Sep 13, 2002",259.698
"Sep 16, 2002",257.851
"Sep 17, 2002",261.454
"Sep 18, 2002",253.337
"Sep 19, 2002",248.072
"Sep 20, 2002",255.953
"Sep 23, 2002",255.593
"Sep 24, 2002",258.972
"Sep 25, 2002",267.393
"Sep 26, 2002",268.773
"Sep 27, 2002",263.591
"Sep 30, 2002",255.240
"Oct 01, 2002",257.530
"Oct 02, 2002",262.920
"Oct 03, 2002",266.037
"Oct 04, 2002",270.911
"Oct 07, 2002",271.797
"Oct 08, 2002",271.173
"Oct 09, 2002",265.578
"Oct 10, 2002",260.415
"Oct 11, 2002",262.011
"Oct 14, 2002",259.201
"Oct 15, 2002",268.740
"Oct 16, 2002",270.802
"Oct 17, 2002",276.721
"Oct 18, 2002",274.922
"Oct 21, 2002",276.875
"Oct 22, 2002",274.087
"Oct 23, 2002",274.521
"Oct 24, 2002",266.237
"Oct 25, 2002",266.904
"Oct 28, 2002",271.760
"Oct 29, 2002",267.065
"Oct 30, 2002",271.291
"Oct 31, 2002",276.288
"Nov 01, 2002",277.026
"Nov 04, 2002",277.515
"Nov 05, 2002",271.466
"Nov 06, 2002",268.167
"Nov 07, 2002",268.284
"Nov 08, 2002",268.291
"Nov 11, 2002",269.172
"Nov 12, 2002",274.902
"Nov 13, 2002",275.219
"Nov 14, 2002",273.365
"Nov 15, 2002",273.645
"Nov 18, 2002",276.013
"Nov 19, 2002",273.385
