Index Level :,Price
Currency :,USD


Date,SERBIA Standard (Large+Mid Cap) None
"May 30, 2008","1,000.000"
"Jun 02, 2008",972.450
"Jun 03, 2008",969.298
"Jun 04, 2008",976.924
"Jun 05, 2008","1,023.516"
"Jun 06, 2008","1,052.831"
"Jun 09, 2008","1,079.085"
"Jun 10, 2008","1,062.806"
"Jun 11, 2008","1,033.724"
"Jun 12, 2008","1,061.268"
"Jun 13, 2008","1,066.459"
"Jun 16, 2008","1,075.807"
"Jun 17, 2008","1,079.796"
"Jun 18, 2008","1,065.595"
"Jun 19, 2008","1,047.763"
"Jun 20, 2008","1,067.979"
"Jun 23, 2008","1,061.683"
"Jun 24, 2008","1,056.831"
"Jun 25, 2008","1,045.621"
"Jun 26, 2008","1,049.575"
"Jun 27, 2008","1,051.772"
"Jun 30, 2008","1,059.786"
"Jul 01, 2008","1,048.850"
"Jul 02, 2008","1,047.531"
"Jul 03, 2008","1,021.630"
"Jul 04, 2008","1,016.095"
"Jul 07, 2008",997.902
"Jul 08, 2008",967.291
"Jul 09, 2008",976.286
"Jul 10, 2008",952.890
"Jul 11, 2008",968.697
"Jul 14, 2008",955.359
"Jul 15, 2008",953.549
"Jul 16, 2008",927.821
"Jul 17, 2008",932.160
"Jul 18, 2008",923.553
"Jul 21, 2008",915.989
"Jul 22, 2008",932.571
"Jul 23, 2008",938.922
"Jul 24, 2008",933.586
"Jul 25, 2008",928.160
"Jul 28, 2008",930.118
"Jul 29, 2008",917.997
"Jul 30, 2008",914.357
"Jul 31, 2008",907.750
"Aug 01, 2008",906.591
"Aug 04, 2008",894.430
"Aug 05, 2008",863.060
"Aug 06, 2008",859.382
"Aug 07, 2008",842.808
"Aug 08, 2008",824.003
"Aug 11, 2008",808.385
"Aug 12, 2008",821.179
"Aug 13, 2008",804.416
"Aug 14, 2008",811.036
"Aug 15, 2008",796.886
"Aug 18, 2008",801.180
"Aug 19, 2008",799.271
"Aug 20, 2008",801.264
"Aug 21, 2008",812.932
"Aug 22, 2008",808.193
"Aug 25, 2008",802.149
"Aug 26, 2008",783.948
"Aug 27, 2008",770.603
"Aug 28, 2008",763.364
"Aug 29, 2008",777.806
"Sep 01, 2008",771.077
"Sep 02, 2008",752.543
"Sep 03, 2008",737.821
"Sep 04, 2008",736.581
"Sep 05, 2008",715.987
"Sep 08, 2008",721.163
"Sep 09, 2008",715.563
"Sep 10, 2008",729.870
"Sep 11, 2008",712.200
"Sep 12, 2008",723.538
"Sep 15, 2008",710.439
"Sep 16, 2008",645.042
"Sep 17, 2008",631.678
"Sep 18, 2008",611.445
"Sep 19, 2008",653.773
"Sep 22, 2008",682.424
"Sep 23, 2008",659.608
"Sep 24, 2008",646.000
"Sep 25, 2008",631.716
"Sep 26, 2008",615.253
"Sep 29, 2008",572.142
"Sep 30, 2008",544.958
"Oct 01, 2008",543.467
"Oct 02, 2008",538.068
"Oct 03, 2008",528.352
"Oct 06, 2008",450.218
"Oct 07, 2008",382.814
"Oct 08, 2008",331.360
"Oct 09, 2008",356.591
"Oct 10, 2008",339.001
"Oct 13, 2008",361.477
"Oct 14, 2008",421.510
"Oct 15, 2008",423.853
"Oct 16, 2008",367.038
"Oct 17, 2008",387.495
"Oct 20, 2008",374.966
"Oct 21, 2008",383.863
"Oct 22, 2008",360.503
"Oct 23, 2008",341.494
"Oct 24, 2008",301.934
"Oct 27, 2008",278.949
"Oct 28, 2008",264.442
"Oct 29, 2008",271.657
"Oct 30, 2008",263.540
"Oct 31, 2008",257.908
"Nov 03, 2008",266.037
"Nov 04, 2008",274.112
"Nov 05, 2008",287.156
"Nov 06, 2008",274.126
"Nov 07, 2008",273.309
"Nov 10, 2008",283.471
"Nov 11, 2008",273.808
"Nov 12, 2008",266.100
"Nov 13, 2008",262.268
"Nov 14, 2008",262.697
"Nov 17, 2008",250.554
"Nov 18, 2008",243.116
"Nov 19, 2008",228.784
"Nov 20, 2008",217.333
"Nov 21, 2008",210.880
"Nov 24, 2008",211.249
"Nov 25, 2008",215.940
"Nov 26, 2008",211.597
"Nov 27, 2008",210.606
"Nov 28, 2008",203.538
"Dec 01, 2008",201.949
"Dec 02, 2008",199.368
"Dec 03, 2008",193.897
"Dec 04, 2008",202.777
"Dec 05, 2008",209.649
"Dec 08, 2008",225.667
"Dec 09, 2008",220.742
"Dec 10, 2008",219.778
"Dec 11, 2008",216.928
"Dec 12, 2008",221.208
"Dec 15, 2008",218.329
"Dec 16, 2008",223.462
"Dec 17, 2008",238.888
"Dec 18, 2008",238.299
"Dec 19, 2008",222.396
"Dec 22, 2008",222.428
"Dec 23, 2008",218.136
"Dec 24, 2008",222.657
"Dec 25, 2008",242.381
"Dec 26, 2008",236.421
"Dec 29, 2008",263.758
"Dec 30, 2008",265.733
"Dec 31, 2008",270.227
"Jan 01, 2009",270.227
"Jan 02, 2009",274.267
"Jan 05, 2009",251.377
"Jan 06, 2009",228.685
"Jan 07, 2009",232.703
"Jan 08, 2009",219.505
"Jan 09, 2009",211.514
"Jan 12, 2009",210.518
"Jan 13, 2009",203.344
"Jan 14, 2009",203.154
"Jan 15, 2009",199.006
"Jan 16, 2009",203.346
"Jan 19, 2009",194.457
"Jan 20, 2009",193.823
"Jan 21, 2009",197.757
"Jan 22, 2009",210.293
"Jan 23, 2009",229.835
"Jan 26, 2009",237.705
"Jan 27, 2009",240.141
"Jan 28, 2009",247.976
"Jan 29, 2009",239.978
"Jan 30, 2009",240.747
"Feb 02, 2009",240.054
"Feb 03, 2009",237.264
"Feb 04, 2009",226.334
"Feb 05, 2009",238.115
"Feb 06, 2009",224.550
"Feb 09, 2009",231.435
"Feb 10, 2009",221.385
"Feb 11, 2009",212.566
"Feb 12, 2009",204.136
"Feb 13, 2009",197.639
"Feb 16, 2009",195.868
"Feb 17, 2009",186.357
"Feb 18, 2009",182.478
"Feb 19, 2009",177.160
"Feb 20, 2009",174.334
"Feb 23, 2009",170.746
"Feb 24, 2009",167.463
"Feb 25, 2009",164.334
"Feb 26, 2009",156.618
"Feb 27, 2009",148.112
"Mar 02, 2009",146.527
"Mar 03, 2009",146.887
"Mar 04, 2009",142.789
"Mar 05, 2009",137.294
"Mar 06, 2009",137.140
"Mar 09, 2009",137.604
"Mar 10, 2009",138.053
"Mar 11, 2009",128.358
"Mar 12, 2009",124.213
"Mar 13, 2009",130.150
"Mar 16, 2009",131.011
"Mar 17, 2009",136.807
