Index Level :,Price
Currency :,USD


Date,SINGAPORE Standard (Large+Mid Cap) None
"Jan 29, 1993","1,518.497"
"Feb 26, 1993","1,542.939"
"Mar 31, 1993","1,540.179"
"Apr 30, 1993","1,656.909"
"May 31, 1993","1,707.282"
"Jun 30, 1993","1,644.554"
"Jul 30, 1993","1,653.110"
"Aug 31, 1993","1,867.931"
"Sep 30, 1993","1,948.862"
"Oct 29, 1993","2,050.053"
"Nov 30, 1993","2,025.060"
"Dec 31, 1993","2,471.802"
"Jan 31, 1994","2,409.880"
"Feb 28, 1994","2,400.469"
"Mar 31, 1994","2,167.140"
"Apr 29, 1994","2,376.911"
"May 31, 1994","2,391.649"
"Jun 30, 1994","2,340.152"
"Jul 29, 1994","2,397.363"
"Aug 31, 1994","2,514.521"
"Sep 30, 1994","2,618.863"
"Oct 31, 1994","2,742.000"
"Nov 30, 1994","2,586.961"
"Dec 30, 1994","2,604.209"
"Jan 31, 1995","2,394.958"
"Feb 28, 1995","2,486.560"
"Mar 31, 1995","2,541.104"
"Apr 28, 1995","2,573.750"
"May 31, 1995","2,737.998"
"Jun 30, 1995","2,601.885"
"Jul 31, 1995","2,652.771"
"Aug 31, 1995","2,520.609"
"Sep 29, 1995","2,505.251"
"Oct 31, 1995","2,496.251"
"Nov 30, 1995","2,550.663"
"Dec 29, 1995","2,735.240"
"Jan 31, 1996","2,878.181"
"Feb 29, 1996","2,905.757"
"Mar 29, 1996","2,858.604"
"Apr 30, 1996","2,874.897"
"May 31, 1996","2,729.382"
"Jun 28, 1996","2,630.645"
"Jul 31, 1996","2,427.481"
"Aug 30, 1996","2,480.005"
"Sep 30, 1996","2,473.189"
"Oct 31, 1996","2,386.898"
"Nov 29, 1996","2,474.061"
"Dec 31, 1996","2,515.188"
"Jan 31, 1997","2,566.070"
"Feb 28, 1997","2,536.181"
"Mar 31, 1997","2,339.933"
"Apr 30, 1997","2,213.659"
"May 30, 1997","2,354.394"
"Jun 30, 1997","2,311.936"
"Jul 31, 1997","2,249.381"
"Aug 29, 1997","2,053.114"
"Sep 30, 1997","2,129.273"
"Oct 31, 1997","1,719.467"
"Nov 28, 1997","1,873.609"
"Dec 31, 1997","1,733.474"
"Jan 30, 1998","1,420.586"
"Feb 27, 1998","1,785.210"
"Mar 31, 1998","1,766.237"
"Apr 30, 1998","1,650.373"
"May 29, 1998","1,360.234"
"Jun 30, 1998","1,185.003"
"Jul 31, 1998","1,171.315"
"Aug 31, 1998",937.748
"Sep 30, 1998","1,059.610"
"Oct 30, 1998","1,308.536"
"Nov 30, 1998","1,500.592"
"Dec 31, 1998","1,480.000"
"Jan 29, 1999","1,484.277"
"Feb 26, 1999","1,464.107"
"Mar 31, 1999","1,624.875"
"Apr 30, 1999","2,009.138"
"May 31, 1999","2,037.404"
"Jun 30, 1999","2,357.499"
"Jul 30, 1999","2,387.964"
"Aug 31, 1999","2,378.438"
"Sep 30, 1999","2,337.139"
"Oct 29, 1999","2,456.883"
"Nov 30, 1999","2,605.642"
"Dec 31, 1999","2,916.731"
"Jan 31, 2000","2,526.636"
"Feb 29, 2000","2,297.489"
"Mar 31, 2000","2,298.141"
"Apr 28, 2000","2,434.135"
"May 31, 2000","1,977.049"
"Jun 30, 2000","2,241.835"
"Jul 31, 2000","2,240.659"
"Aug 31, 2000","2,315.067"
"Sep 29, 2000","2,116.525"
"Oct 31, 2000","2,112.402"
"Nov 30, 2000","2,070.991"
"Dec 29, 2000","2,081.090"
"Jan 31, 2001","2,082.417"
"Feb 28, 2001","2,033.780"
"Mar 30, 2001","1,690.599"
"Apr 30, 2001","1,706.560"
"May 31, 2001","1,623.390"
"Jun 29, 2001","1,648.127"
"Jul 31, 2001","1,625.412"
"Aug 31, 2001","1,637.168"
"Sep 28, 2001","1,299.710"
"Oct 31, 2001","1,311.318"
"Nov 30, 2001","1,410.117"
"Dec 31, 2001","1,560.384"
"Jan 31, 2002","1,748.578"
"Feb 28, 2002","1,680.644"
"Mar 29, 2002","1,765.431"
"Apr 30, 2002","1,710.624"
"May 30, 2002","1,690.806"
"May 31, 2002","1,668.292"
"Jun 03, 2002","1,671.076"
"Jun 04, 2002","1,644.489"
"Jun 05, 2002","1,639.610"
"Jun 06, 2002","1,637.712"
"Jun 07, 2002","1,641.795"
"Jun 10, 2002","1,654.941"
"Jun 11, 2002","1,647.235"
"Jun 12, 2002","1,637.381"
"Jun 13, 2002","1,637.590"
"Jun 14, 2002","1,599.604"
"Jun 17, 2002","1,589.455"
"Jun 18, 2002","1,587.992"
"Jun 19, 2002","1,555.149"
"Jun 20, 2002","1,573.741"
"Jun 21, 2002","1,549.592"
"Jun 24, 2002","1,543.159"
"Jun 25, 2002","1,568.148"
"Jun 26, 2002","1,538.365"
"Jun 27, 2002","1,538.484"
"Jun 28, 2002","1,562.015"
"Jul 01, 2002","1,555.893"
"Jul 02, 2002","1,557.646"
"Jul 03, 2002","1,594.496"
"Jul 04, 2002","1,610.569"
"Jul 05, 2002","1,657.597"
"Jul 08, 2002","1,644.680"
"Jul 09, 2002","1,675.210"
"Jul 10, 2002","1,668.676"
"Jul 11, 2002","1,646.424"
"Jul 12, 2002","1,656.904"
"Jul 15, 2002","1,661.328"
"Jul 16, 2002","1,634.747"
"Jul 17, 2002","1,629.936"
"Jul 18, 2002","1,623.556"
"Jul 19, 2002","1,614.829"
"Jul 22, 2002","1,587.714"
"Jul 23, 2002","1,611.901"
"Jul 24, 2002","1,566.860"
"Jul 25, 2002","1,561.147"
"Jul 26, 2002","1,518.533"
"Jul 29, 2002","1,526.246"
"Jul 30, 2002","1,540.243"
"Jul 31, 2002","1,529.272"
"Aug 01, 2002","1,536.568"
"Aug 02, 2002","1,537.684"
"Aug 05, 2002","1,505.716"
"Aug 06, 2002","1,472.693"
"Aug 07, 2002","1,508.431"
"Aug 08, 2002","1,497.243"
"Aug 09, 2002","1,499.816"
"Aug 12, 2002","1,507.374"
"Aug 13, 2002","1,554.798"
"Aug 14, 2002","1,565.792"
"Aug 15, 2002","1,567.680"
"Aug 16, 2002","1,561.424"
"Aug 19, 2002","1,570.016"
"Aug 20, 2002","1,572.212"
"Aug 21, 2002","1,576.626"
"Aug 22, 2002","1,578.372"
"Aug 23, 2002","1,566.574"
"Aug 26, 2002","1,546.255"
"Aug 27, 2002","1,547.019"
"Aug 28, 2002","1,542.743"
"Aug 29, 2002","1,524.878"
