Index Level :,Price
Currency :,USD


Date,SLOVENIA Standard (Large+Mid Cap) None
"May 31, 2002",186.069
"Jun 03, 2002",187.429
"Jun 04, 2002",196.128
"Jun 05, 2002",193.070
"Jun 06, 2002",193.892
"Jun 07, 2002",193.826
"Jun 10, 2002",193.711
"Jun 11, 2002",193.365
"Jun 12, 2002",193.387
"Jun 13, 2002",187.525
"Jun 14, 2002",187.275
"Jun 17, 2002",187.426
"Jun 18, 2002",193.982
"Jun 19, 2002",196.346
"Jun 20, 2002",197.917
"Jun 21, 2002",199.120
"Jun 24, 2002",200.862
"Jun 25, 2002",199.324
"Jun 26, 2002",202.698
"Jun 27, 2002",198.659
"Jun 28, 2002",203.406
"Jul 01, 2002",200.519
"Jul 02, 2002",199.755
"Jul 03, 2002",198.509
"Jul 04, 2002",193.383
"Jul 05, 2002",194.593
"Jul 08, 2002",195.883
"Jul 09, 2002",196.049
"Jul 10, 2002",195.158
"Jul 11, 2002",187.989
"Jul 12, 2002",186.417
"Jul 15, 2002",189.255
"Jul 16, 2002",190.449
"Jul 17, 2002",191.107
"Jul 18, 2002",192.799
"Jul 19, 2002",193.725
"Jul 22, 2002",184.013
"Jul 23, 2002",180.075
"Jul 24, 2002",179.112
"Jul 25, 2002",180.940
"Jul 26, 2002",178.497
"Jul 29, 2002",164.068
"Jul 30, 2002",190.001
"Jul 31, 2002",189.300
"Aug 01, 2002",190.429
"Aug 02, 2002",191.142
"Aug 05, 2002",190.119
"Aug 06, 2002",186.354
"Aug 07, 2002",188.080
"Aug 08, 2002",188.041
"Aug 09, 2002",188.764
"Aug 12, 2002",189.054
"Aug 13, 2002",183.594
"Aug 14, 2002",185.774
"Aug 15, 2002",184.365
"Aug 16, 2002",185.272
"Aug 19, 2002",177.911
"Aug 20, 2002",179.117
"Aug 21, 2002",179.829
"Aug 22, 2002",185.599
"Aug 23, 2002",192.732
"Aug 26, 2002",200.777
"Aug 27, 2002",197.501
"Aug 28, 2002",194.194
"Aug 29, 2002",204.874
"Aug 30, 2002",200.615
"Sep 02, 2002",192.304
"Sep 03, 2002",187.856
"Sep 04, 2002",190.314
"Sep 05, 2002",191.183
"Sep 06, 2002",196.192
"Sep 09, 2002",192.356
"Sep 10, 2002",194.964
"Sep 11, 2002",194.445
"Sep 12, 2002",195.692
"Sep 13, 2002",196.288
"Sep 16, 2002",184.331
"Sep 17, 2002",193.215
"Sep 18, 2002",195.709
"Sep 19, 2002",192.380
"Sep 20, 2002",189.750
"Sep 23, 2002",188.743
"Sep 24, 2002",189.313
"Sep 25, 2002",186.643
"Sep 26, 2002",186.590
"Sep 27, 2002",177.389
"Sep 30, 2002",192.479
"Oct 01, 2002",185.368
"Oct 02, 2002",184.292
"Oct 03, 2002",184.065
"Oct 04, 2002",183.333
"Oct 07, 2002",182.798
"Oct 08, 2002",180.840
"Oct 09, 2002",180.791
"Oct 10, 2002",178.988
"Oct 11, 2002",180.231
"Oct 14, 2002",181.453
"Oct 15, 2002",181.443
"Oct 16, 2002",182.671
"Oct 17, 2002",180.402
"Oct 18, 2002",181.904
"Oct 21, 2002",187.811
"Oct 22, 2002",190.191
"Oct 23, 2002",190.977
"Oct 24, 2002",190.053
"Oct 25, 2002",186.130
"Oct 28, 2002",189.996
"Oct 29, 2002",190.032
"Oct 30, 2002",191.322
"Oct 31, 2002",192.593
"Nov 01, 2002",193.767
"Nov 04, 2002",194.360
"Nov 05, 2002",190.108
"Nov 06, 2002",190.201
"Nov 07, 2002",191.550
"Nov 08, 2002",197.744
"Nov 11, 2002",196.872
"Nov 12, 2002",195.864
"Nov 13, 2002",194.773
"Nov 14, 2002",194.771
"Nov 15, 2002",195.125
"Nov 18, 2002",196.344
"Nov 19, 2002",196.695
"Nov 20, 2002",194.505
"Nov 21, 2002",193.052
"Nov 22, 2002",193.273
"Nov 25, 2002",192.979
"Nov 26, 2002",194.030
"Nov 27, 2002",193.616
"Nov 28, 2002",194.386
"Nov 29, 2002",192.836
"Dec 02, 2002",187.868
"Dec 03, 2002",184.717
"Dec 04, 2002",185.552
"Dec 05, 2002",187.527
"Dec 06, 2002",189.533
"Dec 09, 2002",186.891
"Dec 10, 2002",188.387
"Dec 11, 2002",188.915
"Dec 12, 2002",190.537
"Dec 13, 2002",190.427
"Dec 16, 2002",189.447
"Dec 17, 2002",192.063
"Dec 18, 2002",191.272
"Dec 19, 2002",190.147
"Dec 20, 2002",191.891
"Dec 23, 2002",192.945
"Dec 24, 2002",195.023
"Dec 25, 2002",195.023
"Dec 26, 2002",195.514
"Dec 27, 2002",194.154
"Dec 30, 2002",197.526
"Dec 31, 2002",198.249
"Jan 01, 2003",198.249
"Jan 02, 2003",195.971
"Jan 03, 2003",196.763
"Jan 06, 2003",195.214
"Jan 07, 2003",191.392
"Jan 08, 2003",189.825
"Jan 09, 2003",193.615
"Jan 10, 2003",196.483
"Jan 13, 2003",196.240
"Jan 14, 2003",197.575
"Jan 15, 2003",197.553
"Jan 16, 2003",198.679
"Jan 17, 2003",199.438
"Jan 20, 2003",199.164
"Jan 21, 2003",200.147
"Jan 22, 2003",200.916
"Jan 23, 2003",203.123
"Jan 24, 2003",204.833
"Jan 27, 2003",200.623
"Jan 28, 2003",200.225
"Jan 29, 2003",199.932
"Jan 30, 2003",197.178
"Jan 31, 2003",196.280
"Feb 03, 2003",197.827
"Feb 04, 2003",199.331
"Feb 05, 2003",199.540
"Feb 06, 2003",199.196
"Feb 07, 2003",199.222
"Feb 10, 2003",197.814
"Feb 11, 2003",196.435
"Feb 12, 2003",197.153
"Feb 13, 2003",198.807
"Feb 14, 2003",197.504
"Feb 17, 2003",196.591
"Feb 18, 2003",195.791
"Feb 19, 2003",197.953
"Feb 20, 2003",198.631
"Feb 21, 2003",200.169
"Feb 24, 2003",198.112
"Feb 25, 2003",196.857
"Feb 26, 2003",196.137
"Feb 27, 2003",193.437
"Feb 28, 2003",194.209
"Mar 03, 2003",197.041
"Mar 04, 2003",198.727
"Mar 05, 2003",199.453
"Mar 06, 2003",198.178
"Mar 07, 2003",198.077
"Mar 10, 2003",197.643
"Mar 11, 2003",194.239
"Mar 12, 2003",192.701
"Mar 13, 2003",191.751
"Mar 14, 2003",191.948
"Mar 17, 2003",187.370
"Mar 18, 2003",190.034
"Mar 19, 2003",189.413
"Mar 20, 2003",190.372
"Mar 21, 2003",189.744
"Mar 24, 2003",192.478
