Index Level :,Price
Currency :,USD


Date,SOUTH AFRICA Standard (Large+Mid Cap) None
"Jan 29, 1993",109.339
"Feb 26, 1993",114.240
"Mar 31, 1993",117.204
"Apr 30, 1993",121.256
"May 31, 1993",127.894
"Jun 30, 1993",128.263
"Jul 30, 1993",138.076
"Aug 31, 1993",125.848
"Sep 30, 1993",134.224
"Oct 29, 1993",139.742
"Nov 30, 1993",138.992
"Dec 31, 1993",168.545
"Jan 31, 1994",159.276
"Feb 28, 1994",153.580
"Mar 31, 1994",148.307
"Apr 29, 1994",176.144
"May 31, 1994",169.108
"Jun 30, 1994",169.146
"Jul 29, 1994",180.689
"Aug 31, 1994",192.423
"Sep 30, 1994",198.040
"Oct 31, 1994",213.832
"Nov 30, 1994",210.801
"Dec 30, 1994",217.256
"Jan 31, 1995",184.933
"Feb 28, 1995",198.762
"Mar 31, 1995",225.404
"Apr 28, 1995",230.599
"May 31, 1995",224.401
"Jun 30, 1995",224.693
"Jul 31, 1995",227.733
"Aug 31, 1995",229.085
"Sep 29, 1995",233.828
"Oct 31, 1995",238.770
"Nov 30, 1995",243.828
"Dec 29, 1995",254.871
"Jan 31, 1996",277.329
"Feb 29, 1996",255.112
"Mar 29, 1996",249.501
"Apr 30, 1996",238.814
"May 31, 1996",232.611
"Jun 28, 1996",234.051
"Jul 31, 1996",214.691
"Aug 30, 1996",216.727
"Sep 30, 1996",218.322
"Oct 31, 1996",213.742
"Nov 29, 1996",209.354
"Dec 31, 1996",203.652
"Jan 31, 1997",210.230
"Feb 28, 1997",229.337
"Mar 31, 1997",231.276
"Apr 30, 1997",231.376
"May 30, 1997",225.519
"Jun 30, 1997",234.273
"Jul 31, 1997",236.240
"Aug 29, 1997",225.860
"Sep 30, 1997",220.762
"Oct 31, 1997",196.359
"Nov 28, 1997",186.874
"Dec 31, 1997",182.095
"Jan 30, 1998",189.786
"Feb 27, 1998",198.939
"Mar 31, 1998",211.284
"Apr 30, 1998",229.837
"May 29, 1998",202.250
"Jun 30, 1998",154.398
"Jul 31, 1998",151.767
"Aug 31, 1998",104.956
"Sep 30, 1998",122.626
"Oct 30, 1998",146.411
"Nov 30, 1998",140.570
"Dec 31, 1998",127.752
"Jan 29, 1999",134.713
"Feb 26, 1999",133.897
"Mar 31, 1999",143.422
"Apr 30, 1999",160.446
"May 31, 1999",143.205
"Jun 30, 1999",164.487
"Jul 30, 1999",159.050
"Aug 31, 1999",156.918
"Sep 30, 1999",158.379
"Oct 29, 1999",164.981
"Nov 30, 1999",173.006
"Dec 31, 1999",196.005
"Jan 31, 2000",190.681
"Feb 29, 2000",185.402
"Mar 31, 2000",175.980
"Apr 28, 2000",159.556
"May 31, 2000",154.970
"Jun 30, 2000",164.336
"Jul 31, 2000",160.693
"Aug 31, 2000",177.299
"Sep 29, 2000",165.923
"Oct 31, 2000",152.160
"Nov 30, 2000",141.529
"Dec 29, 2000",157.581
"Jan 31, 2001",166.980
"Feb 28, 2001",167.416
"Mar 30, 2001",142.682
"Apr 30, 2001",159.126
"May 31, 2001",168.291
"Jun 29, 2001",161.758
"Jul 31, 2001",142.648
"Aug 31, 2001",148.626
"Sep 28, 2001",125.067
"Oct 31, 2001",127.395
"Nov 30, 2001",130.796
"Dec 31, 2001",125.632
"Jan 31, 2002",131.037
"Feb 28, 2002",137.868
"Mar 29, 2002",139.093
"Apr 30, 2002",150.951
"May 30, 2002",167.656
"May 31, 2002",166.091
"Jun 03, 2002",168.987
"Jun 04, 2002",171.419
"Jun 05, 2002",165.428
"Jun 06, 2002",165.321
"Jun 07, 2002",163.738
"Jun 10, 2002",161.250
"Jun 11, 2002",159.027
"Jun 12, 2002",159.865
"Jun 13, 2002",154.791
"Jun 14, 2002",151.625
"Jun 17, 2002",149.653
"Jun 18, 2002",154.263
"Jun 19, 2002",153.708
"Jun 20, 2002",153.599
"Jun 21, 2002",153.044
"Jun 24, 2002",151.783
"Jun 25, 2002",149.846
"Jun 26, 2002",146.157
"Jun 27, 2002",146.576
"Jun 28, 2002",149.195
"Jul 01, 2002",152.039
"Jul 02, 2002",150.304
"Jul 03, 2002",145.737
"Jul 04, 2002",146.391
"Jul 05, 2002",150.291
"Jul 08, 2002",150.347
"Jul 09, 2002",151.560
"Jul 10, 2002",148.978
"Jul 11, 2002",145.319
"Jul 12, 2002",146.705
"Jul 15, 2002",146.081
"Jul 16, 2002",145.261
"Jul 17, 2002",145.534
"Jul 18, 2002",149.810
"Jul 19, 2002",148.230
"Jul 22, 2002",141.975
"Jul 23, 2002",136.446
"Jul 24, 2002",130.424
"Jul 25, 2002",134.991
"Jul 26, 2002",131.035
"Jul 29, 2002",130.458
"Jul 30, 2002",132.859
"Jul 31, 2002",125.478
"Aug 01, 2002",125.345
"Aug 02, 2002",124.141
"Aug 05, 2002",118.667
"Aug 06, 2002",119.101
"Aug 07, 2002",122.741
"Aug 08, 2002",125.230
"Aug 09, 2002",124.727
"Aug 12, 2002",125.452
"Aug 13, 2002",124.110
"Aug 14, 2002",124.274
"Aug 15, 2002",124.934
"Aug 16, 2002",123.959
"Aug 19, 2002",123.878
"Aug 20, 2002",122.753
"Aug 21, 2002",123.692
"Aug 22, 2002",125.531
"Aug 23, 2002",126.878
"Aug 26, 2002",125.006
"Aug 27, 2002",130.305
"Aug 28, 2002",128.905
"Aug 29, 2002",127.183
"Aug 30, 2002",129.424
"Sep 02, 2002",129.203
"Sep 03, 2002",124.191
"Sep 04, 2002",124.014
"Sep 05, 2002",123.937
"Sep 06, 2002",126.572
"Sep 09, 2002",129.305
"Sep 10, 2002",130.678
"Sep 11, 2002",132.127
"Sep 12, 2002",131.627
"Sep 13, 2002",129.353
"Sep 16, 2002",128.769
"Sep 17, 2002",130.077
"Sep 18, 2002",127.768
"Sep 19, 2002",126.861
"Sep 20, 2002",127.639
"Sep 23, 2002",126.401
"Sep 24, 2002",126.150
"Sep 25, 2002",127.538
"Sep 26, 2002",129.808
"Sep 27, 2002",131.365
"Sep 30, 2002",128.563
"Oct 01, 2002",130.986
"Oct 02, 2002",131.044
"Oct 03, 2002",131.269
"Oct 04, 2002",132.104
"Oct 07, 2002",127.896
"Oct 08, 2002",126.707
"Oct 09, 2002",125.131
"Oct 10, 2002",125.030
"Oct 11, 2002",128.278
"Oct 14, 2002",128.257
"Oct 15, 2002",131.620
"Oct 16, 2002",129.900
"Oct 17, 2002",131.909
