Index Level :,Price
Currency :,USD


Date,SPAIN Standard (Large+Mid Cap) None
"Jan 29, 1993",119.857
"Feb 26, 1993",118.482
"Mar 31, 1993",125.513
"Apr 30, 1993",125.885
"May 31, 1993",122.995
"Jun 30, 1993",122.164
"Jul 30, 1993",114.296
"Aug 31, 1993",138.744
"Sep 30, 1993",134.577
"Oct 29, 1993",142.566
"Nov 30, 1993",128.988
"Dec 31, 1993",139.133
"Jan 31, 1994",155.957
"Feb 28, 1994",148.221
"Mar 31, 1994",141.173
"Apr 29, 1994",144.244
"May 31, 1994",143.764
"Jun 30, 1994",135.486
"Jul 29, 1994",143.273
"Aug 31, 1994",141.333
"Sep 30, 1994",136.901
"Oct 31, 1994",140.566
"Nov 30, 1994",137.811
"Dec 30, 1994",128.854
"Jan 31, 1995",127.371
"Feb 28, 1995",130.182
"Mar 31, 1995",127.158
"Apr 28, 1995",137.332
"May 31, 1995",143.450
"Jun 30, 1995",145.208
"Jul 31, 1995",155.474
"Aug 31, 1995",149.917
"Sep 29, 1995",149.812
"Oct 31, 1995",144.759
"Nov 30, 1995",155.437
"Dec 29, 1995",162.300
"Jan 31, 1996",163.287
"Feb 29, 1996",173.790
"Mar 29, 1996",170.894
"Apr 30, 1996",177.103
"May 31, 1996",175.347
"Jun 28, 1996",182.328
"Jul 31, 1996",173.595
"Aug 30, 1996",176.910
"Sep 30, 1996",180.872
"Oct 31, 1996",186.134
"Nov 29, 1996",201.436
"Dec 31, 1996",221.466
"Jan 31, 1997",217.376
"Feb 28, 1997",209.310
"Mar 31, 1997",217.390
"Apr 30, 1997",229.673
"May 30, 1997",247.010
"Jun 30, 1997",264.680
"Jul 31, 1997",249.538
"Aug 29, 1997",244.045
"Sep 30, 1997",278.685
"Oct 31, 1997",251.531
"Nov 28, 1997",266.160
"Dec 31, 1997",272.582
"Jan 30, 1998",294.047
"Feb 27, 1998",331.360
"Mar 31, 1998",375.070
"Apr 30, 1998",385.914
"May 29, 1998",388.488
"Jun 30, 1998",389.592
"Jul 31, 1998",411.357
"Aug 31, 1998",321.900
"Sep 30, 1998",315.061
"Oct 30, 1998",365.526
"Nov 30, 1998",390.797
"Dec 31, 1998",403.068
"Jan 29, 1999",395.852
"Feb 26, 1999",387.920
"Mar 31, 1999",373.192
"Apr 30, 1999",374.551
"May 31, 1999",372.822
"Jun 30, 1999",374.268
"Jul 30, 1999",357.469
"Aug 31, 1999",365.951
"Sep 30, 1999",360.303
"Oct 29, 1999",364.066
"Nov 30, 1999",395.016
"Dec 31, 1999",417.281
"Jan 31, 2000",384.478
"Feb 29, 2000",422.502
"Mar 31, 2000",421.338
"Apr 28, 2000",390.554
"May 31, 2000",378.543
"Jun 30, 2000",388.632
"Jul 31, 2000",378.069
"Aug 31, 2000",370.293
"Sep 29, 2000",373.656
"Oct 31, 2000",345.871
"Nov 30, 2000",320.431
"Dec 29, 2000",347.071
"Jan 31, 2001",378.550
"Feb 28, 2001",357.104
"Mar 30, 2001",337.201
"Apr 30, 2001",353.047
"May 31, 2001",329.193
"Jun 29, 2001",305.612
"Jul 31, 2001",302.341
"Aug 31, 2001",307.567
"Sep 28, 2001",272.533
"Oct 31, 2001",284.184
"Nov 30, 2001",303.148
"Dec 31, 2001",302.699
"Jan 31, 2002",278.344
"Feb 28, 2002",282.296
"Mar 29, 2002",288.111
"Apr 30, 2002",295.289
"May 30, 2002",294.775
"May 31, 2002",296.601
"Jun 03, 2002",295.882
"Jun 04, 2002",288.219
"Jun 05, 2002",284.478
"Jun 06, 2002",284.880
"Jun 07, 2002",281.069
"Jun 10, 2002",280.929
"Jun 11, 2002",282.783
"Jun 12, 2002",277.019
"Jun 13, 2002",273.056
"Jun 14, 2002",267.379
"Jun 17, 2002",274.178
"Jun 18, 2002",276.594
"Jun 19, 2002",272.977
"Jun 20, 2002",269.623
"Jun 21, 2002",265.300
"Jun 24, 2002",256.623
"Jun 25, 2002",259.525
"Jun 26, 2002",261.237
"Jun 27, 2002",259.766
"Jun 28, 2002",269.278
"Jul 01, 2002",268.481
"Jul 02, 2002",260.332
"Jul 03, 2002",254.478
"Jul 04, 2002",257.805
"Jul 05, 2002",273.206
"Jul 08, 2002",279.567
"Jul 09, 2002",274.961
"Jul 10, 2002",267.922
"Jul 11, 2002",260.004
"Jul 12, 2002",263.312
"Jul 15, 2002",254.793
"Jul 16, 2002",256.362
"Jul 17, 2002",266.226
"Jul 18, 2002",269.798
"Jul 19, 2002",257.469
"Jul 22, 2002",248.549
"Jul 23, 2002",241.311
"Jul 24, 2002",235.446
"Jul 25, 2002",250.860
"Jul 26, 2002",247.271
"Jul 29, 2002",258.419
"Jul 30, 2002",245.312
"Jul 31, 2002",239.591
"Aug 01, 2002",232.757
"Aug 02, 2002",236.268
"Aug 05, 2002",230.035
"Aug 06, 2002",233.605
"Aug 07, 2002",232.058
"Aug 08, 2002",245.189
"Aug 09, 2002",246.494
"Aug 12, 2002",240.086
"Aug 13, 2002",241.852
"Aug 14, 2002",236.764
"Aug 15, 2002",235.000
"Aug 16, 2002",245.219
"Aug 19, 2002",254.213
"Aug 20, 2002",249.959
"Aug 21, 2002",253.533
"Aug 22, 2002",257.331
"Aug 23, 2002",253.806
"Aug 26, 2002",251.149
"Aug 27, 2002",260.686
"Aug 28, 2002",251.413
"Aug 29, 2002",248.169
"Aug 30, 2002",249.835
"Sep 02, 2002",246.764
"Sep 03, 2002",241.608
"Sep 04, 2002",241.888
"Sep 05, 2002",238.163
"Sep 06, 2002",244.276
"Sep 09, 2002",238.052
"Sep 10, 2002",242.558
"Sep 11, 2002",250.381
"Sep 12, 2002",241.321
"Sep 13, 2002",237.446
"Sep 16, 2002",233.293
"Sep 17, 2002",232.627
"Sep 18, 2002",227.396
"Sep 19, 2002",225.275
"Sep 20, 2002",222.235
"Sep 23, 2002",214.761
"Sep 24, 2002",206.606
"Sep 25, 2002",208.369
"Sep 26, 2002",217.960
"Sep 27, 2002",215.151
"Sep 30, 2002",209.397
"Oct 01, 2002",206.353
"Oct 02, 2002",216.341
"Oct 03, 2002",214.678
"Oct 04, 2002",210.987
"Oct 07, 2002",209.743
"Oct 08, 2002",208.318
"Oct 09, 2002",206.864
"Oct 10, 2002",209.818
"Oct 11, 2002",218.207
"Oct 14, 2002",215.636
"Oct 15, 2002",227.028
"Oct 16, 2002",226.130
"Oct 17, 2002",230.112
"Oct 18, 2002",229.221
