Index Level :,Price
Currency :,USD


Date,SRI LANKA Standard (Large+Mid Cap) None
"Jan 29, 1993",91.648
"Feb 26, 1993",93.236
"Mar 31, 1993",93.096
"Apr 30, 1993",88.750
"May 31, 1993",93.711
"Jun 30, 1993",102.902
"Jul 30, 1993",116.105
"Aug 31, 1993",117.591
"Sep 30, 1993",122.627
"Oct 29, 1993",140.143
"Nov 30, 1993",160.242
"Dec 31, 1993",163.240
"Jan 31, 1994",190.189
"Feb 28, 1994",230.211
"Mar 31, 1994",197.549
"Apr 29, 1994",172.271
"May 31, 1994",167.664
"Jun 30, 1994",165.741
"Jul 29, 1994",167.953
"Aug 31, 1994",176.020
"Sep 30, 1994",192.000
"Oct 31, 1994",181.746
"Nov 30, 1994",174.499
"Dec 30, 1994",156.853
"Jan 31, 1995",150.566
"Feb 28, 1995",127.424
"Mar 31, 1995",129.862
"Apr 28, 1995",113.802
"May 31, 1995",111.550
"Jun 30, 1995",123.332
"Jul 31, 1995",123.639
"Aug 31, 1995",118.874
"Sep 29, 1995",106.822
"Oct 31, 1995",108.701
"Nov 30, 1995",102.914
"Dec 29, 1995",105.617
"Jan 31, 1996",110.619
"Feb 29, 1996",112.549
"Mar 29, 1996",112.546
"Apr 30, 1996",103.033
"May 31, 1996",99.455
"Jun 28, 1996",88.246
"Jul 31, 1996",82.040
"Aug 30, 1996",81.727
"Sep 30, 1996",84.202
"Oct 31, 1996",87.750
"Nov 29, 1996",89.408
"Dec 31, 1996",88.384
"Jan 31, 1997",89.353
"Feb 28, 1997",91.764
"Mar 31, 1997",91.598
"Apr 30, 1997",105.707
"May 30, 1997",104.437
"Jun 30, 1997",118.585
"Jul 31, 1997",133.917
"Aug 29, 1997",120.597
"Sep 30, 1997",115.803
"Oct 31, 1997",105.355
"Nov 28, 1997",95.478
"Dec 31, 1997",98.567
"Jan 30, 1998",92.893
"Feb 27, 1998",99.178
"Mar 31, 1998",103.085
"Apr 30, 1998",114.218
"May 29, 1998",90.226
"Jun 30, 1998",68.980
"Jul 31, 1998",73.425
"Aug 31, 1998",54.955
"Sep 30, 1998",55.140
"Oct 30, 1998",55.001
"Nov 30, 1998",67.432
"Dec 31, 1998",71.658
"Jan 29, 1999",65.186
"Feb 26, 1999",62.722
"Mar 31, 1999",56.147
"Apr 30, 1999",57.927
"May 31, 1999",59.235
"Jun 30, 1999",53.823
"Jul 30, 1999",66.591
"Aug 31, 1999",61.747
"Sep 30, 1999",60.807
"Oct 29, 1999",56.797
"Nov 30, 1999",60.715
"Dec 31, 1999",64.684
"Jan 31, 2000",59.905
"Feb 29, 2000",57.816
"Mar 31, 2000",49.865
"Apr 28, 2000",47.527
"May 31, 2000",47.083
"Jun 30, 2000",51.880
"Jul 31, 2000",50.317
"Aug 31, 2000",46.649
"Sep 29, 2000",48.518
"Oct 31, 2000",44.479
"Nov 30, 2000",34.465
"Dec 29, 2000",36.284
"Jan 31, 2001",32.808
"Feb 28, 2001",34.757
"Mar 30, 2001",31.904
"Apr 30, 2001",29.853
"May 31, 2001",29.873
"Jun 29, 2001",30.221
"Jul 31, 2001",29.593
"Aug 31, 2001",28.703
"Sep 28, 2001",27.563
"Oct 31, 2001",40.908
"Nov 30, 2001",40.622
"Dec 31, 2001",49.377
"Jan 31, 2002",41.751
"Feb 28, 2002",45.969
"Mar 29, 2002",46.525
"Apr 30, 2002",47.697
"May 31, 2002",54.765
"Jun 25, 2002",57.770
"Jun 26, 2002",56.870
"Jun 27, 2002",56.111
"Jun 28, 2002",57.118
"Jul 01, 2002",57.522
"Jul 02, 2002",57.753
"Jul 03, 2002",57.880
"Jul 04, 2002",57.810
"Jul 05, 2002",57.217
"Jul 08, 2002",57.257
"Jul 09, 2002",57.274
"Jul 10, 2002",57.716
"Jul 11, 2002",58.611
"Jul 12, 2002",58.124
"Jul 15, 2002",56.883
"Jul 16, 2002",57.461
"Jul 17, 2002",57.347
"Jul 18, 2002",57.116
"Jul 19, 2002",57.512
"Jul 22, 2002",57.798
"Jul 23, 2002",57.798
"Jul 24, 2002",58.102
"Jul 25, 2002",58.049
"Jul 26, 2002",57.462
"Jul 29, 2002",56.904
"Jul 30, 2002",55.643
"Jul 31, 2002",55.909
"Aug 01, 2002",55.702
"Aug 02, 2002",53.966
"Aug 05, 2002",51.691
"Aug 06, 2002",49.320
"Aug 07, 2002",51.750
"Aug 08, 2002",50.414
"Aug 09, 2002",52.960
"Aug 12, 2002",52.700
"Aug 13, 2002",52.682
"Aug 14, 2002",54.979
"Aug 15, 2002",56.918
"Aug 16, 2002",57.415
"Aug 19, 2002",57.841
"Aug 20, 2002",59.554
"Aug 21, 2002",59.940
"Aug 22, 2002",59.940
"Aug 23, 2002",59.793
"Aug 26, 2002",61.098
"Aug 27, 2002",60.868
"Aug 28, 2002",60.523
"Aug 29, 2002",60.201
"Aug 30, 2002",62.379
"Sep 02, 2002",61.360
"Sep 03, 2002",61.150
"Sep 04, 2002",62.909
"Sep 05, 2002",64.091
"Sep 06, 2002",63.570
"Sep 09, 2002",64.874
"Sep 10, 2002",64.953
"Sep 11, 2002",63.489
"Sep 12, 2002",63.572
"Sep 13, 2002",64.211
"Sep 16, 2002",64.892
"Sep 17, 2002",65.921
"Sep 18, 2002",66.607
"Sep 19, 2002",67.146
"Sep 20, 2002",67.146
"Sep 23, 2002",66.775
"Sep 24, 2002",67.159
"Sep 25, 2002",69.251
"Sep 26, 2002",69.307
"Sep 27, 2002",69.547
"Sep 30, 2002",69.675
"Oct 01, 2002",68.756
"Oct 02, 2002",66.847
"Oct 03, 2002",67.801
"Oct 04, 2002",67.336
"Oct 07, 2002",66.049
"Oct 08, 2002",66.211
"Oct 09, 2002",66.370
"Oct 10, 2002",66.325
"Oct 11, 2002",66.077
"Oct 14, 2002",65.219
"Oct 15, 2002",65.387
"Oct 16, 2002",64.698
"Oct 17, 2002",63.334
"Oct 18, 2002",60.739
"Oct 21, 2002",58.617
"Oct 22, 2002",61.329
"Oct 23, 2002",61.496
"Oct 24, 2002",60.930
"Oct 25, 2002",62.172
"Oct 28, 2002",63.598
"Oct 29, 2002",64.367
"Oct 30, 2002",65.489
"Oct 31, 2002",65.043
"Nov 01, 2002",64.772
"Nov 04, 2002",64.772
"Nov 05, 2002",65.435
"Nov 06, 2002",66.007
"Nov 07, 2002",64.746
"Nov 08, 2002",63.733
"Nov 11, 2002",62.923
