Index Level :,Price
Currency :,USD


Date,SWEDEN Standard (Large+Mid Cap) None
"Jan 29, 1993",817.099
"Feb 26, 1993",846.241
"Mar 31, 1993",853.968
"Apr 30, 1993",937.265
"May 31, 1993","1,034.763"
"Jun 30, 1993",962.170
"Jul 30, 1993",987.614
"Aug 31, 1993","1,078.902"
"Sep 30, 1993","1,094.858"
"Oct 29, 1993","1,196.814"
"Nov 30, 1993","1,053.245"
"Dec 31, 1993","1,162.581"
"Jan 31, 1994","1,361.992"
"Feb 28, 1994","1,296.825"
"Mar 31, 1994","1,215.534"
"Apr 29, 1994","1,314.041"
"May 31, 1994","1,294.951"
"Jun 30, 1994","1,226.394"
"Jul 29, 1994","1,306.973"
"Aug 31, 1994","1,299.715"
"Sep 30, 1994","1,302.779"
"Oct 31, 1994","1,426.172"
"Nov 30, 1994","1,386.073"
"Dec 30, 1994","1,363.341"
"Jan 31, 1995","1,369.935"
"Feb 28, 1995","1,391.859"
"Mar 31, 1995","1,367.907"
"Apr 28, 1995","1,490.522"
"May 31, 1995","1,510.602"
"Jun 30, 1995","1,575.973"
"Jul 31, 1995","1,683.702"
"Aug 31, 1995","1,636.990"
"Sep 29, 1995","1,861.206"
"Oct 31, 1995","1,779.864"
"Nov 30, 1995","1,838.829"
"Dec 29, 1995","1,795.653"
"Jan 31, 1996","1,750.253"
"Feb 29, 1996","1,919.030"
"Mar 29, 1996","1,961.223"
"Apr 30, 1996","1,937.426"
"May 31, 1996","2,021.118"
"Jun 28, 1996","2,045.665"
"Jul 31, 1996","1,959.141"
"Aug 30, 1996","2,087.534"
"Sep 30, 1996","2,171.637"
"Oct 31, 1996","2,263.818"
"Nov 29, 1996","2,413.528"
"Dec 31, 1996","2,430.940"
"Jan 31, 1997","2,485.120"
"Feb 28, 1997","2,472.237"
"Mar 31, 1997","2,586.095"
"Apr 30, 1997","2,367.238"
"May 30, 1997","2,549.683"
"Jun 30, 1997","2,768.938"
"Jul 31, 1997","2,895.738"
"Aug 29, 1997","2,736.077"
"Sep 30, 1997","3,060.328"
"Oct 31, 1997","2,750.587"
"Nov 28, 1997","2,812.010"
"Dec 31, 1997","2,713.367"
"Jan 30, 1998","2,780.631"
"Feb 27, 1998","3,039.505"
"Mar 31, 1998","3,249.911"
"Apr 30, 1998","3,407.120"
"May 29, 1998","3,507.659"
"Jun 30, 1998","3,482.593"
"Jul 31, 1998","3,463.455"
"Aug 31, 1998","2,930.668"
"Sep 30, 1998","2,672.236"
"Oct 30, 1998","2,839.743"
"Nov 30, 1998","3,106.423"
"Dec 31, 1998","3,055.784"
"Jan 29, 1999","3,233.108"
"Feb 26, 1999","3,151.807"
"Mar 31, 1999","3,210.598"
"Apr 30, 1999","3,389.020"
"May 31, 1999","3,313.174"
"Jun 30, 1999","3,628.641"
"Jul 30, 1999","3,771.201"
"Aug 31, 1999","3,750.412"
"Sep 30, 1999","3,722.737"
"Oct 29, 1999","4,146.432"
"Nov 30, 1999","4,587.956"
"Dec 31, 1999","5,432.062"
"Jan 31, 2000","5,468.388"
"Feb 29, 2000","6,715.857"
"Mar 31, 2000","6,382.733"
"Apr 28, 2000","6,313.566"
"May 31, 2000","6,030.939"
"Jun 30, 2000","5,929.517"
"Jul 31, 2000","5,715.626"
"Aug 31, 2000","5,642.796"
"Sep 29, 2000","4,902.427"
"Oct 31, 2000","4,568.887"
"Nov 30, 2000","4,116.250"
"Dec 29, 2000","4,240.383"
"Jan 31, 2001","4,570.124"
"Feb 28, 2001","3,826.390"
"Mar 30, 2001","2,966.406"
"Apr 30, 2001","3,374.646"
"May 31, 2001","3,187.144"
"Jun 29, 2001","3,009.945"
"Jul 31, 2001","3,036.441"
"Aug 31, 2001","2,864.912"
"Sep 28, 2001","2,402.671"
"Oct 31, 2001","2,585.647"
"Nov 30, 2001","2,964.097"
"Dec 31, 2001","3,046.858"
"Jan 31, 2002","2,756.637"
"Feb 28, 2002","2,815.417"
"Mar 29, 2002","2,923.033"
"Apr 30, 2002","2,600.448"
"May 30, 2002","2,570.699"
"May 31, 2002","2,562.350"
"Jun 03, 2002","2,573.676"
"Jun 04, 2002","2,533.062"
"Jun 05, 2002","2,536.198"
"Jun 06, 2002","2,526.688"
"Jun 07, 2002","2,465.062"
"Jun 10, 2002","2,478.984"
"Jun 11, 2002","2,463.529"
"Jun 12, 2002","2,416.370"
"Jun 13, 2002","2,432.061"
"Jun 14, 2002","2,391.329"
"Jun 17, 2002","2,428.670"
"Jun 18, 2002","2,457.787"
"Jun 19, 2002","2,432.067"
"Jun 20, 2002","2,346.489"
"Jun 21, 2002","2,360.993"
"Jun 24, 2002","2,317.267"
"Jun 25, 2002","2,388.663"
"Jun 26, 2002","2,396.963"
"Jun 27, 2002","2,432.579"
"Jun 28, 2002","2,495.962"
"Jul 01, 2002","2,506.854"
"Jul 02, 2002","2,470.270"
"Jul 03, 2002","2,373.244"
"Jul 04, 2002","2,396.218"
"Jul 05, 2002","2,464.839"
"Jul 08, 2002","2,485.467"
"Jul 09, 2002","2,467.649"
"Jul 10, 2002","2,386.667"
"Jul 11, 2002","2,282.839"
"Jul 12, 2002","2,285.703"
"Jul 15, 2002","2,269.091"
"Jul 16, 2002","2,260.691"
"Jul 17, 2002","2,337.439"
"Jul 18, 2002","2,330.781"
"Jul 19, 2002","2,243.262"
"Jul 22, 2002","2,098.376"
"Jul 23, 2002","1,993.129"
"Jul 24, 2002","1,899.218"
"Jul 25, 2002","2,013.516"
"Jul 26, 2002","1,908.476"
"Jul 29, 2002","2,068.735"
"Jul 30, 2002","2,117.459"
"Jul 31, 2002","2,130.914"
"Aug 01, 2002","2,079.222"
"Aug 02, 2002","2,012.779"
"Aug 05, 2002","1,926.031"
"Aug 06, 2002","1,942.610"
"Aug 07, 2002","1,976.076"
"Aug 08, 2002","2,013.205"
"Aug 09, 2002","2,000.207"
"Aug 12, 2002","2,027.742"
"Aug 13, 2002","2,046.590"
"Aug 14, 2002","2,024.500"
"Aug 15, 2002","2,051.091"
"Aug 16, 2002","2,034.979"
"Aug 19, 2002","2,064.300"
"Aug 20, 2002","2,084.571"
"Aug 21, 2002","2,173.672"
"Aug 22, 2002","2,257.142"
"Aug 23, 2002","2,174.589"
"Aug 26, 2002","2,149.933"
"Aug 27, 2002","2,174.160"
"Aug 28, 2002","2,149.317"
"Aug 29, 2002","2,132.386"
"Aug 30, 2002","2,119.566"
