Index Level :,Price
Currency :,USD


Date,SWITZERLAND Standard (Large+Mid Cap) None
"Jan 29, 1993",738.550
"Feb 26, 1993",730.410
"Mar 31, 1993",776.525
"Apr 30, 1993",796.246
"May 31, 1993",855.567
"Jun 30, 1993",855.179
"Jul 30, 1993",851.200
"Aug 31, 1993",909.680
"Sep 30, 1993",939.285
"Oct 29, 1993",990.962
"Nov 30, 1993",996.429
"Dec 31, 1993","1,076.401"
"Jan 31, 1994","1,174.643"
"Feb 28, 1994","1,104.589"
"Mar 31, 1994","1,090.471"
"Apr 29, 1994","1,074.000"
"May 31, 1994","1,074.277"
"Jun 30, 1994","1,083.561"
"Jul 29, 1994","1,057.297"
"Aug 31, 1994","1,100.336"
"Sep 30, 1994","1,091.791"
"Oct 31, 1994","1,100.865"
"Nov 30, 1994","1,076.248"
"Dec 30, 1994","1,101.838"
"Jan 31, 1995","1,091.583"
"Feb 28, 1995","1,155.567"
"Mar 31, 1995","1,228.239"
"Apr 28, 1995","1,250.251"
"May 31, 1995","1,307.505"
"Jun 30, 1995","1,344.453"
"Jul 31, 1995","1,356.666"
"Aug 31, 1995","1,322.026"
"Sep 29, 1995","1,435.119"
"Oct 31, 1995","1,493.983"
"Nov 30, 1995","1,511.459"
"Dec 29, 1995","1,569.260"
"Jan 31, 1996","1,473.528"
"Feb 29, 1996","1,537.655"
"Mar 29, 1996","1,670.836"
"Apr 30, 1996","1,604.026"
"May 31, 1996","1,548.766"
"Jun 28, 1996","1,624.286"
"Jul 31, 1996","1,590.006"
"Aug 30, 1996","1,657.494"
"Sep 30, 1996","1,616.071"
"Oct 31, 1996","1,609.883"
"Nov 29, 1996","1,622.175"
"Dec 31, 1996","1,588.681"
"Jan 31, 1997","1,634.927"
"Feb 28, 1997","1,654.120"
"Mar 31, 1997","1,748.966"
"Apr 30, 1997","1,790.099"
"May 30, 1997","1,922.399"
"Jun 30, 1997","2,077.919"
"Jul 31, 1997","2,107.767"
"Aug 29, 1997","1,910.667"
"Sep 30, 1997","2,105.049"
"Oct 31, 1997","2,090.893"
"Nov 28, 1997","2,155.115"
"Dec 31, 1997","2,274.205"
"Jan 30, 1998","2,359.569"
"Feb 27, 1998","2,582.194"
"Mar 31, 1998","2,636.355"
"Apr 30, 1998","2,620.984"
"May 29, 1998","2,731.565"
"Jun 30, 1998","2,730.350"
"Jul 31, 1998","2,928.258"
"Aug 31, 1998","2,467.860"
"Sep 30, 1998","2,251.898"
"Oct 30, 1998","2,576.739"
"Nov 30, 1998","2,702.007"
"Dec 31, 1998","2,787.597"
"Jan 29, 1999","2,720.394"
"Feb 26, 1999","2,629.952"
"Mar 31, 1999","2,598.769"
"Apr 30, 1999","2,590.106"
"May 31, 1999","2,457.376"
"Jun 30, 1999","2,415.279"
"Jul 30, 1999","2,508.581"
"Aug 31, 1999","2,503.820"
"Sep 30, 1999","2,495.997"
"Oct 29, 1999","2,539.610"
"Nov 30, 1999","2,518.337"
"Dec 31, 1999","2,569.874"
"Jan 31, 2000","2,285.786"
"Feb 29, 2000","2,233.198"
"Mar 31, 2000","2,411.897"
"Apr 28, 2000","2,327.450"
"May 31, 2000","2,453.480"
"Jun 30, 2000","2,545.787"
"Jul 31, 2000","2,551.939"
"Aug 31, 2000","2,492.612"
"Sep 29, 2000","2,353.427"
"Oct 31, 2000","2,371.941"
"Nov 30, 2000","2,469.376"
"Dec 29, 2000","2,695.262"
"Jan 31, 2001","2,638.189"
"Feb 28, 2001","2,463.958"
"Mar 30, 2001","2,215.944"
"Apr 30, 2001","2,260.932"
"May 31, 2001","2,229.926"
"Jun 29, 2001","2,139.881"
"Jul 31, 2001","2,119.243"
"Aug 31, 2001","2,111.361"
"Sep 28, 2001","2,013.916"
"Oct 31, 2001","2,018.412"
"Nov 30, 2001","2,062.364"
"Dec 31, 2001","2,103.993"
"Jan 31, 2002","1,987.217"
"Feb 28, 2002","2,044.598"
"Mar 29, 2002","2,170.341"
"Apr 30, 2002","2,222.473"
"May 30, 2002","2,300.770"
"May 31, 2002","2,302.691"
"Jun 03, 2002","2,296.257"
"Jun 04, 2002","2,262.558"
"Jun 05, 2002","2,239.043"
"Jun 06, 2002","2,240.635"
"Jun 07, 2002","2,208.614"
"Jun 10, 2002","2,210.126"
"Jun 11, 2002","2,220.933"
"Jun 12, 2002","2,161.278"
"Jun 13, 2002","2,129.707"
"Jun 14, 2002","2,113.596"
"Jun 17, 2002","2,162.549"
"Jun 18, 2002","2,144.129"
"Jun 19, 2002","2,131.819"
"Jun 20, 2002","2,088.389"
"Jun 21, 2002","2,101.758"
"Jun 24, 2002","2,053.385"
"Jun 25, 2002","2,104.163"
"Jun 26, 2002","2,091.572"
"Jun 27, 2002","2,105.244"
"Jun 28, 2002","2,211.045"
"Jul 01, 2002","2,211.862"
"Jul 02, 2002","2,170.078"
"Jul 03, 2002","2,105.084"
"Jul 04, 2002","2,150.041"
"Jul 05, 2002","2,200.233"
"Jul 08, 2002","2,217.853"
"Jul 09, 2002","2,216.147"
"Jul 10, 2002","2,133.563"
"Jul 11, 2002","2,057.203"
"Jul 12, 2002","2,088.559"
"Jul 15, 2002","2,031.370"
"Jul 16, 2002","1,992.489"
"Jul 17, 2002","2,017.680"
"Jul 18, 2002","2,010.167"
"Jul 19, 2002","1,913.413"
"Jul 22, 2002","1,805.353"
"Jul 23, 2002","1,754.089"
"Jul 24, 2002","1,760.275"
"Jul 25, 2002","1,879.438"
"Jul 26, 2002","1,901.125"
"Jul 29, 2002","1,960.253"
"Jul 30, 2002","1,961.275"
"Jul 31, 2002","1,945.233"
"Aug 01, 2002","1,918.671"
"Aug 02, 2002","1,899.354"
"Aug 05, 2002","1,832.950"
"Aug 06, 2002","1,885.762"
"Aug 07, 2002","1,870.377"
"Aug 08, 2002","1,933.432"
"Aug 09, 2002","1,968.376"
"Aug 12, 2002","1,947.630"
"Aug 13, 2002","1,974.610"
"Aug 14, 2002","1,983.031"
"Aug 15, 2002","2,022.269"
"Aug 16, 2002","2,017.098"
"Aug 19, 2002","2,048.394"
"Aug 20, 2002","1,987.198"
"Aug 21, 2002","2,038.022"
"Aug 22, 2002","2,028.358"
"Aug 23, 2002","2,020.451"
"Aug 26, 2002","1,997.233"
"Aug 27, 2002","2,040.257"
"Aug 28, 2002","1,957.435"
"Aug 29, 2002","1,916.300"
"Aug 30, 2002","1,942.627"
"Sep 02, 2002","1,900.004"
