Index Level :,Price
Currency :,USD


Date,TAIWAN Standard (Large+Mid Cap) None
"Jan 29, 1993",145.676
"Feb 26, 1993",192.245
"Mar 31, 1993",207.848
"Apr 30, 1993",197.592
"May 31, 1993",182.694
"Jun 30, 1993",169.574
"Jul 30, 1993",165.951
"Aug 31, 1993",162.512
"Sep 30, 1993",159.856
"Oct 29, 1993",171.047
"Nov 30, 1993",186.387
"Dec 31, 1993",272.939
"Jan 31, 1994",273.415
"Feb 28, 1994",239.523
"Mar 31, 1994",234.114
"Apr 29, 1994",255.903
"May 31, 1994",257.303
"Jun 30, 1994",262.321
"Jul 29, 1994",300.520
"Aug 31, 1994",313.537
"Sep 30, 1994",323.539
"Oct 31, 1994",298.182
"Nov 30, 1994",289.819
"Dec 30, 1994",326.711
"Jan 31, 1995",286.639
"Feb 28, 1995",295.497
"Mar 31, 1995",297.740
"Apr 28, 1995",271.850
"May 31, 1995",264.350
"Jun 30, 1995",250.585
"Jul 31, 1995",237.135
"Aug 31, 1995",214.213
"Sep 29, 1995",224.992
"Oct 31, 1995",216.003
"Nov 30, 1995",211.144
"Dec 29, 1995",227.918
"Jan 31, 1996",211.559
"Feb 29, 1996",215.497
"Mar 29, 1996",227.293
"Apr 30, 1996",284.089
"May 31, 1996",274.188
"Jun 28, 1996",310.573
"Jul 31, 1996",285.526
"Aug 30, 1996",297.428
"Sep 30, 1996",304.501
"Oct 31, 1996",294.877
"Nov 29, 1996",311.491
"Dec 31, 1996",316.556
"Jan 31, 1997",330.094
"Feb 28, 1997",350.172
"Mar 31, 1997",346.654
"Apr 30, 1997",368.712
"May 30, 1997",353.444
"Jun 30, 1997",400.737
"Jul 31, 1997",433.838
"Aug 29, 1997",415.960
"Sep 30, 1997",366.900
"Oct 31, 1997",286.667
"Nov 28, 1997",289.367
"Dec 31, 1997",294.750
"Jan 30, 1998",278.355
"Feb 27, 1998",337.515
"Mar 31, 1998",319.493
"Apr 30, 1998",289.383
"May 29, 1998",261.598
"Jun 30, 1998",244.801
"Jul 31, 1998",240.483
"Aug 31, 1998",199.560
"Sep 30, 1998",216.268
"Oct 30, 1998",244.053
"Nov 30, 1998",259.503
"Dec 31, 1998",231.536
"Jan 29, 1999",224.694
"Feb 26, 1999",235.481
"Mar 31, 1999",258.313
"Apr 30, 1999",280.854
"May 31, 1999",269.102
"Jun 30, 1999",328.341
"Jul 30, 1999",287.744
"Aug 31, 1999",323.081
"Sep 30, 1999",301.786
"Oct 29, 1999",312.119
"Nov 30, 1999",315.307
"Dec 31, 1999",350.812
"Jan 31, 2000",408.171
"Feb 29, 2000",390.743
"Mar 31, 2000",405.920
"Apr 28, 2000",359.496
"May 31, 2000",366.923
"Jun 30, 2000",339.505
"Jul 31, 2000",330.697
"Aug 31, 2000",309.582
"Sep 29, 2000",259.806
"Oct 31, 2000",226.119
"Nov 30, 2000",208.688
"Dec 29, 2000",191.734
"Jan 31, 2001",247.776
"Feb 28, 2001",229.816
"Mar 30, 2001",226.277
"Apr 30, 2001",210.301
"May 31, 2001",195.651
"Jun 29, 2001",188.702
"Jul 31, 2001",167.975
"Aug 31, 2001",173.969
"Sep 28, 2001",136.198
"Oct 31, 2001",150.612
"Nov 30, 2001",171.255
"Dec 31, 2001",208.551
"Jan 31, 2002",218.291
"Feb 28, 2002",207.924
"Mar 29, 2002",226.569
"Apr 30, 2002",221.544
"May 30, 2002",217.192
"May 31, 2002",212.719
"Jun 03, 2002",210.456
"Jun 04, 2002",207.263
"Jun 05, 2002",209.386
"Jun 06, 2002",209.032
"Jun 07, 2002",201.025
"Jun 10, 2002",203.286
"Jun 11, 2002",199.818
"Jun 12, 2002",198.771
"Jun 13, 2002",205.430
"Jun 14, 2002",205.541
"Jun 17, 2002",204.152
"Jun 18, 2002",204.471
"Jun 19, 2002",199.404
"Jun 20, 2002",201.116
"Jun 21, 2002",202.485
"Jun 24, 2002",201.270
"Jun 25, 2002",198.977
"Jun 26, 2002",192.146
"Jun 27, 2002",189.836
"Jun 28, 2002",194.232
"Jul 01, 2002",186.536
"Jul 02, 2002",187.407
"Jul 03, 2002",188.591
"Jul 04, 2002",191.473
"Jul 05, 2002",197.218
"Jul 08, 2002",203.325
"Jul 09, 2002",204.108
"Jul 10, 2002",200.489
"Jul 11, 2002",197.719
"Jul 12, 2002",206.684
"Jul 15, 2002",206.013
"Jul 16, 2002",203.829
"Jul 17, 2002",201.724
"Jul 18, 2002",200.017
"Jul 19, 2002",196.042
"Jul 22, 2002",191.264
"Jul 23, 2002",194.934
"Jul 24, 2002",188.486
"Jul 25, 2002",188.842
"Jul 26, 2002",179.976
"Jul 29, 2002",177.267
"Jul 30, 2002",183.934
"Jul 31, 2002",181.279
"Aug 01, 2002",180.736
"Aug 02, 2002",180.033
"Aug 05, 2002",168.468
"Aug 06, 2002",165.894
"Aug 07, 2002",172.543
"Aug 08, 2002",171.344
"Aug 09, 2002",177.720
"Aug 12, 2002",177.910
"Aug 13, 2002",177.016
"Aug 14, 2002",179.980
"Aug 15, 2002",181.495
"Aug 16, 2002",181.100
"Aug 19, 2002",179.561
"Aug 20, 2002",181.296
"Aug 21, 2002",179.359
"Aug 22, 2002",181.812
"Aug 23, 2002",181.927
"Aug 26, 2002",179.639
"Aug 27, 2002",176.885
"Aug 28, 2002",173.203
"Aug 29, 2002",173.860
"Aug 30, 2002",172.188
"Sep 02, 2002",167.226
"Sep 03, 2002",165.374
"Sep 04, 2002",163.805
"Sep 05, 2002",161.657
"Sep 06, 2002",161.609
"Sep 09, 2002",164.115
"Sep 10, 2002",168.678
"Sep 11, 2002",167.844
"Sep 12, 2002",167.005
"Sep 13, 2002",164.348
"Sep 16, 2002",158.040
"Sep 17, 2002",164.739
"Sep 18, 2002",158.906
"Sep 19, 2002",159.376
"Sep 20, 2002",155.555
"Sep 23, 2002",151.174
"Sep 24, 2002",149.602
"Sep 25, 2002",146.261
"Sep 26, 2002",147.784
"Sep 27, 2002",146.852
"Sep 30, 2002",146.110
"Oct 01, 2002",144.722
"Oct 02, 2002",145.008
"Oct 03, 2002",140.816
"Oct 04, 2002",140.547
"Oct 07, 2002",134.753
"Oct 08, 2002",136.120
"Oct 09, 2002",135.768
"Oct 10, 2002",135.768
"Oct 11, 2002",132.168
"Oct 14, 2002",135.888
"Oct 15, 2002",144.111
"Oct 16, 2002",148.973
"Oct 17, 2002",151.472
"Oct 18, 2002",158.109
